trade_date,symbol,asset_type,series,isin,open,high,low,close,prev_close,volume,traded_value
2026-09-09,EMSLIMITED,EQUITY,EQ,INE0OV601013,379.9,398.95,379.9,385.8,378.4,885127.0,346126096.55
2026-09-08,EMSLIMITED,EQUITY,EQ,INE0OV601013,385.0,385.0,376.0,378.4,385.55,164742.0,62441679.95
2026-09-07,EMSLIMITED,EQUITY,EQ,INE0OV601013,383.5,392.6,376.9,385.55,383.05,270932.0,104047191.3
2026-09-04,EMSLIMITED,EQUITY,EQ,INE0OV601013,387.35,388.95,381.0,383.05,387.35,166270.0,63676974.8
2026-09-03,EMSLIMITED,EQUITY,EQ,INE0OV601013,386.3,397.8,382.5,387.35,386.8,356431.0,138718548.7
2026-09-02,EMSLIMITED,EQUITY,EQ,INE0OV601013,391.0,409.5,380.0,386.8,372.4,8214302.0,3267242617.65
2026-09-01,EMSLIMITED,EQUITY,EQ,INE0OV601013,372.4,379.0,370.2,372.4,374.75,104652.0,39194990.2
2026-08-31,EMSLIMITED,EQUITY,EQ,INE0OV601013,379.7,380.8,371.4,374.75,377.85,160749.0,60295647.55
2026-08-28,EMSLIMITED,EQUITY,EQ,INE0OV601013,383.0,383.7,376.55,377.85,381.1,86423.0,32715825.15
2026-08-27,EMSLIMITED,EQUITY,EQ,INE0OV601013,378.65,386.3,376.0,381.1,375.75,180937.0,69148792.55
2026-08-26,EMSLIMITED,EQUITY,EQ,INE0OV601013,382.55,386.0,374.55,375.75,381.05,184374.0,69894268.0
2026-08-25,EMSLIMITED,EQUITY,EQ,INE0OV601013,384.0,386.2,377.3,381.05,384.3,132655.0,50482402.1
2026-08-24,EMSLIMITED,EQUITY,EQ,INE0OV601013,395.0,395.0,383.55,384.3,394.35,190618.0,73990451.3
2026-08-21,EMSLIMITED,EQUITY,EQ,INE0OV601013,400.0,401.9,392.1,394.35,405.0,220488.0,87417737.05
2026-08-20,EMSLIMITED,EQUITY,EQ,INE0OV601013,409.0,413.05,398.8,405.0,394.95,1731215.0,703615570.15
2026-08-19,EMSLIMITED,EQUITY,EQ,INE0OV601013,388.8,411.0,382.2,394.95,375.75,3336792.0,1331899073.95
