trade_date,symbol,asset_type,series,isin,open,high,low,close,prev_close,volume,traded_value
2026-09-10,ENERGYDEV,EQUITY,EQ,INE306C01019,14.89,15.3,14.36,15.12,14.89,43848.0,650391.18
2026-09-09,ENERGYDEV,EQUITY,EQ,INE306C01019,15.33,15.33,14.7,14.89,15.33,63369.0,940850.44
2026-09-08,ENERGYDEV,EQUITY,EQ,INE306C01019,15.43,15.65,15.25,15.33,15.43,15162.0,232845.14
2026-09-07,ENERGYDEV,EQUITY,EQ,INE306C01019,15.48,15.69,15.25,15.43,15.49,20723.0,320373.65
2026-09-04,ENERGYDEV,EQUITY,EQ,INE306C01019,15.99,15.99,15.45,15.49,15.5,11133.0,174359.58
2026-09-03,ENERGYDEV,EQUITY,EQ,INE306C01019,15.8,15.97,15.4,15.5,15.65,22297.0,346403.86
2026-09-02,ENERGYDEV,EQUITY,EQ,INE306C01019,15.66,16.13,15.58,15.65,15.78,17038.0,268378.94
2026-09-01,ENERGYDEV,EQUITY,EQ,INE306C01019,15.88,16.19,15.75,15.78,15.88,13623.0,217072.64
2026-08-31,ENERGYDEV,EQUITY,EQ,INE306C01019,15.89,16.34,15.74,15.88,16.06,19918.0,315999.05
2026-08-28,ENERGYDEV,EQUITY,EQ,INE306C01019,16.13,16.39,16.0,16.06,16.13,19571.0,316501.78
2026-08-27,ENERGYDEV,EQUITY,EQ,INE306C01019,16.12,16.5,16.05,16.13,16.12,16990.0,274515.25
2026-08-26,ENERGYDEV,EQUITY,EQ,INE306C01019,16.17,16.57,16.09,16.12,16.01,13496.0,219733.52
2026-08-25,ENERGYDEV,EQUITY,EQ,INE306C01019,16.3,16.58,15.56,16.01,16.22,67101.0,1075693.39
2026-08-24,ENERGYDEV,EQUITY,EQ,INE306C01019,16.51,16.59,16.18,16.22,16.35,11365.0,185842.35
2026-08-21,ENERGYDEV,EQUITY,EQ,INE306C01019,16.66,16.7,16.31,16.35,16.5,10491.0,172218.64
2026-08-20,ENERGYDEV,EQUITY,EQ,INE306C01019,16.45,16.75,16.3,16.5,16.45,21059.0,346211.7
2026-08-19,ENERGYDEV,EQUITY,EQ,INE306C01019,16.69,16.94,16.3,16.45,16.53,22508.0,373946.58
2026-08-18,ENERGYDEV,EQUITY,EQ,INE306C01019,16.49,16.96,16.22,16.53,16.51,31018.0,508274.49
2026-08-17,ENERGYDEV,EQUITY,EQ,INE306C01019,16.94,17.1,16.31,16.51,16.85,24679.0,409872.99
2026-08-14,ENERGYDEV,EQUITY,EQ,INE306C01019,16.58,17.7,16.26,16.85,16.42,49668.0,840344.05
2026-08-13,ENERGYDEV,EQUITY,EQ,INE306C01019,17.12,17.15,16.2,16.42,16.72,40759.0,681607.76
2026-08-12,ENERGYDEV,EQUITY,EQ,INE306C01019,16.08,17.24,16.08,16.72,16.0,62579.0,1057760.18
2026-08-11,ENERGYDEV,EQUITY,EQ,INE306C01019,16.31,16.88,16.0,16.0,16.24,32388.0,522216.92
2026-08-10,ENERGYDEV,EQUITY,EQ,INE306C01019,16.66,17.02,16.21,16.24,16.5,46164.0,755466.81
2026-08-07,ENERGYDEV,EQUITY,EQ,INE306C01019,16.77,17.25,16.4,16.5,16.79,35048.0,580494.54
2026-08-06,ENERGYDEV,EQUITY,EQ,INE306C01019,17.27,17.27,16.71,16.79,16.69,20019.0,339207.02
2026-08-05,ENERGYDEV,EQUITY,EQ,INE306C01019,17.29,17.29,16.65,16.69,16.65,22937.0,384012.7
2026-08-04,ENERGYDEV,EQUITY,EQ,INE306C01019,16.93,17.09,16.61,16.65,16.77,6653.0,111328.92
2026-08-03,ENERGYDEV,EQUITY,EQ,INE306C01019,16.75,17.41,16.75,16.77,16.72,27320.0,459752.62
2026-07-31,ENERGYDEV,EQUITY,EQ,INE306C01019,16.66,17.29,16.66,16.72,16.8,20003.0,336757.48
2026-07-30,ENERGYDEV,EQUITY,EQ,INE306C01019,16.94,17.3,16.72,16.8,16.94,20235.0,341453.04
2026-07-29,ENERGYDEV,EQUITY,EQ,INE306C01019,16.66,17.39,16.66,16.94,16.98,10182.0,173833.63
2026-07-28,ENERGYDEV,EQUITY,EQ,INE306C01019,17.31,17.48,16.8,16.98,17.14,21681.0,367921.93
2026-07-27,ENERGYDEV,EQUITY,EQ,INE306C01019,17.45,17.7,17.05,17.14,17.45,9005.0,155303.5
2026-07-24,ENERGYDEV,EQUITY,EQ,INE306C01019,16.45,17.95,16.45,17.45,16.83,62692.0,1082431.06
2026-07-23,ENERGYDEV,EQUITY,EQ,INE306C01019,17.19,17.2,16.64,16.83,17.02,33774.0,568869.58
2026-07-22,ENERGYDEV,EQUITY,EQ,INE306C01019,17.3,17.3,16.87,17.02,17.13,12981.0,221107.4
2026-07-21,ENERGYDEV,EQUITY,EQ,INE306C01019,17.04,17.46,17.0,17.13,17.04,14934.0,255880.7
2026-07-20,ENERGYDEV,EQUITY,EQ,INE306C01019,16.85,17.22,16.83,17.04,17.06,19646.0,334581.43
2026-07-17,ENERGYDEV,EQUITY,EQ,INE306C01019,17.23,17.28,17.0,17.06,17.08,24922.0,425323.41
2026-07-16,ENERGYDEV,EQUITY,EQ,INE306C01019,16.69,17.48,16.69,17.08,17.01,17289.0,296215.8
2026-07-15,ENERGYDEV,EQUITY,EQ,INE306C01019,17.4,17.4,16.87,17.01,17.0,30154.0,513169.51
2026-07-14,ENERGYDEV,EQUITY,EQ,INE306C01019,17.37,17.49,16.72,17.0,17.2,33155.0,563802.35
2026-07-13,ENERGYDEV,EQUITY,EQ,INE306C01019,17.07,17.99,16.81,17.2,16.91,26220.0,449094.49
2026-07-10,ENERGYDEV,EQUITY,EQ,INE306C01019,16.68,18.0,16.37,16.91,16.85,28400.0,478175.39
2026-07-09,ENERGYDEV,EQUITY,EQ,INE306C01019,17.5,17.68,16.65,16.85,17.09,28360.0,479814.96
2026-07-08,ENERGYDEV,EQUITY,EQ,INE306C01019,17.74,17.74,16.8,17.09,17.6,30203.0,520978.27
2026-07-07,ENERGYDEV,EQUITY,EQ,INE306C01019,17.82,18.45,17.4,17.6,17.8,15301.0,272846.07
2026-07-06,ENERGYDEV,EQUITY,EQ,INE306C01019,18.3,18.5,17.56,17.8,17.85,76420.0,1395210.78
2026-07-03,ENERGYDEV,EQUITY,EQ,INE306C01019,17.49,18.2,17.07,17.85,17.21,95717.0,1704362.06
2026-07-02,ENERGYDEV,EQUITY,EQ,INE306C01019,18.46,18.5,17.11,17.21,18.11,77551.0,1375067.61
2026-07-01,ENERGYDEV,EQUITY,EQ,INE306C01019,16.2,18.5,16.03,18.11,16.26,339863.0,6011999.94
2026-06-30,ENERGYDEV,EQUITY,EQ,INE306C01019,16.3,16.49,16.0,16.26,16.14,15619.0,253446.8
2026-06-29,ENERGYDEV,EQUITY,EQ,INE306C01019,16.03,16.48,16.03,16.14,16.29,18133.0,293574.53
2026-06-25,ENERGYDEV,EQUITY,EQ,INE306C01019,16.2,16.56,16.2,16.29,16.29,24773.0,405183.5
2026-06-24,ENERGYDEV,EQUITY,EQ,INE306C01019,16.23,16.59,16.23,16.29,16.31,21805.0,355789.8
2026-06-23,ENERGYDEV,EQUITY,EQ,INE306C01019,16.13,16.99,16.13,16.31,16.45,24771.0,405711.62
2026-06-22,ENERGYDEV,EQUITY,EQ,INE306C01019,16.5,16.74,16.41,16.45,16.58,42529.0,704025.58
2026-06-19,ENERGYDEV,EQUITY,EQ,INE306C01019,16.98,17.39,16.35,16.58,16.82,24156.0,400933.27
2026-06-18,ENERGYDEV,EQUITY,EQ,INE306C01019,17.34,17.34,16.64,16.82,16.98,21963.0,372062.79
2026-06-17,ENERGYDEV,EQUITY,EQ,INE306C01019,16.42,17.85,16.42,16.98,16.42,93344.0,1605990.7
2026-06-16,ENERGYDEV,EQUITY,EQ,INE306C01019,16.92,17.1,16.26,16.42,16.72,32383.0,535888.21
2026-06-15,ENERGYDEV,EQUITY,EQ,INE306C01019,16.63,17.18,16.31,16.72,16.47,31321.0,524701.14
2026-06-12,ENERGYDEV,EQUITY,EQ,INE306C01019,16.35,16.79,16.35,16.47,16.39,15417.0,254467.71
2026-06-11,ENERGYDEV,EQUITY,EQ,INE306C01019,16.21,16.9,16.21,16.39,16.58,26705.0,440334.19
2026-06-10,ENERGYDEV,EQUITY,EQ,INE306C01019,17.3,17.3,16.5,16.58,16.69,31789.0,530022.12
2026-06-09,ENERGYDEV,EQUITY,EQ,INE306C01019,17.2,17.89,16.3,16.69,16.64,84876.0,1426015.03
2026-06-08,ENERGYDEV,EQUITY,EQ,INE306C01019,17.13,17.45,16.5,16.64,17.1,30370.0,513269.1
2026-06-05,ENERGYDEV,EQUITY,EQ,INE306C01019,16.9,17.92,16.56,17.1,16.4,111404.0,1911922.59
2026-06-04,ENERGYDEV,EQUITY,EQ,INE306C01019,16.24,16.76,16.0,16.4,16.38,48999.0,802143.01
2026-06-03,ENERGYDEV,EQUITY,EQ,INE306C01019,16.22,16.5,16.05,16.38,16.06,24358.0,397432.56
2026-06-02,ENERGYDEV,EQUITY,EQ,INE306C01019,15.86,16.57,15.86,16.06,16.27,52118.0,845619.46
2026-06-01,ENERGYDEV,EQUITY,EQ,INE306C01019,16.3,16.7,16.0,16.27,16.44,39533.0,641317.01
