trade_date,symbol,asset_type,series,isin,open,high,low,close,prev_close,volume,traded_value
2026-09-11,ESTER,EQUITY,EQ,INE778B01029,89.23,90.48,89.12,89.89,90.54,32880.0,2950060.97
2026-09-10,ESTER,EQUITY,EQ,INE778B01029,91.45,92.5,90.03,90.54,91.02,50678.0,4627543.91
2026-09-09,ESTER,EQUITY,EQ,INE778B01029,91.45,92.8,90.01,91.02,91.43,156917.0,14322966.65
2026-09-08,ESTER,EQUITY,EQ,INE778B01029,91.5,92.39,91.02,91.43,91.54,49070.0,4489501.79
2026-09-07,ESTER,EQUITY,EQ,INE778B01029,94.4,94.4,90.95,91.54,93.57,92014.0,8495156.8
2026-09-04,ESTER,EQUITY,EQ,INE778B01029,94.04,94.72,93.0,93.57,94.03,41294.0,3867472.19
2026-09-03,ESTER,EQUITY,EQ,INE778B01029,94.5,95.69,93.25,94.03,94.05,48134.0,4552812.83
2026-09-02,ESTER,EQUITY,EQ,INE778B01029,91.71,94.75,91.41,94.05,92.68,95277.0,8892204.64
2026-09-01,ESTER,EQUITY,EQ,INE778B01029,93.5,95.44,91.0,92.68,91.73,121349.0,11243907.29
2026-08-31,ESTER,EQUITY,EQ,INE778B01029,93.1,94.0,90.38,91.73,93.73,81352.0,7445368.07
2026-08-28,ESTER,EQUITY,EQ,INE778B01029,93.14,94.47,93.01,93.73,93.0,41734.0,3909713.2
2026-08-27,ESTER,EQUITY,EQ,INE778B01029,93.26,94.41,92.0,93.0,93.31,78074.0,7286855.06
2026-08-26,ESTER,EQUITY,EQ,INE778B01029,95.51,96.95,92.83,93.31,95.86,81849.0,7701866.72
2026-08-25,ESTER,EQUITY,EQ,INE778B01029,94.8,96.87,94.13,95.86,94.13,64817.0,6182324.57
2026-08-24,ESTER,EQUITY,EQ,INE778B01029,95.01,97.08,93.4,94.13,95.14,151634.0,14335992.19
2026-08-21,ESTER,EQUITY,EQ,INE778B01029,96.0,97.68,94.7,95.14,96.16,58483.0,5612102.62
2026-08-20,ESTER,EQUITY,EQ,INE778B01029,97.85,97.85,95.1,96.16,96.08,73870.0,7128748.05
2026-08-19,ESTER,EQUITY,EQ,INE778B01029,97.5,98.69,95.7,96.08,97.55,67707.0,6550611.19
2026-08-18,ESTER,EQUITY,EQ,INE778B01029,99.42,100.62,96.6,97.55,98.96,105357.0,10369527.79
2026-08-17,ESTER,EQUITY,EQ,INE778B01029,101.0,102.8,98.5,98.96,101.02,62123.0,6202993.87
2026-08-14,ESTER,EQUITY,EQ,INE778B01029,102.15,104.0,100.0,101.02,101.66,291340.0,29714771.02
2026-08-13,ESTER,EQUITY,EQ,INE778B01029,96.01,102.9,95.76,101.66,96.27,793877.0,80057814.92
2026-08-12,ESTER,EQUITY,EQ,INE778B01029,102.07,103.09,95.8,96.27,104.5,595516.0,58985591.86
2026-08-11,ESTER,EQUITY,EQ,INE778B01029,100.5,107.9,98.0,104.5,99.22,1789401.0,184674975.24
2026-08-10,ESTER,EQUITY,EQ,INE778B01029,87.15,101.89,86.91,99.22,87.35,1758940.0,172245047.13
2026-08-07,ESTER,EQUITY,EQ,INE778B01029,89.0,89.17,87.0,87.35,88.0,43251.0,3798819.03
2026-08-06,ESTER,EQUITY,EQ,INE778B01029,88.88,89.66,87.12,88.0,88.2,28795.0,2554850.3
2026-08-05,ESTER,EQUITY,EQ,INE778B01029,88.0,88.75,87.1,88.2,87.2,46459.0,4088712.86
2026-08-04,ESTER,EQUITY,EQ,INE778B01029,86.75,89.05,86.55,87.2,86.67,63463.0,5570956.1
2026-08-03,ESTER,EQUITY,EQ,INE778B01029,89.39,89.68,85.1,86.67,87.9,138696.0,12161947.29
