trade_date,symbol,asset_type,series,isin,open,high,low,close,prev_close,volume,traded_value
2026-09-09,EXCELINDUS,EQUITY,EQ,INE369A01029,995.0,1001.9,985.0,989.4,993.0,10303.0,10218869.5
2026-09-08,EXCELINDUS,EQUITY,EQ,INE369A01029,1004.0,1004.0,984.1,993.0,1002.6,8141.0,8110666.5
2026-09-07,EXCELINDUS,EQUITY,EQ,INE369A01029,1036.0,1036.1,999.0,1002.6,1031.4,11574.0,11679279.1
2026-09-04,EXCELINDUS,EQUITY,EQ,INE369A01029,1035.1,1045.0,1026.1,1031.4,1034.9,4529.0,4679881.2
2026-09-03,EXCELINDUS,EQUITY,EQ,INE369A01029,1032.0,1045.0,1025.1,1034.9,1027.4,4086.0,4213454.9
2026-09-02,EXCELINDUS,EQUITY,EQ,INE369A01029,1018.0,1035.1,1010.0,1027.4,1015.5,5547.0,5694412.4
2026-09-01,EXCELINDUS,EQUITY,EQ,INE369A01029,1053.0,1053.0,1004.5,1015.5,1046.15,6767.0,6949604.3
2026-08-31,EXCELINDUS,EQUITY,EQ,INE369A01029,1036.05,1062.95,1025.1,1046.15,1030.85,11674.0,12136206.3
2026-08-28,EXCELINDUS,EQUITY,EQ,INE369A01029,1046.0,1048.5,1025.2,1030.85,1041.6,7207.0,7463655.75
2026-08-27,EXCELINDUS,EQUITY,EQ,INE369A01029,1039.75,1050.0,1034.55,1041.6,1039.75,8170.0,8513419.6
2026-08-26,EXCELINDUS,EQUITY,EQ,INE369A01029,1065.5,1073.0,1032.5,1039.75,1057.25,13773.0,14432096.85
2026-08-25,EXCELINDUS,EQUITY,EQ,INE369A01029,1081.7,1093.95,1050.5,1057.25,1072.65,16113.0,17255626.95
2026-08-24,EXCELINDUS,EQUITY,EQ,INE369A01029,1089.0,1107.9,1060.0,1072.65,1089.0,15048.0,16253154.1
2026-08-21,EXCELINDUS,EQUITY,EQ,INE369A01029,1120.0,1126.55,1073.85,1089.0,1114.5,24478.0,26824543.0
2026-08-20,EXCELINDUS,EQUITY,EQ,INE369A01029,1133.25,1139.5,1096.0,1114.5,1133.25,106521.0,118249661.15
2026-08-19,EXCELINDUS,EQUITY,EQ,INE369A01029,991.05,1148.55,990.9,1133.25,985.2,1055831.0,1174674913.85
2026-08-18,EXCELINDUS,EQUITY,EQ,INE369A01029,995.65,997.45,981.05,985.2,990.55,2480.0,2447986.65
2026-08-17,EXCELINDUS,EQUITY,EQ,INE369A01029,1013.65,1022.95,976.0,990.55,1013.65,13026.0,12919665.3
2026-08-14,EXCELINDUS,EQUITY,EQ,INE369A01029,1035.0,1035.0,974.35,1013.65,1039.35,34333.0,34239475.9
2026-08-13,EXCELINDUS,EQUITY,EQ,INE369A01029,1035.05,1069.0,1025.0,1039.35,1051.0,9105.0,9605110.9
2026-08-12,EXCELINDUS,EQUITY,EQ,INE369A01029,1034.4,1060.0,1022.65,1051.0,1034.4,6458.0,6708891.95
2026-08-11,EXCELINDUS,EQUITY,EQ,INE369A01029,1017.45,1040.0,1011.0,1034.4,1012.4,5262.0,5409138.65
2026-08-10,EXCELINDUS,EQUITY,EQ,INE369A01029,1031.0,1040.95,1010.0,1012.4,1029.0,3791.0,3869269.15
2026-08-07,EXCELINDUS,EQUITY,EQ,INE369A01029,1034.0,1039.1,1023.6,1029.0,1029.55,4164.0,4291391.35
2026-08-06,EXCELINDUS,EQUITY,EQ,INE369A01029,1046.0,1049.0,1025.15,1029.55,1041.6,2795.0,2892429.95
2026-08-05,EXCELINDUS,EQUITY,EQ,INE369A01029,1049.0,1052.6,1026.85,1041.6,1050.6,4015.0,4177116.5
2026-08-04,EXCELINDUS,EQUITY,EQ,INE369A01029,1002.0,1060.0,1002.0,1050.6,1021.7,20096.0,20874154.85
2026-08-03,EXCELINDUS,EQUITY,EQ,INE369A01029,991.2,1041.1,987.05,1021.7,986.3,14306.0,14456091.9
2026-07-31,EXCELINDUS,EQUITY,EQ,INE369A01029,994.85,998.6,984.55,986.3,994.95,3019.0,2987776.35
2026-07-30,EXCELINDUS,EQUITY,EQ,INE369A01029,991.3,1000.0,978.0,994.95,991.35,6695.0,6637719.6
2026-07-29,EXCELINDUS,EQUITY,EQ,INE369A01029,987.0,999.75,979.0,991.35,984.65,13236.0,13114550.65
2026-07-28,EXCELINDUS,EQUITY,EQ,INE369A01029,980.0,999.0,976.0,984.65,982.15,17457.0,17239715.05
2026-07-27,EXCELINDUS,EQUITY,EQ,INE369A01029,940.9,997.95,927.0,982.15,932.15,26284.0,25604256.0
2026-07-24,EXCELINDUS,EQUITY,EQ,INE369A01029,911.35,945.25,907.0,932.15,914.35,10520.0,9814197.25
2026-07-23,EXCELINDUS,EQUITY,EQ,INE369A01029,935.05,950.0,910.0,914.35,948.2,5058.0,4706540.5
2026-07-22,EXCELINDUS,EQUITY,EQ,INE369A01029,936.1,958.0,934.75,948.2,938.15,15809.0,14941923.7
2026-07-21,EXCELINDUS,EQUITY,EQ,INE369A01029,900.0,948.0,900.0,938.15,899.8,18913.0,17559110.95
2026-07-20,EXCELINDUS,EQUITY,EQ,INE369A01029,885.2,910.4,885.2,899.8,898.7,5721.0,5149775.1
2026-07-17,EXCELINDUS,EQUITY,EQ,INE369A01029,903.8,912.45,895.05,898.7,903.8,4448.0,4000402.15
2026-07-16,EXCELINDUS,EQUITY,EQ,INE369A01029,902.0,910.4,895.0,903.8,895.3,5173.0,4656657.0
2026-07-15,EXCELINDUS,EQUITY,EQ,INE369A01029,893.0,905.9,889.05,895.3,890.85,2490.0,2232687.3
2026-07-14,EXCELINDUS,EQUITY,EQ,INE369A01029,911.45,911.45,887.6,890.85,911.4,14145.0,12666961.05
2026-07-13,EXCELINDUS,EQUITY,EQ,INE369A01029,903.0,924.9,900.0,911.4,912.05,5475.0,4996888.6
2026-07-10,EXCELINDUS,EQUITY,EQ,INE369A01029,905.5,928.9,889.2,912.05,901.15,8412.0,7663374.25
2026-07-09,EXCELINDUS,EQUITY,EQ,INE369A01029,897.4,906.25,892.6,901.15,890.45,4875.0,4391912.3
2026-07-08,EXCELINDUS,EQUITY,EQ,INE369A01029,905.0,911.3,876.0,890.45,911.45,6565.0,5885662.8
2026-07-07,EXCELINDUS,EQUITY,EQ,INE369A01029,906.35,916.85,906.05,911.45,909.85,3533.0,3226058.7
2026-07-06,EXCELINDUS,EQUITY,EQ,INE369A01029,915.0,918.0,902.05,909.85,913.2,5407.0,4917797.8
2026-07-03,EXCELINDUS,EQUITY,EQ,INE369A01029,907.7,916.0,907.1,913.2,903.3,3650.0,3328365.65
2026-07-02,EXCELINDUS,EQUITY,EQ,INE369A01029,915.7,915.95,900.1,903.3,912.85,4827.0,4371908.1
2026-07-01,EXCELINDUS,EQUITY,EQ,INE369A01029,900.9,919.4,900.9,912.85,909.75,5775.0,5274319.75
2026-06-30,EXCELINDUS,EQUITY,EQ,INE369A01029,907.7,915.0,904.45,909.75,903.3,5328.0,4839024.85
2026-06-29,EXCELINDUS,EQUITY,EQ,INE369A01029,904.0,919.8,900.0,903.3,906.5,6568.0,5955866.4
2026-06-25,EXCELINDUS,EQUITY,EQ,INE369A01029,908.9,916.4,902.4,906.5,911.15,5640.0,5121730.05
2026-06-24,EXCELINDUS,EQUITY,EQ,INE369A01029,910.2,916.95,905.0,911.15,911.75,5819.0,5291562.9
2026-06-23,EXCELINDUS,EQUITY,EQ,INE369A01029,910.05,928.95,903.0,911.75,918.95,6400.0,5860165.3
2026-06-22,EXCELINDUS,EQUITY,EQ,INE369A01029,888.0,936.45,888.0,918.95,927.05,24077.0,22051006.25
2026-06-19,EXCELINDUS,EQUITY,EQ,INE369A01029,936.6,944.0,921.1,927.05,932.95,4226.0,3934990.25
2026-06-18,EXCELINDUS,EQUITY,EQ,INE369A01029,929.95,942.0,927.45,932.95,926.1,4824.0,4509164.5
2026-06-17,EXCELINDUS,EQUITY,EQ,INE369A01029,929.0,939.8,922.0,926.1,927.0,3888.0,3617965.25
2026-06-16,EXCELINDUS,EQUITY,EQ,INE369A01029,932.1,932.6,900.95,927.0,925.85,5245.0,4841077.75
