trade_date,symbol,asset_type,series,isin,open,high,low,close,prev_close,volume,traded_value
2026-09-08,EXCELSOFT,EQUITY,EQ,INE606N01019,69.8,69.9,68.5,69.06,68.26,244261.0,16872905.9
2026-09-07,EXCELSOFT,EQUITY,EQ,INE606N01019,70.01,70.39,66.9,68.26,70.23,583097.0,39889679.39
2026-09-04,EXCELSOFT,EQUITY,EQ,INE606N01019,70.5,71.8,69.52,70.23,70.66,299626.0,21151747.91
2026-09-03,EXCELSOFT,EQUITY,EQ,INE606N01019,70.66,71.4,69.77,70.66,69.62,253179.0,17849277.06
2026-09-02,EXCELSOFT,EQUITY,EQ,INE606N01019,70.0,70.0,69.05,69.62,69.79,171128.0,11900391.06
2026-09-01,EXCELSOFT,EQUITY,EQ,INE606N01019,69.93,70.45,69.6,69.79,69.93,156084.0,10915078.34
2026-08-31,EXCELSOFT,EQUITY,EQ,INE606N01019,71.17,71.44,69.7,69.93,71.03,229162.0,16135928.46
2026-08-28,EXCELSOFT,EQUITY,EQ,INE606N01019,72.0,72.0,70.9,71.03,71.53,139173.0,9924790.23
2026-08-27,EXCELSOFT,EQUITY,EQ,INE606N01019,70.52,73.4,69.8,71.53,70.5,420383.0,30036600.11
2026-08-26,EXCELSOFT,EQUITY,EQ,INE606N01019,70.79,70.94,70.16,70.5,70.27,125671.0,8854247.24
2026-08-25,EXCELSOFT,EQUITY,EQ,INE606N01019,70.3,70.5,69.66,70.27,70.13,146518.0,10267927.57
2026-08-24,EXCELSOFT,EQUITY,EQ,INE606N01019,71.38,71.5,70.0,70.13,70.9,323852.0,22856287.89
2026-08-21,EXCELSOFT,EQUITY,EQ,INE606N01019,71.27,72.1,70.6,70.9,70.88,296394.0,21072507.92
2026-08-20,EXCELSOFT,EQUITY,EQ,INE606N01019,72.37,72.77,70.31,70.88,71.09,755532.0,53979303.62
2026-08-19,EXCELSOFT,EQUITY,EQ,INE606N01019,72.89,74.75,70.5,71.09,72.59,518974.0,37361736.25
2026-08-18,EXCELSOFT,EQUITY,EQ,INE606N01019,73.5,74.82,72.01,72.59,73.07,450489.0,33084655.58
2026-08-17,EXCELSOFT,EQUITY,EQ,INE606N01019,73.5,74.2,72.0,73.07,73.96,547771.0,40193359.67
2026-08-14,EXCELSOFT,EQUITY,EQ,INE606N01019,75.0,75.07,73.6,73.96,74.72,296236.0,22003262.77
2026-08-13,EXCELSOFT,EQUITY,EQ,INE606N01019,75.53,75.84,74.6,74.72,75.17,333039.0,24997487.46
2026-08-12,EXCELSOFT,EQUITY,EQ,INE606N01019,76.4,76.68,74.8,75.17,75.81,328439.0,24732903.81
2026-08-11,EXCELSOFT,EQUITY,EQ,INE606N01019,77.69,78.4,75.5,75.81,77.68,542567.0,41404432.07
2026-08-10,EXCELSOFT,EQUITY,EQ,INE606N01019,79.0,81.34,77.0,77.68,83.65,1116940.0,87735786.59
2026-08-07,EXCELSOFT,EQUITY,EQ,INE606N01019,83.5,86.5,82.5,83.65,83.09,1063879.0,90131286.99
2026-08-06,EXCELSOFT,EQUITY,EQ,INE606N01019,85.01,86.24,82.3,83.09,83.95,596088.0,50302746.77
2026-08-05,EXCELSOFT,EQUITY,EQ,INE606N01019,82.5,84.45,82.0,83.95,81.72,392418.0,32684456.94
2026-08-04,EXCELSOFT,EQUITY,EQ,INE606N01019,85.0,85.42,81.0,81.72,82.99,552465.0,45774511.68
2026-08-03,EXCELSOFT,EQUITY,EQ,INE606N01019,78.0,85.38,77.9,82.99,77.41,3128940.0,260399902.1
2026-07-31,EXCELSOFT,EQUITY,EQ,INE606N01019,77.0,77.9,76.46,77.41,76.94,155652.0,12042357.08
2026-07-30,EXCELSOFT,EQUITY,EQ,INE606N01019,78.0,78.01,76.5,76.94,77.81,160309.0,12356439.56
2026-07-29,EXCELSOFT,EQUITY,EQ,INE606N01019,76.99,79.0,76.51,77.81,76.8,350291.0,27226826.46
2026-07-28,EXCELSOFT,EQUITY,EQ,INE606N01019,77.5,77.91,76.42,76.8,77.47,152895.0,11774523.35
2026-07-27,EXCELSOFT,EQUITY,EQ,INE606N01019,74.7,79.63,74.7,77.47,74.38,804813.0,62673857.23
2026-07-24,EXCELSOFT,EQUITY,EQ,INE606N01019,73.77,75.0,73.12,74.38,74.54,251103.0,18565337.26
2026-07-23,EXCELSOFT,EQUITY,EQ,INE606N01019,75.0,75.99,74.0,74.54,75.09,202302.0,15140019.59
2026-07-22,EXCELSOFT,EQUITY,EQ,INE606N01019,76.0,76.24,74.8,75.09,75.95,172168.0,12962536.74
2026-07-21,EXCELSOFT,EQUITY,EQ,INE606N01019,76.08,76.99,75.71,75.95,76.3,223335.0,16987268.18
2026-07-20,EXCELSOFT,EQUITY,EQ,INE606N01019,77.53,78.34,76.0,76.3,77.14,353693.0,27140712.01
2026-07-17,EXCELSOFT,EQUITY,EQ,INE606N01019,80.0,80.0,76.05,77.14,79.04,363999.0,28432792.79
2026-07-16,EXCELSOFT,EQUITY,EQ,INE606N01019,78.96,79.69,78.0,79.04,78.42,255481.0,20144056.52
2026-07-15,EXCELSOFT,EQUITY,EQ,INE606N01019,79.2,81.03,77.88,78.42,78.77,466549.0,37154504.52
2026-07-14,EXCELSOFT,EQUITY,EQ,INE606N01019,79.93,80.09,78.5,78.77,79.93,209919.0,16648331.49
2026-07-13,EXCELSOFT,EQUITY,EQ,INE606N01019,78.6,80.88,78.32,79.93,79.31,516271.0,41343366.51
2026-07-10,EXCELSOFT,EQUITY,EQ,INE606N01019,79.5,80.79,78.91,79.31,78.48,377887.0,30046643.74
2026-07-09,EXCELSOFT,EQUITY,EQ,INE606N01019,78.0,79.95,77.56,78.48,77.52,344202.0,27101625.26
2026-07-08,EXCELSOFT,EQUITY,EQ,INE606N01019,81.0,82.01,76.85,77.52,80.94,542235.0,42967832.97
