trade_date,symbol,asset_type,series,isin,open,high,low,close,prev_close,volume,traded_value
2026-09-11,FEDERALBNK,EQUITY,EQ,INE171A01029,343.0,345.3,341.15,344.5,346.0,3188640.0,1095157598.15
2026-09-10,FEDERALBNK,EQUITY,EQ,INE171A01029,343.85,347.05,343.75,346.0,345.0,5314983.0,1835709878.0
2026-09-09,FEDERALBNK,EQUITY,EQ,INE171A01029,341.5,345.0,341.5,345.0,344.15,3903520.0,1342666325.85
2026-09-08,FEDERALBNK,EQUITY,EQ,INE171A01029,343.05,345.9,341.45,344.15,342.0,3571930.0,1228977500.3
2026-09-07,FEDERALBNK,EQUITY,EQ,INE171A01029,343.0,343.0,337.6,342.0,343.0,5174214.0,1762671665.85
2026-09-04,FEDERALBNK,EQUITY,EQ,INE171A01029,344.9,344.9,341.8,343.0,344.6,4115397.0,1412014763.6
2026-09-03,FEDERALBNK,EQUITY,EQ,INE171A01029,356.5,356.95,343.1,344.6,353.35,6683672.0,2318886483.55
2026-09-02,FEDERALBNK,EQUITY,EQ,INE171A01029,349.0,353.5,345.2,353.35,349.25,6273256.0,2198017162.1
2026-09-01,FEDERALBNK,EQUITY,EQ,INE171A01029,350.0,351.75,348.0,349.25,356.7,3391394.0,1185451534.85
2026-08-31,FEDERALBNK,EQUITY,EQ,INE171A01029,342.6,356.7,341.55,356.7,344.25,6824404.0,2401674865.7
2026-08-28,FEDERALBNK,EQUITY,EQ,INE171A01029,343.05,345.85,342.25,344.25,344.8,3391019.0,1166246203.5
2026-08-27,FEDERALBNK,EQUITY,EQ,INE171A01029,347.0,348.15,343.4,344.8,345.3,4512557.0,1558208724.1
2026-08-26,FEDERALBNK,EQUITY,EQ,INE171A01029,348.25,349.15,343.6,345.3,346.95,6361778.0,2204165082.9
2026-08-25,FEDERALBNK,EQUITY,EQ,INE171A01029,357.7,358.7,342.05,346.95,357.75,16134284.0,5613120360.0
2026-08-24,FEDERALBNK,EQUITY,EQ,INE171A01029,360.45,361.25,355.3,357.75,361.0,4729477.0,1690710584.55
2026-08-21,FEDERALBNK,EQUITY,EQ,INE171A01029,356.3,361.0,355.15,361.0,355.3,4398375.0,1578128635.45
2026-08-20,FEDERALBNK,EQUITY,EQ,INE171A01029,361.9,364.2,355.3,355.3,358.8,4349435.0,1566863073.35
2026-08-19,FEDERALBNK,EQUITY,EQ,INE171A01029,357.8,360.0,355.15,358.8,357.8,2198228.0,787319927.45
2026-08-18,FEDERALBNK,EQUITY,EQ,INE171A01029,354.2,358.6,352.5,357.8,354.1,2828360.0,1006094022.3
2026-08-17,FEDERALBNK,EQUITY,EQ,INE171A01029,351.25,356.45,349.65,354.1,351.3,3616352.0,1278875467.25
2026-08-14,FEDERALBNK,EQUITY,EQ,INE171A01029,352.0,354.6,351.05,351.3,352.45,2420967.0,853945099.55
2026-08-13,FEDERALBNK,EQUITY,EQ,INE171A01029,356.5,356.5,352.0,352.45,356.85,2690529.0,950000207.55
2026-08-12,FEDERALBNK,EQUITY,EQ,INE171A01029,354.55,357.65,353.8,356.85,354.55,3369817.0,1197862574.2
2026-08-11,FEDERALBNK,EQUITY,EQ,INE171A01029,357.2,357.2,352.2,354.55,358.35,4843398.0,1715230763.5
2026-08-10,FEDERALBNK,EQUITY,EQ,INE171A01029,357.0,358.6,353.95,358.35,356.25,2848547.0,1011938409.6
2026-08-07,FEDERALBNK,EQUITY,EQ,INE171A01029,353.2,359.8,350.85,356.25,353.55,4924276.0,1755417757.75
2026-08-06,FEDERALBNK,EQUITY,EQ,INE171A01029,356.45,356.45,351.6,353.55,356.45,3780768.0,1336026992.0
2026-08-05,FEDERALBNK,EQUITY,EQ,INE171A01029,361.95,361.95,354.2,356.45,362.45,5018889.0,1789569115.45
2026-08-04,FEDERALBNK,EQUITY,EQ,INE171A01029,364.55,364.55,357.1,362.45,371.7,5569382.0,2002093655.55
2026-08-03,FEDERALBNK,EQUITY,EQ,INE171A01029,359.45,371.7,357.3,371.7,358.85,4384044.0,1579727402.3
2026-07-31,FEDERALBNK,EQUITY,EQ,INE171A01029,355.4,359.7,354.75,358.85,354.15,3907564.0,1399043850.6
2026-07-30,FEDERALBNK,EQUITY,EQ,INE171A01029,359.05,359.35,352.85,354.15,359.15,6259452.0,2219454316.3
2026-07-29,FEDERALBNK,EQUITY,EQ,INE171A01029,359.0,359.9,356.45,359.15,357.25,5713345.0,2048374572.55
2026-07-28,FEDERALBNK,EQUITY,EQ,INE171A01029,357.0,358.7,354.5,357.25,356.5,6332047.0,2261716130.6
2026-07-27,FEDERALBNK,EQUITY,EQ,INE171A01029,355.05,357.7,354.3,356.5,354.3,6585012.0,2344084256.4
2026-07-24,FEDERALBNK,EQUITY,EQ,INE171A01029,352.1,354.9,349.9,354.3,354.4,3590425.0,1264671064.6
2026-07-23,FEDERALBNK,EQUITY,EQ,INE171A01029,352.0,355.45,351.55,354.4,353.25,4025719.0,1423686150.25
2026-07-22,FEDERALBNK,EQUITY,EQ,INE171A01029,354.1,357.25,351.5,353.25,356.05,4288304.0,1517347896.0
2026-07-21,FEDERALBNK,EQUITY,EQ,INE171A01029,351.1,356.75,350.95,356.05,350.75,6342305.0,2244563327.25
2026-07-20,FEDERALBNK,EQUITY,EQ,INE171A01029,341.5,352.2,341.5,350.75,349.0,10483345.0,3655446719.3
2026-07-17,FEDERALBNK,EQUITY,EQ,INE171A01029,328.7,351.0,323.4,349.0,326.6,44155126.0,15068942344.95
2026-07-16,FEDERALBNK,EQUITY,EQ,INE171A01029,328.55,329.95,324.0,326.6,327.55,9916604.0,3243808110.05
2026-07-15,FEDERALBNK,EQUITY,EQ,INE171A01029,328.5,330.7,325.6,327.55,327.5,2909042.0,953864653.9
2026-07-14,FEDERALBNK,EQUITY,EQ,INE171A01029,331.0,332.8,326.15,327.5,332.5,3477293.0,1139921465.85
2026-07-13,FEDERALBNK,EQUITY,EQ,INE171A01029,328.5,336.5,327.3,332.5,329.85,4617054.0,1539103100.9
2026-07-10,FEDERALBNK,EQUITY,EQ,INE171A01029,330.3,332.5,327.85,329.85,327.75,5400203.0,1779892827.8
2026-07-09,FEDERALBNK,EQUITY,EQ,INE171A01029,326.55,332.7,326.55,327.75,326.55,3699416.0,1217189726.8
2026-07-08,FEDERALBNK,EQUITY,EQ,INE171A01029,330.45,330.9,323.0,326.55,331.55,4715547.0,1541690611.95
2026-07-07,FEDERALBNK,EQUITY,EQ,INE171A01029,330.0,332.0,326.7,331.55,330.3,4018922.0,1326544982.95
2026-07-06,FEDERALBNK,EQUITY,EQ,INE171A01029,327.8,333.45,325.5,330.3,327.4,3492183.0,1151463432.1
2026-07-03,FEDERALBNK,EQUITY,EQ,INE171A01029,332.4,334.3,326.4,327.4,331.0,5420067.0,1787597820.05
2026-07-02,FEDERALBNK,EQUITY,EQ,INE171A01029,331.75,332.35,329.3,331.0,331.4,7433230.0,2457495281.95
2026-07-01,FEDERALBNK,EQUITY,EQ,INE171A01029,329.0,332.0,325.65,331.4,330.05,6386994.0,2109416965.2
2026-06-30,FEDERALBNK,EQUITY,EQ,INE171A01029,324.8,331.8,323.7,330.05,324.05,15572784.0,5125953434.2
2026-06-29,FEDERALBNK,EQUITY,EQ,INE171A01029,323.0,327.0,322.15,324.05,324.05,15193838.0,4930854616.45
2026-06-25,FEDERALBNK,EQUITY,EQ,INE171A01029,326.7,326.7,322.65,324.05,325.2,6310533.0,2045683082.25
2026-06-24,FEDERALBNK,EQUITY,EQ,INE171A01029,319.5,327.0,318.2,325.2,319.9,9481304.0,3074732511.1
2026-06-23,FEDERALBNK,EQUITY,EQ,INE171A01029,323.4,324.3,319.0,319.9,323.4,5809450.0,1867102950.35
2026-06-22,FEDERALBNK,EQUITY,EQ,INE171A01029,323.95,323.95,321.7,323.4,323.95,4903566.0,1584172656.7
2026-06-19,FEDERALBNK,EQUITY,EQ,INE171A01029,320.0,324.9,319.05,323.95,320.45,7763307.0,2502024561.4
2026-06-18,FEDERALBNK,EQUITY,EQ,INE171A01029,323.0,324.0,320.0,320.45,322.7,3885931.0,1246368194.5
2026-06-17,FEDERALBNK,EQUITY,EQ,INE171A01029,320.65,323.6,319.3,322.7,320.6,9029691.0,2903267705.6
2026-06-16,FEDERALBNK,EQUITY,EQ,INE171A01029,317.55,321.1,316.5,320.6,317.1,8921387.0,2846279781.25
2026-06-15,FEDERALBNK,EQUITY,EQ,INE171A01029,320.7,320.7,312.75,317.1,315.7,8390759.0,2650415491.9
2026-06-12,FEDERALBNK,EQUITY,EQ,INE171A01029,315.0,318.35,311.15,315.7,309.75,9052110.0,2860166298.4
2026-06-11,FEDERALBNK,EQUITY,EQ,INE171A01029,309.0,311.7,307.05,309.75,311.1,7619065.0,2358702360.05
2026-06-10,FEDERALBNK,EQUITY,EQ,INE171A01029,315.1,316.7,309.85,311.1,315.1,7015128.0,2193465421.3
2026-06-09,FEDERALBNK,EQUITY,EQ,INE171A01029,306.7,315.9,306.35,315.1,304.6,14386417.0,4492937974.2
2026-06-08,FEDERALBNK,EQUITY,EQ,INE171A01029,302.5,310.0,301.3,304.6,304.15,12112735.0,3706035841.1
2026-06-05,FEDERALBNK,EQUITY,EQ,INE171A01029,300.5,305.4,295.75,304.15,300.1,9322801.0,2807674055.75
2026-06-04,FEDERALBNK,EQUITY,EQ,INE171A01029,301.25,303.8,295.65,300.1,301.05,11947303.0,3584362737.75
2026-06-03,FEDERALBNK,EQUITY,EQ,INE171A01029,293.95,302.85,290.3,301.05,293.05,15946881.0,4743537872.25
2026-06-02,FEDERALBNK,EQUITY,EQ,INE171A01029,286.5,293.8,284.85,293.05,288.2,5900487.0,1707575766.7
2026-06-01,FEDERALBNK,EQUITY,EQ,INE171A01029,290.0,292.4,285.5,288.2,288.95,6701913.0,1932958816.35
2026-05-29,FEDERALBNK,EQUITY,EQ,INE171A01029,292.0,293.9,283.6,288.95,288.9,239376091.0,69169553168.55
2026-05-27,FEDERALBNK,EQUITY,EQ,INE171A01029,289.5,293.0,287.85,288.9,290.2,3869975.0,1121377375.25
2026-05-26,FEDERALBNK,EQUITY,EQ,INE171A01029,292.0,293.35,288.65,290.2,289.25,10983670.0,3198229828.75
2026-05-25,FEDERALBNK,EQUITY,EQ,INE171A01029,289.0,292.5,286.8,289.25,287.2,9346757.0,2705297182.7
2026-05-22,FEDERALBNK,EQUITY,EQ,INE171A01029,284.15,288.4,283.2,287.2,283.75,6756952.0,1933487430.45
2026-05-21,FEDERALBNK,EQUITY,EQ,INE171A01029,290.5,292.5,283.05,283.75,289.9,6916472.0,1977332825.55
2026-05-20,FEDERALBNK,EQUITY,EQ,INE171A01029,285.85,290.55,283.1,289.9,286.6,6657728.0,1911379444.0
2026-05-19,FEDERALBNK,EQUITY,EQ,INE171A01029,284.8,287.8,283.75,286.6,283.95,6905213.0,1976782463.15
2026-05-18,FEDERALBNK,EQUITY,EQ,INE171A01029,280.75,285.65,277.55,283.95,281.3,7212332.0,2039507732.6
2026-05-15,FEDERALBNK,EQUITY,EQ,INE171A01029,281.95,284.7,278.3,281.3,280.25,6034270.0,1700075858.75
2026-05-14,FEDERALBNK,EQUITY,EQ,INE171A01029,282.0,282.85,277.55,280.25,280.05,8574291.0,2404751370.9
2026-05-13,FEDERALBNK,EQUITY,EQ,INE171A01029,285.9,285.9,277.1,280.05,284.8,15147738.0,4258772351.15
2026-05-12,FEDERALBNK,EQUITY,EQ,INE171A01029,291.55,293.65,283.8,284.8,292.45,8461329.0,2429941475.95
2026-05-11,FEDERALBNK,EQUITY,EQ,INE171A01029,295.0,297.4,291.15,292.45,297.25,11135956.0,3263393882.15
2026-05-08,FEDERALBNK,EQUITY,EQ,INE171A01029,297.0,298.45,291.45,297.25,297.05,6129346.0,1804818244.35
2026-05-07,FEDERALBNK,EQUITY,EQ,INE171A01029,294.5,297.75,290.0,297.05,293.0,6089681.0,1798119879.15
2026-05-06,FEDERALBNK,EQUITY,EQ,INE171A01029,295.25,296.45,288.85,293.0,292.6,9998298.0,2923003351.05
2026-05-05,FEDERALBNK,EQUITY,EQ,INE171A01029,289.35,295.0,286.6,292.6,289.15,5869785.0,1712770781.4
2026-05-04,FEDERALBNK,EQUITY,EQ,INE171A01029,290.0,291.65,287.4,289.15,286.95,5494699.0,1591126471.2
2026-04-30,FEDERALBNK,EQUITY,EQ,INE171A01029,284.7,287.95,280.0,286.95,284.75,13939720.0,3961801214.2
2026-04-29,FEDERALBNK,EQUITY,EQ,INE171A01029,296.0,301.7,282.55,284.75,290.6,21186876.0,6185596706.7
2026-04-28,FEDERALBNK,EQUITY,EQ,INE171A01029,292.85,295.85,290.0,290.6,294.05,6666139.0,1945308011.65
2026-04-27,FEDERALBNK,EQUITY,EQ,INE171A01029,294.7,297.65,292.8,294.05,293.0,3880432.0,1145039473.5
2026-04-24,FEDERALBNK,EQUITY,EQ,INE171A01029,296.0,298.3,291.25,293.0,295.4,7243806.0,2127372247.65
2026-04-23,FEDERALBNK,EQUITY,EQ,INE171A01029,294.95,296.65,293.55,295.4,296.45,3657050.0,1078627701.3
2026-04-22,FEDERALBNK,EQUITY,EQ,INE171A01029,295.75,298.45,295.0,296.45,295.75,6443950.0,1913680132.6
2026-04-21,FEDERALBNK,EQUITY,EQ,INE171A01029,295.8,299.05,295.05,295.75,294.35,7746822.0,2300467101.5
2026-04-20,FEDERALBNK,EQUITY,EQ,INE171A01029,293.5,298.0,292.3,294.35,293.75,11292785.0,3339057110.6
2026-04-17,FEDERALBNK,EQUITY,EQ,INE171A01029,284.95,294.2,282.85,293.75,284.4,9241911.0,2691411226.65
2026-04-16,FEDERALBNK,EQUITY,EQ,INE171A01029,289.5,289.8,281.6,284.4,286.85,10948325.0,3115436987.3
2026-04-15,FEDERALBNK,EQUITY,EQ,INE171A01029,294.6,294.9,286.0,286.85,288.2,7778158.0,2248583466.1
2026-04-13,FEDERALBNK,EQUITY,EQ,INE171A01029,284.7,290.35,283.5,288.2,291.7,7132285.0,2052861644.1
2026-04-10,FEDERALBNK,EQUITY,EQ,INE171A01029,284.0,292.75,284.0,291.7,283.3,8640231.0,2500241697.3
2026-04-09,FEDERALBNK,EQUITY,EQ,INE171A01029,284.1,286.0,281.6,283.3,284.45,4273025.0,1211644107.35
2026-04-08,FEDERALBNK,EQUITY,EQ,INE171A01029,286.35,288.8,282.55,284.45,275.15,7811348.0,2225158049.1
2026-04-07,FEDERALBNK,EQUITY,EQ,INE171A01029,270.0,276.9,266.45,275.15,271.5,8015264.0,2184296941.6
2026-04-06,FEDERALBNK,EQUITY,EQ,INE171A01029,265.4,272.2,261.7,271.5,265.55,9297534.0,2492250084.5
2026-04-02,FEDERALBNK,EQUITY,EQ,INE171A01029,263.9,266.95,256.5,265.55,267.6,5537579.0,1441513010.0
2026-04-01,FEDERALBNK,EQUITY,EQ,INE171A01029,266.45,270.1,262.9,267.6,259.4,8296508.0,2213042195.0
2026-03-30,FEDERALBNK,EQUITY,EQ,INE171A01029,268.0,268.0,257.15,259.4,269.3,10978564.0,2871278365.6
