trade_date,symbol,asset_type,series,isin,open,high,low,close,prev_close,volume,traded_value
2026-09-11,FEDFINA,EQUITY,EQ,INE007N01010,156.36,159.49,155.78,158.53,158.88,777351.0,122824411.83
2026-09-10,FEDFINA,EQUITY,EQ,INE007N01010,157.25,160.38,156.82,158.88,156.94,454377.0,72089478.63
2026-09-09,FEDFINA,EQUITY,EQ,INE007N01010,163.42,163.42,156.6,156.94,162.3,903186.0,143385634.81
2026-09-08,FEDFINA,EQUITY,EQ,INE007N01010,167.0,167.89,161.51,162.3,165.45,676777.0,110513485.46
2026-09-07,FEDFINA,EQUITY,EQ,INE007N01010,162.89,169.0,161.07,165.45,161.56,2135760.0,355592452.83
2026-09-04,FEDFINA,EQUITY,EQ,INE007N01010,156.32,163.2,156.32,161.56,157.86,818017.0,131437936.92
2026-09-03,FEDFINA,EQUITY,EQ,INE007N01010,157.9,159.98,156.26,157.86,157.57,643811.0,102083501.75
2026-09-02,FEDFINA,EQUITY,EQ,INE007N01010,155.0,158.5,153.89,157.57,156.21,704394.0,110566902.16
2026-09-01,FEDFINA,EQUITY,EQ,INE007N01010,156.45,160.35,154.8,156.21,157.24,913152.0,143417866.97
2026-08-31,FEDFINA,EQUITY,EQ,INE007N01010,159.0,160.75,155.2,157.24,158.94,702951.0,111384101.22
2026-08-28,FEDFINA,EQUITY,EQ,INE007N01010,157.0,160.77,154.85,158.94,157.94,602415.0,95631587.08
2026-08-27,FEDFINA,EQUITY,EQ,INE007N01010,159.01,160.5,157.02,157.94,160.15,530135.0,83978084.42
2026-08-26,FEDFINA,EQUITY,EQ,INE007N01010,160.0,163.25,159.2,160.15,159.02,934264.0,150359079.73
2026-08-25,FEDFINA,EQUITY,EQ,INE007N01010,159.05,160.3,157.48,159.02,159.05,578600.0,91936317.83
2026-08-24,FEDFINA,EQUITY,EQ,INE007N01010,158.0,162.5,157.2,159.05,156.84,1226793.0,196098359.86
2026-08-21,FEDFINA,EQUITY,EQ,INE007N01010,155.0,159.58,154.01,156.84,154.03,1587693.0,249721685.45
