trade_date,symbol,asset_type,series,isin,open,high,low,close,prev_close,volume,traded_value
2026-09-10,FIBERWEB,EQUITY,EQ,INE296C01020,26.24,27.0,26.0,26.98,26.11,24076.0,641611.71
2026-09-09,FIBERWEB,EQUITY,EQ,INE296C01020,26.5,26.5,25.61,26.11,26.03,25253.0,659685.55
2026-09-08,FIBERWEB,EQUITY,EQ,INE296C01020,26.42,26.42,25.73,26.03,26.42,5777.0,150395.67
2026-09-07,FIBERWEB,EQUITY,EQ,INE296C01020,26.49,26.55,25.32,26.42,25.75,21246.0,553733.71
2026-09-04,FIBERWEB,EQUITY,EQ,INE296C01020,26.2,26.2,25.6,25.75,25.91,10675.0,275076.24
2026-09-03,FIBERWEB,EQUITY,EQ,INE296C01020,26.45,26.45,25.55,25.91,25.76,14661.0,377341.53
2026-09-02,FIBERWEB,EQUITY,EQ,INE296C01020,26.0,26.0,25.52,25.76,26.15,12490.0,322235.62
2026-09-01,FIBERWEB,EQUITY,EQ,INE296C01020,26.1,27.29,25.69,26.15,26.35,9566.0,249953.45
2026-08-31,FIBERWEB,EQUITY,EQ,INE296C01020,27.4,27.4,26.1,26.35,26.7,14920.0,394878.74
2026-08-28,FIBERWEB,EQUITY,EQ,INE296C01020,26.55,26.9,26.31,26.7,26.42,10118.0,270100.44
2026-08-27,FIBERWEB,EQUITY,EQ,INE296C01020,26.1,26.69,26.0,26.42,26.0,12397.0,327102.7
2026-08-26,FIBERWEB,EQUITY,EQ,INE296C01020,26.33,26.89,25.62,26.0,26.07,17968.0,470391.83
2026-08-25,FIBERWEB,EQUITY,EQ,INE296C01020,26.7,26.9,26.01,26.07,26.7,9315.0,244917.7
2026-08-24,FIBERWEB,EQUITY,EQ,INE296C01020,25.95,26.8,25.36,26.7,25.89,49127.0,1296317.68
2026-08-21,FIBERWEB,EQUITY,EQ,INE296C01020,26.45,27.79,25.17,25.89,26.11,184509.0,4880781.93
2026-08-20,FIBERWEB,EQUITY,EQ,INE296C01020,27.29,27.29,25.5,26.11,26.43,98363.0,2581481.18
2026-08-19,FIBERWEB,EQUITY,EQ,INE296C01020,26.48,28.0,26.05,26.43,26.48,64974.0,1761680.48
2026-08-18,FIBERWEB,EQUITY,EQ,INE296C01020,27.0,27.54,25.31,26.48,26.96,70942.0,1892304.41
2026-08-17,FIBERWEB,EQUITY,EQ,INE296C01020,28.0,28.5,26.19,26.96,29.02,103119.0,2809283.22
2026-08-14,FIBERWEB,EQUITY,EQ,INE296C01020,30.0,30.0,28.9,29.02,29.62,9861.0,289722.84
2026-08-13,FIBERWEB,EQUITY,EQ,INE296C01020,29.5,30.5,28.82,29.62,29.35,32926.0,991939.96
2026-08-12,FIBERWEB,EQUITY,EQ,INE296C01020,29.5,29.9,29.14,29.35,29.73,3898.0,114676.5
2026-08-11,FIBERWEB,EQUITY,EQ,INE296C01020,29.88,30.5,28.75,29.73,29.49,19082.0,560412.39
2026-08-10,FIBERWEB,EQUITY,EQ,INE296C01020,29.76,30.0,29.0,29.49,29.76,30181.0,887946.71
2026-08-07,FIBERWEB,EQUITY,EQ,INE296C01020,29.21,30.5,29.0,29.76,29.21,14929.0,442904.6
2026-08-06,FIBERWEB,EQUITY,EQ,INE296C01020,29.01,29.86,28.9,29.21,29.73,20139.0,588053.69
2026-08-05,FIBERWEB,EQUITY,EQ,INE296C01020,30.49,30.49,28.9,29.73,29.05,12251.0,362922.73
2026-08-04,FIBERWEB,EQUITY,EQ,INE296C01020,29.89,29.89,28.83,29.05,29.28,10954.0,318679.35
2026-08-03,FIBERWEB,EQUITY,EQ,INE296C01020,29.99,29.99,28.2,29.28,29.27,36341.0,1057212.83
2026-07-31,FIBERWEB,EQUITY,EQ,INE296C01020,29.47,29.47,28.6,29.27,29.51,18008.0,524169.19
2026-07-30,FIBERWEB,EQUITY,EQ,INE296C01020,29.9,30.64,29.41,29.51,29.91,15873.0,469227.72
2026-07-29,FIBERWEB,EQUITY,EQ,INE296C01020,30.04,30.48,29.31,29.91,30.04,15490.0,462732.26
2026-07-28,FIBERWEB,EQUITY,EQ,INE296C01020,30.6,30.9,29.75,30.04,30.68,7207.0,217124.82
2026-07-27,FIBERWEB,EQUITY,EQ,INE296C01020,30.43,30.8,29.66,30.68,30.43,20763.0,626103.88
2026-07-24,FIBERWEB,EQUITY,EQ,INE296C01020,29.2,30.88,29.2,30.43,30.15,21174.0,631758.24
2026-07-23,FIBERWEB,EQUITY,EQ,INE296C01020,31.02,31.48,30.0,30.15,30.87,5806.0,176367.83
2026-07-22,FIBERWEB,EQUITY,EQ,INE296C01020,31.79,31.8,30.0,30.87,31.43,17146.0,526799.76
2026-07-21,FIBERWEB,EQUITY,EQ,INE296C01020,31.88,32.19,31.18,31.43,31.88,8373.0,264649.58
2026-07-20,FIBERWEB,EQUITY,EQ,INE296C01020,32.29,32.3,31.2,31.88,31.61,13334.0,421658.26
2026-07-17,FIBERWEB,EQUITY,EQ,INE296C01020,31.5,32.09,30.8,31.61,31.35,29354.0,916445.83
