trade_date,symbol,asset_type,series,isin,open,high,low,close,prev_close,volume,traded_value
2026-09-09,FMNL,EQUITY,EQ,INE360L01017,9.5,9.5,9.14,9.31,9.52,24342.0,224174.85
2026-09-08,FMNL,EQUITY,EQ,INE360L01017,9.43,9.79,9.41,9.52,9.77,50081.0,477404.51
2026-09-07,FMNL,EQUITY,EQ,INE360L01017,10.59,10.59,9.6,9.77,10.1,81674.0,805307.55
2026-09-04,FMNL,EQUITY,EQ,INE360L01017,9.81,10.1,9.63,10.1,9.62,18463.0,182286.74
2026-09-03,FMNL,EQUITY,EQ,INE360L01017,9.83,10.0,9.18,9.62,9.64,36240.0,343148.67
2026-09-02,FMNL,EQUITY,EQ,INE360L01017,10.09,10.2,9.62,9.64,10.04,15300.0,150266.32
2026-09-01,FMNL,EQUITY,EQ,INE360L01017,10.26,10.75,9.95,10.04,10.47,34341.0,345074.84
2026-08-31,FMNL,EQUITY,EQ,INE360L01017,11.0,11.1,10.45,10.47,11.0,26581.0,282819.01
2026-08-28,FMNL,EQUITY,EQ,INE360L01017,10.75,11.15,10.31,11.0,10.62,65746.0,715507.28
2026-08-27,FMNL,EQUITY,EQ,INE360L01017,10.54,10.63,9.76,10.62,10.13,139763.0,1458898.0
2026-08-26,FMNL,EQUITY,EQ,INE360L01017,10.14,10.14,9.4,10.13,9.66,73960.0,741831.44
2026-08-25,FMNL,EQUITY,EQ,INE360L01017,9.66,9.66,9.55,9.66,9.2,38548.0,372175.58
2026-08-24,FMNL,EQUITY,EQ,INE360L01017,8.37,9.2,8.36,9.2,8.77,58764.0,534775.28
2026-05-22,FMNL,EQUITY,EQ,INE360L01017,10.8,11.08,10.75,10.75,11.31,131881.0,1417916.36
2026-05-21,FMNL,EQUITY,EQ,INE360L01017,11.31,11.9,11.31,11.31,11.9,116262.0,1317759.24
2026-05-20,FMNL,EQUITY,EQ,INE360L01017,12.24,12.95,11.9,11.9,12.52,123301.0,1484606.58
2026-05-19,FMNL,EQUITY,EQ,INE360L01017,12.52,12.52,11.63,12.52,11.39,288263.0,3584276.56
2026-05-18,FMNL,EQUITY,EQ,INE360L01017,10.88,11.39,10.36,11.39,10.36,92714.0,1012603.35
2026-05-15,FMNL,EQUITY,EQ,INE360L01017,10.87,11.58,10.22,10.36,10.53,213798.0,2332681.41
2026-05-14,FMNL,EQUITY,EQ,INE360L01017,9.61,10.53,9.61,10.53,9.58,506193.0,5312698.91
2026-05-13,FMNL,EQUITY,EQ,INE360L01017,10.49,10.49,9.11,9.58,9.67,86066.0,822502.5
2026-05-12,FMNL,EQUITY,EQ,INE360L01017,9.75,9.94,9.48,9.67,9.75,13077.0,126859.29
2026-05-11,FMNL,EQUITY,EQ,INE360L01017,9.94,10.34,9.65,9.75,9.94,47214.0,472067.08
2026-05-08,FMNL,EQUITY,EQ,INE360L01017,9.48,10.2,9.48,9.94,9.48,66131.0,657173.62
2026-05-07,FMNL,EQUITY,EQ,INE360L01017,9.81,10.15,9.35,9.48,9.8,49401.0,477466.61
2026-05-06,FMNL,EQUITY,EQ,INE360L01017,10.0,10.64,9.74,9.8,9.89,63490.0,629437.18
2026-05-05,FMNL,EQUITY,EQ,INE360L01017,10.45,10.45,9.56,9.89,9.75,70622.0,707606.85
2026-05-04,FMNL,EQUITY,EQ,INE360L01017,9.77,10.45,9.21,9.75,9.6,71107.0,678282.57
2026-04-30,FMNL,EQUITY,EQ,INE360L01017,8.74,9.61,8.25,9.6,8.74,91581.0,850892.03
2026-04-29,FMNL,EQUITY,EQ,INE360L01017,8.89,9.05,8.52,8.74,8.89,40994.0,361108.02
2026-04-28,FMNL,EQUITY,EQ,INE360L01017,9.29,9.34,8.75,8.89,9.29,51883.0,468436.77
2026-04-27,FMNL,EQUITY,EQ,INE360L01017,9.25,9.58,9.21,9.29,8.71,132525.0,1240201.72
2026-04-24,FMNL,EQUITY,EQ,INE360L01017,9.0,9.01,8.63,8.71,8.98,53506.0,469719.81
2026-04-23,FMNL,EQUITY,EQ,INE360L01017,8.9,9.12,8.88,8.98,8.9,43670.0,390902.57
2026-04-22,FMNL,EQUITY,EQ,INE360L01017,9.0,9.19,8.7,8.9,8.89,19392.0,174423.34
2026-04-21,FMNL,EQUITY,EQ,INE360L01017,9.02,9.88,8.58,8.89,9.02,34954.0,315013.88
2026-04-20,FMNL,EQUITY,EQ,INE360L01017,9.06,9.39,8.42,9.02,9.06,26018.0,233814.8
2026-04-17,FMNL,EQUITY,EQ,INE360L01017,8.95,9.29,8.95,9.06,9.02,24119.0,219217.86
2026-04-16,FMNL,EQUITY,EQ,INE360L01017,9.08,9.25,8.91,9.02,8.96,22702.0,205827.83
2026-04-15,FMNL,EQUITY,EQ,INE360L01017,8.97,9.17,8.59,8.96,8.48,104948.0,940788.47
