trade_date,symbol,asset_type,series,isin,open,high,low,close,prev_close,volume,traded_value
2026-09-11,FRACTAL,EQUITY,EQ,INE212S01015,766.65,781.1,759.1,764.45,766.65,662525.0,509085996.3
2026-09-10,FRACTAL,EQUITY,EQ,INE212S01015,780.0,784.3,764.55,766.65,777.65,244109.0,189048319.95
2026-09-09,FRACTAL,EQUITY,EQ,INE212S01015,791.85,797.0,774.1,777.65,794.75,391503.0,307697333.85
2026-09-08,FRACTAL,EQUITY,EQ,INE212S01015,802.0,804.65,791.2,794.75,801.2,133560.0,106450901.25
2026-09-07,FRACTAL,EQUITY,EQ,INE212S01015,821.0,821.95,798.55,801.2,825.45,397346.0,319395019.85
2026-09-04,FRACTAL,EQUITY,EQ,INE212S01015,819.0,830.0,817.2,825.45,817.4,216017.0,178015206.1
2026-09-03,FRACTAL,EQUITY,EQ,INE212S01015,827.95,834.0,815.0,817.4,821.4,171106.0,141179245.8
2026-09-02,FRACTAL,EQUITY,EQ,INE212S01015,824.9,838.75,816.4,821.4,827.8,154219.0,127240439.7
2026-09-01,FRACTAL,EQUITY,EQ,INE212S01015,846.05,850.1,825.0,827.8,852.15,213921.0,179136200.65
2026-08-31,FRACTAL,EQUITY,EQ,INE212S01015,839.75,860.0,837.25,852.15,844.3,752343.0,640967622.4
2026-08-28,FRACTAL,EQUITY,EQ,INE212S01015,842.8,857.0,835.0,844.3,840.25,479939.0,406627199.65
2026-08-27,FRACTAL,EQUITY,EQ,INE212S01015,830.0,847.55,829.0,840.25,829.55,278268.0,234053203.3
2026-08-26,FRACTAL,EQUITY,EQ,INE212S01015,835.95,845.0,821.1,829.55,834.2,226197.0,187876421.45
2026-08-25,FRACTAL,EQUITY,EQ,INE212S01015,829.7,839.0,814.0,834.2,828.5,331804.0,273191467.9
2026-08-24,FRACTAL,EQUITY,EQ,INE212S01015,846.5,859.0,825.15,828.5,846.7,231581.0,195685642.95
2026-08-21,FRACTAL,EQUITY,EQ,INE212S01015,854.95,861.9,838.0,846.7,855.25,251638.0,213532515.05
2026-08-20,FRACTAL,EQUITY,EQ,INE212S01015,835.0,873.9,834.5,855.25,834.2,507096.0,435885988.6
2026-08-19,FRACTAL,EQUITY,EQ,INE212S01015,821.0,837.8,813.95,834.2,825.5,528310.0,433894023.1
2026-08-18,FRACTAL,EQUITY,EQ,INE212S01015,817.9,834.0,804.0,825.5,818.0,467766.0,383720732.45
2026-08-17,FRACTAL,EQUITY,EQ,INE212S01015,831.6,831.6,799.6,818.0,834.35,521695.0,424689908.75
2026-08-14,FRACTAL,EQUITY,EQ,INE212S01015,809.0,838.0,784.35,834.35,810.75,509055.0,413820448.1
2026-08-13,FRACTAL,EQUITY,EQ,INE212S01015,822.9,827.0,805.05,810.75,823.0,167236.0,136484011.75
2026-08-12,FRACTAL,EQUITY,EQ,INE212S01015,828.0,832.75,812.15,823.0,828.3,147677.0,121270086.3
2026-08-11,FRACTAL,EQUITY,EQ,INE212S01015,815.0,842.65,815.0,828.3,805.6,368782.0,305771612.15
2026-08-10,FRACTAL,EQUITY,EQ,INE212S01015,814.0,821.2,799.9,805.6,817.7,143477.0,116326144.2
2026-08-07,FRACTAL,EQUITY,EQ,INE212S01015,804.0,823.0,803.15,817.7,807.6,241675.0,197005424.2
2026-08-06,FRACTAL,EQUITY,EQ,INE212S01015,797.0,819.35,789.15,807.6,798.15,254449.0,204646379.65
2026-08-05,FRACTAL,EQUITY,EQ,INE212S01015,802.0,810.5,788.0,798.15,797.8,356628.0,285464910.25
2026-08-04,FRACTAL,EQUITY,EQ,INE212S01015,803.2,805.9,788.3,797.8,803.45,188567.0,150082427.55
2026-08-03,FRACTAL,EQUITY,EQ,INE212S01015,822.7,822.7,797.6,803.45,812.05,310799.0,250425497.75
2026-07-31,FRACTAL,EQUITY,EQ,INE212S01015,774.65,815.0,760.7,812.05,771.8,568618.0,454407197.0
2026-07-30,FRACTAL,EQUITY,EQ,INE212S01015,782.0,799.95,770.0,771.8,786.4,446805.0,349272414.05
2026-07-29,FRACTAL,EQUITY,EQ,INE212S01015,795.0,799.4,784.15,786.4,792.1,173436.0,136926951.7
2026-07-28,FRACTAL,EQUITY,EQ,INE212S01015,806.95,818.9,789.0,792.1,809.3,257726.0,206478774.75
2026-07-27,FRACTAL,EQUITY,EQ,INE212S01015,791.05,811.05,772.85,809.3,786.75,638751.0,509584116.4
2026-07-24,FRACTAL,EQUITY,EQ,INE212S01015,829.0,844.8,778.0,786.75,861.45,1291231.0,1039054650.5
2026-07-23,FRACTAL,EQUITY,EQ,INE212S01015,892.0,892.0,858.0,861.45,895.3,288879.0,251749377.15
2026-07-22,FRACTAL,EQUITY,EQ,INE212S01015,867.95,899.7,858.75,895.3,867.65,585821.0,520205881.35
2026-07-21,FRACTAL,EQUITY,EQ,INE212S01015,837.85,871.0,834.95,867.65,842.05,327948.0,281140697.7
2026-07-20,FRACTAL,EQUITY,EQ,INE212S01015,863.7,874.35,835.0,842.05,867.0,279192.0,238084552.4
2026-07-17,FRACTAL,EQUITY,EQ,INE212S01015,884.05,892.45,860.0,867.0,885.35,256409.0,222981800.7
2026-07-16,FRACTAL,EQUITY,EQ,INE212S01015,888.0,894.8,873.0,885.35,887.35,260610.0,230153663.15
2026-07-15,FRACTAL,EQUITY,EQ,INE212S01015,835.7,900.0,832.2,887.35,833.7,527376.0,459616465.45
2026-07-14,FRACTAL,EQUITY,EQ,INE212S01015,848.5,858.45,826.6,833.7,854.0,307661.0,259489917.3
2026-07-13,FRACTAL,EQUITY,EQ,INE212S01015,838.8,866.0,833.85,854.0,847.55,493480.0,422903892.15
2026-07-10,FRACTAL,EQUITY,EQ,INE212S01015,844.0,853.7,838.0,847.55,841.25,268743.0,227087202.6
2026-07-09,FRACTAL,EQUITY,EQ,INE212S01015,820.0,850.0,820.0,841.25,818.9,216914.0,182240396.3
2026-07-08,FRACTAL,EQUITY,EQ,INE212S01015,839.2,856.0,813.55,818.9,841.55,308406.0,257507707.3
2026-07-07,FRACTAL,EQUITY,EQ,INE212S01015,868.05,870.95,831.0,841.55,871.9,423533.0,357588571.45
2026-07-06,FRACTAL,EQUITY,EQ,INE212S01015,882.0,882.7,856.45,871.9,881.2,323575.0,280594374.4
2026-07-03,FRACTAL,EQUITY,EQ,INE212S01015,904.0,906.0,875.5,881.2,897.3,404773.0,358638396.6
2026-07-02,FRACTAL,EQUITY,EQ,INE212S01015,879.9,913.7,879.9,897.3,875.45,595665.0,536669519.5
2026-07-01,FRACTAL,EQUITY,EQ,INE212S01015,888.0,899.9,872.7,875.45,887.2,274326.0,242790151.55
2026-06-30,FRACTAL,EQUITY,EQ,INE212S01015,893.0,904.8,881.1,887.2,890.8,275373.0,245755276.8
2026-06-29,FRACTAL,EQUITY,EQ,INE212S01015,925.1,928.0,872.0,890.8,924.5,649352.0,577742668.8
2026-06-25,FRACTAL,EQUITY,EQ,INE212S01015,950.8,954.8,920.1,924.5,946.5,225324.0,210320353.0
2026-06-24,FRACTAL,EQUITY,EQ,INE212S01015,943.4,964.8,930.0,946.5,943.3,273180.0,258658699.0
2026-06-23,FRACTAL,EQUITY,EQ,INE212S01015,954.0,968.0,928.2,943.3,959.1,358223.0,338584792.2
2026-06-22,FRACTAL,EQUITY,EQ,INE212S01015,974.7,990.0,952.5,959.1,962.8,273017.0,264003166.7
2026-06-19,FRACTAL,EQUITY,EQ,INE212S01015,961.5,974.0,945.0,962.8,966.4,296567.0,285313037.4
2026-06-18,FRACTAL,EQUITY,EQ,INE212S01015,973.0,987.0,955.0,966.4,973.1,312617.0,302022223.1
2026-06-17,FRACTAL,EQUITY,EQ,INE212S01015,1006.0,1028.4,969.9,973.1,1006.0,631773.0,631135083.8
2026-06-16,FRACTAL,EQUITY,EQ,INE212S01015,964.4,1010.0,963.6,1006.0,960.9,797418.0,791477323.9
2026-06-15,FRACTAL,EQUITY,EQ,INE212S01015,968.0,972.8,949.2,960.9,952.1,365076.0,350951801.8
2026-06-12,FRACTAL,EQUITY,EQ,INE212S01015,952.0,972.0,948.1,952.1,941.2,389475.0,373603283.8
2026-06-11,FRACTAL,EQUITY,EQ,INE212S01015,920.0,948.0,918.2,941.2,930.2,346445.0,325321058.3
2026-06-10,FRACTAL,EQUITY,EQ,INE212S01015,979.0,979.0,925.0,930.2,982.8,542179.0,509090271.9
2026-06-09,FRACTAL,EQUITY,EQ,INE212S01015,948.7,995.6,946.1,982.8,943.9,493269.0,477605707.1
2026-06-08,FRACTAL,EQUITY,EQ,INE212S01015,987.5,999.6,933.4,943.9,1004.9,779110.0,751280163.8
2026-06-05,FRACTAL,EQUITY,EQ,INE212S01015,1033.0,1034.8,1001.0,1004.9,1026.0,359037.0,364030350.8
2026-06-04,FRACTAL,EQUITY,EQ,INE212S01015,1009.0,1057.9,998.6,1026.0,1008.2,792820.0,820015787.3
2026-06-03,FRACTAL,EQUITY,EQ,INE212S01015,1038.0,1049.0,987.0,1008.2,1038.1,636518.0,644818722.2
2026-06-02,FRACTAL,EQUITY,EQ,INE212S01015,976.9,1059.0,976.9,1038.1,983.7,1230787.0,1266847379.1
2026-06-01,FRACTAL,EQUITY,EQ,INE212S01015,1016.7,1035.1,975.0,983.7,1002.4,1022771.0,1032019531.5
2026-05-29,FRACTAL,EQUITY,EQ,INE212S01015,1023.65,1039.0,990.0,1002.4,1023.65,1421686.0,1429478116.65
2026-05-27,FRACTAL,EQUITY,EQ,INE212S01015,980.0,1034.0,979.45,1023.65,973.5,860999.0,872981635.65
2026-05-26,FRACTAL,EQUITY,EQ,INE212S01015,938.6,988.0,937.0,973.5,939.55,1096974.0,1056067252.9
2026-05-25,FRACTAL,EQUITY,EQ,INE212S01015,927.7,948.7,927.7,939.55,917.5,440860.0,414721396.85
2026-05-22,FRACTAL,EQUITY,EQ,INE212S01015,919.45,935.0,910.0,917.5,917.25,366797.0,337947680.45
2026-05-21,FRACTAL,EQUITY,EQ,INE212S01015,938.0,943.0,910.0,917.25,933.65,376610.0,348877321.75
2026-05-20,FRACTAL,EQUITY,EQ,INE212S01015,931.0,947.95,927.0,933.65,935.35,279528.0,262002487.9
2026-05-19,FRACTAL,EQUITY,EQ,INE212S01015,928.0,983.0,927.85,935.35,924.6,1215841.0,1160948297.0
2026-05-18,FRACTAL,EQUITY,EQ,INE212S01015,934.0,944.1,911.05,924.6,940.0,450361.0,417332170.8
2026-05-15,FRACTAL,EQUITY,EQ,INE212S01015,942.0,955.15,931.05,940.0,942.0,507971.0,477688657.55
2026-05-14,FRACTAL,EQUITY,EQ,INE212S01015,946.0,955.0,922.05,942.0,935.45,853802.0,804262775.95
2026-05-13,FRACTAL,EQUITY,EQ,INE212S01015,1033.95,1035.0,913.45,935.45,1033.95,2528592.0,2405808255.5
2026-05-12,FRACTAL,EQUITY,EQ,INE212S01015,1099.7,1118.0,1022.1,1033.95,1059.8,1682632.0,1800908377.75
2026-05-11,FRACTAL,EQUITY,EQ,INE212S01015,1064.85,1100.0,1050.2,1059.8,1071.55,661400.0,712176371.35
2026-05-08,FRACTAL,EQUITY,EQ,INE212S01015,1108.4,1115.0,1065.0,1071.55,1101.55,632524.0,686120348.95
2026-05-07,FRACTAL,EQUITY,EQ,INE212S01015,1040.0,1111.0,1032.05,1101.55,1035.95,1151063.0,1239334389.85
2026-05-06,FRACTAL,EQUITY,EQ,INE212S01015,983.0,1045.0,983.0,1035.95,976.55,1199639.0,1225199822.0
2026-05-05,FRACTAL,EQUITY,EQ,INE212S01015,992.0,1016.0,970.65,976.55,992.25,1016780.0,1008224832.5
2026-05-04,FRACTAL,EQUITY,EQ,INE212S01015,936.1,997.45,936.05,992.25,936.05,874545.0,850400749.3
2026-04-30,FRACTAL,EQUITY,EQ,INE212S01015,929.7,949.9,909.15,936.05,937.45,784447.0,731689995.35
2026-04-29,FRACTAL,EQUITY,EQ,INE212S01015,979.0,985.45,931.2,937.45,978.5,735747.0,704069697.4
2026-04-28,FRACTAL,EQUITY,EQ,INE212S01015,972.25,1007.05,963.9,978.5,972.25,788641.0,778932388.3
2026-04-27,FRACTAL,EQUITY,EQ,INE212S01015,942.0,1004.4,942.0,972.25,947.45,1044232.0,1021511450.85
2026-04-24,FRACTAL,EQUITY,EQ,INE212S01015,969.75,986.0,939.25,947.45,960.75,1312519.0,1269256417.0
2026-04-23,FRACTAL,EQUITY,EQ,INE212S01015,901.0,984.85,895.65,960.75,905.3,2887978.0,2754988438.9
2026-04-22,FRACTAL,EQUITY,EQ,INE212S01015,892.7,929.8,887.6,905.3,892.65,1046145.0,951437133.9
2026-04-21,FRACTAL,EQUITY,EQ,INE212S01015,849.85,918.0,848.85,892.65,841.6,1733290.0,1560716387.8
2026-04-20,FRACTAL,EQUITY,EQ,INE212S01015,882.95,882.95,835.05,841.6,878.7,358725.0,305871757.85
2026-04-17,FRACTAL,EQUITY,EQ,INE212S01015,880.0,903.0,872.15,878.7,874.75,542435.0,482737658.85
2026-04-16,FRACTAL,EQUITY,EQ,INE212S01015,883.4,892.0,870.05,874.75,873.95,330504.0,290209768.0
2026-04-15,FRACTAL,EQUITY,EQ,INE212S01015,860.1,879.9,850.0,873.95,849.6,623360.0,542403495.3
2026-04-13,FRACTAL,EQUITY,EQ,INE212S01015,820.0,858.8,808.8,849.6,829.2,812221.0,688321584.5
2026-04-10,FRACTAL,EQUITY,EQ,INE212S01015,824.95,834.8,812.5,829.2,821.8,370372.0,306529043.95
2026-04-09,FRACTAL,EQUITY,EQ,INE212S01015,815.0,838.5,813.1,821.8,814.3,312637.0,258234687.35
2026-04-08,FRACTAL,EQUITY,EQ,INE212S01015,811.0,824.0,801.1,814.3,794.15,370613.0,300611510.7
2026-04-07,FRACTAL,EQUITY,EQ,INE212S01015,782.1,809.9,782.1,794.15,790.2,140646.0,112336189.95
2026-04-06,FRACTAL,EQUITY,EQ,INE212S01015,798.6,798.6,781.2,790.2,792.65,201267.0,158749768.7
2026-04-02,FRACTAL,EQUITY,EQ,INE212S01015,782.5,802.75,775.0,792.65,798.05,151304.0,119473911.9
2026-04-01,FRACTAL,EQUITY,EQ,INE212S01015,793.0,806.05,779.55,798.05,759.45,191856.0,152610189.95
2026-03-30,FRACTAL,EQUITY,EQ,INE212S01015,782.0,786.9,743.35,759.45,792.55,317632.0,241040602.3
2026-03-27,FRACTAL,EQUITY,EQ,INE212S01015,815.1,815.1,787.0,792.55,823.65,264646.0,211011398.75
2026-03-25,FRACTAL,EQUITY,EQ,INE212S01015,813.25,845.0,813.25,823.65,821.05,488390.0,406666486.95
2026-03-24,FRACTAL,EQUITY,EQ,INE212S01015,829.0,829.0,790.0,821.05,800.9,293856.0,239143500.1
2026-03-23,FRACTAL,EQUITY,EQ,INE212S01015,808.0,815.0,776.1,800.9,823.1,223676.0,177903511.2
2026-03-20,FRACTAL,EQUITY,EQ,INE212S01015,804.8,829.8,803.05,823.1,794.75,331703.0,271881025.25
2026-03-19,FRACTAL,EQUITY,EQ,INE212S01015,799.0,805.0,790.05,794.75,806.15,127126.0,101443857.35
2026-03-18,FRACTAL,EQUITY,EQ,INE212S01015,799.05,824.8,799.0,806.15,796.3,374371.0,305572460.8
2026-03-17,FRACTAL,EQUITY,EQ,INE212S01015,771.0,799.9,765.2,796.3,764.8,380121.0,299664718.85
2026-03-16,FRACTAL,EQUITY,EQ,INE212S01015,757.55,787.7,754.0,764.8,796.05,343711.0,263626568.1
2026-03-13,FRACTAL,EQUITY,EQ,INE212S01015,850.0,850.0,792.45,796.05,847.1,468624.0,381107814.0
2026-03-12,FRACTAL,EQUITY,EQ,INE212S01015,834.95,860.0,833.75,847.1,842.65,658941.0,559593703.9
2026-03-11,FRACTAL,EQUITY,EQ,INE212S01015,843.2,862.4,833.3,842.65,843.2,679391.0,576651394.6
2026-03-10,FRACTAL,EQUITY,EQ,INE212S01015,790.0,852.0,789.55,843.2,776.3,1126178.0,924656329.65
2026-03-09,FRACTAL,EQUITY,EQ,INE212S01015,783.0,792.0,766.05,776.3,798.4,705553.0,551255337.85
2026-03-06,FRACTAL,EQUITY,EQ,INE212S01015,780.0,826.0,771.05,798.4,759.15,3121482.0,2508611380.4
2026-03-05,FRACTAL,EQUITY,EQ,INE212S01015,796.2,798.0,746.15,759.15,786.3,426794.0,328365024.05
2026-03-04,FRACTAL,EQUITY,EQ,INE212S01015,735.0,792.0,734.1,786.3,751.5,910252.0,697994194.35
2026-03-02,FRACTAL,EQUITY,EQ,INE212S01015,733.7,774.65,733.7,751.5,778.5,725782.0,548476772.25
2026-02-27,FRACTAL,EQUITY,EQ,INE212S01015,813.0,820.0,767.0,778.5,811.7,640456.0,505033376.1
2026-02-26,FRACTAL,EQUITY,EQ,INE212S01015,815.0,825.95,804.0,811.7,808.65,346336.0,281166320.65
2026-02-25,FRACTAL,EQUITY,EQ,INE212S01015,833.0,844.45,802.35,808.65,831.85,815905.0,664693987.1
2026-02-24,FRACTAL,EQUITY,EQ,INE212S01015,836.95,852.0,824.5,831.85,840.0,829553.0,694108234.4
2026-02-23,FRACTAL,EQUITY,EQ,INE212S01015,873.0,873.95,833.25,840.0,858.95,734726.0,620732141.7
2026-02-20,FRACTAL,EQUITY,EQ,INE212S01015,877.0,883.7,851.25,858.95,877.9,674793.0,582678717.95
2026-02-19,FRACTAL,EQUITY,EQ,INE212S01015,870.7,904.4,870.0,877.9,869.95,1200158.0,1065232069.45
2026-02-18,FRACTAL,EQUITY,EQ,INE212S01015,894.0,915.0,862.65,869.95,888.25,1707290.0,1530403412.2
2026-02-17,FRACTAL,EQUITY,EQ,INE212S01015,830.0,921.0,830.0,888.25,847.15,5830776.0,5206256017.85
2026-02-16,FRACTAL,EQUITY,EQ,INE212S01015,876.0,897.3,831.3,847.15,900.0,6818588.0,5911508686.2
