trade_date,symbol,asset_type,series,isin,open,high,low,close,prev_close,volume,traded_value
2026-09-09,FUSION,EQUITY,EQ,INE139R01012,201.0,201.0,194.0,194.93,202.06,787463.0,154123699.12
2026-09-08,FUSION,EQUITY,EQ,INE139R01012,200.52,203.33,197.82,202.06,200.52,508211.0,101791108.15
2026-09-07,FUSION,EQUITY,EQ,INE139R01012,202.9,206.5,198.15,200.52,203.19,888653.0,179744467.47
2026-09-04,FUSION,EQUITY,EQ,INE139R01012,199.73,207.0,199.21,203.19,199.73,1385863.0,282727614.7
2026-09-03,FUSION,EQUITY,EQ,INE139R01012,193.5,201.0,193.5,199.73,193.42,551845.0,109815619.24
2026-09-02,FUSION,EQUITY,EQ,INE139R01012,194.65,196.11,191.13,193.42,194.65,206791.0,39837953.37
2026-09-01,FUSION,EQUITY,EQ,INE139R01012,201.57,201.57,194.1,194.65,200.32,298034.0,58492296.42
2026-08-31,FUSION,EQUITY,EQ,INE139R01012,197.48,202.8,194.41,200.32,199.24,371492.0,73918054.81
2026-08-28,FUSION,EQUITY,EQ,INE139R01012,196.79,200.5,194.3,199.24,196.05,333505.0,65950688.95
2026-08-27,FUSION,EQUITY,EQ,INE139R01012,204.0,205.89,195.4,196.05,205.24,402570.0,80169585.69
2026-08-26,FUSION,EQUITY,EQ,INE139R01012,200.6,206.84,200.6,205.24,200.05,482148.0,98762668.39
2026-08-25,FUSION,EQUITY,EQ,INE139R01012,203.0,205.0,198.17,200.05,202.38,277753.0,55782907.99
2026-08-24,FUSION,EQUITY,EQ,INE139R01012,200.0,208.2,200.0,202.38,200.12,837244.0,171236019.98
2026-08-21,FUSION,EQUITY,EQ,INE139R01012,204.69,205.0,198.55,200.12,203.32,446086.0,89669315.13
2026-08-20,FUSION,EQUITY,EQ,INE139R01012,195.0,206.49,193.24,203.32,192.08,864777.0,174795663.66
2026-08-19,FUSION,EQUITY,EQ,INE139R01012,193.89,196.0,189.21,192.08,189.87,614493.0,118717267.47
2026-08-18,FUSION,EQUITY,EQ,INE139R01012,195.38,196.01,188.13,189.87,195.58,834013.0,158986232.12
2026-08-17,FUSION,EQUITY,EQ,INE139R01012,199.0,199.24,193.0,195.58,198.55,486700.0,95192547.49
2026-08-14,FUSION,EQUITY,EQ,INE139R01012,205.25,206.56,194.5,198.55,204.6,1055366.0,208971414.79
2026-08-13,FUSION,EQUITY,EQ,INE139R01012,204.1,206.7,202.1,204.6,203.78,531524.0,108768401.99
2026-08-12,FUSION,EQUITY,EQ,INE139R01012,213.17,215.53,200.1,203.78,212.11,1242445.0,253928863.6
2026-08-11,FUSION,EQUITY,EQ,INE139R01012,210.35,223.4,210.1,212.11,206.16,4377435.0,947185748.19
2026-08-10,FUSION,EQUITY,EQ,INE139R01012,204.61,214.0,202.21,206.16,204.99,676360.0,140863602.44
2026-08-07,FUSION,EQUITY,EQ,INE139R01012,214.05,214.99,200.4,204.99,214.99,829952.0,170597669.31
2026-08-06,FUSION,EQUITY,EQ,INE139R01012,211.0,218.0,210.76,214.99,209.72,1077905.0,231258221.64
2026-08-05,FUSION,EQUITY,EQ,INE139R01012,208.6,211.0,202.0,209.72,208.93,667327.0,138496146.7
2026-08-04,FUSION,EQUITY,EQ,INE139R01012,211.8,215.0,205.0,208.93,210.78,725198.0,151788643.34
2026-08-03,FUSION,EQUITY,EQ,INE139R01012,208.86,218.09,207.5,210.78,207.83,505834.0,107016626.42
2026-07-31,FUSION,EQUITY,EQ,INE139R01012,199.0,211.51,198.61,207.83,198.58,744521.0,153277179.66
2026-07-30,FUSION,EQUITY,EQ,INE139R01012,205.5,205.88,197.21,198.58,205.6,516297.0,103827541.33
2026-07-29,FUSION,EQUITY,EQ,INE139R01012,210.5,212.39,204.5,205.6,210.21,460813.0,95379788.2
2026-07-28,FUSION,EQUITY,EQ,INE139R01012,220.7,220.7,207.1,210.21,220.7,661791.0,140362619.56
2026-07-27,FUSION,EQUITY,EQ,INE139R01012,218.0,228.5,218.0,220.7,216.48,554472.0,124015050.18
2026-07-24,FUSION,EQUITY,EQ,INE139R01012,217.0,221.25,208.65,216.48,221.27,481999.0,103278543.95
2026-07-23,FUSION,EQUITY,EQ,INE139R01012,218.0,224.36,214.61,221.27,219.81,577390.0,126661297.98
2026-07-22,FUSION,EQUITY,EQ,INE139R01012,226.8,227.69,216.01,219.81,227.77,523575.0,114905015.14
2026-07-21,FUSION,EQUITY,EQ,INE139R01012,225.45,230.88,224.97,227.77,225.98,263641.0,60238459.88
2026-07-20,FUSION,EQUITY,EQ,INE139R01012,224.25,233.0,223.62,225.98,225.89,390640.0,88850469.69
2026-07-17,FUSION,EQUITY,EQ,INE139R01012,226.4,230.4,219.86,225.89,225.5,454666.0,101791486.03
