trade_date,symbol,asset_type,series,isin,open,high,low,close,prev_close,volume,traded_value
2026-09-11,GABRIEL,EQUITY,EQ,INE524A01029,1326.3,1369.3,1314.1,1346.4,1338.7,116059.0,156069734.7
2026-09-10,GABRIEL,EQUITY,EQ,INE524A01029,1360.8,1368.0,1328.4,1338.7,1360.8,97710.0,131911784.0
2026-09-09,GABRIEL,EQUITY,EQ,INE524A01029,1387.0,1387.0,1354.0,1360.8,1389.6,109451.0,149620876.5
2026-09-08,GABRIEL,EQUITY,EQ,INE524A01029,1360.1,1395.0,1346.1,1389.6,1363.5,196279.0,270287701.2
2026-09-07,GABRIEL,EQUITY,EQ,INE524A01029,1353.1,1374.0,1326.7,1363.5,1353.2,147826.0,199407076.3
2026-09-04,GABRIEL,EQUITY,EQ,INE524A01029,1349.0,1368.0,1310.6,1353.2,1345.8,208239.0,278851146.2
2026-09-03,GABRIEL,EQUITY,EQ,INE524A01029,1383.0,1403.9,1342.0,1345.8,1384.9,302147.0,412552575.8
2026-09-02,GABRIEL,EQUITY,EQ,INE524A01029,1427.0,1434.9,1372.2,1384.9,1426.3,230274.0,320206665.7
2026-09-01,GABRIEL,EQUITY,EQ,INE524A01029,1450.0,1467.9,1402.6,1426.3,1437.9,647260.0,932448895.1
2026-08-31,GABRIEL,EQUITY,EQ,INE524A01029,1374.9,1460.8,1336.2,1437.9,1367.6,896312.0,1270200443.7
2026-08-28,GABRIEL,EQUITY,EQ,INE524A01029,1361.8,1375.0,1316.1,1367.6,1357.2,501459.0,673899401.1
2026-08-27,GABRIEL,EQUITY,EQ,INE524A01029,1339.0,1377.2,1335.0,1357.2,1342.6,233005.0,316690354.8
2026-08-26,GABRIEL,EQUITY,EQ,INE524A01029,1346.0,1379.5,1330.1,1342.6,1346.0,326437.0,442332987.9
2026-08-25,GABRIEL,EQUITY,EQ,INE524A01029,1359.0,1372.5,1335.6,1346.0,1358.9,395008.0,532912261.8
2026-08-24,GABRIEL,EQUITY,EQ,INE524A01029,1402.0,1418.4,1351.1,1358.9,1420.6,370592.0,513181277.4
