trade_date,symbol,asset_type,series,isin,open,high,low,close,prev_close,volume,traded_value
2026-09-09,GALAXYSURF,EQUITY,EQ,INE600K01018,2251.9,2304.0,2231.0,2288.9,2251.9,49913.0,113562370.9
2026-09-08,GALAXYSURF,EQUITY,EQ,INE600K01018,2170.0,2283.4,2166.3,2251.9,2136.6,159336.0,355943530.7
2026-09-07,GALAXYSURF,EQUITY,EQ,INE600K01018,2154.2,2178.0,2126.0,2136.6,2165.0,15905.0,34086594.8
2026-09-04,GALAXYSURF,EQUITY,EQ,INE600K01018,2251.6,2273.9,2143.5,2165.0,2251.6,43774.0,95516434.0
2026-09-03,GALAXYSURF,EQUITY,EQ,INE600K01018,2243.9,2290.5,2214.1,2251.6,2223.1,32204.0,72733013.3
2026-09-02,GALAXYSURF,EQUITY,EQ,INE600K01018,2223.9,2244.0,2200.0,2223.1,2229.4,11285.0,25052643.2
2026-09-01,GALAXYSURF,EQUITY,EQ,INE600K01018,2244.3,2280.4,2210.3,2229.4,2255.6,40040.0,89730992.2
2026-08-31,GALAXYSURF,EQUITY,EQ,INE600K01018,2305.0,2318.0,2236.1,2255.6,2285.0,34392.0,77963852.7
2026-08-28,GALAXYSURF,EQUITY,EQ,INE600K01018,2305.0,2327.9,2268.3,2285.0,2305.0,20322.0,46793734.5
2026-08-27,GALAXYSURF,EQUITY,EQ,INE600K01018,2335.0,2346.7,2276.2,2305.0,2338.8,15555.0,36036022.5
2026-08-26,GALAXYSURF,EQUITY,EQ,INE600K01018,2285.0,2350.0,2275.3,2338.8,2284.2,27355.0,63519192.1
2026-08-25,GALAXYSURF,EQUITY,EQ,INE600K01018,2332.0,2349.7,2275.6,2284.2,2316.4,17850.0,41182501.0
2026-08-24,GALAXYSURF,EQUITY,EQ,INE600K01018,2343.0,2383.9,2308.2,2316.4,2333.0,30717.0,71857415.9
2026-08-21,GALAXYSURF,EQUITY,EQ,INE600K01018,2320.0,2372.5,2308.0,2333.0,2318.2,32526.0,76148056.0
2026-08-20,GALAXYSURF,EQUITY,EQ,INE600K01018,2392.0,2416.7,2295.0,2318.2,2361.3,63878.0,149408207.6
2026-08-19,GALAXYSURF,EQUITY,EQ,INE600K01018,2455.0,2528.4,2336.2,2361.3,2438.4,100832.0,242804957.6
2026-08-18,GALAXYSURF,EQUITY,EQ,INE600K01018,2403.0,2459.9,2360.4,2438.4,2403.7,131965.0,320098942.6
2026-08-17,GALAXYSURF,EQUITY,EQ,INE600K01018,2648.0,2648.0,2383.8,2403.7,2508.4,699870.0,1737917015.9
2026-08-14,GALAXYSURF,EQUITY,EQ,INE600K01018,2412.5,2508.4,2391.2,2508.4,2090.4,632628.0,1581801721.1
2026-08-13,GALAXYSURF,EQUITY,EQ,INE600K01018,2020.8,2115.8,2013.0,2090.4,2022.4,23440.0,48670998.3
2026-08-12,GALAXYSURF,EQUITY,EQ,INE600K01018,2092.0,2092.0,2000.0,2022.4,2043.1,9398.0,19030690.4
2026-08-11,GALAXYSURF,EQUITY,EQ,INE600K01018,2094.4,2094.4,2028.1,2043.1,2084.8,9195.0,18820120.7
2026-08-10,GALAXYSURF,EQUITY,EQ,INE600K01018,2086.7,2117.9,2054.1,2084.8,2066.7,17701.0,36945832.4
2026-08-07,GALAXYSURF,EQUITY,EQ,INE600K01018,1990.0,2114.0,1980.4,2066.7,1980.3,52126.0,107997506.6
2026-08-06,GALAXYSURF,EQUITY,EQ,INE600K01018,2005.0,2011.3,1969.0,1980.3,2005.8,11961.0,23757391.6
2026-08-05,GALAXYSURF,EQUITY,EQ,INE600K01018,1975.1,2015.0,1975.1,2005.8,1980.6,3815.0,7601842.1
2026-08-04,GALAXYSURF,EQUITY,EQ,INE600K01018,1988.0,2019.1,1940.0,1980.6,1988.8,10455.0,20754307.1
2026-08-03,GALAXYSURF,EQUITY,EQ,INE600K01018,1950.9,2026.7,1950.9,1988.8,1944.5,17874.0,35656017.3
