trade_date,symbol,asset_type,series,isin,open,high,low,close,prev_close,volume,traded_value
2026-07-30,GANESHBE,EQUITY,EQ,INE388A01029,121.59,123.4,114.1,116.01,122.16,857397.0,100709874.28
2026-07-29,GANESHBE,EQUITY,EQ,INE388A01029,126.13,128.78,121.1,122.16,124.93,1678475.0,207531849.86
2026-07-28,GANESHBE,EQUITY,EQ,INE388A01029,112.07,129.99,112.0,124.93,112.35,11433563.0,1386683527.96
2026-07-27,GANESHBE,EQUITY,EQ,INE388A01029,113.18,114.9,110.56,112.35,111.41,517305.0,58296370.32
2026-07-24,GANESHBE,EQUITY,EQ,INE388A01029,113.0,114.22,109.1,111.41,113.61,376242.0,41992539.56
2026-07-23,GANESHBE,EQUITY,EQ,INE388A01029,108.5,115.52,108.5,113.61,109.32,1240325.0,139988212.7
2026-07-22,GANESHBE,EQUITY,EQ,INE388A01029,105.1,117.85,103.53,109.32,105.39,11607281.0,1309944461.07
2026-07-21,GANESHBE,EQUITY,EQ,INE388A01029,106.0,108.0,103.43,105.39,107.02,157087.0,16615233.56
2026-07-20,GANESHBE,EQUITY,EQ,INE388A01029,103.07,107.9,103.07,107.02,104.41,180920.0,19186163.65
2026-07-17,GANESHBE,EQUITY,EQ,INE388A01029,106.65,107.0,103.25,104.41,107.44,196950.0,20669344.06
2026-07-16,GANESHBE,EQUITY,EQ,INE388A01029,103.21,110.54,103.21,107.44,103.86,999687.0,107851123.33
2026-07-15,GANESHBE,EQUITY,EQ,INE388A01029,96.85,106.78,96.43,103.86,96.54,1309872.0,136387504.62
2026-07-14,GANESHBE,EQUITY,EQ,INE388A01029,97.2,98.68,95.2,96.54,98.17,76521.0,7398761.96
2026-07-13,GANESHBE,EQUITY,EQ,INE388A01029,96.95,99.35,95.8,98.17,96.95,121423.0,11794451.39
2026-07-10,GANESHBE,EQUITY,EQ,INE388A01029,97.7,98.85,96.46,96.95,96.65,129375.0,12609850.14
2026-07-09,GANESHBE,EQUITY,EQ,INE388A01029,95.53,98.9,95.53,96.65,95.53,189932.0,18442700.73
2026-07-08,GANESHBE,EQUITY,EQ,INE388A01029,98.9,99.39,94.3,95.53,98.62,116366.0,11281040.31
2026-07-07,GANESHBE,EQUITY,EQ,INE388A01029,101.57,102.18,97.89,98.62,101.33,137209.0,13555778.15
2026-07-06,GANESHBE,EQUITY,EQ,INE388A01029,103.35,104.08,100.5,101.33,103.32,285902.0,29118430.42
2026-07-03,GANESHBE,EQUITY,EQ,INE388A01029,103.79,104.9,102.5,103.32,103.69,124321.0,12874033.91
2026-07-02,GANESHBE,EQUITY,EQ,INE388A01029,103.07,104.9,102.0,103.69,103.07,217710.0,22323328.38
2026-07-01,GANESHBE,EQUITY,EQ,INE388A01029,103.5,104.05,101.1,103.07,103.25,269243.0,27513452.67
2026-06-30,GANESHBE,EQUITY,EQ,INE388A01029,103.73,104.15,101.75,103.25,103.26,128505.0,13209313.75
2026-06-29,GANESHBE,EQUITY,EQ,INE388A01029,103.1,107.81,102.0,103.26,103.64,296823.0,31070122.79
2026-06-25,GANESHBE,EQUITY,EQ,INE388A01029,107.47,108.0,102.76,103.64,105.79,170005.0,17715105.0
2026-06-24,GANESHBE,EQUITY,EQ,INE388A01029,108.28,108.3,105.0,105.79,107.62,212010.0,22496434.69
2026-06-23,GANESHBE,EQUITY,EQ,INE388A01029,109.6,112.0,107.01,107.62,108.76,279762.0,30579812.55
2026-06-22,GANESHBE,EQUITY,EQ,INE388A01029,106.98,110.48,105.84,108.76,106.98,444111.0,47728761.19
2026-06-19,GANESHBE,EQUITY,EQ,INE388A01029,104.85,110.34,104.11,106.98,105.23,502035.0,54007558.11
2026-06-18,GANESHBE,EQUITY,EQ,INE388A01029,101.79,106.55,101.13,105.23,101.58,441803.0,45900959.79
2026-06-17,GANESHBE,EQUITY,EQ,INE388A01029,104.99,105.84,99.75,101.58,104.67,529995.0,54260661.41
2026-06-16,GANESHBE,EQUITY,EQ,INE388A01029,105.89,107.78,103.82,104.67,105.43,298193.0,31482092.92
2026-06-15,GANESHBE,EQUITY,EQ,INE388A01029,110.5,111.18,105.01,105.43,108.28,311284.0,33494807.15
2026-06-12,GANESHBE,EQUITY,EQ,INE388A01029,109.0,113.0,107.91,108.28,108.23,284707.0,31230807.83
2026-06-11,GANESHBE,EQUITY,EQ,INE388A01029,107.0,111.03,105.2,108.23,106.77,620999.0,67468178.86
2026-06-10,GANESHBE,EQUITY,EQ,INE388A01029,110.99,111.83,106.1,106.77,110.61,210566.0,22771575.24
2026-06-09,GANESHBE,EQUITY,EQ,INE388A01029,108.78,112.75,108.64,110.61,107.88,659892.0,73380075.5
2026-06-08,GANESHBE,EQUITY,EQ,INE388A01029,109.0,112.89,106.35,107.88,111.95,1480273.0,161325557.68
2026-06-05,GANESHBE,EQUITY,EQ,INE388A01029,102.5,118.0,101.05,111.95,101.18,5571472.0,623883321.58
