trade_date,symbol,asset_type,series,isin,open,high,low,close,prev_close,volume,traded_value
2026-09-08,GARFIBRES,EQUITY,EQ,INE276A01018,819.25,821.75,802.0,819.15,819.25,24619.0,20044081.9
2026-09-07,GARFIBRES,EQUITY,EQ,INE276A01018,800.55,822.65,795.35,819.25,800.55,29908.0,24294741.25
2026-09-04,GARFIBRES,EQUITY,EQ,INE276A01018,800.0,813.25,792.9,800.55,800.05,15701.0,12549971.9
2026-09-03,GARFIBRES,EQUITY,EQ,INE276A01018,816.0,818.05,795.15,800.05,814.75,23548.0,18966153.55
2026-09-02,GARFIBRES,EQUITY,EQ,INE276A01018,846.95,846.95,810.3,814.75,842.7,52451.0,43240393.6
2026-09-01,GARFIBRES,EQUITY,EQ,INE276A01018,813.85,852.0,808.3,842.7,813.85,90917.0,75612786.85
2026-08-31,GARFIBRES,EQUITY,EQ,INE276A01018,799.0,818.8,790.0,813.85,799.0,53462.0,43339410.75
2026-08-28,GARFIBRES,EQUITY,EQ,INE276A01018,785.0,805.9,785.0,799.0,792.55,29877.0,23812737.75
2026-08-27,GARFIBRES,EQUITY,EQ,INE276A01018,793.7,802.9,783.95,792.55,792.75,19137.0,15199119.0
2026-08-26,GARFIBRES,EQUITY,EQ,INE276A01018,800.6,809.9,790.1,792.75,800.5,18120.0,14447131.55
2026-08-25,GARFIBRES,EQUITY,EQ,INE276A01018,812.8,812.8,782.15,800.5,809.4,56227.0,44654840.25
2026-08-24,GARFIBRES,EQUITY,EQ,INE276A01018,808.0,827.0,793.65,809.4,802.6,138253.0,112325718.15
2026-08-21,GARFIBRES,EQUITY,EQ,INE276A01018,763.3,809.7,745.0,802.6,760.25,175193.0,136185752.7
2026-08-20,GARFIBRES,EQUITY,EQ,INE276A01018,760.0,776.05,751.2,760.25,759.85,45144.0,34520563.2
2026-08-19,GARFIBRES,EQUITY,EQ,INE276A01018,778.85,787.95,753.35,759.85,775.7,39772.0,30569299.05
2026-08-18,GARFIBRES,EQUITY,EQ,INE276A01018,750.0,783.0,743.05,775.7,748.45,119840.0,92122456.65
2026-08-17,GARFIBRES,EQUITY,EQ,INE276A01018,755.0,758.45,739.05,748.45,755.5,37349.0,27887734.75
2026-08-14,GARFIBRES,EQUITY,EQ,INE276A01018,750.5,767.95,748.7,755.5,752.15,35907.0,27155865.05
2026-08-13,GARFIBRES,EQUITY,EQ,INE276A01018,768.85,777.45,747.8,752.15,768.85,28271.0,21533537.65
2026-08-12,GARFIBRES,EQUITY,EQ,INE276A01018,786.4,789.35,765.0,768.85,786.4,50951.0,39350600.6
2026-08-11,GARFIBRES,EQUITY,EQ,INE276A01018,797.0,799.0,780.05,786.4,799.35,38619.0,30391651.6
2026-08-10,GARFIBRES,EQUITY,EQ,INE276A01018,812.0,817.45,791.5,799.35,811.85,30295.0,24291607.6
2026-08-07,GARFIBRES,EQUITY,EQ,INE276A01018,846.0,856.5,800.5,811.85,838.85,62817.0,52297017.8
2026-08-06,GARFIBRES,EQUITY,EQ,INE276A01018,799.7,863.4,765.55,838.85,797.35,544036.0,455347113.2
2026-08-05,GARFIBRES,EQUITY,EQ,INE276A01018,781.7,810.0,761.4,797.35,774.6,176068.0,139831271.4
2026-08-04,GARFIBRES,EQUITY,EQ,INE276A01018,761.0,778.5,757.05,774.6,761.6,56006.0,43313654.4
2026-08-03,GARFIBRES,EQUITY,EQ,INE276A01018,735.8,770.95,732.95,761.6,732.9,53200.0,40441986.55
2026-07-31,GARFIBRES,EQUITY,EQ,INE276A01018,722.8,738.45,715.8,732.9,722.8,25655.0,18789178.6
2026-07-30,GARFIBRES,EQUITY,EQ,INE276A01018,732.9,745.9,720.0,722.8,729.95,17662.0,12831955.75
2026-07-29,GARFIBRES,EQUITY,EQ,INE276A01018,733.1,750.05,720.3,729.95,737.35,40144.0,29302136.55
2026-07-28,GARFIBRES,EQUITY,EQ,INE276A01018,755.8,756.0,730.3,737.35,753.0,31795.0,23589919.6
2026-07-27,GARFIBRES,EQUITY,EQ,INE276A01018,751.4,760.0,747.5,753.0,748.45,23157.0,17419386.6
2026-07-24,GARFIBRES,EQUITY,EQ,INE276A01018,741.0,751.0,737.05,748.45,746.25,19880.0,14846612.2
2026-07-23,GARFIBRES,EQUITY,EQ,INE276A01018,753.65,754.35,738.0,746.25,757.9,41267.0,30809301.4
2026-07-22,GARFIBRES,EQUITY,EQ,INE276A01018,781.55,781.55,752.65,757.9,779.0,40574.0,30882719.9
2026-07-21,GARFIBRES,EQUITY,EQ,INE276A01018,767.8,784.3,767.8,779.0,774.1,40607.0,31574464.05
2026-07-20,GARFIBRES,EQUITY,EQ,INE276A01018,765.5,778.2,757.7,774.1,765.5,39727.0,30719880.0
2026-07-17,GARFIBRES,EQUITY,EQ,INE276A01018,766.15,769.0,751.55,765.5,766.65,29234.0,22317849.45
2026-07-16,GARFIBRES,EQUITY,EQ,INE276A01018,768.85,775.45,751.55,766.65,770.15,60688.0,46506661.8
2026-07-15,GARFIBRES,EQUITY,EQ,INE276A01018,759.8,779.9,751.85,770.15,755.15,82525.0,63669231.4
