trade_date,symbol,asset_type,series,isin,open,high,low,close,prev_close,volume,traded_value
2025-03-18,GENSOL,EQUITY,EQ,INE06H201014,236.7,236.7,236.7,236.7,249.15,2125899.0,503200293.3
2025-03-17,GENSOL,EQUITY,EQ,INE06H201014,249.15,249.15,249.15,249.15,262.25,101989.0,25410559.35
2025-03-13,GENSOL,EQUITY,EQ,INE06H201014,266.0,270.0,262.25,262.25,276.05,993601.0,262863764.75
2025-03-12,GENSOL,EQUITY,EQ,INE06H201014,276.05,276.05,276.05,276.05,290.55,74825.0,20655441.25
2025-03-11,GENSOL,EQUITY,EQ,INE06H201014,294.5,297.8,290.55,290.55,305.8,402892.0,117365495.4
2025-03-10,GENSOL,EQUITY,EQ,INE06H201014,315.0,321.9,305.8,305.8,321.9,1449603.0,450624143.75
2025-03-07,GENSOL,EQUITY,EQ,INE06H201014,307.25,352.95,307.25,321.9,334.8,7069282.0,2313155663.7
2025-03-06,GENSOL,EQUITY,EQ,INE06H201014,334.8,334.8,334.8,334.8,372.0,199024.0,66633235.2
2025-03-05,GENSOL,EQUITY,EQ,INE06H201014,372.0,372.0,372.0,372.0,413.3,124939.0,46477308.0
2025-03-04,GENSOL,EQUITY,EQ,INE06H201014,496.0,519.15,413.3,413.3,516.6,950582.0,424128378.9
2025-03-03,GENSOL,EQUITY,EQ,INE06H201014,555.75,555.75,512.2,516.6,535.65,207511.0,108654214.9
2025-02-28,GENSOL,EQUITY,EQ,INE06H201014,550.15,550.15,527.05,535.65,554.55,102950.0,55161346.1
2025-02-27,GENSOL,EQUITY,EQ,INE06H201014,566.65,574.65,539.2,554.55,566.65,200771.0,110238062.8
2025-02-25,GENSOL,EQUITY,EQ,INE06H201014,569.95,579.45,564.1,566.65,571.95,106041.0,60373027.1
2025-02-24,GENSOL,EQUITY,EQ,INE06H201014,569.85,584.0,555.0,571.95,579.25,94410.0,54177857.4
2025-02-21,GENSOL,EQUITY,EQ,INE06H201014,576.0,587.3,568.65,579.25,566.65,103351.0,59721189.2
2025-02-20,GENSOL,EQUITY,EQ,INE06H201014,567.95,574.9,556.55,566.65,551.85,153128.0,86837543.2
2025-02-19,GENSOL,EQUITY,EQ,INE06H201014,530.0,557.15,529.0,551.85,538.4,186088.0,101737198.7
2025-02-18,GENSOL,EQUITY,EQ,INE06H201014,565.6,587.0,527.2,538.4,565.6,268129.0,145251226.9
2025-02-17,GENSOL,EQUITY,EQ,INE06H201014,554.95,572.0,524.25,565.6,548.55,665537.0,356094840.55
2025-02-14,GENSOL,EQUITY,EQ,INE06H201014,602.45,608.8,543.05,548.55,601.0,338017.0,189232105.5
2025-02-13,GENSOL,EQUITY,EQ,INE06H201014,602.45,624.0,593.0,601.0,602.4,188127.0,114886160.8
2025-02-12,GENSOL,EQUITY,EQ,INE06H201014,625.2,668.0,580.05,602.4,702.35,944647.0,570684354.3
2025-02-11,GENSOL,EQUITY,EQ,INE06H201014,742.05,742.05,695.1,702.35,742.05,103707.0,73603445.5
2025-02-10,GENSOL,EQUITY,EQ,INE06H201014,738.0,747.0,719.65,742.05,734.7,110548.0,81557723.4
2025-02-07,GENSOL,EQUITY,EQ,INE06H201014,738.0,750.0,725.1,734.7,713.3,172477.0,127171520.45
2025-02-06,GENSOL,EQUITY,EQ,INE06H201014,724.65,727.0,709.1,713.3,723.15,54719.0,39130193.45
2025-02-05,GENSOL,EQUITY,EQ,INE06H201014,725.0,728.95,718.05,723.15,715.0,36285.0,26283738.9
2025-02-04,GENSOL,EQUITY,EQ,INE06H201014,716.1,727.95,708.5,715.0,716.1,47704.0,34082456.5
2025-02-03,GENSOL,EQUITY,EQ,INE06H201014,723.7,724.95,707.7,716.1,734.7,58312.0,41687054.65
2025-01-31,GENSOL,EQUITY,EQ,INE06H201014,743.75,750.9,729.15,743.05,743.75,98614.0,72768241.95
2025-01-30,GENSOL,EQUITY,EQ,INE06H201014,705.1,759.0,705.0,743.75,710.85,310167.0,230304877.35
2025-01-29,GENSOL,EQUITY,EQ,INE06H201014,648.25,724.25,645.3,710.85,638.7,228137.0,157574378.85
2025-01-28,GENSOL,EQUITY,EQ,INE06H201014,675.0,694.65,634.35,638.7,682.7,253722.0,165529574.75
2025-01-27,GENSOL,EQUITY,EQ,INE06H201014,715.1,716.45,671.05,682.7,720.9,181410.0,124135444.5
2025-01-24,GENSOL,EQUITY,EQ,INE06H201014,730.0,732.9,718.25,720.9,729.05,52057.0,37597596.3
2025-01-23,GENSOL,EQUITY,EQ,INE06H201014,736.15,744.0,726.0,729.05,747.35,107081.0,78440028.55
2025-01-22,GENSOL,EQUITY,EQ,INE06H201014,767.05,776.45,736.2,747.35,760.75,73841.0,55628276.9
2025-01-21,GENSOL,EQUITY,EQ,INE06H201014,771.4,777.1,755.0,760.75,771.4,76860.0,58961887.0
2025-01-20,GENSOL,EQUITY,EQ,INE06H201014,769.95,779.6,754.0,771.4,766.6,82618.0,63260565.85
2025-01-17,GENSOL,EQUITY,EQ,INE06H201014,764.7,770.0,752.3,766.6,765.6,71373.0,54417635.7
2025-01-16,GENSOL,EQUITY,EQ,INE06H201014,755.0,783.65,751.45,765.6,729.05,204427.0,156629098.9
2025-01-15,GENSOL,EQUITY,EQ,INE06H201014,741.0,745.95,725.0,729.05,731.65,54420.0,39837292.6
2025-01-14,GENSOL,EQUITY,EQ,INE06H201014,725.5,737.9,714.0,731.65,721.2,94783.0,68815931.65
2025-01-13,GENSOL,EQUITY,EQ,INE06H201014,747.95,747.95,710.0,721.2,748.45,153799.0,111499188.0
2025-01-10,GENSOL,EQUITY,EQ,INE06H201014,751.95,758.0,732.1,748.45,753.55,112958.0,84513494.15
2025-01-09,GENSOL,EQUITY,EQ,INE06H201014,751.65,762.35,747.5,753.55,751.85,66318.0,49984652.6
