trade_date,symbol,asset_type,series,isin,open,high,low,close,prev_close,volume,traded_value
2026-09-09,GILT5BETA,EQUITY,EQ,INF789F1AZE6,67.13,67.23,66.01,67.02,66.8,1636.0,109580.27
2026-09-08,GILT5BETA,EQUITY,EQ,INF789F1AZE6,67.18,67.18,65.96,66.8,66.94,198804.0,13226477.65
2026-09-07,GILT5BETA,EQUITY,EQ,INF789F1AZE6,67.6,69.0,65.81,66.94,66.94,202427.0,13420589.98
2026-09-04,GILT5BETA,EQUITY,EQ,INF789F1AZE6,66.49,67.06,66.49,66.94,66.49,18441.0,1234083.55
2026-09-03,GILT5BETA,EQUITY,EQ,INF789F1AZE6,66.01,66.94,66.01,66.49,65.69,10011.0,665632.37
2026-09-02,GILT5BETA,EQUITY,EQ,INF789F1AZE6,66.33,66.89,65.69,65.69,65.68,462.0,30889.1
2026-09-01,GILT5BETA,EQUITY,EQ,INF789F1AZE6,66.74,66.89,65.57,65.68,66.74,1958.0,128495.86
2026-08-31,GILT5BETA,EQUITY,EQ,INF789F1AZE6,66.55,66.74,66.5,66.74,66.5,151.0,10059.18
2026-08-28,GILT5BETA,EQUITY,EQ,INF789F1AZE6,66.15,67.1,66.15,66.5,65.85,346.0,23178.25
2026-08-27,GILT5BETA,EQUITY,EQ,INF789F1AZE6,65.85,65.85,65.85,65.85,65.52,88.0,5794.8
2026-08-26,GILT5BETA,EQUITY,EQ,INF789F1AZE6,65.56,65.88,65.51,65.52,65.75,138.0,9044.74
2026-08-25,GILT5BETA,EQUITY,EQ,INF789F1AZE6,66.5,66.5,65.75,65.75,66.5,1188.0,78189.8
2026-08-24,GILT5BETA,EQUITY,EQ,INF789F1AZE6,66.58,67.01,65.71,66.5,66.39,6211.0,409361.43
2026-08-21,GILT5BETA,EQUITY,EQ,INF789F1AZE6,65.98,66.4,65.98,66.39,66.34,1108.0,73525.84
2026-08-20,GILT5BETA,EQUITY,EQ,INF789F1AZE6,65.9,66.89,65.9,66.34,65.85,6122.0,406086.67
2026-08-19,GILT5BETA,EQUITY,EQ,INF789F1AZE6,67.06,67.06,65.77,65.85,66.4,42.0,2788.61
2026-08-18,GILT5BETA,EQUITY,EQ,INF789F1AZE6,66.76,67.13,65.81,66.4,66.43,25765.0,1699277.84
2026-08-17,GILT5BETA,EQUITY,EQ,INF789F1AZE6,67.62,67.62,66.43,66.43,66.87,46083.0,3084187.62
2026-08-14,GILT5BETA,EQUITY,EQ,INF789F1AZE6,66.92,66.92,66.87,66.87,66.92,10.0,669.1
2026-08-13,GILT5BETA,EQUITY,EQ,INF789F1AZE6,66.21,66.92,66.06,66.92,66.21,5106.0,338057.82
2026-08-12,GILT5BETA,EQUITY,EQ,INF789F1AZE6,67.04,67.19,66.18,66.21,67.04,77.0,5109.19
2026-08-11,GILT5BETA,EQUITY,EQ,INF789F1AZE6,67.23,67.23,66.49,67.04,66.16,462.0,31056.9
2026-08-10,GILT5BETA,EQUITY,EQ,INF789F1AZE6,67.23,67.23,65.95,66.16,67.29,509.0,33788.89
2026-08-07,GILT5BETA,EQUITY,EQ,INF789F1AZE6,67.29,67.29,65.98,67.29,67.26,41.0,2732.27
2026-08-06,GILT5BETA,EQUITY,EQ,INF789F1AZE6,65.47,67.27,65.47,67.26,65.71,258.0,17340.2
2026-08-04,GILT5BETA,EQUITY,EQ,INF789F1AZE6,66.0,66.99,65.71,65.71,66.03,1316.0,86721.8
2026-08-03,GILT5BETA,EQUITY,EQ,INF789F1AZE6,66.53,66.9,65.86,66.03,66.73,1443.0,95357.25
2026-07-31,GILT5BETA,EQUITY,EQ,INF789F1AZE6,66.07,66.92,65.68,66.73,66.07,459.0,30463.45
2026-07-30,GILT5BETA,EQUITY,EQ,INF789F1AZE6,66.7,66.92,65.53,66.07,66.7,5016.0,329477.35
2026-07-29,GILT5BETA,EQUITY,EQ,INF789F1AZE6,66.29,66.95,65.64,66.7,66.29,1199.0,80239.58
2026-07-28,GILT5BETA,EQUITY,EQ,INF789F1AZE6,66.29,66.29,66.29,66.29,65.64,15.0,994.35
2026-07-27,GILT5BETA,EQUITY,EQ,INF789F1AZE6,66.67,66.72,65.48,65.64,66.67,855.0,56739.31
2026-07-24,GILT5BETA,EQUITY,EQ,INF789F1AZE6,66.3,66.68,66.3,66.67,66.11,179.0,11933.97
2026-07-23,GILT5BETA,EQUITY,EQ,INF789F1AZE6,66.0,66.54,65.48,66.11,66.58,101.0,6659.94
2026-07-22,GILT5BETA,EQUITY,EQ,INF789F1AZE6,66.63,66.77,65.46,66.58,66.44,4568.0,299114.48
2026-07-21,GILT5BETA,EQUITY,EQ,INF789F1AZE6,66.74,66.74,66.37,66.44,65.0,327.0,21818.83
2026-07-17,GILT5BETA,EQUITY,EQ,INF789F1AZE6,65.72,65.99,64.0,65.0,65.4,541.0,34870.24
2026-07-16,GILT5BETA,EQUITY,EQ,INF789F1AZE6,66.61,66.7,65.4,65.4,66.61,355.0,23440.97
2026-07-15,GILT5BETA,EQUITY,EQ,INF789F1AZE6,66.1,66.61,65.21,66.61,66.0,181.0,11914.98
2026-07-10,GILT5BETA,EQUITY,EQ,INF789F1AZE6,66.6,66.7,65.41,66.0,66.64,1240.0,81509.07
2026-07-09,GILT5BETA,EQUITY,EQ,INF789F1AZE6,66.67,66.67,65.5,66.64,66.79,685.0,45156.94
2026-07-08,GILT5BETA,EQUITY,EQ,INF789F1AZE6,66.79,66.79,65.3,66.79,66.8,388.0,25884.06
2026-07-07,GILT5BETA,EQUITY,EQ,INF789F1AZE6,65.7,66.81,65.7,66.8,66.48,339.0,22634.99
2026-07-06,GILT5BETA,EQUITY,EQ,INF789F1AZE6,65.37,66.7,65.37,66.48,66.67,14188.0,938949.3
2026-07-03,GILT5BETA,EQUITY,EQ,INF789F1AZE6,66.6,66.7,66.6,66.67,65.41,40.0,2667.0
2026-07-02,GILT5BETA,EQUITY,EQ,INF789F1AZE6,66.63,66.63,65.41,65.41,66.63,174.0,11531.01
2026-07-01,GILT5BETA,EQUITY,EQ,INF789F1AZE6,66.36,66.64,65.37,66.63,66.03,779.0,51616.21
2026-06-30,GILT5BETA,EQUITY,EQ,INF789F1AZE6,66.61,66.61,65.29,66.03,66.57,4655.0,308305.3
2026-06-29,GILT5BETA,EQUITY,EQ,INF789F1AZE6,66.57,66.57,65.26,66.57,66.54,723.0,47733.73
2026-06-25,GILT5BETA,EQUITY,EQ,INF789F1AZE6,66.56,66.56,65.25,66.54,66.4,184.0,12219.33
2026-06-24,GILT5BETA,EQUITY,EQ,INF789F1AZE6,66.35,66.4,65.1,66.4,66.37,97.0,6381.62
2026-06-23,GILT5BETA,EQUITY,EQ,INF789F1AZE6,66.37,66.37,66.02,66.37,65.63,766.0,50823.71
2026-06-19,GILT5BETA,EQUITY,EQ,INF789F1AZE6,65.71,66.35,65.44,65.63,65.06,7370.0,486598.59
2026-06-18,GILT5BETA,EQUITY,EQ,INF789F1AZE6,65.77,65.77,65.05,65.06,65.07,83.0,5410.95
2026-06-17,GILT5BETA,EQUITY,EQ,INF789F1AZE6,65.87,65.87,65.05,65.07,65.87,225.0,14684.02
2026-06-16,GILT5BETA,EQUITY,EQ,INF789F1AZE6,65.97,65.97,65.11,65.87,65.97,1782.0,117297.54
2026-06-15,GILT5BETA,EQUITY,EQ,INF789F1AZE6,65.28,65.99,65.0,65.97,65.6,1291.0,85116.59
2026-06-12,GILT5BETA,EQUITY,EQ,INF789F1AZE6,65.82,65.82,64.84,65.6,65.82,3657.0,237227.65
2026-06-11,GILT5BETA,EQUITY,EQ,INF789F1AZE6,65.51,66.03,64.74,65.82,65.19,218.0,14269.65
2026-06-10,GILT5BETA,EQUITY,EQ,INF789F1AZE6,65.74,65.74,64.87,65.19,65.26,754.0,49063.41
2026-06-09,GILT5BETA,EQUITY,EQ,INF789F1AZE6,64.82,65.26,64.62,65.26,64.5,7.0,453.25
2026-06-08,GILT5BETA,EQUITY,EQ,INF789F1AZE6,65.25,65.36,64.46,64.5,65.25,2786.0,179772.88
2026-06-05,GILT5BETA,EQUITY,EQ,INF789F1AZE6,65.26,65.26,64.2,65.25,65.27,245.0,15766.72
2026-06-04,GILT5BETA,EQUITY,EQ,INF789F1AZE6,64.61,65.27,64.6,65.27,64.29,1005.0,65260.05
2026-06-03,GILT5BETA,EQUITY,EQ,INF789F1AZE6,65.19,65.27,64.03,64.29,65.09,1082.0,69388.9
2026-06-01,GILT5BETA,EQUITY,EQ,INF789F1AZE6,65.24,65.24,63.31,65.09,65.02,1736.0,111224.83
2026-05-27,GILT5BETA,EQUITY,EQ,INF789F1AZE6,65.1,65.38,63.93,65.02,65.1,799.0,51343.72
2026-05-26,GILT5BETA,EQUITY,EQ,INF789F1AZE6,63.95,65.39,63.85,65.1,63.46,1041.0,67767.59
2026-05-25,GILT5BETA,EQUITY,EQ,INF789F1AZE6,65.13,65.39,63.46,63.46,65.12,5546.0,358498.87
2026-05-22,GILT5BETA,EQUITY,EQ,INF789F1AZE6,65.11,65.12,64.47,65.12,65.13,65.0,4198.88
2026-05-20,GILT5BETA,EQUITY,EQ,INF789F1AZE6,65.13,65.13,65.13,65.13,65.25,508.0,33086.04
2026-05-19,GILT5BETA,EQUITY,EQ,INF789F1AZE6,65.13,65.25,64.47,65.25,65.42,115.0,7475.64
2026-05-15,GILT5BETA,EQUITY,EQ,INF789F1AZE6,65.11,65.43,63.83,65.42,65.03,2516.0,163734.94
2026-05-14,GILT5BETA,EQUITY,EQ,INF789F1AZE6,64.78,65.03,64.25,65.03,65.1,352.0,22797.76
2026-05-13,GILT5BETA,EQUITY,EQ,INF789F1AZE6,65.1,65.1,64.2,65.1,65.14,1020.0,65707.68
2026-05-12,GILT5BETA,EQUITY,EQ,INF789F1AZE6,65.36,65.36,64.82,65.14,65.37,319.0,20789.57
2026-05-11,GILT5BETA,EQUITY,EQ,INF789F1AZE6,65.6,65.69,64.13,65.37,65.8,1447.0,93853.54
2026-05-08,GILT5BETA,EQUITY,EQ,INF789F1AZE6,65.15,65.82,65.15,65.8,64.83,245.0,16124.91
2026-05-07,GILT5BETA,EQUITY,EQ,INF789F1AZE6,65.51,65.95,64.81,64.83,65.64,2364.0,154167.44
2026-05-06,GILT5BETA,EQUITY,EQ,INF789F1AZE6,65.5,65.65,64.65,65.64,65.43,3431.0,223978.6
2026-05-05,GILT5BETA,EQUITY,EQ,INF789F1AZE6,65.44,65.44,63.77,65.43,65.44,2832.0,185316.49
2026-05-04,GILT5BETA,EQUITY,EQ,INF789F1AZE6,65.42,65.44,63.8,65.44,65.1,6267.0,409765.14
2026-04-30,GILT5BETA,EQUITY,EQ,INF789F1AZE6,64.23,65.1,64.23,65.1,64.55,6134.0,396624.19
2026-04-29,GILT5BETA,EQUITY,EQ,INF789F1AZE6,64.03,65.18,64.02,64.55,64.87,2582.0,167374.69
2026-04-28,GILT5BETA,EQUITY,EQ,INF789F1AZE6,65.18,65.5,64.86,64.87,65.51,175.0,11368.73
2026-04-27,GILT5BETA,EQUITY,EQ,INF789F1AZE6,65.53,65.53,64.66,65.51,65.39,1317.0,85751.1
2026-04-24,GILT5BETA,EQUITY,EQ,INF789F1AZE6,64.98,65.63,64.4,65.39,64.49,748.0,48896.49
2026-04-23,GILT5BETA,EQUITY,EQ,INF789F1AZE6,65.75,65.75,63.91,64.49,65.82,8867.0,575750.55
2026-04-22,GILT5BETA,EQUITY,EQ,INF789F1AZE6,65.0,65.84,65.0,65.82,64.91,1478.0,97091.73
2026-04-21,GILT5BETA,EQUITY,EQ,INF789F1AZE6,65.0,65.91,63.88,64.91,65.32,8611.0,562140.91
2026-04-20,GILT5BETA,EQUITY,EQ,INF789F1AZE6,64.96,65.59,64.96,65.32,65.27,942.0,61501.42
2026-04-17,GILT5BETA,EQUITY,EQ,INF789F1AZE6,65.27,65.27,64.6,65.27,65.31,6092.0,394941.4
2026-04-16,GILT5BETA,EQUITY,EQ,INF789F1AZE6,65.44,65.44,64.74,65.31,65.21,2088.0,135870.13
2026-04-15,GILT5BETA,EQUITY,EQ,INF789F1AZE6,65.41,65.41,64.23,65.21,65.09,1877.0,122241.15
2026-04-13,GILT5BETA,EQUITY,EQ,INF789F1AZE6,64.94,65.23,63.97,65.09,64.62,2472.0,160633.99
2026-04-10,GILT5BETA,EQUITY,EQ,INF789F1AZE6,64.09,65.5,64.09,64.62,64.9,19084.0,1237709.02
2026-04-09,GILT5BETA,EQUITY,EQ,INF789F1AZE6,64.54,64.9,64.5,64.9,64.34,1693.0,109695.85
2026-04-08,GILT5BETA,EQUITY,EQ,INF789F1AZE6,64.49,64.74,63.4,64.34,63.36,6532.0,419281.64
