trade_date,symbol,asset_type,series,isin,open,high,low,close,prev_close,volume,traded_value
2026-09-09,GLOBAL,EQUITY,EQ,INE291W01037,126.62,128.24,123.47,125.94,126.62,118903.0,14950889.07
2026-09-08,GLOBAL,EQUITY,EQ,INE291W01037,120.49,129.4,120.46,126.62,120.15,385486.0,48443025.04
2026-09-07,GLOBAL,EQUITY,EQ,INE291W01037,121.0,122.98,119.1,120.15,120.45,129151.0,15661916.8
2026-09-04,GLOBAL,EQUITY,EQ,INE291W01037,116.3,126.45,115.39,120.45,116.27,570402.0,69977133.93
2026-09-03,GLOBAL,EQUITY,EQ,INE291W01037,119.5,123.38,114.89,116.27,117.31,229487.0,27292431.25
2026-09-02,GLOBAL,EQUITY,EQ,INE291W01037,110.4,119.0,110.22,117.31,110.14,496539.0,56919399.46
2026-09-01,GLOBAL,EQUITY,EQ,INE291W01037,105.1,111.89,105.1,110.14,107.02,76188.0,8290207.81
2026-08-31,GLOBAL,EQUITY,EQ,INE291W01037,106.05,109.4,104.41,107.02,108.99,106139.0,11281718.1
2026-08-28,GLOBAL,EQUITY,EQ,INE291W01037,110.99,110.99,108.3,108.99,110.98,50333.0,5499727.05
2026-08-27,GLOBAL,EQUITY,EQ,INE291W01037,111.41,112.0,108.71,110.98,111.06,59561.0,6580927.7
2026-08-26,GLOBAL,EQUITY,EQ,INE291W01037,105.0,112.0,105.0,111.06,106.71,93209.0,10207040.96
2026-08-25,GLOBAL,EQUITY,EQ,INE291W01037,107.29,109.74,104.4,106.71,107.5,308947.0,32498981.53
2026-08-24,GLOBAL,EQUITY,EQ,INE291W01037,108.04,110.0,106.0,107.5,106.98,128011.0,13858408.58
2026-08-21,GLOBAL,EQUITY,EQ,INE291W01037,105.5,109.86,105.0,106.98,106.29,161579.0,17353715.62
2026-08-20,GLOBAL,EQUITY,EQ,INE291W01037,107.0,107.5,105.0,106.29,107.58,26366.0,2801141.48
2026-08-19,GLOBAL,EQUITY,EQ,INE291W01037,106.55,109.3,106.4,107.58,109.13,34554.0,3736284.36
2026-08-18,GLOBAL,EQUITY,EQ,INE291W01037,107.45,111.4,105.3,109.13,107.47,160551.0,17428190.58
2026-08-17,GLOBAL,EQUITY,EQ,INE291W01037,105.45,111.37,105.45,107.47,106.42,255174.0,27696826.0
2026-08-14,GLOBAL,EQUITY,EQ,INE291W01037,103.0,107.0,101.65,106.42,102.48,118916.0,12433283.77
2026-08-13,GLOBAL,EQUITY,EQ,INE291W01037,102.91,103.45,101.0,102.48,102.94,60149.0,6153871.33
2026-08-12,GLOBAL,EQUITY,EQ,INE291W01037,81.6,104.65,81.6,102.94,100.12,252665.0,24693291.66
2026-08-11,GLOBAL,EQUITY,EQ,INE291W01037,100.05,102.18,99.5,100.12,101.59,53086.0,5353419.64
2026-08-10,GLOBAL,EQUITY,EQ,INE291W01037,102.0,103.4,100.22,101.59,101.84,38659.0,3922682.09
2026-08-07,GLOBAL,EQUITY,EQ,INE291W01037,101.45,102.51,100.72,101.84,100.47,40141.0,4080015.59
2026-08-06,GLOBAL,EQUITY,EQ,INE291W01037,105.8,105.8,99.01,100.47,104.01,59664.0,6049610.0
2026-08-05,GLOBAL,EQUITY,EQ,INE291W01037,102.5,104.5,102.5,104.01,102.83,19356.0,2005223.31
2026-08-04,GLOBAL,EQUITY,EQ,INE291W01037,101.0,104.0,101.0,102.83,101.36,24722.0,2549595.16
2026-08-03,GLOBAL,EQUITY,EQ,INE291W01037,101.3,104.47,100.5,101.36,104.06,50348.0,5141369.45
2026-07-31,GLOBAL,EQUITY,EQ,INE291W01037,103.0,104.82,102.42,104.06,102.82,22487.0,2329138.68
2026-07-30,GLOBAL,EQUITY,EQ,INE291W01037,102.19,104.0,102.19,102.82,102.19,14231.0,1461771.14
2026-07-29,GLOBAL,EQUITY,EQ,INE291W01037,105.5,105.86,101.7,102.19,104.99,24040.0,2496047.2
2026-07-28,GLOBAL,EQUITY,EQ,INE291W01037,102.5,106.9,102.5,104.99,103.99,37978.0,3971509.99
2026-07-27,GLOBAL,EQUITY,EQ,INE291W01037,101.99,105.32,101.07,103.99,101.99,69063.0,7152327.89
2026-07-24,GLOBAL,EQUITY,EQ,INE291W01037,100.0,102.99,100.0,101.99,102.77,10617.0,1080451.05
2026-07-23,GLOBAL,EQUITY,EQ,INE291W01037,101.74,103.4,101.74,102.77,101.74,24477.0,2515612.73
2026-07-22,GLOBAL,EQUITY,EQ,INE291W01037,105.0,105.84,101.0,101.74,103.51,24170.0,2499768.12
2026-07-21,GLOBAL,EQUITY,EQ,INE291W01037,100.0,105.0,98.99,103.51,100.16,68495.0,7018869.85
2026-07-20,GLOBAL,EQUITY,EQ,INE291W01037,101.0,101.59,99.0,100.16,99.21,43591.0,4362068.16
2026-07-17,GLOBAL,EQUITY,EQ,INE291W01037,103.4,103.4,97.42,99.21,102.22,42806.0,4301678.96
2026-07-16,GLOBAL,EQUITY,EQ,INE291W01037,102.29,104.6,102.0,102.22,102.29,10570.0,1082368.15
2026-07-15,GLOBAL,EQUITY,EQ,INE291W01037,99.6,105.98,99.6,102.29,102.15,43492.0,4521452.37
2026-07-14,GLOBAL,EQUITY,EQ,INE291W01037,102.0,102.5,100.02,102.15,101.96,22727.0,2308522.4
2026-07-13,GLOBAL,EQUITY,EQ,INE291W01037,102.0,102.79,99.1,101.96,102.18,24051.0,2453446.64
2026-07-10,GLOBAL,EQUITY,EQ,INE291W01037,101.3,102.82,101.0,102.18,101.3,21310.0,2171520.32
2026-07-09,GLOBAL,EQUITY,EQ,INE291W01037,99.91,103.0,99.42,101.3,99.91,18653.0,1892979.24
2026-07-08,GLOBAL,EQUITY,EQ,INE291W01037,100.39,102.88,98.5,99.91,100.39,45175.0,4552124.32
2026-07-07,GLOBAL,EQUITY,EQ,INE291W01037,102.08,103.98,99.22,100.39,103.11,59677.0,6016975.58
2026-07-06,GLOBAL,EQUITY,EQ,INE291W01037,103.54,103.89,102.12,103.11,103.54,23882.0,2459144.04
2026-07-03,GLOBAL,EQUITY,EQ,INE291W01037,102.5,104.1,101.0,103.54,101.88,66594.0,6824622.65
2026-07-02,GLOBAL,EQUITY,EQ,INE291W01037,102.01,102.95,101.0,101.88,101.93,42802.0,4349025.74
2026-07-01,GLOBAL,EQUITY,EQ,INE291W01037,103.95,104.78,101.8,101.93,103.95,38597.0,3977493.34
2026-06-30,GLOBAL,EQUITY,EQ,INE291W01037,103.32,105.04,103.1,103.95,104.78,30568.0,3183690.1
2026-06-29,GLOBAL,EQUITY,EQ,INE291W01037,106.0,106.09,104.1,104.78,106.02,31901.0,3345926.08
2026-06-25,GLOBAL,EQUITY,EQ,INE291W01037,105.8,107.5,103.9,106.02,105.45,85238.0,9002202.78
2026-06-24,GLOBAL,EQUITY,EQ,INE291W01037,107.17,107.69,104.17,105.45,107.17,57724.0,6111228.68
2026-06-23,GLOBAL,EQUITY,EQ,INE291W01037,109.53,110.99,106.99,107.17,108.74,84196.0,9156482.53
2026-06-22,GLOBAL,EQUITY,EQ,INE291W01037,108.0,113.41,107.37,108.74,107.37,155903.0,17261620.32
2026-06-19,GLOBAL,EQUITY,EQ,INE291W01037,111.0,111.13,105.3,107.37,111.38,84729.0,9103858.58
2026-06-18,GLOBAL,EQUITY,EQ,INE291W01037,105.0,113.2,104.21,111.38,104.37,304629.0,33687203.89
2026-06-17,GLOBAL,EQUITY,EQ,INE291W01037,102.7,105.4,102.7,104.37,104.51,50641.0,5268450.69
2026-06-16,GLOBAL,EQUITY,EQ,INE291W01037,101.0,105.4,100.6,104.51,101.65,102378.0,10533370.93
2026-06-15,GLOBAL,EQUITY,EQ,INE291W01037,106.07,106.07,101.44,101.65,102.98,88219.0,9084491.08
2026-06-12,GLOBAL,EQUITY,EQ,INE291W01037,102.0,103.99,101.43,102.98,100.87,62799.0,6445104.06
2026-06-11,GLOBAL,EQUITY,EQ,INE291W01037,102.53,102.79,100.02,100.87,102.53,80663.0,8173203.23
2026-06-10,GLOBAL,EQUITY,EQ,INE291W01037,102.27,105.5,102.1,102.53,103.36,46477.0,4823240.54
2026-06-09,GLOBAL,EQUITY,EQ,INE291W01037,106.59,106.77,102.01,103.36,105.26,58556.0,6065622.88
2026-06-08,GLOBAL,EQUITY,EQ,INE291W01037,108.1,108.19,104.05,105.26,108.72,60264.0,6403998.28
2026-06-05,GLOBAL,EQUITY,EQ,INE291W01037,108.55,110.8,106.52,108.72,108.02,98296.0,10658289.39
2026-06-04,GLOBAL,EQUITY,EQ,INE291W01037,105.54,109.45,105.54,108.02,105.01,223535.0,24158640.64
2026-06-03,GLOBAL,EQUITY,EQ,INE291W01037,102.5,105.9,101.3,105.01,102.9,86536.0,9004285.64
2026-06-02,GLOBAL,EQUITY,EQ,INE291W01037,100.05,105.0,100.0,102.9,100.55,92984.0,9537371.2
2026-06-01,GLOBAL,EQUITY,EQ,INE291W01037,99.3,104.85,99.1,100.55,100.8,199347.0,20077557.03
2026-05-29,GLOBAL,EQUITY,EQ,INE291W01037,106.9,106.91,100.6,100.8,105.83,321001.0,32455005.89
2026-05-27,GLOBAL,EQUITY,EQ,INE291W01037,101.34,107.01,100.5,105.83,100.13,116764.0,12144800.54
2026-05-26,GLOBAL,EQUITY,EQ,INE291W01037,101.68,102.5,100.0,100.13,101.68,38923.0,3927290.1
2026-05-25,GLOBAL,EQUITY,EQ,INE291W01037,101.63,103.78,99.82,101.68,101.92,72337.0,7367124.36
2026-05-22,GLOBAL,EQUITY,EQ,INE291W01037,101.72,104.69,99.58,101.92,100.22,130672.0,13430431.19
2026-05-21,GLOBAL,EQUITY,EQ,INE291W01037,102.0,103.74,98.45,100.22,102.36,136077.0,13654419.41
2026-05-20,GLOBAL,EQUITY,EQ,INE291W01037,101.13,103.0,100.48,102.36,102.67,29370.0,2993202.31
2026-05-19,GLOBAL,EQUITY,EQ,INE291W01037,102.46,104.41,102.0,102.67,102.55,48326.0,4983068.12
2026-05-18,GLOBAL,EQUITY,EQ,INE291W01037,105.0,105.0,100.62,102.55,105.02,52026.0,5322608.3
2026-05-15,GLOBAL,EQUITY,EQ,INE291W01037,104.35,108.99,104.12,105.02,105.95,73173.0,7824396.92
2026-05-14,GLOBAL,EQUITY,EQ,INE291W01037,102.2,108.5,102.2,105.95,103.22,70844.0,7469258.51
2026-05-13,GLOBAL,EQUITY,EQ,INE291W01037,107.99,109.33,102.0,103.22,107.31,108079.0,11423741.56
2026-05-12,GLOBAL,EQUITY,EQ,INE291W01037,114.2,114.2,105.0,107.31,114.2,103827.0,11434966.82
2026-05-11,GLOBAL,EQUITY,EQ,INE291W01037,120.0,120.54,111.8,114.2,119.95,222019.0,25509264.45
2026-05-08,GLOBAL,EQUITY,EQ,INE291W01037,118.9,121.9,114.3,119.95,116.5,276581.0,32647179.2
2026-05-07,GLOBAL,EQUITY,EQ,INE291W01037,119.85,119.85,114.62,116.5,113.9,278031.0,32446024.73
2026-05-06,GLOBAL,EQUITY,EQ,INE291W01037,101.1,118.0,101.1,113.9,102.43,577794.0,64356539.32
2026-05-05,GLOBAL,EQUITY,EQ,INE291W01037,103.0,103.5,100.03,102.43,101.53,58017.0,5894683.43
2026-05-04,GLOBAL,EQUITY,EQ,INE291W01037,102.6,104.99,100.55,101.53,103.6,113909.0,11577430.03
2026-04-30,GLOBAL,EQUITY,EQ,INE291W01037,104.0,106.0,101.01,103.6,103.76,99508.0,10316672.19
2026-04-29,GLOBAL,EQUITY,EQ,INE291W01037,103.3,104.46,99.16,103.76,102.4,156592.0,15973687.82
2026-04-28,GLOBAL,EQUITY,EQ,INE291W01037,106.9,106.9,100.55,102.4,104.02,120159.0,12340822.47
2026-04-27,GLOBAL,EQUITY,EQ,INE291W01037,102.1,104.9,100.56,104.02,100.05,139031.0,14371765.68
2026-04-24,GLOBAL,EQUITY,EQ,INE291W01037,101.0,102.18,99.54,100.05,101.04,50057.0,5018543.01
2026-04-23,GLOBAL,EQUITY,EQ,INE291W01037,99.0,102.96,99.0,101.04,100.11,64685.0,6552110.47
2026-04-22,GLOBAL,EQUITY,EQ,INE291W01037,100.65,103.67,100.0,100.11,101.67,43796.0,4421326.45
2026-04-21,GLOBAL,EQUITY,EQ,INE291W01037,98.0,104.29,98.0,101.67,98.86,121281.0,12419643.71
2026-04-20,GLOBAL,EQUITY,EQ,INE291W01037,101.99,101.99,98.41,98.86,101.53,81262.0,8089522.49
