trade_date,symbol,asset_type,series,isin,open,high,low,close,prev_close,volume,traded_value
2026-09-11,GLOBUSSPR,EQUITY,EQ,INE615I01010,837.55,843.45,822.1,839.75,837.55,65575.0,54619750.1
2026-09-10,GLOBUSSPR,EQUITY,EQ,INE615I01010,854.0,854.7,835.0,837.55,849.8,88143.0,74139847.7
2026-09-09,GLOBUSSPR,EQUITY,EQ,INE615I01010,864.9,865.0,847.1,849.8,861.45,114371.0,97516580.15
2026-09-08,GLOBUSSPR,EQUITY,EQ,INE615I01010,894.0,894.5,852.1,861.45,895.1,241474.0,208393866.25
2026-09-07,GLOBUSSPR,EQUITY,EQ,INE615I01010,918.75,918.75,878.0,895.1,914.3,150541.0,134740787.85
2026-09-04,GLOBUSSPR,EQUITY,EQ,INE615I01010,919.65,919.65,910.0,914.3,919.65,46420.0,42449276.1
2026-09-03,GLOBUSSPR,EQUITY,EQ,INE615I01010,923.1,928.05,911.55,919.65,908.75,61603.0,56800320.1
2026-09-02,GLOBUSSPR,EQUITY,EQ,INE615I01010,914.45,918.95,892.55,908.75,914.95,110360.0,99579385.8
2026-09-01,GLOBUSSPR,EQUITY,EQ,INE615I01010,919.8,924.0,910.0,914.95,917.3,122377.0,111941797.0
2026-08-31,GLOBUSSPR,EQUITY,EQ,INE615I01010,920.1,921.85,905.0,917.3,916.1,57967.0,53021959.45
2026-08-28,GLOBUSSPR,EQUITY,EQ,INE615I01010,916.2,924.0,910.5,916.1,912.3,61880.0,56731343.3
2026-08-27,GLOBUSSPR,EQUITY,EQ,INE615I01010,924.0,924.0,907.05,912.3,915.45,28085.0,25636129.0
2026-08-26,GLOBUSSPR,EQUITY,EQ,INE615I01010,922.25,922.4,906.1,915.45,917.7,120423.0,109935653.85
2026-08-25,GLOBUSSPR,EQUITY,EQ,INE615I01010,910.95,924.15,907.5,917.7,910.95,116295.0,106545313.15
