trade_date,symbol,asset_type,series,isin,open,high,low,close,prev_close,volume,traded_value
2025-01-17,GLS,EQUITY,EQ,INE03Q201024,1076.45,1095.0,1056.8,1084.35,1078.2,130938.0,141036066.95
2025-01-16,GLS,EQUITY,EQ,INE03Q201024,1064.8,1088.9,1045.55,1078.2,1065.6,86231.0,92439015.35
2025-01-15,GLS,EQUITY,EQ,INE03Q201024,1019.0,1074.0,1005.2,1065.6,1018.9,88833.0,92541379.2
2025-01-14,GLS,EQUITY,EQ,INE03Q201024,995.0,1025.0,976.1,1018.9,988.8,84155.0,84085969.3
2025-01-13,GLS,EQUITY,EQ,INE03Q201024,1005.9,1008.1,968.05,988.8,1011.1,142340.0,139776968.35
2025-01-10,GLS,EQUITY,EQ,INE03Q201024,1003.35,1029.95,998.05,1011.1,1028.85,55352.0,55933846.8
2025-01-09,GLS,EQUITY,EQ,INE03Q201024,1040.0,1050.25,1012.55,1028.85,1043.45,52143.0,53795116.2
2025-01-08,GLS,EQUITY,EQ,INE03Q201024,1048.6,1057.45,1030.4,1043.45,1043.5,46251.0,48178561.0
2025-01-07,GLS,EQUITY,EQ,INE03Q201024,1008.0,1056.0,1000.65,1043.5,1003.4,40763.0,41844507.1
2025-01-06,GLS,EQUITY,EQ,INE03Q201024,1029.7,1038.25,996.1,1003.4,1031.35,62769.0,63768534.85
2025-01-03,GLS,EQUITY,EQ,INE03Q201024,1034.0,1055.0,1021.1,1031.35,1030.45,56160.0,58184759.95
2025-01-02,GLS,EQUITY,EQ,INE03Q201024,1025.1,1044.0,1010.55,1030.45,1018.25,58809.0,60568220.1
2025-01-01,GLS,EQUITY,EQ,INE03Q201024,991.2,1040.0,980.15,1018.25,983.45,96027.0,97573271.05
2024-12-31,GLS,EQUITY,EQ,INE03Q201024,960.0,997.7,959.95,983.45,969.65,113191.0,110917329.3
2024-12-30,GLS,EQUITY,EQ,INE03Q201024,987.55,993.35,965.2,969.65,987.55,113969.0,110798221.5
2024-12-27,GLS,EQUITY,EQ,INE03Q201024,984.95,997.25,973.0,987.55,983.75,82023.0,80882148.15
2024-12-26,GLS,EQUITY,EQ,INE03Q201024,964.9,998.8,940.15,983.75,958.4,163431.0,157756875.05
2024-12-24,GLS,EQUITY,EQ,INE03Q201024,994.0,998.7,955.0,958.4,993.9,131203.0,126765295.55
2024-12-23,GLS,EQUITY,EQ,INE03Q201024,1015.0,1018.8,985.75,993.9,1013.3,106673.0,106108433.7
2024-12-20,GLS,EQUITY,EQ,INE03Q201024,1017.15,1030.0,1005.5,1013.3,1017.15,90190.0,91946229.9
2024-12-19,GLS,EQUITY,EQ,INE03Q201024,1014.0,1035.0,1007.0,1017.15,1031.25,80208.0,81949735.4
2024-12-18,GLS,EQUITY,EQ,INE03Q201024,1014.7,1054.9,999.95,1031.25,1011.85,86248.0,88446735.9
2024-12-17,GLS,EQUITY,EQ,INE03Q201024,1029.0,1033.45,1004.4,1011.85,1028.4,54430.0,55415425.05
2024-12-16,GLS,EQUITY,EQ,INE03Q201024,1027.9,1041.0,1013.1,1028.4,1018.15,52458.0,53860328.8
2024-12-13,GLS,EQUITY,EQ,INE03Q201024,1034.6,1039.45,1004.4,1018.15,1036.35,86659.0,88428190.8
2024-12-12,GLS,EQUITY,EQ,INE03Q201024,1049.85,1059.95,1015.8,1036.35,1049.85,80154.0,83788830.9
2024-12-11,GLS,EQUITY,EQ,INE03Q201024,1040.0,1055.0,1024.0,1049.85,1039.9,690694.0,724341034.35
2024-12-10,GLS,EQUITY,EQ,INE03Q201024,1030.0,1046.0,1012.0,1039.9,1029.75,131756.0,135371374.55
2024-12-09,GLS,EQUITY,EQ,INE03Q201024,1059.8,1077.75,1022.35,1029.75,1056.55,98826.0,103209274.9
2024-12-06,GLS,EQUITY,EQ,INE03Q201024,1081.0,1085.4,1048.05,1056.55,1075.15,110753.0,117827890.9
2024-12-05,GLS,EQUITY,EQ,INE03Q201024,1105.05,1112.0,1071.0,1075.15,1095.4,66348.0,72210219.9
2024-12-04,GLS,EQUITY,EQ,INE03Q201024,1095.05,1130.0,1090.0,1095.4,1085.4,115603.0,127638640.05
2024-12-03,GLS,EQUITY,EQ,INE03Q201024,1072.65,1105.3,1072.55,1085.4,1071.55,85159.0,92662032.2
2024-12-02,GLS,EQUITY,EQ,INE03Q201024,1080.1,1091.35,1068.2,1071.55,1084.1,60109.0,64821926.75
2024-11-29,GLS,EQUITY,EQ,INE03Q201024,1080.6,1093.85,1068.2,1084.1,1080.6,82904.0,89578664.95
2024-11-28,GLS,EQUITY,EQ,INE03Q201024,1085.95,1092.6,1068.2,1080.6,1082.8,57284.0,61713543.95
2024-11-27,GLS,EQUITY,EQ,INE03Q201024,1068.2,1090.0,1068.2,1082.8,1068.2,103941.0,112020147.2
2024-11-26,GLS,EQUITY,EQ,INE03Q201024,1090.05,1093.85,1051.0,1068.2,1092.65,77390.0,82747653.15
2024-11-25,GLS,EQUITY,EQ,INE03Q201024,1040.05,1110.0,1034.0,1092.65,1045.65,199676.0,216073892.85
2024-11-22,GLS,EQUITY,EQ,INE03Q201024,1080.05,1099.4,1032.2,1045.65,1080.05,82333.0,87996001.2
2024-11-21,GLS,EQUITY,EQ,INE03Q201024,1082.0,1095.85,1070.2,1080.05,1082.9,45105.0,48704440.55
2024-11-19,GLS,EQUITY,EQ,INE03Q201024,1083.0,1103.8,1070.2,1082.9,1081.55,68207.0,74280086.1
2024-11-18,GLS,EQUITY,EQ,INE03Q201024,1082.6,1100.0,1051.55,1081.55,1082.6,106571.0,113864639.75
2024-11-14,GLS,EQUITY,EQ,INE03Q201024,1040.0,1102.0,1040.0,1082.6,1059.75,72185.0,78633497.45
2024-11-13,GLS,EQUITY,EQ,INE03Q201024,1100.0,1105.75,1052.5,1059.75,1099.25,74345.0,79358342.85
2024-11-12,GLS,EQUITY,EQ,INE03Q201024,1076.25,1121.0,1075.0,1099.25,1091.0,88602.0,97140345.45
2024-11-11,GLS,EQUITY,EQ,INE03Q201024,1075.8,1103.8,1061.45,1091.0,1096.1,75217.0,81908787.2
2024-11-08,GLS,EQUITY,EQ,INE03Q201024,1116.75,1119.95,1090.0,1096.1,1116.75,51888.0,57113944.2
2024-11-07,GLS,EQUITY,EQ,INE03Q201024,1098.05,1164.0,1098.05,1116.75,1098.05,221498.0,251093978.35
2024-11-06,GLS,EQUITY,EQ,INE03Q201024,1066.6,1114.95,1065.45,1098.05,1061.95,67208.0,73480571.65
2024-11-05,GLS,EQUITY,EQ,INE03Q201024,1054.15,1104.0,1053.2,1061.95,1073.4,79497.0,85746272.65
2024-11-04,GLS,EQUITY,EQ,INE03Q201024,1055.0,1083.3,1044.65,1073.4,1051.0,95639.0,101893050.15
2024-11-01,GLS,EQUITY,EQ,INE03Q201024,1055.55,1084.0,1012.05,1051.0,1057.2,16598.0,17572262.35
2024-10-31,GLS,EQUITY,EQ,INE03Q201024,1026.0,1065.3,1018.2,1057.2,1027.45,125090.0,131121905.4
2024-10-30,GLS,EQUITY,EQ,INE03Q201024,1013.85,1036.0,1003.15,1027.45,1017.2,117625.0,119814416.45
2024-10-29,GLS,EQUITY,EQ,INE03Q201024,986.4,1022.0,976.25,1017.2,979.05,176368.0,177416989.15
2024-10-28,GLS,EQUITY,EQ,INE03Q201024,948.05,991.45,935.0,979.05,938.4,301709.0,291359227.65
2024-10-25,GLS,EQUITY,EQ,INE03Q201024,1015.0,1025.0,936.9,938.4,1041.0,566294.0,537524870.65
2024-10-24,GLS,EQUITY,EQ,INE03Q201024,1076.2,1091.95,1030.0,1041.0,1076.2,77131.0,80841449.15
2024-10-23,GLS,EQUITY,EQ,INE03Q201024,1045.25,1092.25,1015.55,1076.2,1045.25,127271.0,133950392.5
2024-10-22,GLS,EQUITY,EQ,INE03Q201024,1111.0,1128.75,1041.5,1045.25,1112.9,199110.0,215071527.2
2024-10-21,GLS,EQUITY,EQ,INE03Q201024,1139.85,1144.95,1105.05,1112.9,1130.0,55960.0,62693874.75
2024-10-18,GLS,EQUITY,EQ,INE03Q201024,1112.05,1143.7,1080.0,1130.0,1125.6,106844.0,119236204.7
2024-10-17,GLS,EQUITY,EQ,INE03Q201024,1173.0,1187.9,1120.0,1125.6,1173.2,124819.0,143777561.1
2024-10-16,GLS,EQUITY,EQ,INE03Q201024,1202.65,1216.35,1160.15,1173.2,1202.7,88076.0,104979809.3
2024-10-15,GLS,EQUITY,EQ,INE03Q201024,1160.05,1219.9,1160.05,1202.7,1172.4,217279.0,259074475.0
2024-10-14,GLS,EQUITY,EQ,INE03Q201024,1178.05,1199.95,1130.2,1172.4,1178.05,81710.0,96710954.1
2024-10-11,GLS,EQUITY,EQ,INE03Q201024,1173.0,1189.0,1151.0,1178.05,1178.0,98518.0,115508482.75
2024-10-10,GLS,EQUITY,EQ,INE03Q201024,1201.15,1213.75,1173.1,1178.0,1201.7,88379.0,105779939.65
2024-10-09,GLS,EQUITY,EQ,INE03Q201024,1201.0,1223.05,1185.0,1201.7,1203.25,134508.0,162192048.6
2024-10-08,GLS,EQUITY,EQ,INE03Q201024,1125.0,1220.0,1112.0,1203.25,1131.7,231553.0,271888214.7
2024-10-07,GLS,EQUITY,EQ,INE03Q201024,1150.05,1171.0,1110.0,1131.7,1151.65,239110.0,271149365.4
2024-10-04,GLS,EQUITY,EQ,INE03Q201024,1125.0,1185.0,1112.2,1151.65,1126.85,302257.0,345315340.15
2024-10-03,GLS,EQUITY,EQ,INE03Q201024,1104.95,1159.0,1088.1,1126.85,1123.3,334311.0,378790042.7
2024-10-01,GLS,EQUITY,EQ,INE03Q201024,1065.0,1129.0,1054.05,1123.3,1057.45,581392.0,638847555.25
2024-09-30,GLS,EQUITY,EQ,INE03Q201024,1044.0,1070.0,1023.55,1057.45,1030.3,319431.0,336660898.55
2024-09-27,GLS,EQUITY,EQ,INE03Q201024,1019.55,1075.0,1015.85,1030.3,1019.55,525380.0,549134595.85
2024-09-26,GLS,EQUITY,EQ,INE03Q201024,1067.0,1081.0,1012.2,1019.55,1057.6,202784.0,210653068.85
2024-09-25,GLS,EQUITY,EQ,INE03Q201024,1107.1,1127.0,1048.5,1057.6,1107.35,362586.0,391323782.8
2024-09-24,GLS,EQUITY,EQ,INE03Q201024,1146.2,1157.65,1103.05,1107.35,1136.15,154962.0,174673825.15
2024-09-23,GLS,EQUITY,EQ,INE03Q201024,1209.45,1210.0,1123.0,1136.15,1151.85,243251.0,279252847.05
2024-09-20,GLS,EQUITY,EQ,INE03Q201024,1188.9,1194.95,1140.5,1151.85,1188.85,310356.0,361659572.85
2024-09-19,GLS,EQUITY,EQ,INE03Q201024,1272.0,1278.45,1180.0,1188.85,1271.65,220472.0,267733187.05
2024-09-18,GLS,EQUITY,EQ,INE03Q201024,1300.15,1304.1,1252.2,1271.65,1310.55,119293.0,153474533.95
2024-09-17,GLS,EQUITY,EQ,INE03Q201024,1310.9,1326.45,1275.0,1310.55,1310.9,214777.0,279392884.25
2024-09-16,GLS,EQUITY,EQ,INE03Q201024,1280.0,1335.1,1252.35,1310.9,1292.85,302019.0,389704622.8
2024-09-13,GLS,EQUITY,EQ,INE03Q201024,1320.5,1323.0,1275.0,1292.85,1305.95,281694.0,366577572.6
2024-09-12,GLS,EQUITY,EQ,INE03Q201024,1281.85,1313.85,1252.05,1305.95,1289.3,335164.0,430951965.35
2024-09-11,GLS,EQUITY,EQ,INE03Q201024,1276.0,1325.0,1231.0,1289.3,1284.1,781407.0,1002110854.9
2024-09-10,GLS,EQUITY,EQ,INE03Q201024,1209.3,1299.0,1209.3,1284.1,1204.95,1274627.0,1605010246.4
