trade_date,symbol,asset_type,series,isin,open,high,low,close,prev_close,volume,traded_value
2026-09-11,GOKUL,EQUITY,EQ,INE020J01029,43.67,43.67,41.27,42.03,42.61,233417.0,9741772.67
2026-09-10,GOKUL,EQUITY,EQ,INE020J01029,43.8,43.8,41.6,42.61,42.78,242171.0,10368683.82
2026-09-09,GOKUL,EQUITY,EQ,INE020J01029,42.54,43.27,42.12,42.78,42.54,171792.0,7357308.73
2026-09-08,GOKUL,EQUITY,EQ,INE020J01029,43.8,44.4,42.02,42.54,42.85,154949.0,6674071.27
2026-09-07,GOKUL,EQUITY,EQ,INE020J01029,42.97,43.95,42.37,42.85,42.96,182713.0,7884999.79
2026-09-04,GOKUL,EQUITY,EQ,INE020J01029,41.6,43.9,41.44,42.96,41.95,221325.0,9410437.6
2026-09-03,GOKUL,EQUITY,EQ,INE020J01029,41.68,42.89,41.3,41.95,41.37,223577.0,9389197.8
2026-09-02,GOKUL,EQUITY,EQ,INE020J01029,40.7,41.77,40.5,41.37,41.53,219183.0,9040378.31
2026-09-01,GOKUL,EQUITY,EQ,INE020J01029,41.2,42.26,40.38,41.53,41.65,256692.0,10706797.21
2026-08-31,GOKUL,EQUITY,EQ,INE020J01029,42.46,42.88,41.12,41.65,42.46,162789.0,6901423.95
2026-08-28,GOKUL,EQUITY,EQ,INE020J01029,43.09,44.26,42.05,42.46,43.09,162046.0,6983626.35
2026-08-27,GOKUL,EQUITY,EQ,INE020J01029,45.7,45.7,42.82,43.09,44.14,254616.0,11175235.98
2026-08-26,GOKUL,EQUITY,EQ,INE020J01029,44.98,46.5,43.6,44.14,44.98,167894.0,7467100.7
2026-08-25,GOKUL,EQUITY,EQ,INE020J01029,44.87,46.0,43.56,44.98,44.36,289698.0,12964410.75
2026-08-24,GOKUL,EQUITY,EQ,INE020J01029,42.55,46.8,42.55,44.36,42.55,557589.0,25231117.9
2026-08-21,GOKUL,EQUITY,EQ,INE020J01029,40.96,43.1,40.5,42.55,40.43,377934.0,15800577.58
2026-08-20,GOKUL,EQUITY,EQ,INE020J01029,39.82,40.98,39.82,40.43,40.12,156742.0,6352809.16
2026-08-19,GOKUL,EQUITY,EQ,INE020J01029,38.93,40.8,38.71,40.12,39.01,221741.0,8782244.31
2026-08-18,GOKUL,EQUITY,EQ,INE020J01029,38.5,39.4,38.4,39.01,38.68,133664.0,5185363.4
2026-08-17,GOKUL,EQUITY,EQ,INE020J01029,38.87,39.25,38.15,38.68,38.87,152356.0,5871822.1
2026-08-14,GOKUL,EQUITY,EQ,INE020J01029,40.2,40.2,38.61,38.87,39.34,176871.0,6944955.05
2026-08-13,GOKUL,EQUITY,EQ,INE020J01029,39.94,40.53,39.25,39.34,39.53,155827.0,6221806.9
2026-08-12,GOKUL,EQUITY,EQ,INE020J01029,40.7,40.7,39.25,39.53,40.1,150973.0,5988687.73
2026-08-11,GOKUL,EQUITY,EQ,INE020J01029,39.22,40.5,39.22,40.1,39.44,147421.0,5843844.26
2026-08-10,GOKUL,EQUITY,EQ,INE020J01029,40.3,40.3,39.22,39.44,39.68,141483.0,5657028.85
2026-08-07,GOKUL,EQUITY,EQ,INE020J01029,40.46,40.59,39.52,39.68,40.04,141552.0,5709470.34
2026-08-06,GOKUL,EQUITY,EQ,INE020J01029,39.79,40.7,39.41,40.04,39.46,141015.0,5662026.48
2026-08-05,GOKUL,EQUITY,EQ,INE020J01029,40.0,40.0,39.12,39.46,39.26,129009.0,5115263.04
2026-08-04,GOKUL,EQUITY,EQ,INE020J01029,39.02,39.89,39.0,39.26,39.43,145431.0,5732434.4
2026-08-03,GOKUL,EQUITY,EQ,INE020J01029,39.05,39.99,38.9,39.43,39.05,148731.0,5879967.78
2026-07-31,GOKUL,EQUITY,EQ,INE020J01029,39.0,39.48,38.71,39.05,39.18,136006.0,5340722.26
2026-07-30,GOKUL,EQUITY,EQ,INE020J01029,39.02,39.49,38.86,39.18,39.21,122580.0,4817039.26
2026-07-29,GOKUL,EQUITY,EQ,INE020J01029,39.47,39.47,38.53,39.21,38.87,132901.0,5194328.4
2026-07-28,GOKUL,EQUITY,EQ,INE020J01029,40.17,40.35,38.46,38.87,39.61,155786.0,6170004.7
2026-07-27,GOKUL,EQUITY,EQ,INE020J01029,39.2,40.49,39.2,39.61,39.28,131018.0,5217346.47
2026-07-24,GOKUL,EQUITY,EQ,INE020J01029,39.01,39.98,39.01,39.28,39.8,131415.0,5184815.8
2026-07-23,GOKUL,EQUITY,EQ,INE020J01029,38.89,40.3,38.63,39.8,38.93,175400.0,6902872.86
2026-07-22,GOKUL,EQUITY,EQ,INE020J01029,39.52,40.0,38.74,38.93,39.44,153057.0,6045581.24
2026-07-21,GOKUL,EQUITY,EQ,INE020J01029,40.15,40.49,39.4,39.44,40.15,168632.0,6754694.31
2026-07-20,GOKUL,EQUITY,EQ,INE020J01029,40.04,40.5,39.67,40.15,40.04,145172.0,5808047.72
2026-07-17,GOKUL,EQUITY,EQ,INE020J01029,40.25,40.86,39.7,40.04,40.24,151277.0,6116320.71
2026-07-16,GOKUL,EQUITY,EQ,INE020J01029,40.75,41.47,40.11,40.24,40.75,157574.0,6443506.59
2026-07-15,GOKUL,EQUITY,EQ,INE020J01029,41.0,41.79,40.2,40.75,41.04,138450.0,5735634.63
2026-07-14,GOKUL,EQUITY,EQ,INE020J01029,41.86,42.24,41.0,41.04,41.53,140438.0,5847790.05
2026-07-13,GOKUL,EQUITY,EQ,INE020J01029,42.25,42.8,41.25,41.53,41.72,149655.0,6298785.83
2026-07-10,GOKUL,EQUITY,EQ,INE020J01029,40.98,43.0,40.32,41.72,40.42,190828.0,7918883.36
2026-07-09,GOKUL,EQUITY,EQ,INE020J01029,40.13,41.0,39.75,40.42,40.12,166713.0,6757509.08
2026-07-08,GOKUL,EQUITY,EQ,INE020J01029,41.1,41.65,40.05,40.12,41.33,157874.0,6513058.31
2026-07-07,GOKUL,EQUITY,EQ,INE020J01029,42.4,42.49,40.82,41.33,41.64,154839.0,6396875.01
2026-07-06,GOKUL,EQUITY,EQ,INE020J01029,42.0,42.55,41.46,41.64,41.52,128257.0,5378722.81
2026-07-03,GOKUL,EQUITY,EQ,INE020J01029,42.5,43.0,41.1,41.52,41.67,166608.0,7045371.94
2026-07-02,GOKUL,EQUITY,EQ,INE020J01029,41.78,42.18,41.63,41.67,41.6,136390.0,5721256.99
2026-07-01,GOKUL,EQUITY,EQ,INE020J01029,42.08,42.37,41.22,41.6,41.25,149891.0,6239033.02
2026-06-30,GOKUL,EQUITY,EQ,INE020J01029,41.3,42.96,41.2,41.25,41.94,177237.0,7408639.71
2026-06-29,GOKUL,EQUITY,EQ,INE020J01029,41.6,43.9,41.26,41.94,41.6,211983.0,9037427.55
2026-06-25,GOKUL,EQUITY,EQ,INE020J01029,43.0,43.17,41.5,41.6,43.01,194461.0,8210716.98
2026-06-24,GOKUL,EQUITY,EQ,INE020J01029,42.29,44.2,42.0,43.01,42.29,230793.0,9989528.52
2026-06-23,GOKUL,EQUITY,EQ,INE020J01029,44.24,44.24,42.1,42.29,43.67,172983.0,7447070.47
2026-06-22,GOKUL,EQUITY,EQ,INE020J01029,41.06,45.5,41.06,43.67,41.67,339398.0,14789221.98
2026-06-19,GOKUL,EQUITY,EQ,INE020J01029,41.45,42.4,41.21,41.67,41.34,162134.0,6768616.62
2026-06-18,GOKUL,EQUITY,EQ,INE020J01029,42.11,43.0,41.2,41.34,42.5,145636.0,6137249.21
2026-06-17,GOKUL,EQUITY,EQ,INE020J01029,41.5,43.5,41.31,42.5,40.71,244863.0,10356153.49
2026-06-16,GOKUL,EQUITY,EQ,INE020J01029,40.85,41.9,40.64,40.71,40.97,660590.0,26970678.61
2026-06-15,GOKUL,EQUITY,EQ,INE020J01029,42.2,42.2,40.7,40.97,40.66,145110.0,6009872.34
2026-06-12,GOKUL,EQUITY,EQ,INE020J01029,40.95,43.99,40.2,40.66,39.99,247910.0,10411202.63
2026-06-11,GOKUL,EQUITY,EQ,INE020J01029,41.47,41.92,39.51,39.99,40.94,180578.0,7399053.65
2026-06-10,GOKUL,EQUITY,EQ,INE020J01029,40.92,41.25,40.58,40.94,40.68,121538.0,4974803.08
2026-06-09,GOKUL,EQUITY,EQ,INE020J01029,40.95,41.7,40.21,40.68,40.34,150619.0,6146157.13
2026-06-08,GOKUL,EQUITY,EQ,INE020J01029,40.0,40.99,39.55,40.34,40.29,129499.0,5261398.95
2026-06-05,GOKUL,EQUITY,EQ,INE020J01029,41.85,41.85,40.01,40.29,40.43,124357.0,5105673.31
2026-06-04,GOKUL,EQUITY,EQ,INE020J01029,40.4,41.4,40.0,40.43,40.47,134821.0,5502437.4
2026-06-03,GOKUL,EQUITY,EQ,INE020J01029,41.45,42.5,40.2,40.47,41.25,163783.0,6794482.46
2026-06-02,GOKUL,EQUITY,EQ,INE020J01029,40.6,41.98,40.6,41.25,42.0,144278.0,5999753.45
2026-06-01,GOKUL,EQUITY,EQ,INE020J01029,41.29,42.8,40.55,42.0,41.07,145931.0,6053346.46
2026-05-29,GOKUL,EQUITY,EQ,INE020J01029,43.85,44.93,40.5,41.07,43.84,203541.0,8622779.8
2026-05-27,GOKUL,EQUITY,EQ,INE020J01029,41.32,44.99,40.8,43.84,41.08,275981.0,11704582.55
2026-05-26,GOKUL,EQUITY,EQ,INE020J01029,41.85,41.85,40.55,41.08,41.3,140560.0,5793622.29
2026-05-25,GOKUL,EQUITY,EQ,INE020J01029,40.54,41.5,40.5,41.3,40.3,167175.0,6893783.52
2026-05-22,GOKUL,EQUITY,EQ,INE020J01029,40.79,40.79,40.01,40.3,39.82,134349.0,5417026.34
2026-05-21,GOKUL,EQUITY,EQ,INE020J01029,41.11,41.87,39.5,39.82,41.11,217618.0,8844413.56
2026-05-20,GOKUL,EQUITY,EQ,INE020J01029,40.82,41.78,40.8,41.11,41.6,141817.0,5854616.97
2026-05-19,GOKUL,EQUITY,EQ,INE020J01029,41.88,42.05,40.52,41.6,41.02,135606.0,5633409.1
2026-05-18,GOKUL,EQUITY,EQ,INE020J01029,43.0,43.0,40.54,41.02,42.92,137721.0,5664970.31
2026-05-15,GOKUL,EQUITY,EQ,INE020J01029,43.9,45.0,42.56,42.92,42.35,174127.0,7597922.99
2026-05-14,GOKUL,EQUITY,EQ,INE020J01029,40.15,45.4,40.1,42.35,40.19,373369.0,16084683.27
2026-05-13,GOKUL,EQUITY,EQ,INE020J01029,38.81,40.79,38.81,40.19,39.3,156931.0,6284646.78
2026-05-12,GOKUL,EQUITY,EQ,INE020J01029,40.23,40.87,38.6,39.3,40.23,119511.0,4724527.93
2026-05-11,GOKUL,EQUITY,EQ,INE020J01029,39.64,40.6,38.8,40.23,39.64,132176.0,5243906.93
2026-05-08,GOKUL,EQUITY,EQ,INE020J01029,39.64,40.5,39.02,39.64,39.64,43629.0,1745401.59
2026-05-07,GOKUL,EQUITY,EQ,INE020J01029,40.78,40.78,38.7,39.64,40.18,36566.0,1445728.15
2026-05-06,GOKUL,EQUITY,EQ,INE020J01029,40.9,41.0,39.6,40.18,40.28,24003.0,960687.94
2026-05-05,GOKUL,EQUITY,EQ,INE020J01029,39.32,40.86,39.32,40.28,39.73,33969.0,1363412.84
2026-05-04,GOKUL,EQUITY,EQ,INE020J01029,39.25,40.79,39.25,39.73,39.65,6374.0,253651.46
2026-04-30,GOKUL,EQUITY,EQ,INE020J01029,39.89,40.7,39.05,39.65,39.89,13229.0,523802.82
2026-04-29,GOKUL,EQUITY,EQ,INE020J01029,40.74,41.29,39.32,39.89,40.74,19492.0,784743.08
2026-04-28,GOKUL,EQUITY,EQ,INE020J01029,39.11,41.44,39.11,40.74,40.41,12517.0,509258.72
2026-04-27,GOKUL,EQUITY,EQ,INE020J01029,39.53,41.4,39.53,40.41,39.41,9438.0,380527.73
2026-04-24,GOKUL,EQUITY,EQ,INE020J01029,41.45,41.45,39.03,39.41,40.52,14646.0,577156.98
2026-04-23,GOKUL,EQUITY,EQ,INE020J01029,41.7,41.7,40.01,40.52,40.86,13701.0,555762.44
2026-04-22,GOKUL,EQUITY,EQ,INE020J01029,40.23,41.75,40.23,40.86,40.56,43747.0,1788019.66
2026-04-21,GOKUL,EQUITY,EQ,INE020J01029,41.95,41.95,40.4,40.56,41.25,18174.0,743961.93
2026-04-20,GOKUL,EQUITY,EQ,INE020J01029,40.48,42.4,39.15,41.25,39.96,76959.0,3146015.94
2026-04-17,GOKUL,EQUITY,EQ,INE020J01029,40.24,40.24,38.72,39.96,39.44,22941.0,912895.3
2026-04-16,GOKUL,EQUITY,EQ,INE020J01029,39.58,40.24,39.0,39.44,39.4,9037.0,356237.44
2026-04-15,GOKUL,EQUITY,EQ,INE020J01029,39.0,40.3,39.0,39.4,38.84,10271.0,406895.82
2026-04-13,GOKUL,EQUITY,EQ,INE020J01029,40.3,40.3,38.2,38.84,39.9,14098.0,550793.42
2026-04-10,GOKUL,EQUITY,EQ,INE020J01029,40.3,40.3,38.5,39.9,39.06,31722.0,1264926.51
2026-04-09,GOKUL,EQUITY,EQ,INE020J01029,39.91,40.1,39.01,39.06,39.91,11113.0,439943.93
2026-04-08,GOKUL,EQUITY,EQ,INE020J01029,39.5,40.5,39.2,39.91,39.19,33058.0,1318876.38
2026-04-07,GOKUL,EQUITY,EQ,INE020J01029,39.99,39.99,38.4,39.19,39.39,14172.0,557965.69
2026-04-06,GOKUL,EQUITY,EQ,INE020J01029,38.01,39.5,38.01,39.39,38.2,13360.0,519422.44
2026-04-02,GOKUL,EQUITY,EQ,INE020J01029,36.95,39.49,35.8,38.2,37.79,30292.0,1143921.13
2026-04-01,GOKUL,EQUITY,EQ,INE020J01029,35.11,37.9,35.11,37.79,34.66,39052.0,1438992.14
2026-03-30,GOKUL,EQUITY,EQ,INE020J01029,37.73,37.73,34.1,34.66,38.12,76242.0,2692981.36
2026-03-27,GOKUL,EQUITY,EQ,INE020J01029,38.5,40.0,38.07,38.12,39.44,29047.0,1112904.08
2026-03-25,GOKUL,EQUITY,EQ,INE020J01029,40.41,40.6,39.12,39.44,39.62,14818.0,595885.19
2026-03-24,GOKUL,EQUITY,EQ,INE020J01029,39.53,41.05,39.5,39.62,39.53,40037.0,1611331.24
2026-03-23,GOKUL,EQUITY,EQ,INE020J01029,42.05,42.19,39.24,39.53,42.92,83281.0,3344111.14
2026-03-20,GOKUL,EQUITY,EQ,INE020J01029,41.24,44.39,41.24,42.92,41.11,128442.0,5561078.2
2026-03-19,GOKUL,EQUITY,EQ,INE020J01029,42.7,42.7,40.9,41.11,42.86,111673.0,4656223.08
2026-03-18,GOKUL,EQUITY,EQ,INE020J01029,41.5,43.8,41.38,42.86,40.57,304102.0,12921141.08
2026-03-17,GOKUL,EQUITY,EQ,INE020J01029,40.35,41.4,40.05,40.57,40.12,30752.0,1249305.03
2026-03-16,GOKUL,EQUITY,EQ,INE020J01029,42.0,42.0,38.41,40.12,40.7,89672.0,3634502.63
2026-03-13,GOKUL,EQUITY,EQ,INE020J01029,42.0,43.88,39.3,40.7,41.22,94799.0,3956923.49
2026-03-12,GOKUL,EQUITY,EQ,INE020J01029,41.92,41.92,41.03,41.22,41.78,26450.0,1097660.16
2026-03-11,GOKUL,EQUITY,EQ,INE020J01029,40.57,42.8,40.2,41.78,40.44,66799.0,2796196.56
2026-03-10,GOKUL,EQUITY,EQ,INE020J01029,40.01,40.74,40.0,40.44,40.02,73253.0,2955982.2
2026-03-09,GOKUL,EQUITY,EQ,INE020J01029,37.55,40.8,37.55,40.02,39.99,71341.0,2818829.77
2026-03-06,GOKUL,EQUITY,EQ,INE020J01029,40.85,40.85,39.13,39.99,39.91,27816.0,1106730.35
2026-03-05,GOKUL,EQUITY,EQ,INE020J01029,39.4,40.87,39.06,39.91,38.64,47905.0,1905912.95
2026-03-04,GOKUL,EQUITY,EQ,INE020J01029,36.55,39.3,36.55,38.64,36.58,74091.0,2803530.26
2026-03-02,GOKUL,EQUITY,EQ,INE020J01029,38.5,39.26,36.3,36.58,40.34,46119.0,1743610.45
2026-02-27,GOKUL,EQUITY,EQ,INE020J01029,40.86,41.89,39.6,40.34,41.4,46382.0,1898194.81
