trade_date,symbol,asset_type,series,isin,open,high,low,close,prev_close,volume,traded_value
2025-12-23,GOLDSHARE,EQUITY,EQ,INF789F1AUX7,116.1,116.3,114.0,114.9,113.3,1196818.0,137583809.75
2025-12-22,GOLDSHARE,EQUITY,EQ,INF789F1AUX7,111.65,113.9,108.85,113.3,111.65,1403380.0,158719598.95
2025-12-19,GOLDSHARE,EQUITY,EQ,INF789F1AUX7,112.0,112.0,111.05,111.65,111.65,1009393.0,112592567.2
2025-12-18,GOLDSHARE,EQUITY,EQ,INF789F1AUX7,114.0,114.0,111.1,111.65,111.8,635787.0,71035368.1
2025-12-17,GOLDSHARE,EQUITY,EQ,INF789F1AUX7,114.1,114.1,111.2,111.8,111.35,1181073.0,131985255.9
2025-12-16,GOLDSHARE,EQUITY,EQ,INF789F1AUX7,112.55,112.8,111.05,111.35,112.65,1216640.0,135454261.55
2025-12-15,GOLDSHARE,EQUITY,EQ,INF789F1AUX7,113.9,113.9,111.4,112.65,111.15,988672.0,111085089.3
2025-12-12,GOLDSHARE,EQUITY,EQ,INF789F1AUX7,111.4,111.4,106.0,111.15,108.7,879571.0,96997822.25
2025-12-11,GOLDSHARE,EQUITY,EQ,INF789F1AUX7,105.25,108.85,105.25,108.7,107.95,358664.0,38886752.6
2025-12-10,GOLDSHARE,EQUITY,EQ,INF789F1AUX7,107.3,108.8,107.3,107.95,108.0,688550.0,74370335.55
2025-12-09,GOLDSHARE,EQUITY,EQ,INF789F1AUX7,108.85,108.9,107.25,108.0,108.45,741346.0,79972389.75
2025-12-08,GOLDSHARE,EQUITY,EQ,INF789F1AUX7,108.65,109.15,107.9,108.45,108.5,886373.0,96147051.9
2025-12-05,GOLDSHARE,EQUITY,EQ,INF789F1AUX7,110.15,110.15,104.85,108.5,107.5,775423.0,83991980.15
2025-12-04,GOLDSHARE,EQUITY,EQ,INF789F1AUX7,107.9,108.3,107.25,107.5,107.9,730453.0,78659675.35
2025-12-03,GOLDSHARE,EQUITY,EQ,INF789F1AUX7,107.4,108.55,107.15,107.9,107.4,335291.0,36254198.05
2025-12-02,GOLDSHARE,EQUITY,EQ,INF789F1AUX7,105.55,109.1,105.55,107.4,108.25,976379.0,105489231.1
2025-12-01,GOLDSHARE,EQUITY,EQ,INF789F1AUX7,107.15,108.9,107.15,108.25,105.9,1400333.0,151153721.5
2025-11-28,GOLDSHARE,EQUITY,EQ,INF789F1AUX7,108.4,108.4,105.5,105.9,105.8,404191.0,42863099.4
2025-11-27,GOLDSHARE,EQUITY,EQ,INF789F1AUX7,108.35,108.35,104.6,105.8,105.75,377020.0,39857299.3
2025-11-26,GOLDSHARE,EQUITY,EQ,INF789F1AUX7,105.8,106.0,105.55,105.75,104.9,520698.0,55106084.15
2025-11-25,GOLDSHARE,EQUITY,EQ,INF789F1AUX7,104.5,105.45,104.4,104.9,103.75,3065551.0,322589594.5
