trade_date,symbol,asset_type,series,isin,open,high,low,close,prev_close,volume,traded_value
2026-09-09,GPIL,EQUITY,EQ,INE177H01039,245.0,255.0,243.99,253.04,245.71,3124495.0,786000222.64
2026-09-08,GPIL,EQUITY,EQ,INE177H01039,243.8,247.06,242.5,245.71,244.05,1287350.0,315710111.18
2026-09-07,GPIL,EQUITY,EQ,INE177H01039,242.79,245.2,239.43,244.05,240.67,1531854.0,371310831.52
2026-09-04,GPIL,EQUITY,EQ,INE177H01039,239.9,243.86,238.89,240.67,239.9,985110.0,237575251.09
2026-09-03,GPIL,EQUITY,EQ,INE177H01039,240.99,243.08,237.22,239.9,239.39,966236.0,231228996.0
2026-09-02,GPIL,EQUITY,EQ,INE177H01039,243.41,243.41,237.01,239.39,243.41,1989265.0,476450164.32
2026-09-01,GPIL,EQUITY,EQ,INE177H01039,245.0,245.39,239.1,243.41,243.67,1079861.0,261342340.2
2026-08-31,GPIL,EQUITY,EQ,INE177H01039,239.6,248.05,237.65,243.67,239.85,2891684.0,707208326.1
2026-08-28,GPIL,EQUITY,EQ,INE177H01039,240.6,247.0,239.0,239.85,240.33,837487.0,202434177.25
2026-08-27,GPIL,EQUITY,EQ,INE177H01039,246.05,247.49,238.65,240.33,245.83,1241037.0,301608301.13
2026-08-26,GPIL,EQUITY,EQ,INE177H01039,245.6,246.75,239.94,245.83,244.26,1152073.0,280464736.32
2026-08-25,GPIL,EQUITY,EQ,INE177H01039,245.27,247.04,243.24,244.26,245.27,633517.0,155093398.05
2026-08-24,GPIL,EQUITY,EQ,INE177H01039,247.05,250.0,244.1,245.27,245.09,1149287.0,283819875.51
2026-08-21,GPIL,EQUITY,EQ,INE177H01039,248.0,251.89,244.2,245.09,247.88,1383669.0,342985743.05
2026-08-20,GPIL,EQUITY,EQ,INE177H01039,246.51,249.1,244.72,247.88,246.1,1275437.0,315219907.24
2026-08-19,GPIL,EQUITY,EQ,INE177H01039,254.0,254.44,245.54,246.1,255.22,1219967.0,304525351.99
2026-08-18,GPIL,EQUITY,EQ,INE177H01039,251.01,256.0,248.07,255.22,250.82,2695925.0,683401894.05
2026-08-17,GPIL,EQUITY,EQ,INE177H01039,235.43,253.0,232.9,250.82,235.43,4360351.0,1074452193.78
2026-08-14,GPIL,EQUITY,EQ,INE177H01039,241.63,242.07,233.5,235.43,243.31,2146682.0,506952622.48
2026-08-13,GPIL,EQUITY,EQ,INE177H01039,229.98,246.93,229.98,243.31,228.99,7876082.0,1904017619.16
2026-08-12,GPIL,EQUITY,EQ,INE177H01039,234.18,234.95,228.31,228.99,232.18,1651494.0,380772787.96
2026-08-11,GPIL,EQUITY,EQ,INE177H01039,235.0,237.35,231.0,232.18,237.15,1892197.0,441499484.81
2026-08-10,GPIL,EQUITY,EQ,INE177H01039,236.0,240.75,232.0,237.15,240.61,1767905.0,417817073.13
2026-08-07,GPIL,EQUITY,EQ,INE177H01039,243.0,244.51,236.0,240.61,244.76,1747484.0,419640270.03
2026-08-06,GPIL,EQUITY,EQ,INE177H01039,248.4,251.89,240.1,244.76,246.33,2039264.0,504670197.3
2026-08-05,GPIL,EQUITY,EQ,INE177H01039,245.15,248.4,244.53,246.33,244.71,959407.0,236724270.25
2026-08-04,GPIL,EQUITY,EQ,INE177H01039,243.96,247.5,242.56,244.71,244.37,562383.0,138038361.05
2026-08-03,GPIL,EQUITY,EQ,INE177H01039,244.05,248.95,240.0,244.37,242.4,1106208.0,273114134.8
2026-07-31,GPIL,EQUITY,EQ,INE177H01039,249.35,250.45,241.3,242.4,249.35,1400568.0,342864349.1
2026-07-30,GPIL,EQUITY,EQ,INE177H01039,244.05,252.8,244.05,249.35,251.8,854669.0,212841924.55
