trade_date,symbol,asset_type,series,isin,open,high,low,close,prev_close,volume,traded_value
2026-09-11,GRASIM,EQUITY,EQ,INE047A01021,3302.4,3302.4,3267.0,3281.9,3319.0,515990.0,1691874039.3
2026-09-10,GRASIM,EQUITY,EQ,INE047A01021,3290.0,3324.4,3279.9,3319.0,3300.0,1056285.0,3495664432.6
2026-09-09,GRASIM,EQUITY,EQ,INE047A01021,3305.0,3320.0,3279.0,3300.0,3306.8,850901.0,2803693745.4
2026-09-08,GRASIM,EQUITY,EQ,INE047A01021,3302.4,3318.2,3277.0,3306.8,3302.4,875447.0,2886458226.3
2026-09-07,GRASIM,EQUITY,EQ,INE047A01021,3322.0,3327.7,3293.0,3302.4,3322.0,1179298.0,3897084172.2
2026-09-04,GRASIM,EQUITY,EQ,INE047A01021,3318.9,3332.6,3268.1,3322.0,3310.0,892704.0,2961317292.4
2026-09-03,GRASIM,EQUITY,EQ,INE047A01021,3275.1,3325.2,3275.1,3310.0,3294.9,2310916.0,7633741651.4
2026-09-02,GRASIM,EQUITY,EQ,INE047A01021,3292.0,3298.3,3235.5,3294.9,3305.0,1085964.0,3545755225.4
2026-09-01,GRASIM,EQUITY,EQ,INE047A01021,3337.0,3337.0,3287.1,3305.0,3371.0,818556.0,2705772583.8
2026-08-31,GRASIM,EQUITY,EQ,INE047A01021,3290.0,3371.0,3250.0,3371.0,3290.0,1019104.0,3381665845.3
2026-08-28,GRASIM,EQUITY,EQ,INE047A01021,3261.0,3292.5,3229.0,3290.0,3258.0,676185.0,2199548744.5
2026-08-27,GRASIM,EQUITY,EQ,INE047A01021,3289.0,3299.8,3258.0,3258.0,3299.9,733124.0,2402830887.7
2026-08-26,GRASIM,EQUITY,EQ,INE047A01021,3291.0,3310.0,3262.4,3299.9,3289.6,1112414.0,3655045609.2
2026-08-25,GRASIM,EQUITY,EQ,INE047A01021,3287.9,3300.2,3222.1,3289.6,3288.0,1752045.0,5711284517.1
2026-08-24,GRASIM,EQUITY,EQ,INE047A01021,3316.0,3316.0,3263.0,3288.0,3308.0,1615909.0,5310540435.3
2026-08-21,GRASIM,EQUITY,EQ,INE047A01021,3280.0,3343.1,3258.0,3308.0,3300.0,1465361.0,4827295002.3
2026-08-20,GRASIM,EQUITY,EQ,INE047A01021,3280.0,3310.0,3250.0,3300.0,3270.0,1182213.0,3875953205.5
2026-08-19,GRASIM,EQUITY,EQ,INE047A01021,3278.7,3278.7,3223.0,3270.0,3278.7,978120.0,3183878754.8
2026-08-18,GRASIM,EQUITY,EQ,INE047A01021,3257.0,3297.7,3250.5,3278.7,3250.5,1498859.0,4915674508.8
2026-08-17,GRASIM,EQUITY,EQ,INE047A01021,3240.0,3272.2,3223.5,3250.5,3248.7,1324345.0,4308050194.1
2026-08-14,GRASIM,EQUITY,EQ,INE047A01021,3264.8,3264.8,3221.0,3248.7,3257.0,476082.0,1542983734.8
