trade_date,symbol,asset_type,series,isin,open,high,low,close,prev_close,volume,traded_value
2026-09-10,GREAVESCOT,EQUITY,EQ,INE224A01026,192.0,199.4,191.1,193.6,192.38,1100510.0,215952060.78
2026-09-09,GREAVESCOT,EQUITY,EQ,INE224A01026,192.65,194.7,190.6,192.38,193.06,561514.0,107874514.82
2026-09-08,GREAVESCOT,EQUITY,EQ,INE224A01026,195.5,195.8,192.31,193.06,194.45,467258.0,90291534.04
2026-09-07,GREAVESCOT,EQUITY,EQ,INE224A01026,196.0,196.49,192.1,194.45,195.56,725978.0,141100512.55
2026-09-04,GREAVESCOT,EQUITY,EQ,INE224A01026,193.5,197.07,193.21,195.56,194.78,467649.0,91205437.89
2026-09-03,GREAVESCOT,EQUITY,EQ,INE224A01026,194.5,197.89,194.12,194.78,194.2,543561.0,106512356.25
2026-09-02,GREAVESCOT,EQUITY,EQ,INE224A01026,195.0,196.66,193.25,194.2,197.8,785920.0,153078627.36
2026-09-01,GREAVESCOT,EQUITY,EQ,INE224A01026,197.8,199.99,194.03,197.8,197.8,1030615.0,203557160.33
2026-08-31,GREAVESCOT,EQUITY,EQ,INE224A01026,194.0,199.1,191.01,197.8,194.41,1414011.0,276795017.47
2026-08-28,GREAVESCOT,EQUITY,EQ,INE224A01026,192.02,196.53,192.02,194.41,191.17,884651.0,172066783.07
2026-08-27,GREAVESCOT,EQUITY,EQ,INE224A01026,195.5,195.59,190.9,191.17,195.62,624598.0,120026218.58
2026-08-26,GREAVESCOT,EQUITY,EQ,INE224A01026,192.01,197.24,192.01,195.62,192.18,704383.0,137615302.68
2026-08-25,GREAVESCOT,EQUITY,EQ,INE224A01026,192.6,193.74,189.52,192.18,192.6,771967.0,147842148.45
2026-08-24,GREAVESCOT,EQUITY,EQ,INE224A01026,194.1,197.9,192.0,192.6,192.48,799860.0,156052528.11
2026-08-21,GREAVESCOT,EQUITY,EQ,INE224A01026,191.2,194.9,191.2,192.48,191.0,654210.0,126470959.18
2026-08-20,GREAVESCOT,EQUITY,EQ,INE224A01026,196.15,196.55,190.3,191.0,195.03,984850.0,189777373.83
2026-08-19,GREAVESCOT,EQUITY,EQ,INE224A01026,198.58,198.59,194.12,195.03,198.59,697212.0,136193972.83
2026-08-18,GREAVESCOT,EQUITY,EQ,INE224A01026,194.2,200.95,194.01,198.59,195.01,1164415.0,230575113.47
2026-08-17,GREAVESCOT,EQUITY,EQ,INE224A01026,194.37,196.25,193.58,195.01,194.37,769141.0,149932253.59
2026-08-14,GREAVESCOT,EQUITY,EQ,INE224A01026,198.4,198.4,193.5,194.37,198.44,587124.0,114729716.06
2026-08-13,GREAVESCOT,EQUITY,EQ,INE224A01026,194.0,201.25,193.57,198.44,193.76,1458110.0,289257581.66
2026-08-12,GREAVESCOT,EQUITY,EQ,INE224A01026,198.1,198.49,190.57,193.76,197.78,1212348.0,235306456.73
2026-08-11,GREAVESCOT,EQUITY,EQ,INE224A01026,195.0,198.5,191.97,197.78,195.08,2874115.0,562690503.1
2026-08-10,GREAVESCOT,EQUITY,EQ,INE224A01026,199.02,200.19,194.34,195.08,198.85,989927.0,194984417.18
2026-08-07,GREAVESCOT,EQUITY,EQ,INE224A01026,202.0,203.3,197.57,198.85,201.55,1191734.0,238226843.77
2026-08-06,GREAVESCOT,EQUITY,EQ,INE224A01026,196.75,204.49,196.4,201.55,195.92,2270377.0,456531283.09
2026-08-05,GREAVESCOT,EQUITY,EQ,INE224A01026,202.0,207.24,194.5,195.92,200.0,6445468.0,1296217058.48
2026-08-04,GREAVESCOT,EQUITY,EQ,INE224A01026,233.0,236.9,197.5,200.0,232.67,13042294.0,2721867306.46
2026-08-03,GREAVESCOT,EQUITY,EQ,INE224A01026,240.0,241.85,231.2,232.67,238.05,1179564.0,278826185.17
2026-07-31,GREAVESCOT,EQUITY,EQ,INE224A01026,231.75,239.96,230.79,238.05,231.81,967530.0,229173660.56
2026-07-30,GREAVESCOT,EQUITY,EQ,INE224A01026,238.51,238.99,231.1,231.81,239.64,1086931.0,254885594.45
2026-07-29,GREAVESCOT,EQUITY,EQ,INE224A01026,238.68,242.36,237.1,239.64,238.68,608912.0,146305017.39
2026-07-28,GREAVESCOT,EQUITY,EQ,INE224A01026,243.1,244.7,238.0,238.68,245.99,780658.0,187887917.66
2026-07-27,GREAVESCOT,EQUITY,EQ,INE224A01026,247.1,251.92,244.2,245.99,246.32,1108107.0,274088979.66
2026-07-24,GREAVESCOT,EQUITY,EQ,INE224A01026,236.9,248.61,231.55,246.32,237.17,1981826.0,478318198.04
2026-07-23,GREAVESCOT,EQUITY,EQ,INE224A01026,239.0,242.5,234.33,237.17,239.88,1063900.0,252897142.04
2026-07-22,GREAVESCOT,EQUITY,EQ,INE224A01026,248.11,251.6,239.1,239.88,248.11,1449781.0,355521947.94
