trade_date,symbol,asset_type,series,isin,open,high,low,close,prev_close,volume,traded_value
2026-09-09,GROWWNET,EQUITY,EQ,INF666M01LI4,10.99,11.2,10.66,10.77,10.86,399148.0,4315077.58
2026-09-08,GROWWNET,EQUITY,EQ,INF666M01LI4,10.7,11.06,10.09,10.86,10.79,657563.0,7104004.72
2026-09-07,GROWWNET,EQUITY,EQ,INF666M01LI4,10.96,10.96,10.73,10.79,10.86,469311.0,5071271.09
2026-09-04,GROWWNET,EQUITY,EQ,INF666M01LI4,10.95,10.95,10.63,10.86,10.79,490430.0,5325755.49
2026-09-03,GROWWNET,EQUITY,EQ,INF666M01LI4,10.94,10.94,10.7,10.79,10.73,1203003.0,12964301.61
2026-09-02,GROWWNET,EQUITY,EQ,INF666M01LI4,10.71,10.95,10.6,10.73,10.77,823244.0,8781277.25
2026-09-01,GROWWNET,EQUITY,EQ,INF666M01LI4,11.04,11.04,10.69,10.77,10.84,471216.0,5096065.71
2026-08-31,GROWWNET,EQUITY,EQ,INF666M01LI4,10.86,10.92,10.76,10.84,10.88,786689.0,8540132.14
2026-08-28,GROWWNET,EQUITY,EQ,INF666M01LI4,11.09,11.09,10.81,10.88,11.0,480119.0,5246106.72
2026-08-27,GROWWNET,EQUITY,EQ,INF666M01LI4,10.96,11.06,10.9,11.0,10.96,457707.0,5029928.35
2026-08-26,GROWWNET,EQUITY,EQ,INF666M01LI4,10.99,11.08,10.93,10.96,10.97,1156629.0,12716190.15
2026-08-25,GROWWNET,EQUITY,EQ,INF666M01LI4,11.0,11.02,10.65,10.97,10.8,1411953.0,15364041.11
2026-08-24,GROWWNET,EQUITY,EQ,INF666M01LI4,10.8,10.94,10.75,10.8,10.76,301930.0,3265684.03
2026-08-21,GROWWNET,EQUITY,EQ,INF666M01LI4,10.95,10.95,10.56,10.76,10.76,1134333.0,12233267.45
2026-08-20,GROWWNET,EQUITY,EQ,INF666M01LI4,10.67,10.8,10.51,10.76,10.56,318459.0,3417567.92
2026-08-19,GROWWNET,EQUITY,EQ,INF666M01LI4,10.61,10.66,10.45,10.56,10.56,197282.0,2087295.56
2026-08-18,GROWWNET,EQUITY,EQ,INF666M01LI4,10.84,10.84,10.5,10.56,10.65,273605.0,2888561.79
2026-08-17,GROWWNET,EQUITY,EQ,INF666M01LI4,10.41,10.69,10.41,10.65,10.62,418099.0,4446099.1
2026-08-14,GROWWNET,EQUITY,EQ,INF666M01LI4,10.39,10.7,10.39,10.62,10.6,517166.0,5495859.42
2026-08-13,GROWWNET,EQUITY,EQ,INF666M01LI4,10.52,10.66,10.4,10.6,10.52,360169.0,3821128.47
2026-08-12,GROWWNET,EQUITY,EQ,INF666M01LI4,10.61,10.8,10.47,10.52,10.61,391714.0,4123566.14
2026-08-11,GROWWNET,EQUITY,EQ,INF666M01LI4,10.67,10.67,10.2,10.61,10.41,611933.0,6442999.98
2026-08-10,GROWWNET,EQUITY,EQ,INF666M01LI4,10.33,10.45,10.09,10.41,10.28,1091954.0,11328379.93
2026-08-07,GROWWNET,EQUITY,EQ,INF666M01LI4,10.45,10.45,10.13,10.28,10.32,388086.0,3988312.95
2026-08-06,GROWWNET,EQUITY,EQ,INF666M01LI4,10.47,10.47,10.16,10.32,10.26,757978.0,7841912.61
2026-08-05,GROWWNET,EQUITY,EQ,INF666M01LI4,10.13,10.42,10.13,10.26,10.2,281746.0,2897796.03
2026-08-04,GROWWNET,EQUITY,EQ,INF666M01LI4,10.31,10.4,10.11,10.2,10.31,406799.0,4183342.84
2026-08-03,GROWWNET,EQUITY,EQ,INF666M01LI4,10.0,10.35,10.0,10.31,10.04,844267.0,8658922.73
2026-07-31,GROWWNET,EQUITY,EQ,INF666M01LI4,9.88,10.22,9.88,10.04,10.08,275370.0,2773131.64
2026-07-30,GROWWNET,EQUITY,EQ,INF666M01LI4,10.15,10.25,10.0,10.08,10.14,593347.0,5975671.06
2026-07-29,GROWWNET,EQUITY,EQ,INF666M01LI4,10.27,10.27,9.82,10.14,10.02,391331.0,3957910.82
2026-07-28,GROWWNET,EQUITY,EQ,INF666M01LI4,9.93,10.04,9.78,10.02,9.84,312466.0,3119629.15
2026-07-27,GROWWNET,EQUITY,EQ,INF666M01LI4,9.64,9.88,9.56,9.84,9.64,266755.0,2615821.1
2026-07-24,GROWWNET,EQUITY,EQ,INF666M01LI4,9.85,9.91,9.47,9.64,9.75,263419.0,2531663.81
2026-07-23,GROWWNET,EQUITY,EQ,INF666M01LI4,9.95,9.95,9.7,9.75,9.74,290633.0,2839542.88
2026-07-22,GROWWNET,EQUITY,EQ,INF666M01LI4,10.06,10.06,9.7,9.74,9.93,225017.0,2203903.63
2026-07-21,GROWWNET,EQUITY,EQ,INF666M01LI4,9.91,10.01,9.88,9.93,9.91,143826.0,1426835.99
2026-07-20,GROWWNET,EQUITY,EQ,INF666M01LI4,9.97,10.15,9.9,9.91,9.97,358098.0,3562016.13
2026-07-17,GROWWNET,EQUITY,EQ,INF666M01LI4,9.99,10.14,9.88,9.97,9.99,135658.0,1349043.79
2026-07-16,GROWWNET,EQUITY,EQ,INF666M01LI4,10.14,10.31,9.93,9.99,10.14,264111.0,2655236.61
2026-07-15,GROWWNET,EQUITY,EQ,INF666M01LI4,10.13,11.0,9.97,10.14,9.93,508065.0,5169707.39
2026-07-14,GROWWNET,EQUITY,EQ,INF666M01LI4,10.04,10.15,9.87,9.93,10.05,471227.0,4690226.89
2026-07-13,GROWWNET,EQUITY,EQ,INF666M01LI4,10.02,10.09,9.84,10.05,10.02,270542.0,2714089.37
2026-07-10,GROWWNET,EQUITY,EQ,INF666M01LI4,10.21,10.21,9.95,10.02,9.97,509271.0,5099303.9
2026-07-09,GROWWNET,EQUITY,EQ,INF666M01LI4,9.89,10.02,9.55,9.97,9.7,863675.0,8606870.96
2026-07-08,GROWWNET,EQUITY,EQ,INF666M01LI4,9.72,10.01,7.93,9.7,9.92,1294014.0,12484885.87
2026-07-07,GROWWNET,EQUITY,EQ,INF666M01LI4,9.8,10.03,9.53,9.92,9.62,742727.0,7266071.21
2026-07-06,GROWWNET,EQUITY,EQ,INF666M01LI4,9.45,9.75,9.45,9.62,9.64,269869.0,2586902.68
2026-07-03,GROWWNET,EQUITY,EQ,INF666M01LI4,9.85,9.85,9.61,9.64,9.66,314045.0,3032543.62
2026-07-02,GROWWNET,EQUITY,EQ,INF666M01LI4,9.81,9.81,9.51,9.66,9.58,343227.0,3317676.98
2026-07-01,GROWWNET,EQUITY,EQ,INF666M01LI4,9.35,9.65,9.35,9.58,9.26,395900.0,3759113.3
2026-06-30,GROWWNET,EQUITY,EQ,INF666M01LI4,9.24,9.39,9.19,9.26,9.28,407499.0,3793507.95
2026-06-29,GROWWNET,EQUITY,EQ,INF666M01LI4,9.23,9.41,9.1,9.28,9.23,115590.0,1071437.01
2026-06-25,GROWWNET,EQUITY,EQ,INF666M01LI4,9.41,9.41,9.2,9.23,9.23,154445.0,1430768.79
2026-06-24,GROWWNET,EQUITY,EQ,INF666M01LI4,9.4,9.4,9.16,9.23,9.22,71060.0,656338.76
2026-06-23,GROWWNET,EQUITY,EQ,INF666M01LI4,9.34,9.56,9.2,9.22,9.32,385787.0,3573680.05
2026-06-22,GROWWNET,EQUITY,EQ,INF666M01LI4,9.52,9.52,9.14,9.32,9.29,230008.0,2149175.28
2026-06-19,GROWWNET,EQUITY,EQ,INF666M01LI4,9.34,9.34,9.05,9.29,9.29,500687.0,4632499.07
2026-06-18,GROWWNET,EQUITY,EQ,INF666M01LI4,9.32,9.32,9.18,9.29,9.23,166096.0,1536667.5
2026-06-17,GROWWNET,EQUITY,EQ,INF666M01LI4,9.23,9.31,9.02,9.23,9.12,388823.0,3595091.37
