trade_date,symbol,asset_type,series,isin,open,high,low,close,prev_close,volume,traded_value
2026-09-11,GROWWNIFTY,EQUITY,EQ,INF666M01LL8,9.55,9.69,9.4,9.49,9.5,1174205.0,11107744.8
2026-09-10,GROWWNIFTY,EQUITY,EQ,INF666M01LL8,9.63,9.63,9.47,9.5,9.51,681596.0,6474641.1
2026-09-09,GROWWNIFTY,EQUITY,EQ,INF666M01LL8,9.81,9.81,9.35,9.51,9.58,1082032.0,10298287.0
2026-09-08,GROWWNIFTY,EQUITY,EQ,INF666M01LL8,9.36,9.66,9.36,9.58,9.6,1090198.0,10442136.15
2026-09-07,GROWWNIFTY,EQUITY,EQ,INF666M01LL8,9.69,9.75,9.43,9.6,9.68,824351.0,7945258.53
2026-09-04,GROWWNIFTY,EQUITY,EQ,INF666M01LL8,9.65,9.76,9.65,9.68,9.66,684423.0,6629481.51
2026-09-03,GROWWNIFTY,EQUITY,EQ,INF666M01LL8,9.67,9.77,9.65,9.66,9.67,518106.0,5025388.2
2026-09-02,GROWWNIFTY,EQUITY,EQ,INF666M01LL8,9.7,9.78,9.64,9.67,9.72,856030.0,8278168.74
2026-09-01,GROWWNIFTY,EQUITY,EQ,INF666M01LL8,9.88,9.88,9.71,9.72,9.74,530939.0,5172207.89
2026-08-31,GROWWNIFTY,EQUITY,EQ,INF666M01LL8,9.74,9.93,9.7,9.74,9.74,766113.0,7466922.52
2026-08-28,GROWWNIFTY,EQUITY,EQ,INF666M01LL8,9.9,9.9,9.71,9.74,9.77,679296.0,6632108.38
2026-08-27,GROWWNIFTY,EQUITY,EQ,INF666M01LL8,9.8,9.93,9.76,9.77,9.8,557208.0,5457499.72
2026-08-26,GROWWNIFTY,EQUITY,EQ,INF666M01LL8,9.6,9.98,9.6,9.8,9.8,452567.0,4448088.14
2026-08-25,GROWWNIFTY,EQUITY,EQ,INF666M01LL8,9.55,9.94,9.55,9.8,9.8,589009.0,5763870.55
2026-08-24,GROWWNIFTY,EQUITY,EQ,INF666M01LL8,9.81,10.05,9.73,9.8,9.81,843719.0,8277218.16
2026-08-21,GROWWNIFTY,EQUITY,EQ,INF666M01LL8,9.89,9.89,9.78,9.81,9.79,309724.0,3038444.69
2026-08-20,GROWWNIFTY,EQUITY,EQ,INF666M01LL8,9.74,9.89,9.74,9.79,9.74,397812.0,3897640.55
2026-08-19,GROWWNIFTY,EQUITY,EQ,INF666M01LL8,9.84,10.0,9.73,9.74,9.84,605172.0,5903741.61
2026-08-18,GROWWNIFTY,EQUITY,EQ,INF666M01LL8,9.94,9.94,9.71,9.84,9.82,627312.0,6146499.6
2026-08-17,GROWWNIFTY,EQUITY,EQ,INF666M01LL8,9.73,9.97,9.73,9.82,9.83,864482.0,8496525.62
2026-08-14,GROWWNIFTY,EQUITY,EQ,INF666M01LL8,9.71,9.99,9.71,9.83,9.87,464753.0,4575667.29
