trade_date,symbol,asset_type,series,isin,open,high,low,close,prev_close,volume,traded_value
2026-09-09,GSEC10IETF,EQUITY,EQ,INF109KC18O0,262.43,265.05,262.43,262.81,262.18,130.0,34199.7
2026-09-08,GSEC10IETF,EQUITY,EQ,INF109KC18O0,262.18,262.18,262.18,262.18,261.92,100.0,26218.0
2026-09-07,GSEC10IETF,EQUITY,EQ,INF109KC18O0,263.81,264.54,261.92,261.92,262.5,183.0,48242.24
2026-09-04,GSEC10IETF,EQUITY,EQ,INF109KC18O0,262.5,262.5,262.5,262.5,262.5,42.0,11025.0
2026-09-03,GSEC10IETF,EQUITY,EQ,INF109KC18O0,264.24,264.24,261.88,262.5,263.42,2404.0,631024.74
2026-09-02,GSEC10IETF,EQUITY,EQ,INF109KC18O0,264.81,264.81,262.55,263.42,263.5,10.0,2644.54
2026-09-01,GSEC10IETF,EQUITY,EQ,INF109KC18O0,265.05,265.05,262.01,263.5,265.71,6819.0,1794409.84
2026-08-31,GSEC10IETF,EQUITY,EQ,INF109KC18O0,263.52,265.71,262.56,265.71,263.52,899.0,237137.52
2026-08-27,GSEC10IETF,EQUITY,EQ,INF109KC18O0,266.15,266.15,263.52,263.52,265.75,577.0,152058.93
2026-08-26,GSEC10IETF,EQUITY,EQ,INF109KC18O0,265.7,265.76,265.0,265.75,265.77,93.0,24707.42
2026-08-25,GSEC10IETF,EQUITY,EQ,INF109KC18O0,263.61,265.77,263.61,265.77,263.61,3.0,792.99
2026-08-24,GSEC10IETF,EQUITY,EQ,INF109KC18O0,266.19,266.19,263.61,263.61,266.19,101.0,26819.09
2026-08-21,GSEC10IETF,EQUITY,EQ,INF109KC18O0,266.0,266.43,263.03,266.19,266.38,433.0,114560.97
2026-08-20,GSEC10IETF,EQUITY,EQ,INF109KC18O0,266.81,266.81,266.38,266.38,266.89,27.0,7192.69
2026-08-19,GSEC10IETF,EQUITY,EQ,INF109KC18O0,264.99,266.89,264.99,266.89,265.49,575.0,153066.86
2026-08-18,GSEC10IETF,EQUITY,EQ,INF109KC18O0,266.6,267.14,264.49,265.49,267.0,1076.0,284742.51
2026-08-17,GSEC10IETF,EQUITY,EQ,INF109KC18O0,267.11,269.59,265.0,267.0,267.11,224.0,59784.57
2026-08-14,GSEC10IETF,EQUITY,EQ,INF109KC18O0,265.0,267.11,265.0,267.11,267.12,50.0,13330.18
2026-08-13,GSEC10IETF,EQUITY,EQ,INF109KC18O0,267.12,267.12,267.12,267.12,266.05,3.0,801.36
2026-08-12,GSEC10IETF,EQUITY,EQ,INF109KC18O0,267.26,267.54,266.05,266.05,267.26,1334.0,355125.76
2026-08-11,GSEC10IETF,EQUITY,EQ,INF109KC18O0,264.36,267.26,264.36,267.26,267.11,78.0,20670.28
2026-08-10,GSEC10IETF,EQUITY,EQ,INF109KC18O0,266.32,267.11,264.27,267.11,265.0,188.0,49931.64
2026-08-07,GSEC10IETF,EQUITY,EQ,INF109KC18O0,265.0,265.0,265.0,265.0,265.0,1701.0,450765.0
2026-08-06,GSEC10IETF,EQUITY,EQ,INF109KC18O0,263.68,265.45,263.68,265.0,263.03,62.0,16404.95
2026-08-05,GSEC10IETF,EQUITY,EQ,INF109KC18O0,264.5,265.44,263.03,263.03,264.5,801.0,211180.08
2026-08-04,GSEC10IETF,EQUITY,EQ,INF109KC18O0,265.44,265.44,264.5,264.5,264.77,4626.0,1223601.44
