trade_date,symbol,asset_type,series,isin,open,high,low,close,prev_close,volume,traded_value
2026-09-11,HALDER,EQUITY,EQ,INE115S01010,275.0,284.35,271.7,276.15,281.9,30980.0,8745684.4
2026-09-10,HALDER,EQUITY,EQ,INE115S01010,287.0,287.0,275.0,281.9,282.45,21256.0,6039321.05
2026-09-09,HALDER,EQUITY,EQ,INE115S01010,293.85,294.0,276.05,282.45,293.55,20732.0,6036562.95
2026-09-08,HALDER,EQUITY,EQ,INE115S01010,281.6,297.0,281.6,293.55,286.6,27910.0,7973732.9
2026-09-07,HALDER,EQUITY,EQ,INE115S01010,294.65,294.65,270.25,286.6,293.5,23488.0,6776312.35
2026-09-04,HALDER,EQUITY,EQ,INE115S01010,282.0,295.0,282.0,293.5,284.9,26009.0,7592634.25
2026-09-03,HALDER,EQUITY,EQ,INE115S01010,294.05,295.0,270.0,284.9,293.9,23097.0,6778057.1
2026-09-02,HALDER,EQUITY,EQ,INE115S01010,274.0,297.85,274.0,293.9,292.25,34207.0,10073863.1
2026-09-01,HALDER,EQUITY,EQ,INE115S01010,310.0,310.0,272.8,292.25,290.2,23233.0,6858855.25
2026-08-31,HALDER,EQUITY,EQ,INE115S01010,300.95,300.95,270.1,290.2,294.99,24971.0,7415220.87
2026-08-28,HALDER,EQUITY,EQ,INE115S01010,297.97,298.0,287.0,294.99,297.88,15606.0,4624426.06
2026-08-27,HALDER,EQUITY,EQ,INE115S01010,292.25,299.8,290.05,297.88,295.99,28147.0,8269478.93
2026-08-26,HALDER,EQUITY,EQ,INE115S01010,294.94,299.9,289.17,295.99,295.58,605.0,178090.41
2026-08-25,HALDER,EQUITY,EQ,INE115S01010,300.05,300.05,292.66,295.58,296.59,28621.0,8495692.47
2026-08-24,HALDER,EQUITY,EQ,INE115S01010,306.08,308.4,289.61,296.59,304.56,31801.0,9604498.41
2026-08-21,HALDER,EQUITY,EQ,INE115S01010,294.05,310.0,291.0,304.56,288.82,28770.0,8451294.32
2026-08-20,HALDER,EQUITY,EQ,INE115S01010,280.0,297.58,280.0,288.82,290.77,27724.0,7926532.17
2026-08-19,HALDER,EQUITY,EQ,INE115S01010,290.66,300.0,282.71,290.77,290.66,30491.0,8750826.33
