trade_date,symbol,asset_type,series,isin,open,high,low,close,prev_close,volume,traded_value
2026-09-11,HAWKINCOOK,EQUITY,EQ,INE979B01015,8410.5,8491.5,8366.5,8411.5,8408.0,2765.0,23295217.5
2026-09-10,HAWKINCOOK,EQUITY,EQ,INE979B01015,8637.5,8637.5,8333.0,8408.0,8504.5,2639.0,22219237.0
2026-09-09,HAWKINCOOK,EQUITY,EQ,INE979B01015,8340.0,8640.0,8337.0,8504.5,8212.0,5000.0,42695808.0
2026-09-08,HAWKINCOOK,EQUITY,EQ,INE979B01015,8395.0,8395.0,8171.0,8212.0,8254.0,843.0,6929117.0
2026-09-07,HAWKINCOOK,EQUITY,EQ,INE979B01015,8426.0,8426.0,8200.0,8254.0,8406.5,1354.0,11228011.5
2026-09-04,HAWKINCOOK,EQUITY,EQ,INE979B01015,8338.0,8471.0,8225.0,8406.5,8297.0,1806.0,15057021.0
2026-09-03,HAWKINCOOK,EQUITY,EQ,INE979B01015,8180.5,8351.5,8151.5,8297.0,8194.5,920.0,7573318.5
2026-09-02,HAWKINCOOK,EQUITY,EQ,INE979B01015,8151.0,8220.5,8124.0,8194.5,8152.0,804.0,6561136.5
2026-09-01,HAWKINCOOK,EQUITY,EQ,INE979B01015,8160.0,8235.0,8101.0,8152.0,8116.5,346.0,2817710.0
2026-08-31,HAWKINCOOK,EQUITY,EQ,INE979B01015,8257.5,8257.5,8050.0,8116.5,8230.0,826.0,6703046.0
2026-08-28,HAWKINCOOK,EQUITY,EQ,INE979B01015,8250.0,8301.0,8131.0,8230.0,8239.0,373.0,3074360.0
2026-08-27,HAWKINCOOK,EQUITY,EQ,INE979B01015,8020.0,8264.5,8020.0,8239.0,8197.5,976.0,7952681.5
2026-08-26,HAWKINCOOK,EQUITY,EQ,INE979B01015,8150.0,8222.5,8000.0,8197.5,8152.5,1934.0,15649989.5
2026-08-25,HAWKINCOOK,EQUITY,EQ,INE979B01015,8155.0,8220.0,8090.0,8152.5,8153.5,1927.0,15705523.0
2026-08-24,HAWKINCOOK,EQUITY,EQ,INE979B01015,8080.5,8175.0,7960.0,8153.5,8029.5,1593.0,12796270.5
2026-08-21,HAWKINCOOK,EQUITY,EQ,INE979B01015,8087.5,8144.0,7980.0,8029.5,8087.5,1102.0,8846727.0
2026-08-20,HAWKINCOOK,EQUITY,EQ,INE979B01015,8149.5,8181.0,7990.0,8087.5,8049.0,1699.0,13682454.0
2026-08-19,HAWKINCOOK,EQUITY,EQ,INE979B01015,8196.0,8201.5,7930.0,8049.0,8235.0,4353.0,35129351.0
2026-08-18,HAWKINCOOK,EQUITY,EQ,INE979B01015,8342.5,8410.0,8116.0,8235.0,8340.0,2401.0,19777321.5
2026-08-17,HAWKINCOOK,EQUITY,EQ,INE979B01015,8200.0,8370.0,8199.0,8340.0,8351.0,425.0,3538156.5
2026-08-14,HAWKINCOOK,EQUITY,EQ,INE979B01015,8308.0,8450.0,8199.5,8351.0,8305.5,1012.0,8407611.5
2026-08-13,HAWKINCOOK,EQUITY,EQ,INE979B01015,8235.5,8330.0,8230.0,8305.5,8177.5,361.0,2989445.5
2026-08-12,HAWKINCOOK,EQUITY,EQ,INE979B01015,8190.5,8286.5,8105.5,8177.5,8193.0,595.0,4858666.5
2026-08-11,HAWKINCOOK,EQUITY,EQ,INE979B01015,8400.0,8426.0,8013.5,8193.0,8382.5,2216.0,18181216.0
2026-08-10,HAWKINCOOK,EQUITY,EQ,INE979B01015,8439.5,8640.0,8304.0,8382.5,8398.5,1238.0,10440748.5
2026-08-07,HAWKINCOOK,EQUITY,EQ,INE979B01015,8494.5,8500.0,8315.0,8398.5,8465.0,967.0,8130786.0
2026-08-06,HAWKINCOOK,EQUITY,EQ,INE979B01015,8517.5,8578.5,8402.0,8465.0,8526.5,1032.0,8790917.0
2026-08-05,HAWKINCOOK,EQUITY,EQ,INE979B01015,8587.5,8600.0,8500.0,8526.5,8566.0,472.0,4040249.5
2026-08-04,HAWKINCOOK,EQUITY,EQ,INE979B01015,8500.0,8601.0,8450.5,8566.0,8496.5,539.0,4615208.0
2026-08-03,HAWKINCOOK,EQUITY,EQ,INE979B01015,8500.5,8649.5,8400.0,8496.5,8549.5,984.0,8410642.0
2026-07-31,HAWKINCOOK,EQUITY,EQ,INE979B01015,8529.5,8590.0,8475.0,8549.5,8530.5,1052.0,8975620.0
2026-07-30,HAWKINCOOK,EQUITY,EQ,INE979B01015,8551.0,8671.0,8411.0,8530.5,8520.5,1434.0,12258443.0
2026-07-29,HAWKINCOOK,EQUITY,EQ,INE979B01015,8896.0,8938.0,8456.0,8520.5,8765.5,8569.0,74380175.5
2026-07-28,HAWKINCOOK,EQUITY,EQ,INE979B01015,8900.0,8938.5,8699.5,8765.5,8894.5,3422.0,30241518.0
2026-07-27,HAWKINCOOK,EQUITY,EQ,INE979B01015,8814.5,8942.5,8790.0,8894.5,8704.0,2418.0,21429715.5
2026-07-24,HAWKINCOOK,EQUITY,EQ,INE979B01015,8415.0,8820.0,8220.5,8704.0,8451.5,1974.0,16809110.0
2026-07-23,HAWKINCOOK,EQUITY,EQ,INE979B01015,8700.5,8863.0,8405.0,8451.5,8735.5,3121.0,26652861.0
2026-07-22,HAWKINCOOK,EQUITY,EQ,INE979B01015,9015.0,9015.0,8633.5,8735.5,8986.0,1817.0,16012932.5
2026-07-21,HAWKINCOOK,EQUITY,EQ,INE979B01015,9600.0,9600.0,8900.0,8986.0,9253.5,7098.0,65000504.0
2026-07-20,HAWKINCOOK,EQUITY,EQ,INE979B01015,9190.0,9290.0,9075.5,9253.5,9081.0,2867.0,26415905.0
2026-07-17,HAWKINCOOK,EQUITY,EQ,INE979B01015,8996.0,9100.0,8923.0,9081.0,8955.0,2820.0,25519034.5
2026-07-16,HAWKINCOOK,EQUITY,EQ,INE979B01015,8963.0,9000.0,8866.0,8955.0,8963.0,1015.0,9085051.5
2026-07-15,HAWKINCOOK,EQUITY,EQ,INE979B01015,8989.5,8989.5,8915.5,8963.0,8977.0,613.0,5486888.5
2026-07-14,HAWKINCOOK,EQUITY,EQ,INE979B01015,9035.0,9035.0,8866.0,8977.0,8957.0,1612.0,14468883.5
2026-07-13,HAWKINCOOK,EQUITY,EQ,INE979B01015,8858.0,8990.0,8755.5,8957.0,8878.5,1493.0,13275837.0
2026-07-10,HAWKINCOOK,EQUITY,EQ,INE979B01015,8949.5,9000.0,8850.0,8878.5,8964.0,711.0,6338746.5
2026-07-09,HAWKINCOOK,EQUITY,EQ,INE979B01015,8820.0,9048.0,8795.0,8964.0,8799.0,3067.0,27511823.5
2026-07-08,HAWKINCOOK,EQUITY,EQ,INE979B01015,8969.5,9000.0,8751.0,8799.0,8967.0,1472.0,13067530.0
2026-07-07,HAWKINCOOK,EQUITY,EQ,INE979B01015,8862.0,9009.0,8800.5,8967.0,8862.0,2670.0,23952761.5
