trade_date,symbol,asset_type,series,isin,open,high,low,close,prev_close,volume,traded_value
2026-09-08,HCC,EQUITY,EQ,INE549A01026,23.52,24.1,23.06,23.86,23.54,35951505.0,852127988.01
2026-09-07,HCC,EQUITY,EQ,INE549A01026,23.0,23.67,22.75,23.54,22.98,31279184.0,729954568.3
2026-09-04,HCC,EQUITY,EQ,INE549A01026,23.06,23.54,22.9,22.98,23.13,20266993.0,468445826.53
2026-09-03,HCC,EQUITY,EQ,INE549A01026,23.2,23.68,22.81,23.13,23.08,22777015.0,527820277.64
2026-09-02,HCC,EQUITY,EQ,INE549A01026,23.26,23.74,22.9,23.08,23.36,32414628.0,751745396.12
2026-09-01,HCC,EQUITY,EQ,INE549A01026,23.88,24.25,23.17,23.36,23.83,30351930.0,717939980.77
2026-08-31,HCC,EQUITY,EQ,INE549A01026,24.5,24.8,23.72,23.83,24.64,41845918.0,1012140662.35
2026-08-28,HCC,EQUITY,EQ,INE549A01026,25.25,25.59,24.5,24.64,25.1,41624710.0,1038297306.03
2026-08-27,HCC,EQUITY,EQ,INE549A01026,24.11,26.03,24.11,25.1,23.88,202003226.0,5113084500.52
2026-08-26,HCC,EQUITY,EQ,INE549A01026,22.6,24.12,22.52,23.88,22.61,57217167.0,1337878584.42
2026-08-25,HCC,EQUITY,EQ,INE549A01026,22.56,23.16,22.32,22.61,22.52,42033627.0,956312456.61
2026-08-24,HCC,EQUITY,EQ,INE549A01026,21.0,22.8,20.95,22.52,21.03,80806879.0,1800563926.78
2026-08-21,HCC,EQUITY,EQ,INE549A01026,21.18,21.63,20.93,21.03,21.22,30416036.0,647659262.94
2026-08-20,HCC,EQUITY,EQ,INE549A01026,20.0,21.47,19.99,21.22,19.83,66092291.0,1385948444.03
2026-08-19,HCC,EQUITY,EQ,INE549A01026,20.06,20.24,19.71,19.83,20.04,17175564.0,342051060.47
2026-08-18,HCC,EQUITY,EQ,INE549A01026,20.33,20.56,19.9,20.04,20.33,11759100.0,236671733.62
2026-08-17,HCC,EQUITY,EQ,INE549A01026,19.91,20.55,19.65,20.33,19.82,22198910.0,445305760.79
2026-08-14,HCC,EQUITY,EQ,INE549A01026,19.7,20.0,19.63,19.82,20.07,10947392.0,217130611.09
2026-08-13,HCC,EQUITY,EQ,INE549A01026,20.14,20.47,20.0,20.07,20.04,9815170.0,198622113.45
2026-08-12,HCC,EQUITY,EQ,INE549A01026,20.24,20.24,19.71,20.04,20.05,18181740.0,362303962.5
2026-08-11,HCC,EQUITY,EQ,INE549A01026,20.29,20.32,19.69,20.05,20.18,25570077.0,511888564.66
2026-08-10,HCC,EQUITY,EQ,INE549A01026,20.5,20.73,20.06,20.18,20.52,23846062.0,485034124.45
2026-08-07,HCC,EQUITY,EQ,INE549A01026,21.0,21.49,20.38,20.52,21.55,40417420.0,843808121.76
2026-08-06,HCC,EQUITY,EQ,INE549A01026,22.0,22.06,21.45,21.55,21.91,12654859.0,275474722.08
2026-08-05,HCC,EQUITY,EQ,INE549A01026,22.04,22.26,21.76,21.91,21.84,11932538.0,262746989.75
2026-08-04,HCC,EQUITY,EQ,INE549A01026,21.9,22.3,21.8,21.84,21.81,15549478.0,342270540.9
2026-08-03,HCC,EQUITY,EQ,INE549A01026,21.6,22.0,21.51,21.81,21.44,13986818.0,305348163.76
2026-07-31,HCC,EQUITY,EQ,INE549A01026,21.06,21.79,21.0,21.44,20.94,22231485.0,477369762.62
2026-07-30,HCC,EQUITY,EQ,INE549A01026,21.33,21.34,20.8,20.94,21.35,12691735.0,266679806.2
2026-07-29,HCC,EQUITY,EQ,INE549A01026,21.2,21.45,20.98,21.35,21.08,13182576.0,281066594.3
2026-07-28,HCC,EQUITY,EQ,INE549A01026,21.89,21.89,20.92,21.08,21.73,14281095.0,302979655.03
2026-07-27,HCC,EQUITY,EQ,INE549A01026,21.6,22.03,21.56,21.73,21.43,16327008.0,355765572.94
2026-07-24,HCC,EQUITY,EQ,INE549A01026,21.16,21.7,20.92,21.43,21.44,27590434.0,589621924.78
2026-07-23,HCC,EQUITY,EQ,INE549A01026,22.0,22.25,21.37,21.44,22.06,18370186.0,400195988.27
2026-07-22,HCC,EQUITY,EQ,INE549A01026,22.8,22.8,22.01,22.06,22.66,14700076.0,326663840.19
2026-07-21,HCC,EQUITY,EQ,INE549A01026,22.6,23.17,22.56,22.66,22.7,14190226.0,323465998.7
2026-07-20,HCC,EQUITY,EQ,INE549A01026,22.4,22.99,22.11,22.7,22.37,25643030.0,577733743.51
2026-07-17,HCC,EQUITY,EQ,INE549A01026,22.92,22.92,22.11,22.37,22.95,27861499.0,622552782.86
2026-07-16,HCC,EQUITY,EQ,INE549A01026,23.27,23.55,22.85,22.95,23.2,15923895.0,367456288.2
2026-07-15,HCC,EQUITY,EQ,INE549A01026,23.17,23.54,23.05,23.2,23.03,18698030.0,435286102.03
2026-07-14,HCC,EQUITY,EQ,INE549A01026,23.6,23.66,22.98,23.03,23.77,15974168.0,370199644.96
2026-07-13,HCC,EQUITY,EQ,INE549A01026,23.59,24.16,23.31,23.77,23.89,22787237.0,541712323.26
2026-07-10,HCC,EQUITY,EQ,INE549A01026,23.55,24.33,23.51,23.89,23.42,28766980.0,689635597.71
2026-07-09,HCC,EQUITY,EQ,INE549A01026,22.8,23.85,22.75,23.42,22.8,39226487.0,913922287.77
2026-07-08,HCC,EQUITY,EQ,INE549A01026,23.67,24.02,22.53,22.8,23.83,35157712.0,816841154.49
2026-07-07,HCC,EQUITY,EQ,INE549A01026,24.7,24.7,23.64,23.83,24.6,26918419.0,643222932.43
2026-07-06,HCC,EQUITY,EQ,INE549A01026,24.9,25.2,24.45,24.6,24.83,19178421.0,474228880.63
2026-07-03,HCC,EQUITY,EQ,INE549A01026,25.69,25.75,24.75,24.83,25.57,22478383.0,564499938.41
2026-07-02,HCC,EQUITY,EQ,INE549A01026,25.85,26.09,25.31,25.57,25.7,20258836.0,518986468.18
2026-07-01,HCC,EQUITY,EQ,INE549A01026,25.75,26.37,25.58,25.7,25.65,29087744.0,754558431.86
2026-06-30,HCC,EQUITY,EQ,INE549A01026,25.8,25.98,25.38,25.65,25.69,24349780.0,625126103.31
2026-06-29,HCC,EQUITY,EQ,INE549A01026,26.77,26.78,25.47,25.69,26.76,33725314.0,873443704.7
