trade_date,symbol,asset_type,series,isin,open,high,low,close,prev_close,volume,traded_value
2026-09-09,HDFCGOLD,EQUITY,EQ,INF179KC1981,129.99,130.55,129.35,130.06,130.18,2291910.0,298112021.97
2026-09-08,HDFCGOLD,EQUITY,EQ,INF179KC1981,130.15,130.9,129.5,130.18,129.88,2855085.0,371810003.31
2026-09-07,HDFCGOLD,EQUITY,EQ,INF179KC1981,130.4,130.4,128.96,129.88,131.45,3238638.0,420063781.22
2026-09-04,HDFCGOLD,EQUITY,EQ,INF179KC1981,132.5,133.62,130.72,131.45,130.37,3350795.0,440624127.6
2026-09-03,HDFCGOLD,EQUITY,EQ,INF179KC1981,130.99,131.0,129.93,130.37,127.8,4948852.0,645438003.09
2026-09-02,HDFCGOLD,EQUITY,EQ,INF179KC1981,128.34,128.43,127.28,127.8,129.71,4434615.0,566729846.64
2026-09-01,HDFCGOLD,EQUITY,EQ,INF179KC1981,135.11,135.11,129.5,129.71,131.82,5938508.0,772893574.15
2026-08-31,HDFCGOLD,EQUITY,EQ,INF179KC1981,135.29,135.29,130.41,131.82,135.29,4601204.0,604741320.09
2026-08-28,HDFCGOLD,EQUITY,EQ,INF179KC1981,132.63,137.99,132.62,135.29,134.63,2979111.0,401378593.31
2026-08-27,HDFCGOLD,EQUITY,EQ,INF179KC1981,140.14,140.14,132.56,134.63,136.73,8763920.0,1178752049.24
2026-08-26,HDFCGOLD,EQUITY,EQ,INF179KC1981,135.09,137.9,135.09,136.73,137.09,1628741.0,223375411.0
2026-08-25,HDFCGOLD,EQUITY,EQ,INF179KC1981,137.2,138.0,134.0,137.09,137.53,5660949.0,776469694.6
2026-08-24,HDFCGOLD,EQUITY,EQ,INF179KC1981,132.22,138.46,132.22,137.53,135.62,5446327.0,748833703.66
2026-08-21,HDFCGOLD,EQUITY,EQ,INF179KC1981,134.46,136.06,134.05,135.62,133.07,5385895.0,729188349.31
2026-08-20,HDFCGOLD,EQUITY,EQ,INF179KC1981,131.1,133.9,130.07,133.07,130.07,3550590.0,472484708.46
2026-08-19,HDFCGOLD,EQUITY,EQ,INF179KC1981,133.97,133.97,129.19,130.07,130.71,2160183.0,280207630.0
2026-08-18,HDFCGOLD,EQUITY,EQ,INF179KC1981,133.88,133.88,130.23,130.71,130.62,1936116.0,253004804.91
2026-08-17,HDFCGOLD,EQUITY,EQ,INF179KC1981,129.33,130.83,129.33,130.62,129.33,2942055.0,384272976.14
2026-08-14,HDFCGOLD,EQUITY,EQ,INF179KC1981,132.89,132.89,128.01,129.33,129.65,1763210.0,226999210.77
2026-08-13,HDFCGOLD,EQUITY,EQ,INF179KC1981,131.83,131.83,129.12,129.65,130.61,1793360.0,232755702.53
2026-08-12,HDFCGOLD,EQUITY,EQ,INF179KC1981,131.47,131.47,129.94,130.61,129.72,3549446.0,462809009.56
2026-08-11,HDFCGOLD,EQUITY,EQ,INF179KC1981,131.98,131.98,125.55,129.72,128.77,3421802.0,444450195.64
2026-08-10,HDFCGOLD,EQUITY,EQ,INF179KC1981,128.4,129.11,127.46,128.77,127.45,3628918.0,466840462.16
2026-08-07,HDFCGOLD,EQUITY,EQ,INF179KC1981,126.98,127.65,125.18,127.45,126.44,1948121.0,247228383.95
2026-08-06,HDFCGOLD,EQUITY,EQ,INF179KC1981,126.52,126.9,125.12,126.44,123.44,3633878.0,457811343.68
2026-08-05,HDFCGOLD,EQUITY,EQ,INF179KC1981,122.74,123.68,122.02,123.44,121.12,3583049.0,441615713.48
2026-08-04,HDFCGOLD,EQUITY,EQ,INF179KC1981,121.6,121.7,120.83,121.12,121.2,1407452.0,170464664.7
2026-08-03,HDFCGOLD,EQUITY,EQ,INF179KC1981,121.55,121.75,120.8,121.2,121.02,3241656.0,392802041.38
2026-07-31,HDFCGOLD,EQUITY,EQ,INF179KC1981,121.25,121.75,120.93,121.02,121.28,1833447.0,222456966.78
2026-07-30,HDFCGOLD,EQUITY,EQ,INF179KC1981,120.74,121.4,120.54,121.28,120.73,1670767.0,202032112.51
2026-07-29,HDFCGOLD,EQUITY,EQ,INF179KC1981,120.78,121.05,120.14,120.73,120.78,1987730.0,239862255.9
2026-07-28,HDFCGOLD,EQUITY,EQ,INF179KC1981,121.6,121.77,120.63,120.78,122.57,1956514.0,236573384.17
2026-07-27,HDFCGOLD,EQUITY,EQ,INF179KC1981,123.0,123.0,122.03,122.57,121.79,1946565.0,238548713.72
2026-07-24,HDFCGOLD,EQUITY,EQ,INF179KC1981,124.0,125.74,120.1,121.79,122.68,1769262.0,214436732.27
2026-07-23,HDFCGOLD,EQUITY,EQ,INF179KC1981,123.55,123.89,122.52,122.68,123.04,1631333.0,200857051.0
2026-07-22,HDFCGOLD,EQUITY,EQ,INF179KC1981,122.63,123.4,122.63,123.04,121.71,1657020.0,203849788.22
2026-07-21,HDFCGOLD,EQUITY,EQ,INF179KC1981,121.31,121.87,120.99,121.71,120.79,4493266.0,546324397.21
2026-07-20,HDFCGOLD,EQUITY,EQ,INF179KC1981,121.15,121.15,120.01,120.79,119.72,2343878.0,282539865.29
2026-07-17,HDFCGOLD,EQUITY,EQ,INF179KC1981,117.42,120.16,117.42,119.72,120.44,4386495.0,523315625.09
2026-07-16,HDFCGOLD,EQUITY,EQ,INF179KC1981,120.35,120.89,119.96,120.44,120.35,1698796.0,204329803.16
2026-07-15,HDFCGOLD,EQUITY,EQ,INF179KC1981,121.0,121.0,119.92,120.35,119.92,5107847.0,614477678.13
2026-07-14,HDFCGOLD,EQUITY,EQ,INF179KC1981,119.95,120.43,119.02,119.92,120.73,1787189.0,214423356.75
2026-07-13,HDFCGOLD,EQUITY,EQ,INF179KC1981,121.0,121.49,120.0,120.73,122.08,3610457.0,435624822.21
2026-07-10,HDFCGOLD,EQUITY,EQ,INF179KC1981,122.23,123.28,121.77,122.08,122.26,1563806.0,191082018.76
2026-07-09,HDFCGOLD,EQUITY,EQ,INF179KC1981,120.99,122.49,120.82,122.26,120.98,2055024.0,250544524.85
2026-07-08,HDFCGOLD,EQUITY,EQ,INF179KC1981,122.83,122.83,120.7,120.98,122.59,2181789.0,265566510.06
2026-07-07,HDFCGOLD,EQUITY,EQ,INF179KC1981,123.78,123.78,122.44,122.59,123.6,2136064.0,262203764.99
2026-07-06,HDFCGOLD,EQUITY,EQ,INF179KC1981,124.9,126.99,123.22,123.6,124.29,2589262.0,320355182.85
2026-07-03,HDFCGOLD,EQUITY,EQ,INF179KC1981,123.95,124.49,123.65,124.29,121.52,2629546.0,326579025.93
2026-07-02,HDFCGOLD,EQUITY,EQ,INF179KC1981,120.7,123.19,120.7,121.52,119.25,3223842.0,391344269.15
2026-07-01,HDFCGOLD,EQUITY,EQ,INF179KC1981,119.68,119.68,118.2,119.25,119.76,2653236.0,314797127.77
2026-06-30,HDFCGOLD,EQUITY,EQ,INF179KC1981,117.33,120.25,117.32,119.76,120.34,2880134.0,343751051.36
2026-06-29,HDFCGOLD,EQUITY,EQ,INF179KC1981,119.47,122.1,119.25,120.34,118.55,3821652.0,460069307.96
2026-06-25,HDFCGOLD,EQUITY,EQ,INF179KC1981,118.72,119.39,117.75,118.55,121.41,8645570.0,1027091845.2
2026-06-24,HDFCGOLD,EQUITY,EQ,INF179KC1981,121.2,122.33,119.83,121.41,122.91,4809639.0,584151421.92
2026-06-23,HDFCGOLD,EQUITY,EQ,INF179KC1981,123.9,123.9,122.3,122.91,124.95,5072263.0,623635148.76
2026-06-22,HDFCGOLD,EQUITY,EQ,INF179KC1981,126.88,126.88,123.5,124.95,123.79,4321284.0,537636600.54
2026-06-19,HDFCGOLD,EQUITY,EQ,INF179KC1981,123.74,124.47,122.29,123.79,126.09,6302699.0,776431123.37
2026-06-18,HDFCGOLD,EQUITY,EQ,INF179KC1981,127.84,128.06,125.72,126.09,127.84,2834779.0,358619076.08
