trade_date,symbol,asset_type,series,isin,open,high,low,close,prev_close,volume,traded_value
2026-09-08,HDFCNIMEG,EQUITY,EQ,INF179KC1KT4,132.19,132.71,131.0,131.8,131.56,2236.0,294803.4
2026-09-07,HDFCNIMEG,EQUITY,EQ,INF179KC1KT4,133.01,133.28,131.1,131.56,133.56,30510.0,4014640.9
2026-09-04,HDFCNIMEG,EQUITY,EQ,INF179KC1KT4,131.73,133.99,131.5,133.56,131.49,46678.0,6214643.23
2026-09-03,HDFCNIMEG,EQUITY,EQ,INF179KC1KT4,132.4,133.23,130.71,131.49,131.19,3029.0,400021.59
2026-09-02,HDFCNIMEG,EQUITY,EQ,INF179KC1KT4,132.34,132.34,130.4,131.19,131.69,22753.0,2986335.5
2026-09-01,HDFCNIMEG,EQUITY,EQ,INF179KC1KT4,132.39,133.39,131.16,131.69,132.29,32828.0,4324613.56
2026-08-31,HDFCNIMEG,EQUITY,EQ,INF179KC1KT4,134.24,134.24,131.98,132.29,134.3,23975.0,3172171.24
2026-08-28,HDFCNIMEG,EQUITY,EQ,INF179KC1KT4,134.74,134.96,133.96,134.3,133.2,23694.0,3182500.58
2026-08-27,HDFCNIMEG,EQUITY,EQ,INF179KC1KT4,136.06,136.06,132.79,133.2,135.19,5924.0,798477.25
2026-08-26,HDFCNIMEG,EQUITY,EQ,INF179KC1KT4,133.74,135.52,132.75,135.19,133.08,9028.0,1215475.81
2026-08-25,HDFCNIMEG,EQUITY,EQ,INF179KC1KT4,133.11,133.12,132.28,133.08,133.13,1676.0,222638.33
2026-08-24,HDFCNIMEG,EQUITY,EQ,INF179KC1KT4,130.45,133.5,130.45,133.13,131.78,60054.0,7988455.88
2026-08-21,HDFCNIMEG,EQUITY,EQ,INF179KC1KT4,131.73,132.21,131.3,131.78,130.43,57726.0,7606739.51
2026-08-20,HDFCNIMEG,EQUITY,EQ,INF179KC1KT4,130.72,131.53,130.0,130.43,130.07,62596.0,8165170.19
2026-08-19,HDFCNIMEG,EQUITY,EQ,INF179KC1KT4,129.88,130.8,128.52,130.07,130.47,53424.0,6948963.35
2026-08-18,HDFCNIMEG,EQUITY,EQ,INF179KC1KT4,131.18,131.18,130.14,130.47,131.79,44618.0,5828198.78
2026-08-17,HDFCNIMEG,EQUITY,EQ,INF179KC1KT4,129.87,134.25,129.36,131.79,129.87,10177.0,1331367.43
2026-08-14,HDFCNIMEG,EQUITY,EQ,INF179KC1KT4,129.06,129.96,128.33,129.87,130.06,6963.0,902095.97
2026-08-13,HDFCNIMEG,EQUITY,EQ,INF179KC1KT4,131.46,131.46,129.9,130.06,131.46,75357.0,9812309.41
2026-08-12,HDFCNIMEG,EQUITY,EQ,INF179KC1KT4,131.49,133.82,131.03,131.46,131.09,27865.0,3665518.73
2026-08-11,HDFCNIMEG,EQUITY,EQ,INF179KC1KT4,132.43,132.92,130.85,131.09,132.14,87463.0,11471962.56
2026-08-10,HDFCNIMEG,EQUITY,EQ,INF179KC1KT4,132.0,132.77,131.77,132.14,131.8,12415.0,1643253.78
2026-08-07,HDFCNIMEG,EQUITY,EQ,INF179KC1KT4,131.11,132.2,130.8,131.8,132.02,353045.0,46532020.36
2026-08-06,HDFCNIMEG,EQUITY,EQ,INF179KC1KT4,132.68,132.95,131.28,132.02,132.67,45508.0,6002433.69
2026-08-05,HDFCNIMEG,EQUITY,EQ,INF179KC1KT4,133.77,134.85,130.01,132.67,142.82,48940.0,6418105.97
2026-08-04,HDFCNIMEG,EQUITY,EQ,INF179KC1KT4,130.75,152.55,127.2,142.82,130.7,124313.0,16225294.73
2026-08-03,HDFCNIMEG,EQUITY,EQ,INF179KC1KT4,130.42,132.0,128.04,130.7,127.24,61917.0,7963547.17
2026-07-31,HDFCNIMEG,EQUITY,EQ,INF179KC1KT4,127.5,127.88,126.96,127.24,126.79,131984.0,16798455.34
