trade_date,symbol,asset_type,series,isin,open,high,low,close,prev_close,volume,traded_value
2026-09-08,HECPROJECT,EQUITY,EQ,INE558R01013,120.48,140.2,118.02,122.98,118.17,139918.0,18921517.47
2026-09-07,HECPROJECT,EQUITY,EQ,INE558R01013,117.95,119.98,117.95,118.17,117.78,3073.0,364336.01
2026-09-04,HECPROJECT,EQUITY,EQ,INE558R01013,121.78,121.78,115.05,117.78,121.34,8085.0,950572.23
2026-09-03,HECPROJECT,EQUITY,EQ,INE558R01013,119.99,123.0,115.7,121.34,116.09,7140.0,858474.42
2026-09-02,HECPROJECT,EQUITY,EQ,INE558R01013,116.37,119.37,115.0,116.09,116.37,4614.0,533805.85
2026-09-01,HECPROJECT,EQUITY,EQ,INE558R01013,119.57,121.49,115.53,116.37,119.57,4575.0,540350.45
2026-08-31,HECPROJECT,EQUITY,EQ,INE558R01013,114.01,123.1,114.01,119.57,118.06,9218.0,1098015.4
2026-08-28,HECPROJECT,EQUITY,EQ,INE558R01013,116.26,119.35,116.26,118.06,117.97,3081.0,364270.28
2026-08-27,HECPROJECT,EQUITY,EQ,INE558R01013,120.3,121.1,115.01,117.97,118.8,5086.0,602790.65
2026-08-26,HECPROJECT,EQUITY,EQ,INE558R01013,121.21,121.21,118.0,118.8,121.21,3783.0,450636.42
2026-08-25,HECPROJECT,EQUITY,EQ,INE558R01013,119.9,123.0,116.51,121.21,115.01,12034.0,1442404.12
2026-08-24,HECPROJECT,EQUITY,EQ,INE558R01013,114.85,117.94,114.0,115.01,115.97,8146.0,940934.86
2026-08-21,HECPROJECT,EQUITY,EQ,INE558R01013,116.25,119.7,114.99,115.97,117.89,13344.0,1552154.03
2026-08-20,HECPROJECT,EQUITY,EQ,INE558R01013,118.0,121.47,116.02,117.89,116.8,8957.0,1060256.12
2026-08-19,HECPROJECT,EQUITY,EQ,INE558R01013,124.9,124.9,115.5,116.8,119.3,18313.0,2170159.87
2026-08-18,HECPROJECT,EQUITY,EQ,INE558R01013,118.05,124.74,118.05,119.3,119.89,15932.0,1933333.42
2026-08-17,HECPROJECT,EQUITY,EQ,INE558R01013,130.2,130.2,115.5,119.89,130.05,83793.0,10229752.68
2026-08-14,HECPROJECT,EQUITY,EQ,INE558R01013,137.5,148.39,123.0,130.05,137.91,101413.0,13892985.27
2026-08-13,HECPROJECT,EQUITY,EQ,INE558R01013,135.96,142.0,134.07,137.91,136.01,9637.0,1325668.42
2026-08-12,HECPROJECT,EQUITY,EQ,INE558R01013,138.0,138.6,135.1,136.01,137.99,5860.0,799557.5
2026-08-11,HECPROJECT,EQUITY,EQ,INE558R01013,133.5,140.7,130.99,137.99,134.94,9621.0,1303697.66
2026-08-10,HECPROJECT,EQUITY,EQ,INE558R01013,133.72,137.6,133.48,134.94,132.75,7018.0,949923.29
