trade_date,symbol,asset_type,series,isin,open,high,low,close,prev_close,volume,traded_value
2026-09-09,HGINFRA,EQUITY,EQ,INE926X01010,483.0,483.15,476.25,478.55,484.55,26825.0,12854462.75
2026-09-08,HGINFRA,EQUITY,EQ,INE926X01010,488.35,488.35,477.85,484.55,488.7,39924.0,19286803.6
2026-09-07,HGINFRA,EQUITY,EQ,INE926X01010,482.0,491.55,479.3,488.7,482.0,48912.0,23805914.55
2026-09-04,HGINFRA,EQUITY,EQ,INE926X01010,479.35,484.0,475.0,482.0,479.9,49859.0,23941751.9
2026-09-03,HGINFRA,EQUITY,EQ,INE926X01010,473.0,481.95,473.0,479.9,471.8,29404.0,14082017.8
2026-09-02,HGINFRA,EQUITY,EQ,INE926X01010,481.9,483.25,470.0,471.8,481.85,91321.0,43291460.8
2026-09-01,HGINFRA,EQUITY,EQ,INE926X01010,486.15,489.95,480.35,481.85,490.05,65514.0,31715867.8
2026-08-31,HGINFRA,EQUITY,EQ,INE926X01010,495.25,496.6,488.0,490.05,496.5,60402.0,29619011.1
2026-08-28,HGINFRA,EQUITY,EQ,INE926X01010,502.0,504.15,495.1,496.5,502.15,52973.0,26387749.0
2026-08-27,HGINFRA,EQUITY,EQ,INE926X01010,501.95,506.15,500.25,502.15,501.9,37937.0,19052782.5
2026-08-26,HGINFRA,EQUITY,EQ,INE926X01010,506.0,510.35,500.35,501.9,502.85,64491.0,32474144.3
2026-08-25,HGINFRA,EQUITY,EQ,INE926X01010,512.35,512.35,500.2,502.85,506.65,49614.0,24962272.85
2026-08-24,HGINFRA,EQUITY,EQ,INE926X01010,510.0,515.35,504.55,506.65,511.9,86374.0,43887350.45
2026-08-21,HGINFRA,EQUITY,EQ,INE926X01010,513.0,515.35,510.35,511.9,513.7,59474.0,30489827.1
2026-08-20,HGINFRA,EQUITY,EQ,INE926X01010,515.0,521.0,512.0,513.7,518.55,150916.0,78048891.85
2026-08-19,HGINFRA,EQUITY,EQ,INE926X01010,520.05,562.45,511.35,518.55,507.7,4792216.0,2601134476.8
2026-08-18,HGINFRA,EQUITY,EQ,INE926X01010,514.5,517.3,505.0,507.7,514.5,71433.0,36500847.0
2026-08-17,HGINFRA,EQUITY,EQ,INE926X01010,523.75,524.9,512.3,514.5,523.75,80109.0,41314276.35
2026-08-14,HGINFRA,EQUITY,EQ,INE926X01010,528.8,533.95,521.0,523.75,526.45,51203.0,26915355.6
2026-08-13,HGINFRA,EQUITY,EQ,INE926X01010,537.0,543.0,523.0,526.45,551.75,217567.0,114967363.6
2026-08-12,HGINFRA,EQUITY,EQ,INE926X01010,553.0,575.75,547.8,551.75,547.8,232826.0,131031454.55
2026-08-11,HGINFRA,EQUITY,EQ,INE926X01010,553.55,557.0,545.0,547.8,553.95,38059.0,20895629.05
2026-08-10,HGINFRA,EQUITY,EQ,INE926X01010,548.15,558.0,544.0,553.95,549.15,39765.0,21926289.8
2026-08-07,HGINFRA,EQUITY,EQ,INE926X01010,550.0,551.95,547.0,549.15,552.3,24516.0,13474459.7
2026-08-06,HGINFRA,EQUITY,EQ,INE926X01010,542.9,560.0,542.9,552.3,542.9,110578.0,61194876.75
2026-08-05,HGINFRA,EQUITY,EQ,INE926X01010,547.55,551.5,541.0,542.9,547.5,31195.0,17023845.15
2026-08-04,HGINFRA,EQUITY,EQ,INE926X01010,549.0,549.9,543.75,547.5,546.85,28693.0,15669483.4
2026-08-03,HGINFRA,EQUITY,EQ,INE926X01010,538.55,548.0,538.0,546.85,538.55,48918.0,26647130.2
