trade_date,symbol,asset_type,series,isin,open,high,low,close,prev_close,volume,traded_value
2026-09-08,HIKAL,EQUITY,EQ,INE475B01022,246.2,253.8,238.19,246.01,243.0,6560890.0,1618351754.45
2026-09-07,HIKAL,EQUITY,EQ,INE475B01022,222.01,257.0,218.82,243.0,222.3,31089358.0,7628274227.93
2026-09-04,HIKAL,EQUITY,EQ,INE475B01022,234.0,236.74,220.1,222.3,240.36,5359400.0,1229709067.34
2026-09-03,HIKAL,EQUITY,EQ,INE475B01022,201.15,240.72,201.15,240.36,200.6,20195810.0,4663182417.32
2026-09-02,HIKAL,EQUITY,EQ,INE475B01022,198.88,202.99,197.01,200.6,198.54,237919.0,47529026.24
2026-09-01,HIKAL,EQUITY,EQ,INE475B01022,201.0,205.0,197.01,198.54,201.41,211546.0,42249938.01
2026-08-31,HIKAL,EQUITY,EQ,INE475B01022,204.39,205.47,195.0,201.41,204.23,320355.0,64184588.67
2026-08-28,HIKAL,EQUITY,EQ,INE475B01022,204.85,206.89,202.23,204.23,204.63,139273.0,28427123.08
2026-08-27,HIKAL,EQUITY,EQ,INE475B01022,208.0,212.51,203.35,204.63,207.63,183484.0,38133080.5
2026-08-26,HIKAL,EQUITY,EQ,INE475B01022,208.37,210.49,207.0,207.63,208.37,105536.0,21983430.09
2026-08-25,HIKAL,EQUITY,EQ,INE475B01022,212.1,212.91,205.81,208.37,211.99,169295.0,35331828.55
2026-08-24,HIKAL,EQUITY,EQ,INE475B01022,219.85,219.85,210.35,211.99,215.61,185010.0,39574763.58
2026-08-21,HIKAL,EQUITY,EQ,INE475B01022,212.7,218.35,212.7,215.61,212.26,174359.0,37583104.45
2026-08-20,HIKAL,EQUITY,EQ,INE475B01022,214.46,215.55,211.53,212.26,214.11,166366.0,35473770.43
2026-08-19,HIKAL,EQUITY,EQ,INE475B01022,214.56,216.0,212.8,214.11,217.18,76141.0,16288153.48
2026-08-18,HIKAL,EQUITY,EQ,INE475B01022,213.0,217.5,212.12,217.18,212.81,138405.0,29795021.05
2026-08-17,HIKAL,EQUITY,EQ,INE475B01022,216.2,217.74,212.0,212.81,217.99,189229.0,40382223.11
2026-08-14,HIKAL,EQUITY,EQ,INE475B01022,217.5,223.99,216.5,217.99,216.35,253073.0,55740294.81
2026-08-13,HIKAL,EQUITY,EQ,INE475B01022,212.84,219.71,210.96,216.35,212.84,352544.0,75963247.42
2026-08-12,HIKAL,EQUITY,EQ,INE475B01022,217.98,218.35,211.1,212.84,217.98,242629.0,51864639.94
2026-08-11,HIKAL,EQUITY,EQ,INE475B01022,223.82,224.23,214.22,217.98,224.72,297314.0,64856786.06
2026-08-10,HIKAL,EQUITY,EQ,INE475B01022,226.35,227.7,222.0,224.72,227.14,239393.0,53694046.03
2026-08-07,HIKAL,EQUITY,EQ,INE475B01022,216.99,230.0,216.02,227.14,221.43,812011.0,180951147.56
2026-08-06,HIKAL,EQUITY,EQ,INE475B01022,233.9,239.9,216.05,221.43,232.58,3163619.0,725070652.48
2026-08-05,HIKAL,EQUITY,EQ,INE475B01022,229.0,234.15,228.76,232.58,228.54,350112.0,81294070.3
2026-08-04,HIKAL,EQUITY,EQ,INE475B01022,230.88,233.39,227.01,228.54,229.9,250091.0,57560182.56
2026-08-03,HIKAL,EQUITY,EQ,INE475B01022,222.2,234.8,222.2,229.9,221.31,575992.0,132580167.01
2026-07-31,HIKAL,EQUITY,EQ,INE475B01022,217.0,223.4,216.4,221.31,216.99,142203.0,31440901.97
2026-07-30,HIKAL,EQUITY,EQ,INE475B01022,221.46,222.88,216.01,216.99,221.38,123310.0,26890557.09
2026-07-29,HIKAL,EQUITY,EQ,INE475B01022,217.95,224.0,216.99,221.38,216.99,243580.0,53864780.16
2026-07-28,HIKAL,EQUITY,EQ,INE475B01022,221.66,223.38,215.35,216.99,221.98,121539.0,26529158.22
2026-07-27,HIKAL,EQUITY,EQ,INE475B01022,218.11,224.5,218.11,221.98,217.4,197350.0,43807127.15
2026-07-24,HIKAL,EQUITY,EQ,INE475B01022,211.0,220.0,208.0,217.4,211.95,344016.0,74003277.78
2026-07-23,HIKAL,EQUITY,EQ,INE475B01022,213.01,216.48,210.15,211.95,213.65,200047.0,42663824.84
2026-07-22,HIKAL,EQUITY,EQ,INE475B01022,224.8,224.8,212.45,213.65,224.74,396303.0,85603665.67
2026-07-21,HIKAL,EQUITY,EQ,INE475B01022,227.26,228.59,218.5,224.74,227.26,462088.0,103028960.12
2026-07-20,HIKAL,EQUITY,EQ,INE475B01022,229.15,235.9,225.61,227.26,228.83,308759.0,70728682.63
2026-07-17,HIKAL,EQUITY,EQ,INE475B01022,234.0,234.88,226.22,228.83,234.4,239419.0,54889918.31
2026-07-16,HIKAL,EQUITY,EQ,INE475B01022,240.8,242.99,233.49,234.4,240.8,403342.0,95389136.84
2026-07-15,HIKAL,EQUITY,EQ,INE475B01022,238.6,248.7,237.23,240.8,237.22,617604.0,150149902.35
2026-07-14,HIKAL,EQUITY,EQ,INE475B01022,243.8,244.03,236.1,237.22,245.69,365108.0,87440061.55
2026-07-13,HIKAL,EQUITY,EQ,INE475B01022,244.0,252.8,241.53,245.69,244.75,1309299.0,324673432.74
2026-07-10,HIKAL,EQUITY,EQ,INE475B01022,235.88,247.5,232.33,244.75,233.59,1562899.0,379565916.97
2026-07-09,HIKAL,EQUITY,EQ,INE475B01022,228.0,241.9,228.0,233.59,228.78,1713350.0,406049706.7
2026-07-08,HIKAL,EQUITY,EQ,INE475B01022,215.0,244.68,215.0,228.78,217.4,10189953.0,2405927359.99
2026-07-07,HIKAL,EQUITY,EQ,INE475B01022,221.0,222.79,216.21,217.4,220.18,123119.0,26936375.27
2026-07-06,HIKAL,EQUITY,EQ,INE475B01022,221.98,224.9,218.54,220.18,222.1,170487.0,37650038.91
2026-07-03,HIKAL,EQUITY,EQ,INE475B01022,224.85,225.75,220.32,222.1,223.09,122619.0,27276385.63
2026-07-02,HIKAL,EQUITY,EQ,INE475B01022,220.4,224.47,218.25,223.09,218.96,259786.0,57588087.06
2026-07-01,HIKAL,EQUITY,EQ,INE475B01022,221.88,227.0,216.9,218.96,221.38,344195.0,76688922.63
2026-06-30,HIKAL,EQUITY,EQ,INE475B01022,214.95,225.0,214.9,221.38,214.93,553161.0,122803269.88
2026-06-29,HIKAL,EQUITY,EQ,INE475B01022,216.38,219.5,212.61,214.93,214.93,206578.0,44583710.39
2026-06-25,HIKAL,EQUITY,EQ,INE475B01022,219.99,223.0,213.01,214.93,218.32,261415.0,56700893.39
2026-06-24,HIKAL,EQUITY,EQ,INE475B01022,218.43,224.42,217.35,218.32,217.67,350884.0,77350632.41
2026-06-23,HIKAL,EQUITY,EQ,INE475B01022,215.0,225.8,215.0,217.67,218.56,936382.0,206802406.0
2026-06-22,HIKAL,EQUITY,EQ,INE475B01022,206.89,223.35,204.77,218.56,204.77,1278741.0,276461437.09
2026-06-19,HIKAL,EQUITY,EQ,INE475B01022,199.26,209.8,196.96,204.77,198.6,723618.0,148353323.54
2026-06-18,HIKAL,EQUITY,EQ,INE475B01022,189.99,199.9,189.38,198.6,189.96,871806.0,170810196.62
2026-06-17,HIKAL,EQUITY,EQ,INE475B01022,189.7,191.17,189.0,189.96,189.7,153927.0,29229456.17
2026-06-16,HIKAL,EQUITY,EQ,INE475B01022,187.44,193.95,186.85,189.7,187.25,264080.0,50386638.11
2026-06-15,HIKAL,EQUITY,EQ,INE475B01022,188.0,194.71,186.0,187.25,183.99,340598.0,64473160.92
2026-06-12,HIKAL,EQUITY,EQ,INE475B01022,180.07,185.2,178.55,183.99,176.15,147486.0,26784541.34
2026-06-11,HIKAL,EQUITY,EQ,INE475B01022,178.31,180.0,174.97,176.15,178.31,139778.0,24772225.52
2026-06-10,HIKAL,EQUITY,EQ,INE475B01022,181.32,184.39,177.93,178.31,181.32,160170.0,28991965.76
2026-06-09,HIKAL,EQUITY,EQ,INE475B01022,181.3,181.84,177.24,181.32,179.78,185995.0,33469964.01
2026-06-08,HIKAL,EQUITY,EQ,INE475B01022,188.0,189.08,178.6,179.78,189.62,246979.0,45141258.78
2026-06-05,HIKAL,EQUITY,EQ,INE475B01022,194.32,194.61,189.0,189.62,191.9,163359.0,31131649.54
2026-06-04,HIKAL,EQUITY,EQ,INE475B01022,186.94,194.5,186.71,191.9,187.98,196724.0,37726395.0
