trade_date,symbol,asset_type,series,isin,open,high,low,close,prev_close,volume,traded_value
2026-09-08,HINDCOPPER,EQUITY,EQ,INE531E01026,520.0,537.0,520.0,532.85,509.1,24876043.0,13196498951.65
2026-09-07,HINDCOPPER,EQUITY,EQ,INE531E01026,521.6,521.6,506.6,509.1,521.65,5991278.0,3071504736.3
2026-09-04,HINDCOPPER,EQUITY,EQ,INE531E01026,522.15,523.95,518.0,521.65,518.5,3802351.0,1979833441.6
2026-09-03,HINDCOPPER,EQUITY,EQ,INE531E01026,526.0,528.8,517.0,518.5,520.95,5410660.0,2822603132.9
2026-09-02,HINDCOPPER,EQUITY,EQ,INE531E01026,521.25,524.55,516.25,520.95,526.65,6616530.0,3440496796.25
2026-09-01,HINDCOPPER,EQUITY,EQ,INE531E01026,529.3,536.9,517.0,526.65,525.35,13697101.0,7204850358.15
2026-08-31,HINDCOPPER,EQUITY,EQ,INE531E01026,528.0,529.5,520.1,525.35,533.55,8811548.0,4627797718.55
2026-08-28,HINDCOPPER,EQUITY,EQ,INE531E01026,539.0,543.0,530.0,533.55,536.3,10119066.0,5397779859.4
2026-08-27,HINDCOPPER,EQUITY,EQ,INE531E01026,547.2,552.9,533.15,536.3,556.05,24102873.0,13076886584.3
2026-08-26,HINDCOPPER,EQUITY,EQ,INE531E01026,527.0,562.6,526.2,556.05,532.65,56459799.0,30866096866.4
2026-08-25,HINDCOPPER,EQUITY,EQ,INE531E01026,542.0,551.85,529.35,532.65,574.15,44652248.0,23914172844.45
2026-08-24,HINDCOPPER,EQUITY,EQ,INE531E01026,576.0,586.75,566.7,574.15,572.7,11471331.0,6601888187.95
2026-08-21,HINDCOPPER,EQUITY,EQ,INE531E01026,562.95,581.5,561.2,572.7,560.1,13674341.0,7866853597.15
2026-08-20,HINDCOPPER,EQUITY,EQ,INE531E01026,565.0,574.7,553.6,560.1,554.85,9758301.0,5477080482.05
2026-08-19,HINDCOPPER,EQUITY,EQ,INE531E01026,560.0,569.0,553.0,554.85,566.35,5929490.0,3322574395.6
2026-08-18,HINDCOPPER,EQUITY,EQ,INE531E01026,568.6,576.7,555.55,566.35,572.65,15501582.0,8793702221.7
2026-08-17,HINDCOPPER,EQUITY,EQ,INE531E01026,535.0,574.9,534.1,572.65,529.05,29333771.0,16479210370.15
2026-08-14,HINDCOPPER,EQUITY,EQ,INE531E01026,546.5,546.7,515.0,529.05,544.45,8696054.0,4584278431.8
2026-08-13,HINDCOPPER,EQUITY,EQ,INE531E01026,549.0,570.5,542.0,544.45,547.7,14649216.0,8161199810.5
2026-08-12,HINDCOPPER,EQUITY,EQ,INE531E01026,530.85,569.9,529.6,547.7,533.3,36903374.0,20489444926.75
2026-08-11,HINDCOPPER,EQUITY,EQ,INE531E01026,531.0,538.8,527.7,533.3,526.25,5547022.0,2961541654.0
2026-08-10,HINDCOPPER,EQUITY,EQ,INE531E01026,537.95,552.0,522.0,526.25,536.1,12427899.0,6690259781.9
2026-08-07,HINDCOPPER,EQUITY,EQ,INE531E01026,543.75,548.0,532.1,536.1,545.95,9431736.0,5090431154.45
2026-08-06,HINDCOPPER,EQUITY,EQ,INE531E01026,542.45,551.0,525.55,545.95,533.8,19838083.0,10653559479.55
2026-08-05,HINDCOPPER,EQUITY,EQ,INE531E01026,496.2,539.6,495.1,533.8,492.35,22701332.0,11786045529.6
2026-08-04,HINDCOPPER,EQUITY,EQ,INE531E01026,495.05,504.3,490.05,492.35,495.05,4448305.0,2209739511.6
