trade_date,symbol,asset_type,series,isin,open,high,low,close,prev_close,volume,traded_value
2026-09-10,HIRECT,EQUITY,EQ,INE835D01023,1290.3,1299.0,1244.9,1248.9,1273.6,57042.0,72514497.2
2026-09-09,HIRECT,EQUITY,EQ,INE835D01023,1281.4,1318.5,1263.0,1273.6,1281.4,99771.0,129013188.8
2026-09-08,HIRECT,EQUITY,EQ,INE835D01023,1214.2,1305.0,1214.2,1281.4,1211.9,252304.0,323122071.2
2026-09-07,HIRECT,EQUITY,EQ,INE835D01023,1215.0,1235.0,1200.2,1211.9,1222.4,61020.0,74046656.6
2026-09-04,HIRECT,EQUITY,EQ,INE835D01023,1236.0,1249.7,1220.4,1222.4,1235.8,18689.0,22997508.3
2026-09-03,HIRECT,EQUITY,EQ,INE835D01023,1223.8,1247.0,1212.0,1235.8,1218.5,31919.0,39265732.9
2026-09-02,HIRECT,EQUITY,EQ,INE835D01023,1244.0,1250.9,1214.0,1218.5,1248.2,26426.0,32465661.3
2026-09-01,HIRECT,EQUITY,EQ,INE835D01023,1215.8,1264.7,1203.8,1248.2,1221.9,54711.0,67445639.8
2026-08-31,HIRECT,EQUITY,EQ,INE835D01023,1231.6,1237.5,1210.1,1221.9,1237.8,32439.0,39681561.5
2026-08-28,HIRECT,EQUITY,EQ,INE835D01023,1230.0,1247.0,1218.8,1237.8,1223.0,27665.0,34033935.9
2026-08-27,HIRECT,EQUITY,EQ,INE835D01023,1235.8,1242.9,1202.1,1223.0,1246.8,62144.0,75859531.2
2026-08-26,HIRECT,EQUITY,EQ,INE835D01023,1240.4,1257.1,1237.1,1246.8,1235.4,23456.0,29162960.4
2026-08-25,HIRECT,EQUITY,EQ,INE835D01023,1226.9,1254.3,1215.4,1235.4,1223.3,52908.0,65195311.7
2026-08-24,HIRECT,EQUITY,EQ,INE835D01023,1281.0,1290.0,1212.0,1223.3,1273.7,77669.0,96565488.3
2026-08-21,HIRECT,EQUITY,EQ,INE835D01023,1275.0,1329.5,1265.0,1273.7,1278.4,106239.0,138385176.6
2026-08-20,HIRECT,EQUITY,EQ,INE835D01023,1263.8,1292.0,1261.2,1278.4,1263.8,38594.0,49396284.0
2026-08-19,HIRECT,EQUITY,EQ,INE835D01023,1252.5,1297.6,1245.4,1263.8,1261.0,58199.0,74299691.7
2026-08-18,HIRECT,EQUITY,EQ,INE835D01023,1250.0,1266.0,1245.1,1261.0,1258.6,33411.0,42039071.7
2026-08-17,HIRECT,EQUITY,EQ,INE835D01023,1256.0,1277.9,1247.0,1258.6,1256.0,48041.0,60520114.0
2026-08-14,HIRECT,EQUITY,EQ,INE835D01023,1254.0,1272.1,1242.1,1256.0,1253.3,66521.0,83568584.3
2026-08-13,HIRECT,EQUITY,EQ,INE835D01023,1253.1,1325.9,1242.0,1253.3,1242.4,146078.0,185703286.3
2026-08-12,HIRECT,EQUITY,EQ,INE835D01023,1222.2,1269.9,1186.4,1242.4,1222.3,135027.0,166948870.4
2026-08-11,HIRECT,EQUITY,EQ,INE835D01023,1299.0,1306.3,1162.3,1222.3,1293.0,566618.0,688510795.9
2026-08-10,HIRECT,EQUITY,EQ,INE835D01023,1310.9,1336.9,1290.0,1293.0,1310.2,64040.0,83922077.2
2026-08-07,HIRECT,EQUITY,EQ,INE835D01023,1303.9,1328.0,1294.0,1310.2,1297.2,54460.0,71361149.1
2026-08-06,HIRECT,EQUITY,EQ,INE835D01023,1330.0,1331.5,1286.0,1297.2,1330.4,88612.0,116057165.3
2026-08-05,HIRECT,EQUITY,EQ,INE835D01023,1325.9,1360.0,1310.1,1330.4,1320.4,117393.0,156521498.3
2026-08-04,HIRECT,EQUITY,EQ,INE835D01023,1345.0,1388.7,1310.1,1320.4,1339.4,145123.0,195685360.1
2026-08-03,HIRECT,EQUITY,EQ,INE835D01023,1344.0,1360.0,1319.9,1339.4,1338.3,80334.0,107965199.7
2026-07-31,HIRECT,EQUITY,EQ,INE835D01023,1305.0,1369.0,1294.4,1338.3,1300.4,164753.0,220612507.5
2026-07-30,HIRECT,EQUITY,EQ,INE835D01023,1346.0,1355.0,1290.4,1300.4,1323.1,199318.0,263519127.8
2026-07-29,HIRECT,EQUITY,EQ,INE835D01023,1311.0,1337.0,1275.9,1323.1,1311.5,94354.0,123424276.7
2026-07-28,HIRECT,EQUITY,EQ,INE835D01023,1332.3,1332.3,1269.9,1311.5,1332.3,85923.0,111280768.1
2026-07-27,HIRECT,EQUITY,EQ,INE835D01023,1333.3,1359.0,1316.1,1332.3,1301.9,161969.0,216580029.4
2026-07-24,HIRECT,EQUITY,EQ,INE835D01023,1266.1,1324.8,1255.5,1301.9,1285.0,64247.0,83051613.7
2026-07-23,HIRECT,EQUITY,EQ,INE835D01023,1270.0,1310.0,1240.0,1285.0,1278.4,97168.0,123449140.3
2026-07-22,HIRECT,EQUITY,EQ,INE835D01023,1350.0,1350.0,1270.0,1278.4,1308.6,129059.0,168530765.6
2026-07-21,HIRECT,EQUITY,EQ,INE835D01023,1270.5,1325.0,1258.0,1308.6,1252.1,187088.0,241363348.2
2026-07-20,HIRECT,EQUITY,EQ,INE835D01023,1244.0,1266.0,1216.8,1252.1,1244.5,85099.0,105992160.4
2026-07-17,HIRECT,EQUITY,EQ,INE835D01023,1276.0,1284.9,1223.4,1244.5,1288.3,225672.0,280625544.0
2026-07-16,HIRECT,EQUITY,EQ,INE835D01023,1350.0,1399.0,1273.5,1288.3,1273.6,3689387.0,4905178027.5
2026-07-15,HIRECT,EQUITY,EQ,INE835D01023,1065.5,1274.8,1045.0,1273.6,1062.4,1163210.0,1444712933.6
2026-07-14,HIRECT,EQUITY,EQ,INE835D01023,1045.0,1069.1,1029.1,1062.4,1052.7,42432.0,44476118.8
2026-07-13,HIRECT,EQUITY,EQ,INE835D01023,1044.6,1078.5,1034.9,1052.7,1055.1,33785.0,35727393.9
2026-07-10,HIRECT,EQUITY,EQ,INE835D01023,1052.0,1062.5,1027.4,1055.1,1041.0,49199.0,51604236.4
2026-07-09,HIRECT,EQUITY,EQ,INE835D01023,1015.3,1049.7,1015.3,1041.0,1025.2,47931.0,49773069.7
2026-07-08,HIRECT,EQUITY,EQ,INE835D01023,1062.8,1070.6,1001.0,1025.2,1057.6,101388.0,105166849.2
2026-07-07,HIRECT,EQUITY,EQ,INE835D01023,1099.7,1103.5,1051.0,1057.6,1093.1,66948.0,71339438.5
2026-07-06,HIRECT,EQUITY,EQ,INE835D01023,1119.8,1119.8,1071.6,1093.1,1092.2,81045.0,88711063.9
2026-07-03,HIRECT,EQUITY,EQ,INE835D01023,1149.0,1149.0,1075.0,1092.2,1141.3,191043.0,210444357.3
2026-07-02,HIRECT,EQUITY,EQ,INE835D01023,1141.2,1174.0,1130.0,1141.3,1153.2,79522.0,91648629.7
2026-07-01,HIRECT,EQUITY,EQ,INE835D01023,1173.7,1184.0,1140.7,1153.2,1159.2,70917.0,82224852.2
2026-06-30,HIRECT,EQUITY,EQ,INE835D01023,1130.0,1164.0,1128.9,1159.2,1130.0,55973.0,64272387.3
2026-06-29,HIRECT,EQUITY,EQ,INE835D01023,1120.0,1137.9,1070.5,1130.0,1121.0,95112.0,105081648.5
2026-06-25,HIRECT,EQUITY,EQ,INE835D01023,1162.7,1179.0,1111.2,1121.0,1157.1,76842.0,87081034.0
2026-06-24,HIRECT,EQUITY,EQ,INE835D01023,1122.1,1164.0,1119.1,1157.1,1131.0,59431.0,67972414.3
2026-06-23,HIRECT,EQUITY,EQ,INE835D01023,1147.0,1165.0,1115.7,1131.0,1145.9,63810.0,72501898.5
2026-06-22,HIRECT,EQUITY,EQ,INE835D01023,1166.0,1166.7,1139.3,1145.9,1152.4,42239.0,48472897.3
2026-06-19,HIRECT,EQUITY,EQ,INE835D01023,1153.5,1169.4,1135.3,1152.4,1147.0,63546.0,73370698.1
2026-06-18,HIRECT,EQUITY,EQ,INE835D01023,1207.0,1209.9,1142.5,1147.0,1192.2,129593.0,150649132.0
2026-06-17,HIRECT,EQUITY,EQ,INE835D01023,1152.0,1206.0,1143.0,1192.2,1145.0,229916.0,272456166.0
2026-06-16,HIRECT,EQUITY,EQ,INE835D01023,1151.7,1190.0,1132.0,1145.0,1135.6,158355.0,184340104.6
2026-06-15,HIRECT,EQUITY,EQ,INE835D01023,1158.8,1167.4,1123.6,1135.6,1130.5,91941.0,104590027.8
2026-06-12,HIRECT,EQUITY,EQ,INE835D01023,1133.9,1142.0,1110.2,1130.5,1111.8,96480.0,108834526.6
2026-06-11,HIRECT,EQUITY,EQ,INE835D01023,1053.3,1169.0,1043.2,1111.8,1053.3,568515.0,640690727.8
2026-06-10,HIRECT,EQUITY,EQ,INE835D01023,1106.0,1109.5,1046.2,1053.3,1098.2,72499.0,78113158.6
2026-06-09,HIRECT,EQUITY,EQ,INE835D01023,1086.1,1112.2,1060.2,1098.2,1081.2,155016.0,168577920.1
2026-06-08,HIRECT,EQUITY,EQ,INE835D01023,1133.5,1143.0,1063.2,1081.2,1128.4,122355.0,135375259.9
2026-06-05,HIRECT,EQUITY,EQ,INE835D01023,1192.7,1192.7,1105.0,1128.4,1137.8,137804.0,157127185.8
2026-06-04,HIRECT,EQUITY,EQ,INE835D01023,1133.0,1204.4,1130.1,1137.8,1118.3,252967.0,294469857.4
2026-06-03,HIRECT,EQUITY,EQ,INE835D01023,1116.0,1138.9,1086.0,1118.3,1109.5,103107.0,114751456.9
2026-06-02,HIRECT,EQUITY,EQ,INE835D01023,1090.5,1134.9,1073.0,1109.5,1090.5,120557.0,133710740.3
2026-06-01,HIRECT,EQUITY,EQ,INE835D01023,1129.0,1160.0,1073.5,1090.5,1113.95,132899.0,148559793.4
2026-05-29,HIRECT,EQUITY,EQ,INE835D01023,1176.45,1212.1,1095.1,1113.95,1152.35,570326.0,652981562.9
2026-05-27,HIRECT,EQUITY,EQ,INE835D01023,989.15,1191.0,989.15,1152.35,999.6,1014203.0,1118654679.75
2026-05-26,HIRECT,EQUITY,EQ,INE835D01023,975.0,1033.45,973.0,999.6,972.75,194510.0,196825299.1
2026-05-25,HIRECT,EQUITY,EQ,INE835D01023,972.0,989.1,965.1,972.75,963.65,53296.0,52064891.15
2026-05-22,HIRECT,EQUITY,EQ,INE835D01023,999.0,999.9,949.45,963.65,990.4,86030.0,83906604.7
2026-05-21,HIRECT,EQUITY,EQ,INE835D01023,985.0,1020.0,968.25,990.4,973.6,195577.0,194117898.5
2026-05-20,HIRECT,EQUITY,EQ,INE835D01023,1000.0,1005.95,964.05,973.6,992.95,197866.0,194648374.5
2026-05-19,HIRECT,EQUITY,EQ,INE835D01023,911.5,1016.0,892.55,992.95,910.15,1277212.0,1264727590.3
2026-05-18,HIRECT,EQUITY,EQ,INE835D01023,890.05,938.0,797.55,910.15,946.35,1289121.0,1107070156.95
2026-05-15,HIRECT,EQUITY,EQ,INE835D01023,900.0,980.45,900.0,946.35,909.65,292240.0,278394560.4
2026-05-14,HIRECT,EQUITY,EQ,INE835D01023,883.1,932.35,883.1,909.65,877.8,145314.0,132595006.45
2026-05-13,HIRECT,EQUITY,EQ,INE835D01023,884.95,922.0,869.1,877.8,882.8,59148.0,52608259.55
2026-05-12,HIRECT,EQUITY,EQ,INE835D01023,913.9,919.65,880.0,882.8,913.45,57155.0,51317397.7
2026-05-11,HIRECT,EQUITY,EQ,INE835D01023,927.0,943.5,910.0,913.45,935.2,76731.0,70820249.45
2026-05-08,HIRECT,EQUITY,EQ,INE835D01023,948.4,956.9,930.1,935.2,948.45,64688.0,60833579.85
2026-05-07,HIRECT,EQUITY,EQ,INE835D01023,897.0,965.0,897.0,948.45,897.75,152116.0,143170655.6
2026-05-06,HIRECT,EQUITY,EQ,INE835D01023,935.0,949.6,870.2,897.75,932.95,165428.0,147228488.8
2026-05-05,HIRECT,EQUITY,EQ,INE835D01023,945.0,959.95,922.05,932.95,941.4,69361.0,65158040.85
2026-05-04,HIRECT,EQUITY,EQ,INE835D01023,951.4,968.8,915.75,941.4,941.7,91687.0,86681765.85
2026-04-30,HIRECT,EQUITY,EQ,INE835D01023,929.0,950.95,908.1,941.7,924.8,74374.0,69585821.1
2026-04-29,HIRECT,EQUITY,EQ,INE835D01023,936.65,942.0,912.25,924.8,922.8,58931.0,54601484.65
2026-04-28,HIRECT,EQUITY,EQ,INE835D01023,934.9,936.1,910.8,922.8,934.2,67409.0,62214805.15
2026-04-27,HIRECT,EQUITY,EQ,INE835D01023,919.6,989.0,919.6,934.2,909.9,246962.0,236906498.25
2026-04-24,HIRECT,EQUITY,EQ,INE835D01023,920.0,943.2,903.3,909.9,917.5,115169.0,106306632.1
2026-04-23,HIRECT,EQUITY,EQ,INE835D01023,932.0,951.0,910.1,917.5,931.7,123090.0,114714536.4
2026-04-22,HIRECT,EQUITY,EQ,INE835D01023,903.0,937.9,885.45,931.7,894.6,158857.0,146029468.1
2026-04-21,HIRECT,EQUITY,EQ,INE835D01023,891.85,914.0,882.55,894.6,884.8,79914.0,71604812.4
2026-04-20,HIRECT,EQUITY,EQ,INE835D01023,885.0,930.0,875.0,884.8,898.65,215631.0,194277507.4
2026-04-17,HIRECT,EQUITY,EQ,INE835D01023,904.3,914.0,884.0,898.65,894.75,142191.0,127627624.65
2026-04-16,HIRECT,EQUITY,EQ,INE835D01023,855.85,915.0,846.45,894.75,845.75,394421.0,351243998.2
2026-04-15,HIRECT,EQUITY,EQ,INE835D01023,848.0,868.45,828.0,845.75,847.0,201334.0,169885445.9
2026-04-13,HIRECT,EQUITY,EQ,INE835D01023,819.0,894.8,811.6,847.0,840.4,1397571.0,1210140723.45
2026-04-10,HIRECT,EQUITY,EQ,INE835D01023,715.0,847.4,715.0,840.4,706.2,1839095.0,1503728244.5
2026-04-09,HIRECT,EQUITY,EQ,INE835D01023,719.5,738.7,702.5,706.2,713.85,43545.0,31274508.25
2026-04-08,HIRECT,EQUITY,EQ,INE835D01023,698.9,717.8,691.0,713.85,677.4,64551.0,45798130.7
2026-04-07,HIRECT,EQUITY,EQ,INE835D01023,679.0,686.0,666.15,677.4,678.75,42787.0,28938820.3
2026-04-06,HIRECT,EQUITY,EQ,INE835D01023,698.25,704.45,661.5,678.75,693.25,55023.0,37241010.3
2026-04-02,HIRECT,EQUITY,EQ,INE835D01023,693.0,698.1,643.7,693.25,702.5,106016.0,70679180.65
2026-04-01,HIRECT,EQUITY,EQ,INE835D01023,677.6,713.45,677.6,702.5,660.1,69905.0,49036345.35
2026-03-30,HIRECT,EQUITY,EQ,INE835D01023,704.6,709.5,657.5,660.1,717.4,128980.0,86102748.7
2026-03-27,HIRECT,EQUITY,EQ,INE835D01023,790.0,798.5,708.5,717.4,1588.0,265685.0,193319320.2
2026-03-25,HIRECT,EQUITY,EQ,INE835D01023,1550.0,1630.0,1532.5,1588.0,1512.6,86821.0,138214698.9
2026-03-24,HIRECT,EQUITY,EQ,INE835D01023,1479.0,1521.2,1455.0,1512.6,1435.3,43332.0,64773841.2
2026-03-23,HIRECT,EQUITY,EQ,INE835D01023,1495.8,1522.9,1420.0,1435.3,1488.6,44813.0,64897903.5
