trade_date,symbol,asset_type,series,isin,open,high,low,close,prev_close,volume,traded_value
2026-09-08,HISARMETAL,EQUITY,EQ,INE598C01011,165.2,165.26,160.24,160.26,162.02,2922.0,471899.43
2026-09-07,HISARMETAL,EQUITY,EQ,INE598C01011,167.6,167.6,160.02,162.02,162.19,1223.0,196464.21
2026-09-04,HISARMETAL,EQUITY,EQ,INE598C01011,163.89,166.01,161.6,162.19,162.81,964.0,157551.6
2026-09-03,HISARMETAL,EQUITY,EQ,INE598C01011,161.2,164.75,159.02,162.81,159.8,4035.0,656703.56
2026-09-02,HISARMETAL,EQUITY,EQ,INE598C01011,161.14,165.8,155.23,159.8,159.54,2599.0,420287.7
2026-09-01,HISARMETAL,EQUITY,EQ,INE598C01011,154.55,166.0,151.56,159.54,157.34,2885.0,457509.57
2026-08-31,HISARMETAL,EQUITY,EQ,INE598C01011,156.25,160.99,156.25,157.34,155.96,4308.0,681436.56
2026-08-28,HISARMETAL,EQUITY,EQ,INE598C01011,148.0,159.9,148.0,155.96,149.23,4146.0,642176.88
2026-08-27,HISARMETAL,EQUITY,EQ,INE598C01011,151.02,151.8,148.35,149.23,151.82,201.0,30084.82
2026-08-26,HISARMETAL,EQUITY,EQ,INE598C01011,151.0,153.25,151.0,151.82,149.99,559.0,84853.29
2026-08-25,HISARMETAL,EQUITY,EQ,INE598C01011,149.3,153.98,149.3,149.99,149.33,447.0,67699.47
2026-08-24,HISARMETAL,EQUITY,EQ,INE598C01011,149.21,153.9,149.0,149.33,149.16,358.0,53998.31
2026-08-21,HISARMETAL,EQUITY,EQ,INE598C01011,150.02,152.48,149.0,149.16,149.66,465.0,69713.42
2026-08-20,HISARMETAL,EQUITY,EQ,INE598C01011,151.0,154.89,148.12,149.66,152.05,2843.0,428208.95
2026-08-19,HISARMETAL,EQUITY,EQ,INE598C01011,152.11,153.87,150.62,152.05,153.4,1617.0,246388.25
2026-08-18,HISARMETAL,EQUITY,EQ,INE598C01011,154.9,156.0,148.0,153.4,152.44,1846.0,281699.92
2026-08-17,HISARMETAL,EQUITY,EQ,INE598C01011,155.0,155.0,148.01,152.44,151.22,1811.0,276759.92
2026-08-14,HISARMETAL,EQUITY,EQ,INE598C01011,152.0,153.86,149.35,151.22,149.94,1967.0,299292.38
2026-08-13,HISARMETAL,EQUITY,EQ,INE598C01011,152.88,152.88,145.0,149.94,149.4,3375.0,503468.23
2026-08-12,HISARMETAL,EQUITY,EQ,INE598C01011,157.95,157.95,147.1,149.4,155.38,9665.0,1455560.86
2026-08-11,HISARMETAL,EQUITY,EQ,INE598C01011,160.0,165.25,154.4,155.38,161.62,1744.0,277586.51
2026-08-10,HISARMETAL,EQUITY,EQ,INE598C01011,164.9,166.9,154.11,161.62,152.02,10125.0,1638244.9
2026-08-07,HISARMETAL,EQUITY,EQ,INE598C01011,152.16,154.5,151.99,152.02,148.25,4513.0,687836.44
2026-08-06,HISARMETAL,EQUITY,EQ,INE598C01011,148.0,150.89,148.0,148.25,147.38,1058.0,157694.33
2026-08-05,HISARMETAL,EQUITY,EQ,INE598C01011,148.75,153.63,145.56,147.38,148.75,4284.0,632270.6
2026-08-04,HISARMETAL,EQUITY,EQ,INE598C01011,148.5,151.0,146.0,148.75,146.47,3054.0,451633.4
2026-08-03,HISARMETAL,EQUITY,EQ,INE598C01011,146.0,151.0,144.0,146.47,147.29,3008.0,443504.18
2026-07-31,HISARMETAL,EQUITY,EQ,INE598C01011,146.1,148.88,145.25,147.29,147.38,778.0,114374.48
2026-07-30,HISARMETAL,EQUITY,EQ,INE598C01011,147.0,151.0,146.0,147.38,148.38,2094.0,309215.31
2026-07-29,HISARMETAL,EQUITY,EQ,INE598C01011,148.75,151.9,147.5,148.38,149.42,191.0,28348.3
2026-07-28,HISARMETAL,EQUITY,EQ,INE598C01011,150.0,151.0,145.75,149.42,146.12,450.0,66180.07
2026-07-27,HISARMETAL,EQUITY,EQ,INE598C01011,147.49,151.0,145.5,146.12,147.49,319.0,46703.18
2026-07-24,HISARMETAL,EQUITY,EQ,INE598C01011,148.01,152.98,147.0,147.49,148.72,1317.0,195569.67
2026-07-23,HISARMETAL,EQUITY,EQ,INE598C01011,152.0,152.0,147.56,148.72,153.01,771.0,115089.9
2026-07-22,HISARMETAL,EQUITY,EQ,INE598C01011,150.26,153.3,150.26,153.01,152.05,240.0,36487.8
2026-07-21,HISARMETAL,EQUITY,EQ,INE598C01011,154.9,154.9,152.0,152.05,152.47,198.0,30308.37
2026-07-20,HISARMETAL,EQUITY,EQ,INE598C01011,153.7,155.9,152.0,152.47,154.41,1048.0,160425.08
2026-07-17,HISARMETAL,EQUITY,EQ,INE598C01011,152.0,155.3,150.25,154.41,153.02,1802.0,275648.58
2026-07-16,HISARMETAL,EQUITY,EQ,INE598C01011,154.31,154.4,153.0,153.02,154.2,723.0,111319.3
2026-07-15,HISARMETAL,EQUITY,EQ,INE598C01011,154.23,155.1,154.2,154.2,154.2,444.0,68467.42
2026-07-14,HISARMETAL,EQUITY,EQ,INE598C01011,156.0,157.0,153.05,154.2,157.03,776.0,119877.79
2026-07-13,HISARMETAL,EQUITY,EQ,INE598C01011,152.6,158.0,152.6,157.03,152.79,2332.0,366045.95
2026-07-10,HISARMETAL,EQUITY,EQ,INE598C01011,156.0,156.5,151.55,152.79,153.27,1816.0,279645.48
2026-07-09,HISARMETAL,EQUITY,EQ,INE598C01011,156.5,156.5,151.5,153.27,153.28,367.0,56382.59
2026-07-08,HISARMETAL,EQUITY,EQ,INE598C01011,156.9,158.5,153.0,153.28,154.96,911.0,140570.57
2026-07-07,HISARMETAL,EQUITY,EQ,INE598C01011,152.53,161.8,152.52,154.96,154.2,7203.0,1144045.08
2026-07-06,HISARMETAL,EQUITY,EQ,INE598C01011,154.94,157.0,152.25,154.2,154.17,298.0,45941.45
2026-07-03,HISARMETAL,EQUITY,EQ,INE598C01011,154.0,157.99,153.2,154.17,155.1,3278.0,505634.54
2026-07-02,HISARMETAL,EQUITY,EQ,INE598C01011,153.2,157.5,153.2,155.1,153.05,1109.0,173837.27
2026-07-01,HISARMETAL,EQUITY,EQ,INE598C01011,155.0,156.73,153.0,153.05,154.01,86.0,13237.67
2026-06-30,HISARMETAL,EQUITY,EQ,INE598C01011,152.98,155.0,151.2,154.01,153.03,1122.0,171701.8
2026-06-29,HISARMETAL,EQUITY,EQ,INE598C01011,157.0,157.0,153.0,153.03,155.66,560.0,85956.95
2026-06-25,HISARMETAL,EQUITY,EQ,INE598C01011,157.0,160.0,154.35,155.66,158.14,965.0,150594.41
2026-06-24,HISARMETAL,EQUITY,EQ,INE598C01011,159.0,159.79,155.5,158.14,155.6,1358.0,214448.11
2026-06-23,HISARMETAL,EQUITY,EQ,INE598C01011,158.0,159.9,155.0,155.6,158.67,219.0,34533.65
2026-06-22,HISARMETAL,EQUITY,EQ,INE598C01011,160.1,160.1,154.35,158.67,156.69,258.0,40456.5
2026-06-19,HISARMETAL,EQUITY,EQ,INE598C01011,162.99,162.99,156.1,156.69,159.17,176.0,27582.45
2026-06-18,HISARMETAL,EQUITY,EQ,INE598C01011,164.5,164.5,155.11,159.17,158.94,2327.0,370510.96
2026-06-17,HISARMETAL,EQUITY,EQ,INE598C01011,156.62,159.9,153.35,158.94,156.62,1336.0,209161.97
2026-06-16,HISARMETAL,EQUITY,EQ,INE598C01011,159.0,159.99,154.1,156.62,159.84,1057.0,164982.97
2026-06-15,HISARMETAL,EQUITY,EQ,INE598C01011,151.51,160.7,151.51,159.84,154.46,6377.0,1004050.06
2026-06-12,HISARMETAL,EQUITY,EQ,INE598C01011,158.0,160.0,154.12,154.46,152.91,5890.0,914888.72
2026-06-11,HISARMETAL,EQUITY,EQ,INE598C01011,146.0,156.0,144.0,152.91,146.0,13614.0,2068436.15
2026-06-10,HISARMETAL,EQUITY,EQ,INE598C01011,148.0,149.0,146.0,146.0,149.06,748.0,110384.43
2026-06-09,HISARMETAL,EQUITY,EQ,INE598C01011,149.0,151.0,144.25,149.06,148.25,988.0,147726.57
2026-06-08,HISARMETAL,EQUITY,EQ,INE598C01011,148.0,149.0,144.0,148.25,149.85,355.0,52495.79
2026-06-05,HISARMETAL,EQUITY,EQ,INE598C01011,150.69,150.69,147.5,149.85,145.63,782.0,117393.89
2026-06-04,HISARMETAL,EQUITY,EQ,INE598C01011,143.7,151.0,143.7,145.63,143.7,485.0,71932.72
