trade_date,symbol,asset_type,series,isin,open,high,low,close,prev_close,volume,traded_value
2026-09-11,HOMEFIRST,EQUITY,EQ,INE481N01025,1195.0,1195.0,1100.6,1184.5,1209.4,435329.0,514522580.4
2026-09-10,HOMEFIRST,EQUITY,EQ,INE481N01025,1202.3,1214.8,1196.4,1209.4,1202.3,168561.0,202914239.2
2026-09-09,HOMEFIRST,EQUITY,EQ,INE481N01025,1231.0,1231.0,1190.5,1202.3,1237.1,156030.0,187728262.0
2026-09-08,HOMEFIRST,EQUITY,EQ,INE481N01025,1245.1,1248.1,1225.5,1237.1,1233.7,560479.0,692396852.2
2026-09-07,HOMEFIRST,EQUITY,EQ,INE481N01025,1209.6,1244.9,1206.1,1233.7,1210.1,315751.0,388772352.8
2026-09-04,HOMEFIRST,EQUITY,EQ,INE481N01025,1201.4,1229.0,1196.0,1210.1,1201.4,128463.0,155979862.9
2026-09-03,HOMEFIRST,EQUITY,EQ,INE481N01025,1197.1,1218.0,1187.9,1201.4,1196.7,114599.0,138066252.5
2026-09-02,HOMEFIRST,EQUITY,EQ,INE481N01025,1187.0,1199.0,1153.9,1196.7,1182.8,125641.0,148980903.3
2026-09-01,HOMEFIRST,EQUITY,EQ,INE481N01025,1160.0,1188.9,1151.9,1182.8,1164.7,112117.0,130792067.8
2026-08-31,HOMEFIRST,EQUITY,EQ,INE481N01025,1189.8,1193.9,1158.5,1164.7,1198.3,220000.0,259802827.5
2026-08-28,HOMEFIRST,EQUITY,EQ,INE481N01025,1200.0,1205.0,1188.3,1198.3,1200.2,89891.0,107771318.0
2026-08-27,HOMEFIRST,EQUITY,EQ,INE481N01025,1184.0,1204.3,1183.0,1200.2,1183.7,118552.0,141938329.5
2026-08-26,HOMEFIRST,EQUITY,EQ,INE481N01025,1191.0,1206.0,1179.2,1183.7,1191.3,90856.0,108312092.0
2026-08-25,HOMEFIRST,EQUITY,EQ,INE481N01025,1193.0,1195.0,1176.0,1191.3,1192.9,97446.0,115666416.3
2026-08-24,HOMEFIRST,EQUITY,EQ,INE481N01025,1187.9,1204.0,1176.0,1192.9,1193.7,131185.0,155792264.1
2026-08-21,HOMEFIRST,EQUITY,EQ,INE481N01025,1187.7,1227.9,1178.1,1193.7,1187.4,233480.0,279717993.2
2026-08-20,HOMEFIRST,EQUITY,EQ,INE481N01025,1184.8,1193.8,1177.9,1187.4,1184.4,75365.0,89282769.3
2026-08-19,HOMEFIRST,EQUITY,EQ,INE481N01025,1177.1,1191.7,1174.6,1184.4,1177.1,106775.0,126479160.3
2026-08-18,HOMEFIRST,EQUITY,EQ,INE481N01025,1181.0,1184.2,1170.0,1177.1,1179.9,280836.0,330398208.4
2026-08-17,HOMEFIRST,EQUITY,EQ,INE481N01025,1173.1,1185.0,1168.2,1179.9,1176.5,38122.0,44905589.9
2026-08-14,HOMEFIRST,EQUITY,EQ,INE481N01025,1176.4,1187.9,1162.8,1176.5,1175.3,71934.0,84716979.9
2026-08-13,HOMEFIRST,EQUITY,EQ,INE481N01025,1181.2,1196.4,1170.4,1175.3,1181.2,113555.0,134269561.6
2026-08-12,HOMEFIRST,EQUITY,EQ,INE481N01025,1173.7,1187.0,1167.3,1181.2,1176.0,91800.0,108256683.5
2026-08-11,HOMEFIRST,EQUITY,EQ,INE481N01025,1180.1,1189.6,1170.1,1176.0,1181.6,48450.0,57165639.8
2026-08-10,HOMEFIRST,EQUITY,EQ,INE481N01025,1194.0,1199.6,1177.3,1181.6,1193.8,80861.0,96007839.7
2026-08-07,HOMEFIRST,EQUITY,EQ,INE481N01025,1190.0,1196.2,1182.7,1193.8,1191.1,174676.0,207524822.0
2026-08-06,HOMEFIRST,EQUITY,EQ,INE481N01025,1188.2,1196.0,1182.3,1191.1,1186.9,57718.0,68687035.7
2026-08-05,HOMEFIRST,EQUITY,EQ,INE481N01025,1175.2,1192.0,1172.9,1186.9,1169.7,139493.0,164731330.7
2026-08-04,HOMEFIRST,EQUITY,EQ,INE481N01025,1166.0,1177.8,1156.0,1169.7,1170.2,102458.0,119570933.0
2026-08-03,HOMEFIRST,EQUITY,EQ,INE481N01025,1193.5,1220.0,1168.0,1170.2,1189.0,114585.0,136253296.1
2026-07-31,HOMEFIRST,EQUITY,EQ,INE481N01025,1189.5,1214.0,1170.6,1189.0,1188.2,290248.0,343294600.4
2026-07-30,HOMEFIRST,EQUITY,EQ,INE481N01025,1182.5,1203.1,1169.0,1188.2,1174.5,180202.0,214005478.2
2026-07-29,HOMEFIRST,EQUITY,EQ,INE481N01025,1188.2,1201.8,1150.0,1174.5,1181.0,229658.0,267782352.1
2026-07-28,HOMEFIRST,EQUITY,EQ,INE481N01025,1195.0,1226.3,1161.6,1181.0,1182.5,381565.0,454546744.4
2026-07-27,HOMEFIRST,EQUITY,EQ,INE481N01025,1191.6,1220.1,1175.0,1182.5,1174.0,149218.0,177538048.2
2026-07-24,HOMEFIRST,EQUITY,EQ,INE481N01025,1192.0,1194.2,1155.0,1174.0,1202.3,259050.0,302832883.9
2026-07-23,HOMEFIRST,EQUITY,EQ,INE481N01025,1223.3,1223.3,1175.1,1202.3,1224.1,247075.0,295326761.4
2026-07-22,HOMEFIRST,EQUITY,EQ,INE481N01025,1280.1,1289.6,1221.1,1224.1,1280.1,151734.0,188559500.0
2026-07-21,HOMEFIRST,EQUITY,EQ,INE481N01025,1279.9,1287.5,1260.1,1280.1,1273.2,306205.0,391508487.1
2026-07-20,HOMEFIRST,EQUITY,EQ,INE481N01025,1241.0,1289.6,1235.1,1273.2,1241.8,226569.0,285727339.8
2026-07-17,HOMEFIRST,EQUITY,EQ,INE481N01025,1222.0,1250.1,1217.6,1241.8,1224.9,66355.0,81747992.2
2026-07-16,HOMEFIRST,EQUITY,EQ,INE481N01025,1248.0,1250.2,1214.1,1224.9,1247.1,116605.0,142567115.6
2026-07-15,HOMEFIRST,EQUITY,EQ,INE481N01025,1225.0,1250.6,1214.6,1247.1,1223.1,107069.0,132842772.2
2026-07-14,HOMEFIRST,EQUITY,EQ,INE481N01025,1265.0,1268.4,1221.1,1223.1,1261.0,160522.0,199460554.2
2026-07-13,HOMEFIRST,EQUITY,EQ,INE481N01025,1215.0,1284.9,1211.2,1261.0,1222.7,438646.0,554676602.9
