trade_date,symbol,asset_type,series,isin,open,high,low,close,prev_close,volume,traded_value
2026-09-11,HTMEDIA,EQUITY,EQ,INE501G01024,24.65,25.35,23.99,24.92,24.32,115860.0,2864771.01
2026-09-10,HTMEDIA,EQUITY,EQ,INE501G01024,24.68,25.25,23.91,24.32,24.67,86924.0,2132033.53
2026-09-09,HTMEDIA,EQUITY,EQ,INE501G01024,25.24,25.91,24.5,24.67,25.41,122745.0,3046048.57
2026-09-08,HTMEDIA,EQUITY,EQ,INE501G01024,25.74,26.15,25.11,25.41,25.7,111032.0,2838124.86
2026-09-07,HTMEDIA,EQUITY,EQ,INE501G01024,26.0,26.9,25.55,25.7,26.12,57931.0,1498418.28
2026-09-04,HTMEDIA,EQUITY,EQ,INE501G01024,26.56,26.9,26.06,26.12,26.56,43144.0,1135940.64
2026-09-03,HTMEDIA,EQUITY,EQ,INE501G01024,26.57,26.78,25.67,26.56,26.19,137891.0,3653405.24
2026-09-02,HTMEDIA,EQUITY,EQ,INE501G01024,26.98,26.98,25.71,26.19,26.88,143113.0,3765846.45
2026-09-01,HTMEDIA,EQUITY,EQ,INE501G01024,26.46,27.5,26.11,26.88,26.35,157208.0,4250424.32
2026-08-31,HTMEDIA,EQUITY,EQ,INE501G01024,26.8,26.99,26.1,26.35,26.78,70171.0,1851834.67
2026-08-28,HTMEDIA,EQUITY,EQ,INE501G01024,27.6,27.7,26.29,26.78,27.05,108269.0,2918482.65
2026-08-27,HTMEDIA,EQUITY,EQ,INE501G01024,26.99,27.68,26.92,27.05,26.88,47718.0,1290061.24
2026-08-26,HTMEDIA,EQUITY,EQ,INE501G01024,27.42,27.42,26.71,26.88,27.29,40776.0,1099607.29
2026-08-25,HTMEDIA,EQUITY,EQ,INE501G01024,27.01,27.69,26.61,27.29,27.23,82797.0,2247849.55
2026-08-24,HTMEDIA,EQUITY,EQ,INE501G01024,27.84,28.0,27.0,27.23,27.57,179509.0,4928829.91
2026-08-21,HTMEDIA,EQUITY,EQ,INE501G01024,26.63,28.25,26.63,27.57,26.73,278076.0,7710314.83
2026-08-20,HTMEDIA,EQUITY,EQ,INE501G01024,26.22,26.99,26.0,26.73,26.09,141290.0,3733259.06
2026-08-19,HTMEDIA,EQUITY,EQ,INE501G01024,26.78,26.97,25.8,26.09,26.78,86119.0,2253286.95
2026-08-18,HTMEDIA,EQUITY,EQ,INE501G01024,26.0,27.0,25.89,26.78,25.77,124006.0,3309035.62
2026-08-17,HTMEDIA,EQUITY,EQ,INE501G01024,26.17,26.59,25.1,25.77,26.37,108005.0,2796361.01
2026-08-14,HTMEDIA,EQUITY,EQ,INE501G01024,26.52,26.84,26.07,26.37,26.51,82474.0,2176713.86
2026-08-13,HTMEDIA,EQUITY,EQ,INE501G01024,26.4,27.0,26.16,26.51,26.74,88017.0,2330338.34
2026-08-12,HTMEDIA,EQUITY,EQ,INE501G01024,27.31,27.69,26.41,26.74,27.35,93367.0,2516833.13
2026-08-11,HTMEDIA,EQUITY,EQ,INE501G01024,27.56,27.88,27.03,27.35,27.66,109595.0,3007732.69
2026-08-10,HTMEDIA,EQUITY,EQ,INE501G01024,28.0,28.44,27.55,27.66,27.74,295021.0,8249775.14
2026-08-07,HTMEDIA,EQUITY,EQ,INE501G01024,27.37,28.4,26.5,27.74,26.91,331196.0,9060339.46
2026-08-06,HTMEDIA,EQUITY,EQ,INE501G01024,28.8,29.4,26.66,26.91,28.66,771516.0,21388883.01
2026-08-05,HTMEDIA,EQUITY,EQ,INE501G01024,27.01,31.3,27.01,28.66,26.5,4510678.0,132592871.05
2026-08-04,HTMEDIA,EQUITY,EQ,INE501G01024,24.87,27.5,24.87,26.5,24.87,319976.0,8436582.5
2026-08-03,HTMEDIA,EQUITY,EQ,INE501G01024,24.31,25.24,24.31,24.87,24.65,44939.0,1122985.08
2026-07-31,HTMEDIA,EQUITY,EQ,INE501G01024,24.51,25.07,24.5,24.65,24.53,39436.0,977707.9
2026-07-30,HTMEDIA,EQUITY,EQ,INE501G01024,25.4,25.4,24.5,24.53,24.8,44967.0,1109761.23
2026-07-29,HTMEDIA,EQUITY,EQ,INE501G01024,25.0,25.19,24.5,24.8,24.88,57912.0,1441401.55
2026-07-28,HTMEDIA,EQUITY,EQ,INE501G01024,24.63,25.8,24.16,24.88,24.56,78669.0,1933269.39
2026-07-27,HTMEDIA,EQUITY,EQ,INE501G01024,24.3,26.1,24.3,24.56,24.26,177914.0,4431472.04
2026-07-24,HTMEDIA,EQUITY,EQ,INE501G01024,25.15,25.15,24.01,24.26,24.66,195595.0,4744725.17
2026-07-23,HTMEDIA,EQUITY,EQ,INE501G01024,25.75,25.79,24.27,24.66,25.67,355535.0,8857647.62
2026-07-22,HTMEDIA,EQUITY,EQ,INE501G01024,26.59,26.59,25.55,25.67,26.22,87090.0,2248248.01
2026-07-21,HTMEDIA,EQUITY,EQ,INE501G01024,26.05,26.48,26.0,26.22,26.31,109286.0,2861120.87
2026-07-20,HTMEDIA,EQUITY,EQ,INE501G01024,26.6,26.7,26.15,26.31,26.15,90239.0,2381356.67
2026-07-17,HTMEDIA,EQUITY,EQ,INE501G01024,26.21,26.7,25.75,26.15,26.5,126550.0,3318986.27
2026-07-16,HTMEDIA,EQUITY,EQ,INE501G01024,27.5,28.0,26.16,26.5,27.41,279584.0,7521270.6
2026-07-15,HTMEDIA,EQUITY,EQ,INE501G01024,27.2,27.7,27.02,27.41,27.16,349213.0,9552666.68
2026-07-14,HTMEDIA,EQUITY,EQ,INE501G01024,25.52,27.75,25.52,27.16,25.81,1045025.0,28009075.46
2026-07-13,HTMEDIA,EQUITY,EQ,INE501G01024,25.7,26.49,25.27,25.81,25.41,181878.0,4692537.76
2026-07-10,HTMEDIA,EQUITY,EQ,INE501G01024,26.5,26.5,24.72,25.41,25.9,226709.0,5808577.7
2026-07-09,HTMEDIA,EQUITY,EQ,INE501G01024,24.43,26.1,24.42,25.9,24.07,301752.0,7749675.91
2026-07-08,HTMEDIA,EQUITY,EQ,INE501G01024,25.72,26.49,23.68,24.07,25.87,309640.0,7722226.91
2026-07-07,HTMEDIA,EQUITY,EQ,INE501G01024,26.38,26.38,25.06,25.87,25.42,132077.0,3389972.45
2026-07-06,HTMEDIA,EQUITY,EQ,INE501G01024,26.9,27.1,25.05,25.42,24.54,813126.0,21217665.93
2026-07-03,HTMEDIA,EQUITY,EQ,INE501G01024,22.05,25.25,21.88,24.54,22.02,684276.0,16518726.96
2026-07-02,HTMEDIA,EQUITY,EQ,INE501G01024,21.98,22.35,21.33,22.02,21.34,54372.0,1194616.96
2026-07-01,HTMEDIA,EQUITY,EQ,INE501G01024,22.14,22.14,21.1,21.34,21.77,100886.0,2170309.67
2026-06-30,HTMEDIA,EQUITY,EQ,INE501G01024,22.33,22.6,21.6,21.77,22.33,68036.0,1488863.46
2026-06-29,HTMEDIA,EQUITY,EQ,INE501G01024,22.38,22.46,22.03,22.33,22.38,44464.0,992253.45
2026-06-25,HTMEDIA,EQUITY,EQ,INE501G01024,22.11,22.74,22.0,22.38,22.09,50767.0,1135999.25
2026-06-24,HTMEDIA,EQUITY,EQ,INE501G01024,22.55,22.8,21.7,22.09,22.76,81822.0,1828706.5
2026-06-23,HTMEDIA,EQUITY,EQ,INE501G01024,23.01,23.27,22.65,22.76,22.93,46069.0,1050041.85
