trade_date,symbol,asset_type,series,isin,open,high,low,close,prev_close,volume,traded_value
2026-09-08,ICDSLTD,EQUITY,EQ,INE613B01010,65.1,66.0,60.59,61.26,67.32,22358.0,1387417.97
2026-09-07,ICDSLTD,EQUITY,EQ,INE613B01010,71.56,77.69,64.31,67.32,71.45,120496.0,8162404.02
2026-09-04,ICDSLTD,EQUITY,EQ,INE613B01010,70.0,71.45,66.2,71.45,64.96,53177.0,3744800.9
2026-09-03,ICDSLTD,EQUITY,EQ,INE613B01010,63.4,64.96,62.6,64.96,59.06,109707.0,7069914.57
2026-09-02,ICDSLTD,EQUITY,EQ,INE613B01010,52.0,59.06,52.0,59.06,49.22,122072.0,7029725.38
2026-09-01,ICDSLTD,EQUITY,EQ,INE613B01010,40.41,49.22,39.51,49.22,41.02,31810.0,1549608.5
2026-08-31,ICDSLTD,EQUITY,EQ,INE613B01010,41.02,41.75,41.02,41.02,41.44,548.0,22496.86
2026-08-28,ICDSLTD,EQUITY,EQ,INE613B01010,41.63,45.5,40.05,41.44,41.63,1467.0,63732.72
2026-08-27,ICDSLTD,EQUITY,EQ,INE613B01010,41.32,41.63,41.25,41.63,41.09,524.0,21763.12
2026-08-26,ICDSLTD,EQUITY,EQ,INE613B01010,42.0,45.8,39.5,41.09,40.34,346.0,14693.57
2026-08-25,ICDSLTD,EQUITY,EQ,INE613B01010,39.61,41.1,39.61,40.34,41.0,190.0,7636.86
2026-08-24,ICDSLTD,EQUITY,EQ,INE613B01010,42.0,42.0,39.52,41.0,41.12,15.0,614.22
2026-08-21,ICDSLTD,EQUITY,EQ,INE613B01010,42.5,42.6,41.0,41.12,42.0,872.0,36811.62
2026-08-20,ICDSLTD,EQUITY,EQ,INE613B01010,40.0,42.0,40.0,42.0,40.0,322.0,13172.49
2026-08-19,ICDSLTD,EQUITY,EQ,INE613B01010,40.38,41.48,40.0,40.0,40.38,1381.0,55956.4
2026-08-18,ICDSLTD,EQUITY,EQ,INE613B01010,42.0,42.0,38.81,40.38,40.47,1288.0,51408.76
2026-08-17,ICDSLTD,EQUITY,EQ,INE613B01010,39.85,41.69,39.85,40.47,40.05,1048.0,42815.78
2026-08-13,ICDSLTD,EQUITY,EQ,INE613B01010,39.62,40.49,39.5,40.05,39.62,921.0,36660.77
2026-08-12,ICDSLTD,EQUITY,EQ,INE613B01010,40.71,41.4,39.5,39.62,40.7,248.0,10100.04
2026-08-11,ICDSLTD,EQUITY,EQ,INE613B01010,41.2,41.7,39.0,40.7,41.15,3728.0,150354.87
2026-08-10,ICDSLTD,EQUITY,EQ,INE613B01010,42.23,43.7,41.01,41.15,42.02,1226.0,51125.43
2026-08-07,ICDSLTD,EQUITY,EQ,INE613B01010,43.8,43.8,42.0,42.02,40.72,535.0,22834.16
2026-08-06,ICDSLTD,EQUITY,EQ,INE613B01010,43.52,47.6,40.13,40.72,43.52,2285.0,102325.1
2026-08-05,ICDSLTD,EQUITY,EQ,INE613B01010,45.0,45.0,42.7,43.52,43.61,260.0,11266.27
2026-08-04,ICDSLTD,EQUITY,EQ,INE613B01010,39.6,43.61,39.6,43.61,39.65,2845.0,118573.59
2026-08-03,ICDSLTD,EQUITY,EQ,INE613B01010,39.1,41.0,39.0,39.65,40.39,4879.0,193608.37
2026-07-31,ICDSLTD,EQUITY,EQ,INE613B01010,40.5,40.99,38.75,40.39,40.99,2714.0,107595.01
2026-07-30,ICDSLTD,EQUITY,EQ,INE613B01010,41.34,41.34,39.52,40.99,41.34,150.0,6132.42
2026-07-29,ICDSLTD,EQUITY,EQ,INE613B01010,41.5,41.5,39.06,41.34,39.46,3466.0,141141.4
2026-07-27,ICDSLTD,EQUITY,EQ,INE613B01010,41.0,41.0,39.1,39.46,40.48,142.0,5704.58
2026-07-24,ICDSLTD,EQUITY,EQ,INE613B01010,40.49,40.49,39.01,40.48,40.8,29.0,1156.3
2026-07-23,ICDSLTD,EQUITY,EQ,INE613B01010,39.69,40.86,39.11,40.8,39.5,194.0,7844.69
2026-07-22,ICDSLTD,EQUITY,EQ,INE613B01010,39.4,40.45,38.9,39.5,39.4,686.0,26964.56
2026-07-21,ICDSLTD,EQUITY,EQ,INE613B01010,40.4,40.48,39.4,39.4,38.7,1331.0,52995.23
2026-07-20,ICDSLTD,EQUITY,EQ,INE613B01010,39.79,40.99,37.51,38.7,39.79,333.0,13082.38
2026-07-17,ICDSLTD,EQUITY,EQ,INE613B01010,40.5,40.91,39.64,39.79,40.5,224.0,9012.91
2026-07-16,ICDSLTD,EQUITY,EQ,INE613B01010,39.5,40.5,39.5,40.5,39.32,14.0,566.0
2026-07-15,ICDSLTD,EQUITY,EQ,INE613B01010,42.0,42.0,38.47,39.32,41.5,876.0,35711.88
2026-07-14,ICDSLTD,EQUITY,EQ,INE613B01010,40.0,41.5,40.0,41.5,40.0,8.0,329.0
2026-07-13,ICDSLTD,EQUITY,EQ,INE613B01010,41.49,41.49,40.0,40.0,40.21,905.0,36893.91
2026-07-10,ICDSLTD,EQUITY,EQ,INE613B01010,40.16,41.88,40.16,40.21,40.0,397.0,16307.16
2026-07-09,ICDSLTD,EQUITY,EQ,INE613B01010,42.55,42.55,39.61,40.0,41.42,444.0,17961.59
2026-07-08,ICDSLTD,EQUITY,EQ,INE613B01010,40.99,41.98,39.9,41.42,39.9,349.0,14181.83
2026-07-07,ICDSLTD,EQUITY,EQ,INE613B01010,41.0,41.0,39.89,39.9,40.0,676.0,27009.0
2026-07-06,ICDSLTD,EQUITY,EQ,INE613B01010,40.31,42.99,40.0,40.0,40.31,507.0,20438.42
2026-07-03,ICDSLTD,EQUITY,EQ,INE613B01010,41.0,42.79,40.17,40.31,40.46,321.0,13228.83
2026-07-02,ICDSLTD,EQUITY,EQ,INE613B01010,40.4,40.46,40.4,40.46,40.4,181.0,7320.26
2026-07-01,ICDSLTD,EQUITY,EQ,INE613B01010,40.85,41.89,40.2,40.4,40.35,1139.0,46608.78
2026-06-30,ICDSLTD,EQUITY,EQ,INE613B01010,41.99,41.99,39.5,40.35,41.06,774.0,31381.6
2026-06-29,ICDSLTD,EQUITY,EQ,INE613B01010,40.61,42.78,40.61,41.06,42.32,470.0,19370.09
2026-06-25,ICDSLTD,EQUITY,EQ,INE613B01010,42.79,42.8,42.2,42.32,41.96,124.0,5248.17
2026-06-24,ICDSLTD,EQUITY,EQ,INE613B01010,42.05,42.99,41.96,41.96,41.96,320.0,13684.11
2026-06-23,ICDSLTD,EQUITY,EQ,INE613B01010,43.59,44.5,41.01,41.96,42.4,1456.0,61502.61
2026-06-22,ICDSLTD,EQUITY,EQ,INE613B01010,42.3,42.6,42.3,42.4,42.99,935.0,39675.71
2026-06-19,ICDSLTD,EQUITY,EQ,INE613B01010,44.0,45.0,42.94,42.99,44.17,1142.0,49584.44
2026-06-18,ICDSLTD,EQUITY,EQ,INE613B01010,43.65,45.5,43.65,44.17,45.52,632.0,27878.05
2026-06-17,ICDSLTD,EQUITY,EQ,INE613B01010,42.2,46.42,42.2,45.52,42.2,2379.0,106127.89
2026-06-16,ICDSLTD,EQUITY,EQ,INE613B01010,43.09,43.5,41.8,42.2,43.09,307.0,12954.47
