trade_date,symbol,asset_type,series,isin,open,high,low,close,prev_close,volume,traded_value
2026-09-09,ICICIB22,EQUITY,EQ,INF109KB15Y7,116.75,116.75,113.15,113.61,113.91,333198.0,37991393.16
2026-09-08,ICICIB22,EQUITY,EQ,INF109KB15Y7,113.49,114.48,113.46,113.91,113.84,437422.0,49780114.04
2026-09-07,ICICIB22,EQUITY,EQ,INF109KB15Y7,113.14,116.0,113.14,113.84,114.34,133321.0,15196890.66
2026-09-04,ICICIB22,EQUITY,EQ,INF109KB15Y7,116.31,116.31,113.9,114.34,114.03,255356.0,29183219.96
2026-09-03,ICICIB22,EQUITY,EQ,INF109KB15Y7,116.09,116.09,113.75,114.03,113.81,96486.0,11035610.9
2026-09-02,ICICIB22,EQUITY,EQ,INF109KB15Y7,112.8,114.06,112.64,113.81,113.64,166033.0,18878905.28
2026-09-01,ICICIB22,EQUITY,EQ,INF109KB15Y7,112.2,116.0,112.2,113.64,113.78,534195.0,60785451.54
2026-08-31,ICICIB22,EQUITY,EQ,INF109KB15Y7,112.77,115.4,112.6,113.78,114.41,244027.0,27741619.31
2026-08-28,ICICIB22,EQUITY,EQ,INF109KB15Y7,115.0,115.0,114.28,114.41,114.52,211427.0,24194033.7
2026-08-27,ICICIB22,EQUITY,EQ,INF109KB15Y7,115.01,116.03,114.4,114.52,115.43,429327.0,49234516.88
2026-08-26,ICICIB22,EQUITY,EQ,INF109KB15Y7,116.9,116.9,115.28,115.43,116.17,396709.0,45847212.03
2026-08-25,ICICIB22,EQUITY,EQ,INF109KB15Y7,117.0,117.4,114.51,116.17,115.16,551199.0,63524963.8
2026-08-24,ICICIB22,EQUITY,EQ,INF109KB15Y7,116.42,116.42,114.35,115.16,115.28,280399.0,32369653.36
2026-08-21,ICICIB22,EQUITY,EQ,INF109KB15Y7,115.15,115.86,115.04,115.28,115.02,149389.0,17237717.39
2026-08-20,ICICIB22,EQUITY,EQ,INF109KB15Y7,114.62,115.47,114.52,115.02,114.39,351667.0,40407080.14
2026-08-19,ICICIB22,EQUITY,EQ,INF109KB15Y7,115.91,115.91,114.05,114.39,115.49,572227.0,65434342.04
2026-08-18,ICICIB22,EQUITY,EQ,INF109KB15Y7,116.65,116.65,115.41,115.49,115.71,285944.0,33039886.23
2026-08-17,ICICIB22,EQUITY,EQ,INF109KB15Y7,121.42,121.42,115.09,115.71,115.64,435006.0,50164594.28
