trade_date,symbol,asset_type,series,isin,open,high,low,close,prev_close,volume,traded_value
2023-12-19,ICICIFMCG,EQUITY,EQ,INF109KC1R48,578.05,578.05,558.42,567.11,,25426.0,14364783.69
2023-12-18,ICICIFMCG,EQUITY,EQ,INF109KC1R48,562.29,564.5,557.01,561.22,,13223.0,7400678.42
2023-12-15,ICICIFMCG,EQUITY,EQ,INF109KC1R48,558.24,562.7,557.67,559.34,,25455.0,14235130.48
2023-12-14,ICICIFMCG,EQUITY,EQ,INF109KC1R48,566.0,566.0,559.01,561.17,,48898.0,27413643.06
2023-12-13,ICICIFMCG,EQUITY,EQ,INF109KC1R48,558.79,560.0,555.25,559.74,,4767.0,2656828.42
2023-12-12,ICICIFMCG,EQUITY,EQ,INF109KC1R48,561.79,561.79,554.75,555.89,,4296.0,2395542.46
2023-12-11,ICICIFMCG,EQUITY,EQ,INF109KC1R48,567.02,567.02,555.01,557.45,,5622.0,3135050.42
2023-12-08,ICICIFMCG,EQUITY,EQ,INF109KC1R48,563.59,564.12,554.0,555.17,,34568.0,19321969.23
2023-12-07,ICICIFMCG,EQUITY,EQ,INF109KC1R48,567.87,567.87,559.01,560.7,,5160.0,2893909.41
2023-12-06,ICICIFMCG,EQUITY,EQ,INF109KC1R48,562.99,566.0,560.07,564.61,,6788.0,3828910.55
2023-12-05,ICICIFMCG,EQUITY,EQ,INF109KC1R48,564.99,564.99,557.8,558.92,,14787.0,8290866.0
2023-12-04,ICICIFMCG,EQUITY,EQ,INF109KC1R48,559.69,564.86,551.45,561.01,,45914.0,25709439.49
2023-12-01,ICICIFMCG,EQUITY,EQ,INF109KC1R48,549.69,557.85,547.88,556.5,,36319.0,20154961.06
2023-11-30,ICICIFMCG,EQUITY,EQ,INF109KC1R48,543.47,549.46,543.47,547.69,,23095.0,12643750.23
2023-11-29,ICICIFMCG,EQUITY,EQ,INF109KC1R48,545.99,545.99,542.0,544.47,,3527.0,1918833.75
2023-11-28,ICICIFMCG,EQUITY,EQ,INF109KC1R48,547.99,547.99,541.8,542.39,,4923.0,2670144.47
2023-11-24,ICICIFMCG,EQUITY,EQ,INF109KC1R48,545.31,548.0,543.42,543.96,,3037.0,1653675.01
2023-11-23,ICICIFMCG,EQUITY,EQ,INF109KC1R48,540.06,547.0,540.06,545.31,,4683.0,2552881.56
2023-11-22,ICICIFMCG,EQUITY,EQ,INF109KC1R48,550.0,550.0,540.66,543.79,,6340.0,3437144.23
2023-11-21,ICICIFMCG,EQUITY,EQ,INF109KC1R48,549.98,549.98,540.88,541.86,,3212.0,1740894.1
2023-11-20,ICICIFMCG,EQUITY,EQ,INF109KC1R48,554.17,554.17,542.05,543.58,,6862.0,3727270.01
2023-11-17,ICICIFMCG,EQUITY,EQ,INF109KC1R48,543.49,545.0,540.39,544.47,,6889.0,3747393.63
2023-11-16,ICICIFMCG,EQUITY,EQ,INF109KC1R48,529.37,543.5,529.37,541.32,,8170.0,4427851.39
2023-11-15,ICICIFMCG,EQUITY,EQ,INF109KC1R48,543.98,543.98,537.15,540.17,,21625.0,11646762.82
2023-11-13,ICICIFMCG,EQUITY,EQ,INF109KC1R48,549.9,549.9,535.67,536.86,,2744.0,1473722.1
2023-11-10,ICICIFMCG,EQUITY,EQ,INF109KC1R48,541.87,541.87,533.51,538.06,,2148.0,1150307.51
2023-11-09,ICICIFMCG,EQUITY,EQ,INF109KC1R48,545.29,545.29,537.41,538.05,,2524.0,1360468.92
2023-11-08,ICICIFMCG,EQUITY,EQ,INF109KC1R48,536.0,542.2,536.0,541.62,,2075.0,1120531.21
2023-11-07,ICICIFMCG,EQUITY,EQ,INF109KC1R48,541.24,541.25,535.81,537.78,,1537.0,825902.45
2023-11-06,ICICIFMCG,EQUITY,EQ,INF109KC1R48,545.7,545.7,535.01,538.18,,5460.0,2933908.57
2023-11-03,ICICIFMCG,EQUITY,EQ,INF109KC1R48,536.81,536.81,531.73,534.97,,3261.0,1741549.05
2023-11-02,ICICIFMCG,EQUITY,EQ,INF109KC1R48,532.8,533.98,528.31,531.72,,13257.0,7033310.41
2023-11-01,ICICIFMCG,EQUITY,EQ,INF109KC1R48,529.99,531.0,524.89,525.74,,8167.0,4314232.0
2023-10-31,ICICIFMCG,EQUITY,EQ,INF109KC1R48,532.89,532.89,526.69,527.56,,4912.0,2593261.5
2023-10-30,ICICIFMCG,EQUITY,EQ,INF109KC1R48,534.72,534.72,525.78,528.31,,2259.0,1193646.13
2023-10-27,ICICIFMCG,EQUITY,EQ,INF109KC1R48,524.53,531.3,524.53,530.76,,6794.0,3601609.92
2023-10-26,ICICIFMCG,EQUITY,EQ,INF109KC1R48,529.99,529.99,519.64,524.53,,43520.0,22717262.01
2023-10-25,ICICIFMCG,EQUITY,EQ,INF109KC1R48,534.72,534.72,524.9,528.13,,7005.0,3701997.79
2023-10-23,ICICIFMCG,EQUITY,EQ,INF109KC1R48,537.93,537.94,524.0,529.64,,10337.0,5499714.73
2023-10-20,ICICIFMCG,EQUITY,EQ,INF109KC1R48,555.0,558.0,533.01,534.01,,10387.0,5565891.37
2023-10-19,ICICIFMCG,EQUITY,EQ,INF109KC1R48,539.99,542.19,537.47,541.74,,3971.0,2143335.37
2023-10-18,ICICIFMCG,EQUITY,EQ,INF109KC1R48,544.99,544.99,539.58,540.49,,4525.0,2453363.39
2023-10-17,ICICIFMCG,EQUITY,EQ,INF109KC1R48,546.25,546.48,540.69,541.9,,11213.0,6087239.12
2023-10-16,ICICIFMCG,EQUITY,EQ,INF109KC1R48,551.51,551.51,539.1,540.68,,6263.0,3390259.46
2023-10-13,ICICIFMCG,EQUITY,EQ,INF109KC1R48,539.91,543.86,536.99,540.69,,32710.0,17718931.44
2023-10-12,ICICIFMCG,EQUITY,EQ,INF109KC1R48,541.99,541.99,536.98,539.37,,3277.0,1766510.02
2023-10-11,ICICIFMCG,EQUITY,EQ,INF109KC1R48,524.0,540.0,523.95,539.27,,6037.0,3246935.42
2023-10-10,ICICIFMCG,EQUITY,EQ,INF109KC1R48,531.5,534.92,525.15,534.62,,3890.0,2070487.14
2023-10-09,ICICIFMCG,EQUITY,EQ,INF109KC1R48,531.0,531.89,526.06,531.04,,1482.0,786815.26
2023-10-06,ICICIFMCG,EQUITY,EQ,INF109KC1R48,534.09,534.09,530.08,531.5,,3124.0,1664081.49
2023-10-05,ICICIFMCG,EQUITY,EQ,INF109KC1R48,527.01,532.99,527.01,530.07,,4481.0,2377155.62
2023-10-04,ICICIFMCG,EQUITY,EQ,INF109KC1R48,532.89,532.89,527.41,530.39,,3711.0,1965093.11
2023-10-03,ICICIFMCG,EQUITY,EQ,INF109KC1R48,533.99,533.99,525.7,529.58,,7862.0,4174908.29
2023-09-29,ICICIFMCG,EQUITY,EQ,INF109KC1R48,530.51,550.11,528.04,532.4,,19128.0,10225724.74
2023-09-28,ICICIFMCG,EQUITY,EQ,INF109KC1R48,535.11,539.98,529.01,530.11,,8613.0,4596789.32
2023-09-27,ICICIFMCG,EQUITY,EQ,INF109KC1R48,535.17,540.61,532.51,539.54,,9867.0,5300298.0
2023-09-26,ICICIFMCG,EQUITY,EQ,INF109KC1R48,534.71,535.6,532.26,535.18,,1875.0,1001520.01
2023-09-25,ICICIFMCG,EQUITY,EQ,INF109KC1R48,528.18,535.99,528.18,532.81,,5982.0,3181246.72
2023-09-22,ICICIFMCG,EQUITY,EQ,INF109KC1R48,536.0,536.0,528.44,532.59,,9622.0,5107882.48
