trade_date,symbol,asset_type,series,isin,open,high,low,close,prev_close,volume,traded_value
2023-12-19,ICICIGOLD,EQUITY,EQ,INF109KC1NT3,54.57,54.57,54.02,54.07,,638476.0,34573501.99
2023-12-18,ICICIGOLD,EQUITY,EQ,INF109KC1NT3,54.38,54.38,53.81,54.06,,172000.0,9290685.61
2023-12-15,ICICIGOLD,EQUITY,EQ,INF109KC1NT3,54.5,54.69,54.2,54.25,,234548.0,12747495.39
2023-12-14,ICICIGOLD,EQUITY,EQ,INF109KC1NT3,55.0,55.0,54.16,54.49,,751855.0,40929623.44
2023-12-13,ICICIGOLD,EQUITY,EQ,INF109KC1NT3,53.78,53.78,53.06,53.41,,220230.0,11741590.91
2023-12-12,ICICIGOLD,EQUITY,EQ,INF109KC1NT3,53.87,53.87,53.31,53.39,,430426.0,22993610.5
2023-12-11,ICICIGOLD,EQUITY,EQ,INF109KC1NT3,54.27,54.27,53.48,53.54,,1060921.0,56870925.14
2023-12-08,ICICIGOLD,EQUITY,EQ,INF109KC1NT3,54.98,54.98,54.43,54.52,,159880.0,8718991.59
2023-12-07,ICICIGOLD,EQUITY,EQ,INF109KC1NT3,54.57,54.63,54.33,54.6,,568664.0,31035411.48
2023-12-06,ICICIGOLD,EQUITY,EQ,INF109KC1NT3,54.78,54.78,54.17,54.36,,286630.0,15577227.34
2023-12-05,ICICIGOLD,EQUITY,EQ,INF109KC1NT3,54.74,54.83,54.33,54.38,,348803.0,19017492.86
2023-12-04,ICICIGOLD,EQUITY,EQ,INF109KC1NT3,56.45,56.45,54.81,55.25,,719762.0,39801746.08
2023-12-01,ICICIGOLD,EQUITY,EQ,INF109KC1NT3,54.7,54.99,54.55,54.79,,373259.0,20416686.21
2023-11-30,ICICIGOLD,EQUITY,EQ,INF109KC1NT3,54.34,54.89,54.34,54.7,,2178531.0,119140006.0
2023-11-29,ICICIGOLD,EQUITY,EQ,INF109KC1NT3,55.45,55.45,54.26,54.55,,2325941.0,127069935.19
2023-11-28,ICICIGOLD,EQUITY,EQ,INF109KC1NT3,53.88,54.23,53.73,53.82,,2157206.0,116250281.57
2023-11-24,ICICIGOLD,EQUITY,EQ,INF109KC1NT3,53.67,53.68,53.5,53.61,,131366.0,7038362.01
2023-11-23,ICICIGOLD,EQUITY,EQ,INF109KC1NT3,55.2,55.2,53.45,53.59,,1228785.0,65784549.86
2023-11-22,ICICIGOLD,EQUITY,EQ,INF109KC1NT3,53.73,53.89,53.48,53.61,,877425.0,47074726.53
2023-11-21,ICICIGOLD,EQUITY,EQ,INF109KC1NT3,51.65,53.69,51.65,53.41,,1119520.0,59886557.44
2023-11-20,ICICIGOLD,EQUITY,EQ,INF109KC1NT3,53.84,53.84,53.0,53.24,,1178420.0,62717342.23
