trade_date,symbol,asset_type,series,isin,open,high,low,close,prev_close,volume,traded_value
2023-12-19,ICICIPHARM,EQUITY,EQ,INF109KC1Q72,105.59,105.63,104.41,105.28,,93472.0,9808981.32
2023-12-18,ICICIPHARM,EQUITY,EQ,INF109KC1Q72,104.94,107.0,103.9,105.1,,24334.0,2559728.04
2023-12-15,ICICIPHARM,EQUITY,EQ,INF109KC1Q72,106.4,106.4,104.14,104.94,,10581.0,1106275.06
2023-12-14,ICICIPHARM,EQUITY,EQ,INF109KC1Q72,106.47,106.47,104.11,104.43,,15458.0,1615505.38
2023-12-13,ICICIPHARM,EQUITY,EQ,INF109KC1Q72,103.1,104.9,103.01,104.56,,137302.0,14190640.0
2023-12-12,ICICIPHARM,EQUITY,EQ,INF109KC1Q72,103.76,104.49,101.68,103.1,,18571.0,1922034.74
2023-12-11,ICICIPHARM,EQUITY,EQ,INF109KC1Q72,104.19,104.19,103.28,103.76,,14341.0,1485187.68
2023-12-08,ICICIPHARM,EQUITY,EQ,INF109KC1Q72,107.8,107.8,103.76,104.18,,18522.0,1928614.59
2023-12-07,ICICIPHARM,EQUITY,EQ,INF109KC1Q72,104.41,104.92,103.89,104.65,,25229.0,2632120.78
2023-12-06,ICICIPHARM,EQUITY,EQ,INF109KC1Q72,104.51,105.44,103.71,104.1,,44927.0,4690046.27
2023-12-05,ICICIPHARM,EQUITY,EQ,INF109KC1Q72,106.79,106.79,104.5,104.51,,36567.0,3833245.45
2023-12-04,ICICIPHARM,EQUITY,EQ,INF109KC1Q72,107.65,109.22,104.32,104.7,,26901.0,2819345.87
2023-12-01,ICICIPHARM,EQUITY,EQ,INF109KC1Q72,104.12,105.15,104.12,104.51,,45255.0,4735028.89
2023-11-30,ICICIPHARM,EQUITY,EQ,INF109KC1Q72,102.69,104.78,102.69,104.12,,75579.0,7857619.71
2023-11-29,ICICIPHARM,EQUITY,EQ,INF109KC1Q72,103.88,103.88,101.91,102.38,,14698.0,1502807.03
2023-11-28,ICICIPHARM,EQUITY,EQ,INF109KC1Q72,105.45,105.45,101.7,101.91,,11021.0,1127573.46
2023-11-24,ICICIPHARM,EQUITY,EQ,INF109KC1Q72,102.35,102.8,102.19,102.38,,4608.0,472727.67
2023-11-23,ICICIPHARM,EQUITY,EQ,INF109KC1Q72,101.56,102.99,101.51,101.88,,37524.0,3845501.04
2023-11-22,ICICIPHARM,EQUITY,EQ,INF109KC1Q72,103.89,103.89,102.5,102.94,,39336.0,4050644.54
2023-11-21,ICICIPHARM,EQUITY,EQ,INF109KC1Q72,104.7,104.7,101.64,102.39,,5233.0,535110.15
2023-11-20,ICICIPHARM,EQUITY,EQ,INF109KC1Q72,101.58,102.67,101.01,101.67,,47089.0,4808436.96
2023-11-17,ICICIPHARM,EQUITY,EQ,INF109KC1Q72,100.56,101.7,100.5,101.59,,16887.0,1713778.75
2023-11-16,ICICIPHARM,EQUITY,EQ,INF109KC1Q72,99.69,100.99,99.58,100.64,,21517.0,2158921.91
2023-11-15,ICICIPHARM,EQUITY,EQ,INF109KC1Q72,99.2,99.85,99.1,99.69,,106582.0,10582878.63
2023-11-13,ICICIPHARM,EQUITY,EQ,INF109KC1Q72,99.88,99.97,98.95,99.2,,16061.0,1598599.65
2023-11-10,ICICIPHARM,EQUITY,EQ,INF109KC1Q72,101.55,101.55,97.53,99.6,,9813.0,977311.84
2023-11-09,ICICIPHARM,EQUITY,EQ,INF109KC1Q72,99.4,99.94,99.11,99.52,,24862.0,2475258.2
2023-11-08,ICICIPHARM,EQUITY,EQ,INF109KC1Q72,98.21,99.6,98.21,99.4,,19177.0,1901703.26
2023-11-07,ICICIPHARM,EQUITY,EQ,INF109KC1Q72,97.1,98.27,97.08,98.21,,10657.0,1041719.91
2023-11-06,ICICIPHARM,EQUITY,EQ,INF109KC1Q72,95.8,97.18,95.8,97.13,,24865.0,2405489.94
2023-11-03,ICICIPHARM,EQUITY,EQ,INF109KC1Q72,97.37,97.37,95.37,95.67,,4561.0,437529.1
2023-11-02,ICICIPHARM,EQUITY,EQ,INF109KC1Q72,94.6,95.46,94.6,95.36,,13336.0,1269437.75
2023-11-01,ICICIPHARM,EQUITY,EQ,INF109KC1Q72,94.03,94.44,93.61,94.28,,34301.0,3225433.81
2023-10-31,ICICIPHARM,EQUITY,EQ,INF109KC1Q72,95.11,95.11,93.57,93.98,,18132.0,1707406.37
2023-10-30,ICICIPHARM,EQUITY,EQ,INF109KC1Q72,94.5,94.69,94.01,94.38,,21595.0,2038054.74
2023-10-27,ICICIPHARM,EQUITY,EQ,INF109KC1Q72,93.31,94.5,92.14,94.11,,5807.0,545447.77
2023-10-26,ICICIPHARM,EQUITY,EQ,INF109KC1Q72,94.38,94.38,92.8,93.33,,17776.0,1657148.43
2023-10-25,ICICIPHARM,EQUITY,EQ,INF109KC1Q72,99.7,99.7,93.99,94.39,,37665.0,3560180.37
2023-10-23,ICICIPHARM,EQUITY,EQ,INF109KC1Q72,96.71,97.19,95.23,95.4,,22824.0,2198539.21
2023-10-20,ICICIPHARM,EQUITY,EQ,INF109KC1Q72,97.0,97.05,96.51,96.7,,13634.0,1319315.61
2023-10-19,ICICIPHARM,EQUITY,EQ,INF109KC1Q72,97.83,97.83,97.01,97.73,,26332.0,2571649.59
2023-10-18,ICICIPHARM,EQUITY,EQ,INF109KC1Q72,97.49,98.37,97.21,97.82,,28022.0,2750209.34
2023-10-17,ICICIPHARM,EQUITY,EQ,INF109KC1Q72,97.95,97.95,97.03,97.52,,2291.0,223558.97
2023-10-16,ICICIPHARM,EQUITY,EQ,INF109KC1Q72,99.5,99.5,96.93,97.28,,7968.0,776423.28
2023-10-13,ICICIPHARM,EQUITY,EQ,INF109KC1Q72,96.9,97.49,96.65,97.38,,6172.0,600188.78
2023-10-12,ICICIPHARM,EQUITY,EQ,INF109KC1Q72,97.07,97.44,96.81,97.05,,7171.0,696729.45
2023-10-11,ICICIPHARM,EQUITY,EQ,INF109KC1Q72,97.0,97.69,96.91,97.08,,4568.0,444618.39
2023-10-10,ICICIPHARM,EQUITY,EQ,INF109KC1Q72,96.31,96.99,96.31,96.75,,5561.0,537418.32
2023-10-09,ICICIPHARM,EQUITY,EQ,INF109KC1Q72,96.48,97.0,96.06,96.58,,20645.0,1993755.55
2023-10-06,ICICIPHARM,EQUITY,EQ,INF109KC1Q72,96.56,96.94,96.33,96.51,,4939.0,476947.83
2023-10-05,ICICIPHARM,EQUITY,EQ,INF109KC1Q72,97.59,97.59,95.94,96.17,,8883.0,856019.08
2023-10-04,ICICIPHARM,EQUITY,EQ,INF109KC1Q72,98.15,98.15,95.91,96.59,,525621.0,50665151.72
2023-10-03,ICICIPHARM,EQUITY,EQ,INF109KC1Q72,99.25,99.25,97.8,98.14,,14459.0,1421235.15
2023-09-29,ICICIPHARM,EQUITY,EQ,INF109KC1Q72,96.4,98.8,96.4,98.67,,46974.0,4595451.91
2023-09-28,ICICIPHARM,EQUITY,EQ,INF109KC1Q72,99.8,99.8,96.01,96.17,,6443.0,624395.92
2023-09-27,ICICIPHARM,EQUITY,EQ,INF109KC1Q72,96.4,97.24,96.4,96.87,,11315.0,1095736.35
2023-09-26,ICICIPHARM,EQUITY,EQ,INF109KC1Q72,96.11,96.34,95.81,96.09,,6161.0,592207.95
2023-09-25,ICICIPHARM,EQUITY,EQ,INF109KC1Q72,95.92,96.5,95.41,96.11,,89389.0,8537882.77
2023-09-22,ICICIPHARM,EQUITY,EQ,INF109KC1Q72,97.3,97.39,95.41,95.92,,50918.0,4888780.55
2023-09-21,ICICIPHARM,EQUITY,EQ,INF109KC1Q72,98.45,98.45,97.38,97.61,,15808.0,1549506.78
2023-09-20,ICICIPHARM,EQUITY,EQ,INF109KC1Q72,98.52,98.73,98.25,98.47,,6331.0,622856.78
2023-09-18,ICICIPHARM,EQUITY,EQ,INF109KC1Q72,99.64,99.64,98.7,98.83,,24406.0,2420728.48
2023-09-15,ICICIPHARM,EQUITY,EQ,INF109KC1Q72,99.56,99.57,99.07,99.33,,10819.0,1075212.4
2023-09-14,ICICIPHARM,EQUITY,EQ,INF109KC1Q72,98.62,99.14,98.47,98.81,,22777.0,2248147.35
2023-09-13,ICICIPHARM,EQUITY,EQ,INF109KC1Q72,96.53,98.73,96.53,98.61,,33723.0,3318738.32
2023-09-12,ICICIPHARM,EQUITY,EQ,INF109KC1Q72,98.87,99.57,96.84,98.5,,59976.0,5924638.76
