trade_date,symbol,asset_type,series,isin,open,high,low,close,prev_close,volume,traded_value
2023-12-19,ICICISILVE,EQUITY,EQ,INF109KC1Y56,75.19,75.28,74.9,75.24,,271262.0,20378353.69
2023-12-18,ICICISILVE,EQUITY,EQ,INF109KC1Y56,75.37,75.37,74.93,75.28,,128354.0,9641469.26
2023-12-15,ICICISILVE,EQUITY,EQ,INF109KC1Y56,75.49,75.74,75.26,75.6,,324428.0,24499065.09
2023-12-14,ICICISILVE,EQUITY,EQ,INF109KC1Y56,73.0,75.45,73.0,75.33,,478686.0,35911250.87
2023-12-13,ICICISILVE,EQUITY,EQ,INF109KC1Y56,72.94,72.94,72.21,72.37,,399857.0,28942418.12
2023-12-12,ICICISILVE,EQUITY,EQ,INF109KC1Y56,73.25,73.28,72.85,72.95,,546976.0,39936852.81
2023-12-11,ICICISILVE,EQUITY,EQ,INF109KC1Y56,75.16,75.16,72.9,73.07,,1221425.0,89612373.47
2023-12-08,ICICISILVE,EQUITY,EQ,INF109KC1Y56,75.74,75.74,75.0,75.16,,472801.0,35554284.46
2023-12-07,ICICISILVE,EQUITY,EQ,INF109KC1Y56,75.74,75.74,74.95,75.56,,234703.0,17668300.87
2023-12-06,ICICISILVE,EQUITY,EQ,INF109KC1Y56,76.24,76.24,75.65,75.75,,197348.0,14993908.5
2023-12-05,ICICISILVE,EQUITY,EQ,INF109KC1Y56,77.5,77.5,76.17,76.38,,236687.0,18101165.14
2023-12-04,ICICISILVE,EQUITY,EQ,INF109KC1Y56,77.99,78.5,77.51,77.81,,607390.0,47515300.58
2023-12-01,ICICISILVE,EQUITY,EQ,INF109KC1Y56,77.3,77.95,77.3,77.88,,203905.0,15843875.72
2023-11-30,ICICISILVE,EQUITY,EQ,INF109KC1Y56,76.76,77.39,76.76,77.27,,184527.0,14227775.37
2023-11-29,ICICISILVE,EQUITY,EQ,INF109KC1Y56,76.41,76.9,76.41,76.75,,530680.0,40698141.05
2023-11-28,ICICISILVE,EQUITY,EQ,INF109KC1Y56,75.0,76.21,75.0,76.03,,532062.0,40388265.56
2023-11-24,ICICISILVE,EQUITY,EQ,INF109KC1Y56,74.94,75.3,73.3,74.39,,122010.0,9086865.41
2023-11-23,ICICISILVE,EQUITY,EQ,INF109KC1Y56,74.69,74.69,74.24,74.61,,741664.0,55230897.71
2023-11-22,ICICISILVE,EQUITY,EQ,INF109KC1Y56,74.2,74.99,74.2,74.79,,194449.0,14522498.11
2023-11-21,ICICISILVE,EQUITY,EQ,INF109KC1Y56,74.26,74.64,74.05,74.1,,344087.0,25613162.87
2023-11-20,ICICISILVE,EQUITY,EQ,INF109KC1Y56,74.39,74.6,73.9,74.14,,137672.0,10229659.35
2023-11-17,ICICISILVE,EQUITY,EQ,INF109KC1Y56,73.86,74.9,73.86,74.82,,400836.0,29872567.31
2023-11-16,ICICISILVE,EQUITY,EQ,INF109KC1Y56,73.49,74.05,73.4,73.86,,436414.0,32205525.39
