trade_date,symbol,asset_type,series,isin,open,high,low,close,prev_close,volume,traded_value
2026-09-11,IDEAFORGE,EQUITY,EQ,INE349Y01013,740.0,742.0,724.0,733.95,743.45,164262.0,120044115.45
2026-09-10,IDEAFORGE,EQUITY,EQ,INE349Y01013,747.45,757.3,739.0,743.45,747.45,192541.0,143956397.9
2026-09-09,IDEAFORGE,EQUITY,EQ,INE349Y01013,779.0,784.8,736.45,747.45,775.2,650731.0,485051539.15
2026-09-08,IDEAFORGE,EQUITY,EQ,INE349Y01013,771.0,799.0,771.0,775.2,765.45,409710.0,321641144.25
2026-09-07,IDEAFORGE,EQUITY,EQ,INE349Y01013,777.0,791.65,762.0,765.45,777.05,253500.0,196610738.35
2026-09-04,IDEAFORGE,EQUITY,EQ,INE349Y01013,783.95,799.0,774.0,777.05,776.55,208626.0,163808064.6
2026-09-03,IDEAFORGE,EQUITY,EQ,INE349Y01013,770.95,791.1,770.95,776.55,769.75,164699.0,128417614.25
2026-09-02,IDEAFORGE,EQUITY,EQ,INE349Y01013,780.0,792.2,768.1,769.75,783.6,214711.0,166746228.7
2026-09-01,IDEAFORGE,EQUITY,EQ,INE349Y01013,795.25,809.0,777.6,783.6,795.25,305312.0,240922631.5
2026-08-31,IDEAFORGE,EQUITY,EQ,INE349Y01013,815.4,817.9,785.6,795.25,807.65,225516.0,179502504.05
2026-08-28,IDEAFORGE,EQUITY,EQ,INE349Y01013,811.9,827.9,796.2,807.65,805.0,369510.0,299842437.65
2026-08-27,IDEAFORGE,EQUITY,EQ,INE349Y01013,814.0,821.3,803.1,805.0,805.95,156158.0,126709224.35
2026-08-26,IDEAFORGE,EQUITY,EQ,INE349Y01013,796.0,811.0,787.55,805.95,788.8,264128.0,211609784.3
2026-08-25,IDEAFORGE,EQUITY,EQ,INE349Y01013,800.0,806.25,776.8,788.8,796.45,317754.0,250077642.15
2026-08-24,IDEAFORGE,EQUITY,EQ,INE349Y01013,816.95,822.45,795.0,796.45,812.5,220666.0,177560214.0
2026-08-21,IDEAFORGE,EQUITY,EQ,INE349Y01013,814.95,846.0,790.0,812.5,806.6,820313.0,669538662.65
2026-08-20,IDEAFORGE,EQUITY,EQ,INE349Y01013,836.0,836.0,791.2,806.6,825.2,328076.0,266681540.6
2026-08-19,IDEAFORGE,EQUITY,EQ,INE349Y01013,862.0,876.55,820.05,825.2,834.85,1065873.0,909075420.35
2026-08-18,IDEAFORGE,EQUITY,EQ,INE349Y01013,780.0,834.85,780.0,834.85,795.1,858864.0,711454506.85
2026-08-17,IDEAFORGE,EQUITY,EQ,INE349Y01013,820.95,828.5,787.25,795.1,820.85,418756.0,334783043.55
2026-08-14,IDEAFORGE,EQUITY,EQ,INE349Y01013,778.1,820.85,770.0,820.85,781.8,786126.0,632309648.8
2026-08-13,IDEAFORGE,EQUITY,EQ,INE349Y01013,795.0,805.0,769.8,781.8,810.3,1444702.0,1121774356.6
2026-08-12,IDEAFORGE,EQUITY,EQ,INE349Y01013,810.3,824.4,810.3,810.3,852.9,978535.0,794079928.15
2026-08-11,IDEAFORGE,EQUITY,EQ,INE349Y01013,852.9,870.0,852.9,852.9,897.75,662384.0,565451957.85
2026-05-18,IDEAFORGE,EQUITY,EQ,INE349Y01013,803.0,834.95,761.1,817.7,818.7,1647067.0,1314102520.1
2026-05-15,IDEAFORGE,EQUITY,EQ,INE349Y01013,875.0,888.0,802.2,818.7,848.2,2839809.0,2392726973.55
2026-05-14,IDEAFORGE,EQUITY,EQ,INE349Y01013,780.05,848.2,777.95,848.2,771.1,4123344.0,3419844894.2
2026-05-13,IDEAFORGE,EQUITY,EQ,INE349Y01013,732.2,798.5,732.2,771.1,732.6,1913918.0,1483631279.7
2026-05-12,IDEAFORGE,EQUITY,EQ,INE349Y01013,795.15,796.95,720.0,732.6,795.2,1446010.0,1090099583.1
