trade_date,symbol,asset_type,series,isin,open,high,low,close,prev_close,volume,traded_value
2025-10-27,IEL,EQUITY,EQ,INE059901020,21.84,21.84,18.12,18.99,20.14,1088087.0,20804905.71
2025-06-20,IEL,EQUITY,EQ,INE059901020,24.08,26.24,23.83,25.38,24.08,2251639.0,56765776.84
2025-06-19,IEL,EQUITY,EQ,INE059901020,23.85,25.79,22.89,24.08,23.86,2147234.0,53927847.3
2025-06-18,IEL,EQUITY,EQ,INE059901020,23.0,25.46,22.59,23.86,23.15,2779491.0,68901774.52
2025-06-17,IEL,EQUITY,EQ,INE059901020,21.08,23.19,20.63,23.15,21.09,919192.0,20561412.54
2025-06-16,IEL,EQUITY,EQ,INE059901020,21.99,23.4,20.74,21.09,21.8,528504.0,11421409.94
2025-06-13,IEL,EQUITY,EQ,INE059901020,19.4,21.83,19.0,21.8,19.85,830472.0,17434552.63
2025-06-12,IEL,EQUITY,EQ,INE059901020,19.37,20.9,19.37,19.85,19.37,295767.0,5915485.15
2025-06-11,IEL,EQUITY,EQ,INE059901020,18.4,20.13,18.4,19.37,18.85,313112.0,6065885.67
2025-06-10,IEL,EQUITY,EQ,INE059901020,18.65,19.25,18.42,18.85,18.46,151465.0,2857774.56
2025-06-09,IEL,EQUITY,EQ,INE059901020,18.3,18.75,17.97,18.46,18.32,122087.0,2243128.84
2025-06-06,IEL,EQUITY,EQ,INE059901020,18.32,18.61,18.11,18.32,18.32,65577.0,1209942.65
2025-06-05,IEL,EQUITY,EQ,INE059901020,18.27,18.9,18.2,18.32,18.27,122537.0,2268842.63
2025-06-04,IEL,EQUITY,EQ,INE059901020,18.34,18.35,18.02,18.27,18.25,172347.0,3143085.39
2025-06-03,IEL,EQUITY,EQ,INE059901020,19.35,19.35,18.03,18.25,18.92,151051.0,2799120.6
2025-06-02,IEL,EQUITY,EQ,INE059901020,18.32,19.7,18.32,18.92,19.11,111069.0,2113951.18
2025-05-30,IEL,EQUITY,EQ,INE059901020,18.95,19.45,18.86,19.11,19.0,145570.0,2794540.72
2025-05-29,IEL,EQUITY,EQ,INE059901020,18.88,19.24,18.6,19.0,18.97,119887.0,2264890.23
2025-05-28,IEL,EQUITY,EQ,INE059901020,19.0,19.1,18.24,18.97,18.46,169590.0,3181625.73
2025-05-27,IEL,EQUITY,EQ,INE059901020,19.0,19.0,18.25,18.46,18.69,141721.0,2617747.56
2025-05-26,IEL,EQUITY,EQ,INE059901020,18.2,19.0,18.2,18.69,18.2,165435.0,3086422.83
2025-05-23,IEL,EQUITY,EQ,INE059901020,17.96,18.29,17.69,18.2,17.47,176777.0,3184372.19
2025-05-22,IEL,EQUITY,EQ,INE059901020,16.87,17.65,16.65,17.47,16.85,128269.0,2199985.25
2025-05-21,IEL,EQUITY,EQ,INE059901020,17.41,17.88,16.66,16.85,17.41,182808.0,3154706.6
2025-05-20,IEL,EQUITY,EQ,INE059901020,17.89,17.89,16.99,17.41,17.89,1043042.0,17877048.42
2025-05-19,IEL,EQUITY,EQ,INE059901020,18.6,18.6,17.67,17.89,17.88,355181.0,6456558.69
2025-05-16,IEL,EQUITY,EQ,INE059901020,17.2,17.89,17.2,17.88,17.04,298661.0,5292409.24
2025-05-15,IEL,EQUITY,EQ,INE059901020,16.5,17.1,16.49,17.04,16.31,398311.0,6741565.5
2025-05-14,IEL,EQUITY,EQ,INE059901020,16.11,16.49,15.6,16.31,15.71,250778.0,4029205.11
2025-05-13,IEL,EQUITY,EQ,INE059901020,15.0,15.71,14.9,15.71,14.97,137458.0,2142448.99
2025-05-12,IEL,EQUITY,EQ,INE059901020,14.6,14.97,14.59,14.97,14.26,156838.0,2336059.24
2025-05-09,IEL,EQUITY,EQ,INE059901020,13.8,14.39,13.8,14.26,14.41,124972.0,1764128.81
2025-05-08,IEL,EQUITY,EQ,INE059901020,14.38,15.1,13.71,14.41,14.39,512810.0,7567517.5
2025-05-07,IEL,EQUITY,EQ,INE059901020,14.8,15.11,14.36,14.39,15.12,244262.0,3564115.69
2025-05-06,IEL,EQUITY,EQ,INE059901020,15.56,15.76,15.08,15.12,15.56,109533.0,1669654.7
2025-05-05,IEL,EQUITY,EQ,INE059901020,15.6,15.82,15.31,15.56,15.37,95051.0,1480771.15
2025-05-02,IEL,EQUITY,EQ,INE059901020,15.75,16.18,15.31,15.37,15.68,120332.0,1877856.7
2025-04-30,IEL,EQUITY,EQ,INE059901020,15.42,16.19,15.42,15.68,15.42,454501.0,7293002.55
2025-04-29,IEL,EQUITY,EQ,INE059901020,15.95,16.27,15.31,15.42,15.97,114494.0,1805919.74
2025-04-28,IEL,EQUITY,EQ,INE059901020,15.81,16.46,15.81,15.97,16.52,348049.0,5619262.84
2025-04-25,IEL,EQUITY,EQ,INE059901020,17.39,17.78,16.52,16.52,17.39,193171.0,3229988.0
2025-04-24,IEL,EQUITY,EQ,INE059901020,17.19,18.29,17.1,17.39,17.49,159747.0,2825653.32
2025-04-23,IEL,EQUITY,EQ,INE059901020,18.36,18.36,17.32,17.49,17.87,91747.0,1625420.5
2025-04-22,IEL,EQUITY,EQ,INE059901020,18.23,18.23,17.6,17.87,18.24,172338.0,3094412.04
2025-04-21,IEL,EQUITY,EQ,INE059901020,19.04,19.27,18.15,18.24,18.96,242691.0,4457640.29
2025-04-17,IEL,EQUITY,EQ,INE059901020,19.4,19.4,18.5,18.96,19.07,173943.0,3310717.26
2025-04-16,IEL,EQUITY,EQ,INE059901020,19.89,19.89,18.77,19.07,19.02,94963.0,1819564.58
2025-04-15,IEL,EQUITY,EQ,INE059901020,18.88,19.04,17.66,19.02,18.14,191140.0,3545589.07
2024-11-27,IEL,EQUITY,EQ,INE059901020,19.51,19.51,19.51,19.51,18.59,82657.0,1612638.07
2024-11-26,IEL,EQUITY,EQ,INE059901020,18.59,18.59,18.59,18.59,17.71,203416.0,3781503.44
2024-11-25,IEL,EQUITY,EQ,INE059901020,17.71,17.71,17.71,17.71,16.87,146388.0,2592531.48
2024-11-22,IEL,EQUITY,EQ,INE059901020,16.77,16.87,16.16,16.87,16.07,756273.0,12574300.77
2024-11-21,IEL,EQUITY,EQ,INE059901020,15.46,16.08,15.07,16.07,15.32,623788.0,9808437.51
2024-11-19,IEL,EQUITY,EQ,INE059901020,15.2,15.4,14.77,15.32,14.67,602957.0,9251856.44
2024-11-18,IEL,EQUITY,EQ,INE059901020,13.99,14.68,13.77,14.67,13.99,308642.0,4439059.27
2024-11-14,IEL,EQUITY,EQ,INE059901020,13.27,14.05,13.24,13.99,13.39,410645.0,5733409.43
2024-11-13,IEL,EQUITY,EQ,INE059901020,14.35,14.35,13.39,13.39,14.1,242664.0,3274986.36
2024-11-12,IEL,EQUITY,EQ,INE059901020,13.86,14.49,13.7,14.1,14.21,416212.0,5847022.47
2024-11-11,IEL,EQUITY,EQ,INE059901020,13.95,14.22,13.62,14.21,13.55,676125.0,9572492.43
2024-11-08,IEL,EQUITY,EQ,INE059901020,14.28,14.28,13.41,13.55,14.11,223073.0,3050140.53
2024-11-07,IEL,EQUITY,EQ,INE059901020,14.4,14.56,13.76,14.11,14.04,254874.0,3655311.52
2024-11-06,IEL,EQUITY,EQ,INE059901020,14.18,14.18,13.66,14.04,13.59,396457.0,5543725.56
2024-11-05,IEL,EQUITY,EQ,INE059901020,13.53,13.69,13.21,13.59,13.21,112750.0,1523170.32
2024-11-04,IEL,EQUITY,EQ,INE059901020,13.8,13.8,13.11,13.21,13.79,323906.0,4309910.67
2024-11-01,IEL,EQUITY,EQ,INE059901020,14.0,14.19,13.58,13.79,13.52,403246.0,5641051.13
2024-10-31,IEL,EQUITY,EQ,INE059901020,13.4,13.52,13.37,13.52,12.88,19373.0,261459.99
2024-10-30,IEL,EQUITY,EQ,INE059901020,12.27,12.88,12.27,12.88,12.27,67435.0,857511.86
2024-10-29,IEL,EQUITY,EQ,INE059901020,12.75,12.75,12.01,12.27,12.42,144983.0,1773700.22
2024-10-28,IEL,EQUITY,EQ,INE059901020,12.33,12.67,11.93,12.42,12.35,164069.0,2037492.59
2024-10-25,IEL,EQUITY,EQ,INE059901020,12.6,13.09,12.23,12.35,12.88,167697.0,2069240.6
2024-10-24,IEL,EQUITY,EQ,INE059901020,13.25,13.47,12.75,12.88,12.95,147802.0,1938905.4
2024-10-23,IEL,EQUITY,EQ,INE059901020,12.97,13.15,12.68,12.95,12.82,170618.0,2201399.06
2024-10-22,IEL,EQUITY,EQ,INE059901020,13.69,13.69,12.81,12.82,13.49,721151.0,9554318.13
2024-10-21,IEL,EQUITY,EQ,INE059901020,14.11,14.3,13.41,13.49,14.12,186888.0,2592753.93
2024-10-18,IEL,EQUITY,EQ,INE059901020,13.6,14.42,13.56,14.12,13.79,425922.0,6031289.55
2024-10-17,IEL,EQUITY,EQ,INE059901020,14.28,14.79,13.7,13.79,14.16,725495.0,10403702.86
2024-10-16,IEL,EQUITY,EQ,INE059901020,14.4,15.15,14.06,14.16,14.51,1070057.0,15506646.44
2024-10-15,IEL,EQUITY,EQ,INE059901020,14.52,14.52,13.13,14.51,13.83,4105612.0,59084952.57
2024-10-14,IEL,EQUITY,EQ,INE059901020,13.83,13.83,13.83,13.83,13.18,89208.0,1233746.64
2024-10-11,IEL,EQUITY,EQ,INE059901020,13.15,13.18,13.15,13.18,12.56,90555.0,1193409.15
2024-10-10,IEL,EQUITY,EQ,INE059901020,12.55,12.56,12.55,12.56,11.97,75324.0,945759.19
2024-10-09,IEL,EQUITY,EQ,INE059901020,11.5,11.97,11.41,11.97,11.4,114990.0,1362195.86
2024-10-08,IEL,EQUITY,EQ,INE059901020,11.7,11.78,11.21,11.4,11.75,329342.0,3766861.65
2024-09-04,IEL,EQUITY,EQ,INE059901020,13.19,13.82,12.81,13.82,13.17,767408.0,10404821.97
2024-09-03,IEL,EQUITY,EQ,INE059901020,13.62,14.07,13.17,13.17,13.87,1598038.0,21319634.86
