trade_date,symbol,asset_type,series,isin,open,high,low,close,prev_close,volume,traded_value
2026-09-08,INDOCO,EQUITY,EQ,INE873D01024,250.73,256.88,243.0,244.25,250.7,176170.0,43345034.14
2026-09-07,INDOCO,EQUITY,EQ,INE873D01024,249.3,257.24,248.06,250.7,262.51,315104.0,79481944.3
2026-09-04,INDOCO,EQUITY,EQ,INE873D01024,272.95,274.7,260.59,262.51,272.56,368891.0,98297234.29
2026-09-03,INDOCO,EQUITY,EQ,INE873D01024,273.36,283.5,266.38,272.56,273.77,1489787.0,410890159.08
2026-09-02,INDOCO,EQUITY,EQ,INE873D01024,242.0,287.8,241.34,273.77,243.84,19225160.0,5294320339.46
2026-09-01,INDOCO,EQUITY,EQ,INE873D01024,243.34,245.85,239.0,243.84,243.34,65892.0,16011133.15
2026-08-31,INDOCO,EQUITY,EQ,INE873D01024,248.8,251.4,240.8,243.34,248.8,146872.0,36041069.47
2026-08-28,INDOCO,EQUITY,EQ,INE873D01024,242.53,253.7,239.34,248.8,242.53,256307.0,63579059.44
2026-08-27,INDOCO,EQUITY,EQ,INE873D01024,238.94,246.0,237.0,242.53,238.94,174592.0,42255615.78
2026-08-26,INDOCO,EQUITY,EQ,INE873D01024,225.34,239.7,223.1,238.94,225.34,213284.0,49777240.31
2026-08-25,INDOCO,EQUITY,EQ,INE873D01024,219.5,229.0,216.0,225.34,219.19,128259.0,28534639.29
2026-08-24,INDOCO,EQUITY,EQ,INE873D01024,223.5,227.07,218.15,219.19,226.29,53704.0,11945717.98
2026-08-21,INDOCO,EQUITY,EQ,INE873D01024,222.3,229.9,221.0,226.29,222.68,88716.0,20002607.97
2026-08-20,INDOCO,EQUITY,EQ,INE873D01024,217.51,226.78,217.51,222.68,217.19,158487.0,35083800.87
2026-08-19,INDOCO,EQUITY,EQ,INE873D01024,221.0,222.8,215.26,217.19,221.16,39220.0,8618076.86
2026-08-18,INDOCO,EQUITY,EQ,INE873D01024,218.74,223.48,217.41,221.16,218.74,55379.0,12241714.88
2026-08-17,INDOCO,EQUITY,EQ,INE873D01024,219.05,221.9,216.0,218.74,219.51,40899.0,8957543.75
2026-08-14,INDOCO,EQUITY,EQ,INE873D01024,222.1,225.59,218.0,219.51,222.2,52231.0,11554587.91
2026-08-13,INDOCO,EQUITY,EQ,INE873D01024,217.49,222.93,216.6,222.2,217.49,47953.0,10588765.67
2026-08-12,INDOCO,EQUITY,EQ,INE873D01024,217.81,221.06,216.0,217.49,216.53,68570.0,14938773.66
2026-08-11,INDOCO,EQUITY,EQ,INE873D01024,223.03,223.5,214.06,216.53,221.41,82157.0,17882346.05
2026-08-10,INDOCO,EQUITY,EQ,INE873D01024,223.0,223.0,217.43,221.41,221.73,88660.0,19539218.39
2026-08-07,INDOCO,EQUITY,EQ,INE873D01024,223.78,224.4,221.04,221.73,221.83,34169.0,7601891.01
2026-08-06,INDOCO,EQUITY,EQ,INE873D01024,224.62,226.25,221.0,221.83,222.72,68629.0,15337136.57
2026-08-05,INDOCO,EQUITY,EQ,INE873D01024,226.9,226.9,222.0,222.72,223.58,44970.0,10047956.37
2026-08-04,INDOCO,EQUITY,EQ,INE873D01024,221.85,228.56,221.0,223.58,221.76,214800.0,48246487.96
2026-08-03,INDOCO,EQUITY,EQ,INE873D01024,222.78,225.02,220.0,221.76,219.49,89085.0,19821225.93
2026-07-31,INDOCO,EQUITY,EQ,INE873D01024,218.9,224.78,217.05,219.49,216.69,120448.0,26578228.17
2026-07-30,INDOCO,EQUITY,EQ,INE873D01024,222.9,222.9,216.03,216.69,225.05,143643.0,31477754.24
2026-07-29,INDOCO,EQUITY,EQ,INE873D01024,231.0,235.7,223.0,225.05,228.05,357016.0,82105042.61
2026-07-28,INDOCO,EQUITY,EQ,INE873D01024,248.0,268.0,225.43,228.05,248.14,5050021.0,1246031107.51
2026-07-27,INDOCO,EQUITY,EQ,INE873D01024,245.0,250.99,243.98,248.14,243.42,80973.0,20151283.86
2026-07-24,INDOCO,EQUITY,EQ,INE873D01024,238.5,245.0,234.41,243.42,238.15,50120.0,12055283.65
2026-07-23,INDOCO,EQUITY,EQ,INE873D01024,233.79,242.89,230.9,238.15,233.2,64200.0,15295797.14
2026-07-22,INDOCO,EQUITY,EQ,INE873D01024,245.25,246.0,232.6,233.2,245.84,86726.0,20514837.37
2026-07-21,INDOCO,EQUITY,EQ,INE873D01024,245.51,248.3,243.12,245.84,244.55,73735.0,18130800.89
2026-07-20,INDOCO,EQUITY,EQ,INE873D01024,247.0,248.49,243.41,244.55,247.45,56220.0,13812150.49
2026-07-17,INDOCO,EQUITY,EQ,INE873D01024,250.9,251.39,245.1,247.45,251.91,36208.0,9007782.49
2026-07-16,INDOCO,EQUITY,EQ,INE873D01024,252.0,258.3,247.42,251.91,249.57,168856.0,42620553.35
2026-07-15,INDOCO,EQUITY,EQ,INE873D01024,250.52,257.5,248.5,249.57,248.53,98323.0,24862138.09
2026-07-14,INDOCO,EQUITY,EQ,INE873D01024,259.02,260.91,245.0,248.53,259.02,205653.0,51499035.77
2026-07-13,INDOCO,EQUITY,EQ,INE873D01024,260.23,262.0,258.0,259.02,260.23,102665.0,26667094.18
2026-07-10,INDOCO,EQUITY,EQ,INE873D01024,255.07,265.09,250.5,260.23,255.09,366051.0,95376702.56
2026-07-09,INDOCO,EQUITY,EQ,INE873D01024,247.98,259.8,246.91,255.09,248.14,209488.0,53576350.63
2026-07-08,INDOCO,EQUITY,EQ,INE873D01024,238.0,256.97,237.49,248.14,240.62,487552.0,122088635.71
2026-07-07,INDOCO,EQUITY,EQ,INE873D01024,235.64,247.8,235.27,240.62,235.64,211635.0,51017750.34
2026-07-06,INDOCO,EQUITY,EQ,INE873D01024,246.0,246.0,234.1,235.64,244.0,61865.0,14750301.17
2026-07-03,INDOCO,EQUITY,EQ,INE873D01024,243.7,251.5,242.1,244.0,244.02,119288.0,29394968.72
2026-07-02,INDOCO,EQUITY,EQ,INE873D01024,237.5,249.3,235.38,244.02,236.68,224177.0,54365396.43
2026-07-01,INDOCO,EQUITY,EQ,INE873D01024,237.0,241.9,233.5,236.68,239.22,87540.0,20875836.1
2026-06-30,INDOCO,EQUITY,EQ,INE873D01024,235.12,243.39,234.11,239.22,234.06,101628.0,24292660.01
2026-06-29,INDOCO,EQUITY,EQ,INE873D01024,237.99,248.78,232.1,234.06,231.6,639344.0,152863298.97
2026-06-25,INDOCO,EQUITY,EQ,INE873D01024,237.0,242.99,229.5,231.6,237.2,142751.0,33456673.18
2026-06-24,INDOCO,EQUITY,EQ,INE873D01024,236.95,240.4,236.06,237.2,236.52,54571.0,12986658.94
2026-06-23,INDOCO,EQUITY,EQ,INE873D01024,236.5,244.6,233.32,236.52,236.42,148484.0,35598244.72
2026-06-22,INDOCO,EQUITY,EQ,INE873D01024,236.34,242.0,235.0,236.42,234.99,102872.0,24554494.27
2026-06-19,INDOCO,EQUITY,EQ,INE873D01024,230.81,239.0,229.05,234.99,232.09,127773.0,30029319.22
2026-06-18,INDOCO,EQUITY,EQ,INE873D01024,232.5,237.1,229.27,232.09,231.23,129089.0,30046916.11
2026-06-17,INDOCO,EQUITY,EQ,INE873D01024,233.0,239.25,228.62,231.23,232.97,120803.0,28121839.01
2026-06-16,INDOCO,EQUITY,EQ,INE873D01024,239.85,243.0,229.8,232.97,239.57,256852.0,60083914.44
2026-06-15,INDOCO,EQUITY,EQ,INE873D01024,246.0,248.5,237.5,239.57,248.8,284941.0,69418631.09
2026-06-12,INDOCO,EQUITY,EQ,INE873D01024,258.0,261.71,243.0,248.8,243.0,4231632.0,1061129721.55
2026-06-11,INDOCO,EQUITY,EQ,INE873D01024,207.0,245.95,205.0,243.0,204.96,10972328.0,2570406617.39
2026-06-10,INDOCO,EQUITY,EQ,INE873D01024,206.0,209.31,202.15,204.96,205.86,101738.0,21000202.47
2026-06-09,INDOCO,EQUITY,EQ,INE873D01024,202.65,208.0,199.29,205.86,199.53,111058.0,22559620.71
2026-06-08,INDOCO,EQUITY,EQ,INE873D01024,205.5,206.59,198.0,199.53,206.84,151336.0,30380955.78
2026-06-05,INDOCO,EQUITY,EQ,INE873D01024,214.99,215.0,206.0,206.84,213.28,101213.0,21050344.74
2026-06-04,INDOCO,EQUITY,EQ,INE873D01024,206.99,218.0,203.2,213.28,207.43,249447.0,52639504.35
2026-06-03,INDOCO,EQUITY,EQ,INE873D01024,207.25,210.72,206.1,207.43,207.25,133854.0,28038643.11
2026-06-02,INDOCO,EQUITY,EQ,INE873D01024,209.35,212.26,206.75,207.25,210.19,295001.0,61918263.14
2026-06-01,INDOCO,EQUITY,EQ,INE873D01024,210.0,215.5,209.09,210.19,209.66,101419.0,21478446.85
2026-05-29,INDOCO,EQUITY,EQ,INE873D01024,214.7,220.0,208.61,209.66,204.0,490667.0,104440413.93
2026-05-27,INDOCO,EQUITY,EQ,INE873D01024,193.9,209.4,191.0,204.0,193.13,1091485.0,216358399.4
2026-05-26,INDOCO,EQUITY,EQ,INE873D01024,195.74,203.19,191.6,193.13,195.74,230093.0,45318624.03
2026-05-25,INDOCO,EQUITY,EQ,INE873D01024,202.09,202.92,194.99,195.74,199.08,84994.0,16814282.44
2026-05-22,INDOCO,EQUITY,EQ,INE873D01024,204.61,205.5,197.31,199.08,204.29,89314.0,17886581.89
2026-05-21,INDOCO,EQUITY,EQ,INE873D01024,212.01,212.99,203.23,204.29,211.72,94751.0,19615329.43
2026-05-20,INDOCO,EQUITY,EQ,INE873D01024,213.8,215.0,207.48,211.72,213.77,52377.0,11042345.88
2026-05-19,INDOCO,EQUITY,EQ,INE873D01024,215.26,216.47,212.6,213.77,215.26,40614.0,8719338.41
2026-05-18,INDOCO,EQUITY,EQ,INE873D01024,221.58,222.89,214.2,215.26,224.9,54771.0,11861239.61
2026-05-15,INDOCO,EQUITY,EQ,INE873D01024,223.31,230.0,223.31,224.9,225.53,38656.0,8755503.14
2026-05-14,INDOCO,EQUITY,EQ,INE873D01024,228.25,234.89,224.21,225.53,225.97,87789.0,20056820.19
2026-05-13,INDOCO,EQUITY,EQ,INE873D01024,219.7,229.0,217.1,225.97,217.8,94500.0,21214784.84
2026-05-12,INDOCO,EQUITY,EQ,INE873D01024,216.25,221.85,214.61,217.8,218.92,81718.0,17804549.48
2026-05-11,INDOCO,EQUITY,EQ,INE873D01024,226.0,227.0,217.35,218.92,227.91,132650.0,29441550.98
2026-05-08,INDOCO,EQUITY,EQ,INE873D01024,242.0,242.0,226.75,227.91,250.65,287884.0,67025072.0
2026-05-07,INDOCO,EQUITY,EQ,INE873D01024,232.64,270.0,226.0,250.65,228.68,1430811.0,367422434.87
2026-05-06,INDOCO,EQUITY,EQ,INE873D01024,218.4,231.9,218.0,228.68,215.26,138667.0,31237747.75
2026-05-05,INDOCO,EQUITY,EQ,INE873D01024,209.0,217.0,209.0,215.26,211.86,33124.0,7058411.64
2026-05-04,INDOCO,EQUITY,EQ,INE873D01024,211.1,216.29,210.8,211.86,209.49,34552.0,7378394.86
2026-04-30,INDOCO,EQUITY,EQ,INE873D01024,207.34,212.0,207.34,209.49,209.51,21842.0,4585651.06
