trade_date,symbol,asset_type,series,isin,open,high,low,close,prev_close,volume,traded_value
2026-09-08,INDOKEM,EQUITY,EQ,INE716F01012,649.85,649.85,624.9,627.4,636.35,2468.0,1562802.55
2026-09-07,INDOKEM,EQUITY,EQ,INE716F01012,639.0,645.0,630.05,636.35,625.55,4721.0,3005408.75
2026-09-04,INDOKEM,EQUITY,EQ,INE716F01012,636.0,640.0,615.1,625.55,628.7,3809.0,2416846.4
2026-09-03,INDOKEM,EQUITY,EQ,INE716F01012,587.05,657.0,587.05,628.7,597.55,13764.0,8763010.65
2026-09-02,INDOKEM,EQUITY,EQ,INE716F01012,615.0,619.0,590.3,597.55,607.45,2412.0,1461405.05
2026-09-01,INDOKEM,EQUITY,EQ,INE716F01012,610.0,624.0,600.05,607.45,606.1,3222.0,1960943.7
2026-08-31,INDOKEM,EQUITY,EQ,INE716F01012,639.0,639.0,592.35,606.1,617.85,1374.0,841339.0
2026-08-28,INDOKEM,EQUITY,EQ,INE716F01012,611.0,634.95,608.0,617.85,610.85,1353.0,838162.7
2026-08-27,INDOKEM,EQUITY,EQ,INE716F01012,607.0,635.0,607.0,610.85,624.0,1758.0,1079612.85
2026-08-26,INDOKEM,EQUITY,EQ,INE716F01012,624.75,635.0,607.0,624.0,627.85,1718.0,1071753.3
2026-08-25,INDOKEM,EQUITY,EQ,INE716F01012,599.9,657.0,582.0,627.85,597.9,17940.0,11237187.5
2026-08-24,INDOKEM,EQUITY,EQ,INE716F01012,595.0,598.9,575.2,597.9,600.85,1273.0,755458.85
2026-08-21,INDOKEM,EQUITY,EQ,INE716F01012,609.7,609.7,589.9,600.85,590.4,2565.0,1521650.15
2026-08-20,INDOKEM,EQUITY,EQ,INE716F01012,587.55,594.55,585.2,590.4,587.35,769.0,454261.95
2026-08-19,INDOKEM,EQUITY,EQ,INE716F01012,585.5,601.0,560.0,587.35,585.5,3093.0,1798590.45
2026-08-18,INDOKEM,EQUITY,EQ,INE716F01012,640.0,640.0,572.0,585.5,590.55,3563.0,2076325.2
2026-08-17,INDOKEM,EQUITY,EQ,INE716F01012,610.0,610.0,588.25,590.55,619.15,2117.0,1253092.55
