trade_date,symbol,asset_type,series,isin,open,high,low,close,prev_close,volume,traded_value
2026-09-10,INDSWFTLAB,EQUITY,EQ,INE915B01019,387.45,387.45,375.25,377.5,388.55,372420.0,142000649.9
2026-09-09,INDSWFTLAB,EQUITY,EQ,INE915B01019,389.7,404.0,381.35,388.55,388.3,704593.0,275489272.85
2026-09-08,INDSWFTLAB,EQUITY,EQ,INE915B01019,368.7,401.45,368.7,388.3,368.7,2095086.0,821021661.55
2026-09-07,INDSWFTLAB,EQUITY,EQ,INE915B01019,351.5,373.45,351.0,368.7,355.95,650855.0,238671259.05
2026-09-04,INDSWFTLAB,EQUITY,EQ,INE915B01019,373.1,373.1,350.0,355.95,372.7,695062.0,249450525.95
2026-09-03,INDSWFTLAB,EQUITY,EQ,INE915B01019,366.85,376.0,363.0,372.7,366.85,536113.0,198673373.55
2026-09-02,INDSWFTLAB,EQUITY,EQ,INE915B01019,364.1,378.9,363.1,366.85,368.15,473769.0,175118859.2
2026-09-01,INDSWFTLAB,EQUITY,EQ,INE915B01019,368.45,389.5,361.9,368.15,364.87,1383073.0,520778495.15
2026-08-31,INDSWFTLAB,EQUITY,EQ,INE915B01019,363.46,372.46,355.55,364.87,362.92,667877.0,244075614.12
2026-08-28,INDSWFTLAB,EQUITY,EQ,INE915B01019,360.0,366.0,355.65,362.92,358.04,527926.0,191061149.77
2026-08-27,INDSWFTLAB,EQUITY,EQ,INE915B01019,359.9,366.4,352.51,358.04,367.48,694257.0,250090018.54
2026-08-26,INDSWFTLAB,EQUITY,EQ,INE915B01019,326.0,373.72,325.98,367.48,324.38,7368383.0,2672561631.75
2026-08-25,INDSWFTLAB,EQUITY,EQ,INE915B01019,326.1,328.99,320.06,324.38,327.27,269737.0,87504156.99
2026-08-24,INDSWFTLAB,EQUITY,EQ,INE915B01019,329.59,332.31,316.61,327.27,329.59,433051.0,141090623.36
2026-08-21,INDSWFTLAB,EQUITY,EQ,INE915B01019,335.17,337.6,325.21,329.59,333.51,366668.0,120791348.29
2026-08-20,INDSWFTLAB,EQUITY,EQ,INE915B01019,326.0,339.0,323.24,333.51,322.06,784970.0,260520088.72
2026-08-19,INDSWFTLAB,EQUITY,EQ,INE915B01019,347.47,348.0,320.05,322.06,346.87,1535652.0,508417717.35
2026-08-18,INDSWFTLAB,EQUITY,EQ,INE915B01019,317.95,351.3,316.9,346.87,313.02,5070310.0,1712483273.5
2026-08-17,INDSWFTLAB,EQUITY,EQ,INE915B01019,312.0,317.45,296.35,313.02,304.18,2553952.0,792521865.57
2026-08-14,INDSWFTLAB,EQUITY,EQ,INE915B01019,296.63,305.9,293.55,304.18,296.63,618959.0,186024812.15
2026-08-13,INDSWFTLAB,EQUITY,EQ,INE915B01019,307.0,307.0,284.84,296.63,300.0,1787633.0,526950204.79
2026-08-12,INDSWFTLAB,EQUITY,EQ,INE915B01019,302.9,320.5,293.0,300.0,284.68,8635452.0,2632860553.43
2026-08-11,INDSWFTLAB,EQUITY,EQ,INE915B01019,266.0,284.68,255.64,284.68,237.24,9123251.0,2543811731.79
2026-08-10,INDSWFTLAB,EQUITY,EQ,INE915B01019,230.9,240.75,228.3,237.24,228.41,1031876.0,244447532.38
2026-08-07,INDSWFTLAB,EQUITY,EQ,INE915B01019,225.7,233.2,225.0,228.41,226.48,277067.0,63496218.46
