trade_date,symbol,asset_type,series,isin,open,high,low,close,prev_close,volume,traded_value
2026-09-08,INNOVACAP,EQUITY,EQ,INE0DUT01020,1172.0,1185.8,1164.0,1171.8,1164.4,34248.0,40127902.3
2026-09-07,INNOVACAP,EQUITY,EQ,INE0DUT01020,1198.9,1199.4,1155.0,1164.4,1175.4,104975.0,123663281.9
2026-09-04,INNOVACAP,EQUITY,EQ,INE0DUT01020,1130.6,1199.9,1118.0,1175.4,1125.4,321751.0,377036055.0
2026-09-03,INNOVACAP,EQUITY,EQ,INE0DUT01020,1134.0,1155.8,1101.9,1125.4,1108.6,168214.0,189498286.3
2026-09-02,INNOVACAP,EQUITY,EQ,INE0DUT01020,1068.1,1140.0,1058.1,1108.6,1068.1,246228.0,273749429.0
2026-09-01,INNOVACAP,EQUITY,EQ,INE0DUT01020,1074.0,1107.9,1052.1,1068.1,1078.1,73347.0,79448104.0
2026-08-31,INNOVACAP,EQUITY,EQ,INE0DUT01020,1057.0,1100.0,1057.0,1078.1,1055.1,105170.0,113994595.7
2026-08-28,INNOVACAP,EQUITY,EQ,INE0DUT01020,1021.55,1060.0,1016.2,1055.1,1021.55,41828.0,43844394.95
2026-08-27,INNOVACAP,EQUITY,EQ,INE0DUT01020,1026.0,1039.35,1011.0,1021.55,1031.25,47647.0,48884265.05
2026-08-26,INNOVACAP,EQUITY,EQ,INE0DUT01020,1051.0,1065.95,1020.6,1031.25,1040.4,57130.0,59268532.65
2026-08-25,INNOVACAP,EQUITY,EQ,INE0DUT01020,1063.05,1069.8,1035.0,1040.4,1063.05,21916.0,22929059.3
2026-08-24,INNOVACAP,EQUITY,EQ,INE0DUT01020,1099.0,1115.4,1048.3,1063.05,1088.5,102677.0,109999842.4
2026-08-21,INNOVACAP,EQUITY,EQ,INE0DUT01020,1084.2,1099.85,1073.75,1088.5,1084.2,78410.0,85407800.9
2026-08-20,INNOVACAP,EQUITY,EQ,INE0DUT01020,1039.55,1105.0,1039.55,1084.2,1039.75,125053.0,134148599.55
2026-08-19,INNOVACAP,EQUITY,EQ,INE0DUT01020,1043.0,1053.55,1001.0,1039.75,1043.0,36984.0,38438509.55
2026-08-18,INNOVACAP,EQUITY,EQ,INE0DUT01020,1030.1,1059.7,1030.1,1043.0,1038.45,27162.0,28494339.4
2026-08-17,INNOVACAP,EQUITY,EQ,INE0DUT01020,1052.0,1064.95,1030.25,1038.45,1036.0,43900.0,45956473.7
2026-08-14,INNOVACAP,EQUITY,EQ,INE0DUT01020,1050.0,1052.2,1026.15,1036.0,1047.5,54909.0,56942947.75
2026-08-13,INNOVACAP,EQUITY,EQ,INE0DUT01020,1018.75,1077.45,1005.0,1047.5,1012.2,215156.0,225338819.45
2026-08-12,INNOVACAP,EQUITY,EQ,INE0DUT01020,1100.1,1120.0,986.5,1012.2,1018.9,579709.0,606279585.9
2026-08-11,INNOVACAP,EQUITY,EQ,INE0DUT01020,976.35,1029.0,970.0,1018.9,966.1,167241.0,167781653.2
2026-08-10,INNOVACAP,EQUITY,EQ,INE0DUT01020,940.2,991.4,940.2,966.1,944.5,63379.0,61406034.1
2026-08-07,INNOVACAP,EQUITY,EQ,INE0DUT01020,959.7,959.7,937.5,944.5,954.05,20527.0,19442455.25
2026-08-06,INNOVACAP,EQUITY,EQ,INE0DUT01020,949.9,970.0,942.55,954.05,945.0,24212.0,23202687.9
2026-08-05,INNOVACAP,EQUITY,EQ,INE0DUT01020,951.95,959.45,925.2,945.0,941.95,22902.0,21475863.3
2026-08-04,INNOVACAP,EQUITY,EQ,INE0DUT01020,955.8,963.95,938.95,941.95,956.4,24677.0,23458576.0
2026-08-03,INNOVACAP,EQUITY,EQ,INE0DUT01020,975.0,975.85,945.2,956.4,974.25,18202.0,17541478.05
2026-07-31,INNOVACAP,EQUITY,EQ,INE0DUT01020,969.5,980.4,960.55,974.25,969.55,26789.0,26080042.35
2026-07-30,INNOVACAP,EQUITY,EQ,INE0DUT01020,975.15,983.15,961.05,969.55,968.65,17954.0,17454101.05
2026-07-29,INNOVACAP,EQUITY,EQ,INE0DUT01020,963.9,974.7,959.35,968.65,957.25,23306.0,22520847.55
2026-07-28,INNOVACAP,EQUITY,EQ,INE0DUT01020,979.9,979.9,953.3,957.25,970.4,15737.0,15126356.4
2026-07-27,INNOVACAP,EQUITY,EQ,INE0DUT01020,948.0,975.9,948.0,970.4,950.45,43736.0,42263999.15
2026-07-24,INNOVACAP,EQUITY,EQ,INE0DUT01020,964.35,965.9,934.55,950.45,967.95,58779.0,55699147.05
2026-07-23,INNOVACAP,EQUITY,EQ,INE0DUT01020,963.9,975.0,963.85,967.95,974.1,13695.0,13296129.65
2026-07-22,INNOVACAP,EQUITY,EQ,INE0DUT01020,972.15,981.0,966.7,974.1,980.05,43539.0,42470110.9
2026-07-21,INNOVACAP,EQUITY,EQ,INE0DUT01020,965.8,981.9,956.8,980.05,973.25,23550.0,22817622.75
2026-07-20,INNOVACAP,EQUITY,EQ,INE0DUT01020,962.0,976.0,953.05,973.25,962.7,38631.0,37594908.05
2026-07-17,INNOVACAP,EQUITY,EQ,INE0DUT01020,1018.0,1019.7,957.1,962.7,1011.3,58370.0,56727180.8
2026-07-16,INNOVACAP,EQUITY,EQ,INE0DUT01020,991.45,1024.7,990.95,1011.3,991.45,32342.0,32752539.65
2026-07-15,INNOVACAP,EQUITY,EQ,INE0DUT01020,1000.0,1034.85,987.0,991.45,993.55,70262.0,70922977.6
2026-07-14,INNOVACAP,EQUITY,EQ,INE0DUT01020,1006.75,1006.75,985.2,993.55,1000.1,24590.0,24462177.9
2026-07-13,INNOVACAP,EQUITY,EQ,INE0DUT01020,995.7,1010.1,983.85,1000.1,989.35,23617.0,23641257.35
2026-07-10,INNOVACAP,EQUITY,EQ,INE0DUT01020,993.0,1012.6,985.05,989.35,990.85,65327.0,64834914.4
2026-07-09,INNOVACAP,EQUITY,EQ,INE0DUT01020,997.6,1033.8,982.0,990.85,982.85,138424.0,139529632.0
2026-07-08,INNOVACAP,EQUITY,EQ,INE0DUT01020,966.4,1021.0,956.05,982.85,968.1,159050.0,158788049.6
