trade_date,symbol,asset_type,series,isin,open,high,low,close,prev_close,volume,traded_value
2026-09-08,INSUREIETF,EQUITY,EQ,INF109K1A567,15.13,15.14,14.93,14.98,15.06,272822.0,4082064.6
2026-09-07,INSUREIETF,EQUITY,EQ,INF109K1A567,15.32,15.32,15.05,15.06,15.23,468531.0,7071620.47
2026-09-04,INSUREIETF,EQUITY,EQ,INF109K1A567,15.06,15.33,15.05,15.23,15.04,402017.0,6096729.97
2026-09-03,INSUREIETF,EQUITY,EQ,INF109K1A567,15.12,15.2,15.0,15.04,15.1,402930.0,6070755.24
2026-09-02,INSUREIETF,EQUITY,EQ,INF109K1A567,15.43,15.43,15.0,15.1,15.43,2499345.0,37606528.85
2026-09-01,INSUREIETF,EQUITY,EQ,INF109K1A567,15.3,15.75,15.15,15.43,15.3,586610.0,8975238.2
2026-08-31,INSUREIETF,EQUITY,EQ,INF109K1A567,15.32,15.35,15.22,15.3,15.35,708490.0,10855743.04
2026-08-28,INSUREIETF,EQUITY,EQ,INF109K1A567,15.4,16.06,15.27,15.35,15.49,3357020.0,51591273.55
2026-08-27,INSUREIETF,EQUITY,EQ,INF109K1A567,15.68,15.68,15.45,15.49,15.54,489470.0,7594857.17
2026-08-26,INSUREIETF,EQUITY,EQ,INF109K1A567,15.57,15.65,15.43,15.54,15.44,1223304.0,19105626.33
2026-08-25,INSUREIETF,EQUITY,EQ,INF109K1A567,15.49,15.61,15.36,15.44,15.51,5273127.0,82113850.52
2026-08-24,INSUREIETF,EQUITY,EQ,INF109K1A567,15.63,15.67,15.51,15.51,15.63,689503.0,10712135.8
2026-08-21,INSUREIETF,EQUITY,EQ,INF109K1A567,15.49,15.65,15.41,15.63,15.49,30258.0,470980.07
2026-08-20,INSUREIETF,EQUITY,EQ,INF109K1A567,15.47,15.64,15.43,15.49,15.47,21523.0,334113.94
2026-08-19,INSUREIETF,EQUITY,EQ,INF109K1A567,15.42,15.74,15.32,15.47,15.51,116173.0,1788044.46
2026-08-18,INSUREIETF,EQUITY,EQ,INF109K1A567,15.48,15.59,15.4,15.51,15.52,34980.0,541099.2
2026-08-17,INSUREIETF,EQUITY,EQ,INF109K1A567,15.85,15.85,15.37,15.52,15.47,464709.0,7198866.1
2026-08-14,INSUREIETF,EQUITY,EQ,INF109K1A567,15.42,15.51,15.35,15.47,15.42,55403.0,855441.55
2026-08-13,INSUREIETF,EQUITY,EQ,INF109K1A567,15.48,15.48,15.35,15.42,15.52,144334.0,2229600.25
2026-08-12,INSUREIETF,EQUITY,EQ,INF109K1A567,15.47,15.98,15.41,15.52,15.47,47724.0,738973.66
2026-08-11,INSUREIETF,EQUITY,EQ,INF109K1A567,15.52,15.6,15.34,15.47,15.49,3077696.0,47588702.69
2026-08-10,INSUREIETF,EQUITY,EQ,INF109K1A567,15.67,15.76,15.33,15.49,15.52,3142732.0,48737030.49
2026-08-07,INSUREIETF,EQUITY,EQ,INF109K1A567,15.85,15.85,15.47,15.52,15.6,3292526.0,51161616.73
2026-08-06,INSUREIETF,EQUITY,EQ,INF109K1A567,15.73,16.46,15.55,15.6,15.73,684822.0,10694522.83
2026-08-05,INSUREIETF,EQUITY,EQ,INF109K1A567,16.28,16.28,15.7,15.73,15.84,34855.0,549177.25
