trade_date,symbol,asset_type,series,isin,open,high,low,close,prev_close,volume,traded_value
2026-09-10,INTERNET,EQUITY,EQ,INF769K01PB6,14.64,14.68,14.57,14.59,14.63,73790.0,1079063.57
2026-09-09,INTERNET,EQUITY,EQ,INF769K01PB6,14.59,14.68,14.52,14.63,14.6,64335.0,939294.67
2026-09-08,INTERNET,EQUITY,EQ,INF769K01PB6,14.24,14.79,14.24,14.6,14.53,103946.0,1513109.21
2026-09-07,INTERNET,EQUITY,EQ,INF769K01PB6,14.6,14.98,14.46,14.53,14.61,182327.0,2657249.99
2026-09-04,INTERNET,EQUITY,EQ,INF769K01PB6,14.65,14.74,14.44,14.61,14.52,534263.0,7811537.57
2026-09-03,INTERNET,EQUITY,EQ,INF769K01PB6,14.56,14.61,14.48,14.52,14.65,99929.0,1454970.89
2026-09-02,INTERNET,EQUITY,EQ,INF769K01PB6,14.55,14.95,14.34,14.65,14.55,492182.0,7125107.84
2026-09-01,INTERNET,EQUITY,EQ,INF769K01PB6,15.0,15.0,14.51,14.55,14.63,258856.0,3790490.19
2026-08-31,INTERNET,EQUITY,EQ,INF769K01PB6,14.66,14.73,14.54,14.63,14.66,236363.0,3461954.95
2026-08-28,INTERNET,EQUITY,EQ,INF769K01PB6,14.83,15.33,14.65,14.66,14.76,700673.0,10410654.48
2026-08-27,INTERNET,EQUITY,EQ,INF769K01PB6,15.13,15.13,14.73,14.76,14.83,105445.0,1561707.09
2026-08-26,INTERNET,EQUITY,EQ,INF769K01PB6,14.8,14.9,14.8,14.83,14.77,253711.0,3769835.59
2026-08-25,INTERNET,EQUITY,EQ,INF769K01PB6,14.55,14.8,14.39,14.77,14.68,172139.0,2523080.07
2026-08-24,INTERNET,EQUITY,EQ,INF769K01PB6,14.59,15.45,14.51,14.68,14.58,431122.0,6311746.04
2026-08-21,INTERNET,EQUITY,EQ,INF769K01PB6,14.7,14.8,14.49,14.58,14.51,187493.0,2731942.34
2026-08-20,INTERNET,EQUITY,EQ,INF769K01PB6,14.15,14.55,14.15,14.51,14.32,114609.0,1659139.65
2026-08-19,INTERNET,EQUITY,EQ,INF769K01PB6,14.24,14.4,14.24,14.32,14.22,115578.0,1654598.52
2026-08-18,INTERNET,EQUITY,EQ,INF769K01PB6,14.28,14.3,14.2,14.22,14.35,161334.0,2295864.21
