trade_date,symbol,asset_type,series,isin,open,high,low,close,prev_close,volume,traded_value
2026-09-09,ISGEC,EQUITY,EQ,INE858B01029,782.4,790.0,774.55,784.55,782.4,16428.0,12893426.7
2026-09-08,ISGEC,EQUITY,EQ,INE858B01029,781.0,787.0,767.0,782.4,781.1,32844.0,25619214.85
2026-09-07,ISGEC,EQUITY,EQ,INE858B01029,792.0,792.0,778.9,781.1,787.35,31403.0,24636524.7
2026-09-04,ISGEC,EQUITY,EQ,INE858B01029,775.55,790.85,773.05,787.35,771.1,30774.0,24088675.85
2026-09-03,ISGEC,EQUITY,EQ,INE858B01029,780.0,783.8,765.5,771.1,777.55,26623.0,20532452.5
2026-09-02,ISGEC,EQUITY,EQ,INE858B01029,782.1,785.75,766.75,777.55,778.25,20339.0,15803751.25
2026-09-01,ISGEC,EQUITY,EQ,INE858B01029,792.5,794.0,765.0,778.25,790.65,47878.0,37154756.75
2026-08-31,ISGEC,EQUITY,EQ,INE858B01029,796.0,799.0,773.1,790.65,789.05,69348.0,54519563.15
2026-08-28,ISGEC,EQUITY,EQ,INE858B01029,775.0,791.0,774.6,789.05,780.4,41044.0,32188265.85
2026-08-27,ISGEC,EQUITY,EQ,INE858B01029,773.9,783.0,759.3,780.4,769.3,47827.0,36958862.95
2026-08-26,ISGEC,EQUITY,EQ,INE858B01029,767.85,776.45,763.6,769.3,764.05,38561.0,29718978.8
2026-08-25,ISGEC,EQUITY,EQ,INE858B01029,789.6,789.6,753.3,764.05,783.3,67510.0,51530823.3
2026-08-24,ISGEC,EQUITY,EQ,INE858B01029,763.6,793.9,755.1,783.3,755.1,157773.0,122404302.4
2026-08-21,ISGEC,EQUITY,EQ,INE858B01029,762.7,763.1,750.25,755.1,761.75,26790.0,20254924.85
2026-08-20,ISGEC,EQUITY,EQ,INE858B01029,756.65,778.1,756.25,761.75,756.6,81430.0,62159680.65
2026-08-19,ISGEC,EQUITY,EQ,INE858B01029,791.9,791.9,754.0,756.6,782.2,63757.0,48966621.6
2026-08-18,ISGEC,EQUITY,EQ,INE858B01029,746.05,794.7,740.5,782.2,746.85,134385.0,104686363.35
2026-08-17,ISGEC,EQUITY,EQ,INE858B01029,747.0,757.8,722.5,746.85,732.15,348652.0,258126115.15
