trade_date,symbol,asset_type,series,isin,open,high,low,close,prev_close,volume,traded_value
2024-08-05,ISMTLTD,EQUITY,EQ,INE732F01019,123.99,124.4,118.6,120.19,127.3,1017392.0,123456722.0
2024-08-02,ISMTLTD,EQUITY,EQ,INE732F01019,128.88,133.0,122.78,127.3,130.71,1097834.0,141751697.93
2024-08-01,ISMTLTD,EQUITY,EQ,INE732F01019,134.2,135.67,130.0,130.71,134.89,751072.0,99590935.42
2024-07-31,ISMTLTD,EQUITY,EQ,INE732F01019,134.99,137.99,134.5,134.89,134.7,512579.0,69685663.38
2024-07-30,ISMTLTD,EQUITY,EQ,INE732F01019,139.57,139.57,133.65,134.7,139.57,1131693.0,154386136.41
2024-07-29,ISMTLTD,EQUITY,EQ,INE732F01019,147.8,148.0,135.11,139.57,146.05,1663616.0,236616487.03
2024-07-26,ISMTLTD,EQUITY,EQ,INE732F01019,142.05,147.45,141.74,146.05,142.18,875392.0,126976562.19
2024-07-25,ISMTLTD,EQUITY,EQ,INE732F01019,141.6,144.55,139.86,142.18,142.19,586286.0,83672443.86
2024-07-24,ISMTLTD,EQUITY,EQ,INE732F01019,142.0,148.0,141.52,142.19,142.51,1101873.0,159454817.07
2024-07-23,ISMTLTD,EQUITY,EQ,INE732F01019,149.99,150.26,134.0,142.51,149.07,1168626.0,167666978.57
2024-07-22,ISMTLTD,EQUITY,EQ,INE732F01019,140.9,154.0,137.35,149.07,141.97,2289157.0,340449521.81
2024-07-19,ISMTLTD,EQUITY,EQ,INE732F01019,148.0,148.09,140.4,141.97,148.1,1086110.0,156381973.19
2024-07-18,ISMTLTD,EQUITY,EQ,INE732F01019,147.0,154.89,142.2,148.1,147.76,2381293.0,355326468.24
2024-07-16,ISMTLTD,EQUITY,EQ,INE732F01019,151.0,157.9,146.2,147.76,148.45,4870091.0,746038723.06
2024-07-15,ISMTLTD,EQUITY,EQ,INE732F01019,135.0,149.9,131.62,148.45,131.22,8029283.0,1168964560.6
2024-07-12,ISMTLTD,EQUITY,EQ,INE732F01019,129.97,133.5,129.68,131.22,129.68,476734.0,62889295.63
2024-07-11,ISMTLTD,EQUITY,EQ,INE732F01019,130.27,131.35,128.74,129.68,129.48,302215.0,39258895.65
2024-07-10,ISMTLTD,EQUITY,EQ,INE732F01019,132.9,133.33,124.21,129.48,131.88,975676.0,125252950.09
2024-07-09,ISMTLTD,EQUITY,EQ,INE732F01019,135.44,136.85,131.5,131.88,134.89,534202.0,71402663.63
2024-07-08,ISMTLTD,EQUITY,EQ,INE732F01019,138.94,139.84,133.85,134.89,138.24,538580.0,73343057.18
