trade_date,symbol,asset_type,series,isin,open,high,low,close,prev_close,volume,traded_value
2026-09-09,ITIETF,EQUITY,EQ,INF109KC16I6,33.12,33.12,32.06,32.18,33.24,942508.0,30405429.29
2026-09-08,ITIETF,EQUITY,EQ,INF109KC16I6,33.37,33.5,33.1,33.24,33.36,325229.0,10820970.91
2026-09-07,ITIETF,EQUITY,EQ,INF109KC16I6,34.01,34.01,33.25,33.36,34.01,485884.0,16240135.77
2026-09-04,ITIETF,EQUITY,EQ,INF109KC16I6,34.59,34.73,33.95,34.01,34.24,354409.0,12124960.21
2026-09-03,ITIETF,EQUITY,EQ,INF109KC16I6,34.67,34.67,34.07,34.24,34.38,319486.0,10947783.05
2026-09-02,ITIETF,EQUITY,EQ,INF109KC16I6,34.8,34.8,34.12,34.38,34.8,831659.0,28638178.25
2026-09-01,ITIETF,EQUITY,EQ,INF109KC16I6,34.47,35.05,34.31,34.8,34.31,745507.0,25915771.49
2026-08-31,ITIETF,EQUITY,EQ,INF109KC16I6,34.66,34.89,34.11,34.31,34.65,884965.0,30338754.16
2026-08-28,ITIETF,EQUITY,EQ,INF109KC16I6,33.81,34.8,33.81,34.65,33.72,917093.0,31691704.91
2026-08-27,ITIETF,EQUITY,EQ,INF109KC16I6,33.8,34.07,33.59,33.72,33.81,210787.0,7104599.18
2026-08-26,ITIETF,EQUITY,EQ,INF109KC16I6,33.98,34.31,33.7,33.81,33.98,450130.0,15281171.32
2026-08-25,ITIETF,EQUITY,EQ,INF109KC16I6,34.72,34.72,33.72,33.98,33.88,315308.0,10717670.18
2026-08-24,ITIETF,EQUITY,EQ,INF109KC16I6,34.0,34.38,33.82,33.88,33.98,408145.0,13946420.8
2026-08-21,ITIETF,EQUITY,EQ,INF109KC16I6,33.97,34.19,33.7,33.98,34.03,4052810.0,138321110.19
2026-08-20,ITIETF,EQUITY,EQ,INF109KC16I6,34.55,34.55,33.94,34.03,33.71,3591697.0,122438877.49
2026-08-19,ITIETF,EQUITY,EQ,INF109KC16I6,34.0,34.12,33.54,33.71,33.66,348747.0,11781807.07
2026-08-18,ITIETF,EQUITY,EQ,INF109KC16I6,34.37,34.37,33.6,33.66,34.27,556975.0,18802871.25
2026-08-17,ITIETF,EQUITY,EQ,INF109KC16I6,35.71,35.71,34.2,34.27,34.84,390584.0,13416769.96
2026-08-14,ITIETF,EQUITY,EQ,INF109KC16I6,34.8,35.03,34.53,34.84,34.78,255577.0,8893817.43
2026-08-13,ITIETF,EQUITY,EQ,INF109KC16I6,35.54,35.54,34.57,34.78,34.68,256525.0,8919127.49
2026-08-12,ITIETF,EQUITY,EQ,INF109KC16I6,35.52,35.52,34.47,34.68,35.23,2350345.0,81639850.01
2026-08-11,ITIETF,EQUITY,EQ,INF109KC16I6,35.23,35.5,35.05,35.23,35.1,1431684.0,50473707.41
2026-08-10,ITIETF,EQUITY,EQ,INF109KC16I6,35.75,35.75,35.0,35.1,34.88,661423.0,23320408.84
2026-08-07,ITIETF,EQUITY,EQ,INF109KC16I6,34.61,35.33,34.39,34.88,34.54,576920.0,20212091.55
2026-08-06,ITIETF,EQUITY,EQ,INF109KC16I6,34.85,35.23,34.27,34.54,34.82,669590.0,23243340.44
2026-08-05,ITIETF,EQUITY,EQ,INF109KC16I6,34.75,35.24,34.74,34.82,34.46,802976.0,28056765.17
2026-08-04,ITIETF,EQUITY,EQ,INF109KC16I6,34.9,35.5,34.0,34.46,34.9,651547.0,22682780.75
2026-08-03,ITIETF,EQUITY,EQ,INF109KC16I6,34.32,35.83,34.03,34.9,34.2,1165091.0,40482984.41
2026-07-31,ITIETF,EQUITY,EQ,INF109KC16I6,34.56,34.56,33.36,34.2,34.64,1307637.0,44489818.46
2026-07-30,ITIETF,EQUITY,EQ,INF109KC16I6,34.6,35.38,34.59,34.64,34.56,4419123.0,154396056.99
2026-07-29,ITIETF,EQUITY,EQ,INF109KC16I6,34.48,34.9,34.24,34.56,33.78,3682663.0,127523726.17
2026-07-28,ITIETF,EQUITY,EQ,INF109KC16I6,33.07,34.08,33.07,33.78,32.73,4309728.0,145720365.7
2026-07-27,ITIETF,EQUITY,EQ,INF109KC16I6,32.43,32.82,32.34,32.73,31.97,908636.0,29696306.65
2026-07-24,ITIETF,EQUITY,EQ,INF109KC16I6,31.5,32.04,31.31,31.97,31.75,523558.0,16606060.08
2026-07-23,ITIETF,EQUITY,EQ,INF109KC16I6,31.8,31.88,31.49,31.75,31.79,716063.0,22689330.52
2026-07-22,ITIETF,EQUITY,EQ,INF109KC16I6,31.39,32.17,31.39,31.79,32.2,684871.0,21815034.35
2026-07-21,ITIETF,EQUITY,EQ,INF109KC16I6,32.42,32.66,32.15,32.2,32.42,451749.0,14589625.03
2026-07-20,ITIETF,EQUITY,EQ,INF109KC16I6,32.44,32.78,32.37,32.42,32.45,1064054.0,34591722.88
2026-07-17,ITIETF,EQUITY,EQ,INF109KC16I6,32.49,32.6,32.18,32.45,31.86,1053226.0,34158385.14
2026-07-16,ITIETF,EQUITY,EQ,INF109KC16I6,31.83,32.25,31.81,31.86,31.66,549959.0,17643105.15
2026-07-15,ITIETF,EQUITY,EQ,INF109KC16I6,31.77,31.89,31.34,31.66,31.77,777751.0,24650328.46
2026-07-14,ITIETF,EQUITY,EQ,INF109KC16I6,32.94,32.94,31.5,31.77,32.14,778022.0,24985420.92
2026-07-13,ITIETF,EQUITY,EQ,INF109KC16I6,30.81,32.43,30.8,32.14,31.02,6065304.0,194363443.85
2026-07-10,ITIETF,EQUITY,EQ,INF109KC16I6,31.24,31.5,30.91,31.02,30.46,1986504.0,61825346.08
2026-07-09,ITIETF,EQUITY,EQ,INF109KC16I6,30.94,30.94,29.99,30.46,30.57,426085.0,12941187.4
2026-07-08,ITIETF,EQUITY,EQ,INF109KC16I6,30.85,31.28,30.43,30.57,30.98,750533.0,23115615.52
2026-07-07,ITIETF,EQUITY,EQ,INF109KC16I6,30.42,31.2,30.32,30.98,30.28,1747905.0,54119607.08
2026-07-06,ITIETF,EQUITY,EQ,INF109KC16I6,30.46,30.65,30.12,30.28,30.41,844065.0,25526452.23
2026-07-03,ITIETF,EQUITY,EQ,INF109KC16I6,30.37,30.74,30.23,30.41,29.88,1308698.0,39914744.36
2026-07-02,ITIETF,EQUITY,EQ,INF109KC16I6,29.08,29.95,28.9,29.88,28.64,1990301.0,59023322.88
2026-07-01,ITIETF,EQUITY,EQ,INF109KC16I6,29.95,29.95,28.54,28.64,29.22,2148685.0,62190293.92
2026-06-30,ITIETF,EQUITY,EQ,INF109KC16I6,30.45,30.45,29.12,29.22,30.05,2794824.0,82160357.13
2026-06-29,ITIETF,EQUITY,EQ,INF109KC16I6,30.31,30.32,29.94,30.05,30.37,1064230.0,31989180.45
2026-06-25,ITIETF,EQUITY,EQ,INF109KC16I6,31.2,31.2,30.33,30.37,30.59,670042.0,20509306.18
2026-06-24,ITIETF,EQUITY,EQ,INF109KC16I6,30.05,30.75,30.05,30.59,29.98,1837562.0,56028556.05
2026-06-23,ITIETF,EQUITY,EQ,INF109KC16I6,31.47,31.47,29.9,29.98,30.71,1287547.0,38774672.3
2026-06-22,ITIETF,EQUITY,EQ,INF109KC16I6,30.85,30.92,30.48,30.71,30.45,1518814.0,46796033.42
2026-06-19,ITIETF,EQUITY,EQ,INF109KC16I6,32.41,32.41,29.65,30.45,31.62,4841980.0,145074824.89
2026-06-18,ITIETF,EQUITY,EQ,INF109KC16I6,32.7,32.7,31.35,31.62,31.91,524488.0,16578911.68
2026-06-17,ITIETF,EQUITY,EQ,INF109KC16I6,31.8,32.17,31.64,31.91,31.75,535868.0,17134942.76
2026-06-16,ITIETF,EQUITY,EQ,INF109KC16I6,31.41,31.8,31.24,31.75,31.16,954634.0,30215880.04
2026-06-15,ITIETF,EQUITY,EQ,INF109KC16I6,30.86,31.47,30.86,31.16,30.86,841982.0,26252287.25
2026-06-12,ITIETF,EQUITY,EQ,INF109KC16I6,31.72,31.72,30.57,30.86,30.95,950140.0,29370619.79
2026-06-11,ITIETF,EQUITY,EQ,INF109KC16I6,32.19,32.19,30.56,30.95,31.41,1356348.0,41836353.7
2026-06-10,ITIETF,EQUITY,EQ,INF109KC16I6,31.28,31.96,31.28,31.41,31.68,388279.0,12264547.88
2026-06-09,ITIETF,EQUITY,EQ,INF109KC16I6,32.01,32.01,31.42,31.68,31.79,479050.0,15132638.39
2026-06-08,ITIETF,EQUITY,EQ,INF109KC16I6,31.42,32.08,31.42,31.79,32.23,819442.0,26053786.12
2026-06-05,ITIETF,EQUITY,EQ,INF109KC16I6,32.77,32.87,32.12,32.23,32.61,616300.0,19943526.09
2026-06-04,ITIETF,EQUITY,EQ,INF109KC16I6,32.63,33.24,32.16,32.61,32.63,11127823.0,362118678.48
2026-06-03,ITIETF,EQUITY,EQ,INF109KC16I6,34.46,35.15,32.53,32.63,34.46,1824092.0,60005893.81
2026-06-02,ITIETF,EQUITY,EQ,INF109KC16I6,33.9,34.64,33.49,34.46,33.08,2769712.0,95044640.31
2026-06-01,ITIETF,EQUITY,EQ,INF109KC16I6,32.79,33.48,32.65,33.08,32.36,1847469.0,61267069.82
2026-05-29,ITIETF,EQUITY,EQ,INF109KC16I6,32.53,32.94,32.2,32.36,32.09,1576842.0,51496426.36
2026-05-27,ITIETF,EQUITY,EQ,INF109KC16I6,32.14,32.31,31.96,32.09,32.18,484167.0,15543029.92
2026-05-26,ITIETF,EQUITY,EQ,INF109KC16I6,32.17,32.4,32.09,32.18,32.17,264749.0,8538379.72
2026-05-25,ITIETF,EQUITY,EQ,INF109KC16I6,32.07,32.38,32.03,32.17,32.04,806547.0,25972302.9
2026-05-22,ITIETF,EQUITY,EQ,INF109KC16I6,32.27,32.3,31.86,32.04,32.11,1065030.0,34132842.57
2026-05-21,ITIETF,EQUITY,EQ,INF109KC16I6,32.32,32.48,32.04,32.11,32.32,269030.0,8662963.35
2026-05-20,ITIETF,EQUITY,EQ,INF109KC16I6,33.27,33.27,32.09,32.32,32.46,4110009.0,133279637.68
2026-05-19,ITIETF,EQUITY,EQ,INF109KC16I6,31.36,32.69,31.36,32.46,31.36,7444089.0,241786966.33
2026-05-18,ITIETF,EQUITY,EQ,INF109KC16I6,30.54,31.4,30.5,31.36,30.64,654961.0,20335354.56
2026-05-15,ITIETF,EQUITY,EQ,INF109KC16I6,30.4,31.1,30.4,30.64,30.29,545636.0,16807407.76
2026-05-14,ITIETF,EQUITY,EQ,INF109KC16I6,30.84,30.84,29.98,30.29,30.92,1975115.0,59789482.69
2026-05-13,ITIETF,EQUITY,EQ,INF109KC16I6,31.18,31.3,30.89,30.92,31.14,944583.0,29336652.99
2026-05-12,ITIETF,EQUITY,EQ,INF109KC16I6,32.18,32.27,31.11,31.14,32.38,6475332.0,202238019.72
2026-05-11,ITIETF,EQUITY,EQ,INF109KC16I6,32.54,32.69,32.24,32.38,32.52,558347.0,18146409.02
2026-05-08,ITIETF,EQUITY,EQ,INF109KC16I6,32.97,32.97,32.04,32.52,32.17,3032849.0,98561799.53
2026-05-07,ITIETF,EQUITY,EQ,INF109KC16I6,32.5,32.5,32.1,32.17,32.33,975482.0,31408612.73
2026-05-06,ITIETF,EQUITY,EQ,INF109KC16I6,32.98,32.98,32.13,32.33,32.18,1812980.0,58557190.05
2026-05-05,ITIETF,EQUITY,EQ,INF109KC16I6,32.09,32.48,32.0,32.18,32.18,810606.0,26085305.52
2026-05-04,ITIETF,EQUITY,EQ,INF109KC16I6,33.33,33.33,32.05,32.18,32.36,762305.0,24607024.2
2026-04-30,ITIETF,EQUITY,EQ,INF109KC16I6,32.3,32.6,32.1,32.36,32.3,2948372.0,95520234.17
2026-04-29,ITIETF,EQUITY,EQ,INF109KC16I6,31.24,32.62,31.24,32.3,32.05,893282.0,28952987.51
2026-04-28,ITIETF,EQUITY,EQ,INF109KC16I6,32.2,32.35,31.97,32.05,32.2,1257173.0,40333828.86
2026-04-27,ITIETF,EQUITY,EQ,INF109KC16I6,32.37,32.37,31.71,32.2,31.59,1220064.0,39166342.91
2026-04-24,ITIETF,EQUITY,EQ,INF109KC16I6,33.98,33.98,31.5,31.59,33.16,2840839.0,90697771.84
2026-04-23,ITIETF,EQUITY,EQ,INF109KC16I6,34.52,34.52,33.08,33.16,33.68,1587862.0,53015498.48
2026-04-22,ITIETF,EQUITY,EQ,INF109KC16I6,34.41,34.42,33.28,33.68,34.95,2358935.0,79373042.66
2026-04-21,ITIETF,EQUITY,EQ,INF109KC16I6,34.95,35.14,34.71,34.95,34.85,372795.0,13033101.15
2026-04-20,ITIETF,EQUITY,EQ,INF109KC16I6,35.96,35.96,34.77,34.85,35.09,470811.0,16455466.83
2026-04-17,ITIETF,EQUITY,EQ,INF109KC16I6,35.08,35.22,34.66,35.09,35.06,615536.0,21549434.63
2026-04-16,ITIETF,EQUITY,EQ,INF109KC16I6,35.67,35.67,34.85,35.06,34.8,699917.0,24536657.93
2026-04-15,ITIETF,EQUITY,EQ,INF109KC16I6,34.48,34.86,34.41,34.8,33.83,1077316.0,37360006.97
2026-04-13,ITIETF,EQUITY,EQ,INF109KC16I6,34.14,34.14,33.58,33.83,34.25,1151016.0,38950253.8
2026-04-10,ITIETF,EQUITY,EQ,INF109KC16I6,35.72,35.72,33.9,34.25,34.85,1594855.0,54420041.12
2026-04-09,ITIETF,EQUITY,EQ,INF109KC16I6,34.7,34.95,34.35,34.85,34.82,897534.0,31109249.24
2026-04-08,ITIETF,EQUITY,EQ,INF109KC16I6,35.63,35.63,34.52,34.82,34.58,1185818.0,41198439.61
2026-04-07,ITIETF,EQUITY,EQ,INF109KC16I6,33.76,34.66,33.5,34.58,33.76,2703262.0,92883024.75
2026-04-06,ITIETF,EQUITY,EQ,INF109KC16I6,33.26,33.97,32.54,33.76,33.55,633781.0,21391801.5
2026-04-02,ITIETF,EQUITY,EQ,INF109KC16I6,32.39,33.71,32.36,33.55,32.82,909195.0,30081591.39
2026-04-01,ITIETF,EQUITY,EQ,INF109KC16I6,32.98,33.33,32.6,32.82,31.97,862539.0,28421756.24
2026-03-30,ITIETF,EQUITY,EQ,INF109KC16I6,32.09,32.46,31.88,31.97,32.56,1427342.0,45857916.62
2026-03-27,ITIETF,EQUITY,EQ,INF109KC16I6,32.44,33.03,32.44,32.56,32.68,1871311.0,61383225.77
2026-03-25,ITIETF,EQUITY,EQ,INF109KC16I6,32.65,33.0,32.41,32.68,32.64,1123037.0,36794049.69
2026-03-24,ITIETF,EQUITY,EQ,INF109KC16I6,32.4,32.98,32.21,32.64,32.12,834271.0,27203507.29
2026-03-23,ITIETF,EQUITY,EQ,INF109KC16I6,31.96,32.28,31.54,32.12,32.04,2349215.0,75394927.09
2026-03-20,ITIETF,EQUITY,EQ,INF109KC16I6,32.06,32.45,31.78,32.04,31.5,2540294.0,81282519.47
2026-03-19,ITIETF,EQUITY,EQ,INF109KC16I6,33.44,33.44,31.41,31.5,32.63,1454016.0,46267845.51
2026-03-18,ITIETF,EQUITY,EQ,INF109KC16I6,31.98,33.16,31.9,32.63,31.68,3001684.0,98663923.35
2026-03-17,ITIETF,EQUITY,EQ,INF109KC16I6,32.08,32.08,31.24,31.68,31.98,1647137.0,52140270.14
2026-03-16,ITIETF,EQUITY,EQ,INF109KC16I6,32.04,32.18,31.5,31.98,32.04,1627861.0,51740375.93
2026-03-13,ITIETF,EQUITY,EQ,INF109KC16I6,33.49,33.49,31.91,32.04,32.68,1934957.0,62308603.39
2026-03-12,ITIETF,EQUITY,EQ,INF109KC16I6,31.94,33.57,31.94,32.68,32.76,1452164.0,47456442.91
2026-03-11,ITIETF,EQUITY,EQ,INF109KC16I6,33.19,33.38,32.71,32.76,33.12,1005438.0,33252867.85
2026-03-10,ITIETF,EQUITY,EQ,INF109KC16I6,34.07,34.07,32.85,33.12,33.24,1029288.0,33983639.86
2026-03-09,ITIETF,EQUITY,EQ,INF109KC16I6,33.09,33.34,32.47,33.24,33.26,1824915.0,60318366.48
2026-03-06,ITIETF,EQUITY,EQ,INF109KC16I6,33.19,33.78,33.19,33.26,33.18,741041.0,24815845.89
2026-03-05,ITIETF,EQUITY,EQ,INF109KC16I6,33.8,33.8,32.93,33.18,33.45,2226584.0,73620876.27
2026-03-04,ITIETF,EQUITY,EQ,INF109KC16I6,33.52,33.74,33.17,33.45,33.46,1256718.0,42121491.64
2026-03-02,ITIETF,EQUITY,EQ,INF109KC16I6,34.64,34.64,33.02,33.46,33.8,2072908.0,69425346.4
2026-02-27,ITIETF,EQUITY,EQ,INF109KC16I6,34.15,34.57,33.7,33.8,33.71,1221717.0,41545188.43
2026-02-26,ITIETF,EQUITY,EQ,INF109KC16I6,34.0,34.71,33.63,33.71,33.71,1796248.0,60927909.81
2026-02-25,ITIETF,EQUITY,EQ,INF109KC16I6,34.0,34.2,33.25,33.71,33.19,1962301.0,66504627.16
2026-02-24,ITIETF,EQUITY,EQ,INF109KC16I6,34.05,34.4,33.01,33.19,34.84,4445038.0,148739195.53
2026-02-23,ITIETF,EQUITY,EQ,INF109KC16I6,36.42,36.42,34.72,34.84,35.36,1569293.0,54840568.63
2026-02-20,ITIETF,EQUITY,EQ,INF109KC16I6,35.58,35.69,35.05,35.36,35.71,1984432.0,70116014.58
2026-02-19,ITIETF,EQUITY,EQ,INF109KC16I6,36.17,36.58,35.58,35.71,36.05,1968878.0,71082420.61
2026-02-18,ITIETF,EQUITY,EQ,INF109KC16I6,36.54,36.67,35.56,36.05,36.53,1789604.0,64370325.84
2026-02-17,ITIETF,EQUITY,EQ,INF109KC16I6,35.9,37.17,35.9,36.53,36.2,2496002.0,91965308.89
2026-02-16,ITIETF,EQUITY,EQ,INF109KC16I6,36.34,36.5,35.69,36.2,36.08,2787250.0,100024027.28
2026-02-13,ITIETF,EQUITY,EQ,INF109KC16I6,36.24,36.37,34.76,36.08,36.62,4292698.0,151846435.2
2026-02-12,ITIETF,EQUITY,EQ,INF109KC16I6,38.48,38.48,36.5,36.62,38.62,5004256.0,185061991.28
2026-02-11,ITIETF,EQUITY,EQ,INF109KC16I6,38.4,39.65,38.11,38.62,39.39,3099078.0,120425452.78
2026-02-10,ITIETF,EQUITY,EQ,INF109KC16I6,39.46,39.75,39.07,39.39,39.25,656021.0,25905137.07
2026-02-09,ITIETF,EQUITY,EQ,INF109KC16I6,40.14,40.14,39.2,39.25,39.36,795815.0,31314704.6
2026-02-06,ITIETF,EQUITY,EQ,INF109KC16I6,39.78,40.22,38.9,39.36,39.86,2608009.0,102376303.96
2026-02-05,ITIETF,EQUITY,EQ,INF109KC16I6,39.95,40.35,39.72,39.86,40.08,1448498.0,57870963.7
2026-02-04,ITIETF,EQUITY,EQ,INF109KC16I6,42.56,42.56,39.56,40.08,42.56,8191761.0,327343499.77
2026-02-03,ITIETF,EQUITY,EQ,INF109KC16I6,43.24,44.3,42.5,42.56,41.88,2163364.0,92757685.54
