trade_date,symbol,asset_type,series,isin,open,high,low,close,prev_close,volume,traded_value
2026-09-09,JAYSREETEA,EQUITY,EQ,INE364A01020,95.0,95.8,93.93,94.88,94.41,48714.0,4608072.89
2026-09-08,JAYSREETEA,EQUITY,EQ,INE364A01020,99.0,99.06,92.74,94.41,98.61,161062.0,15223148.82
2026-09-07,JAYSREETEA,EQUITY,EQ,INE364A01020,100.54,103.0,98.1,98.61,98.95,55012.0,5509788.45
2026-09-04,JAYSREETEA,EQUITY,EQ,INE364A01020,99.39,101.34,98.0,98.95,99.31,48814.0,4877743.27
2026-09-03,JAYSREETEA,EQUITY,EQ,INE364A01020,100.0,102.59,97.15,99.31,99.79,76843.0,7679369.4
2026-09-02,JAYSREETEA,EQUITY,EQ,INE364A01020,98.41,101.0,97.02,99.79,98.12,67011.0,6621202.31
2026-09-01,JAYSREETEA,EQUITY,EQ,INE364A01020,96.7,102.0,96.6,98.12,96.29,92379.0,9173343.97
2026-08-31,JAYSREETEA,EQUITY,EQ,INE364A01020,99.01,99.99,95.05,96.29,98.84,132744.0,12851673.85
2026-08-28,JAYSREETEA,EQUITY,EQ,INE364A01020,100.05,101.8,98.15,98.84,100.1,56082.0,5609193.03
2026-08-27,JAYSREETEA,EQUITY,EQ,INE364A01020,102.05,104.8,100.0,100.1,102.05,84909.0,8676573.18
2026-08-26,JAYSREETEA,EQUITY,EQ,INE364A01020,107.02,112.7,101.2,102.05,106.57,536147.0,57555330.65
2026-08-25,JAYSREETEA,EQUITY,EQ,INE364A01020,104.0,108.54,103.7,106.57,103.7,343007.0,36737418.32
2026-08-24,JAYSREETEA,EQUITY,EQ,INE364A01020,104.7,104.7,102.11,103.7,101.81,136260.0,14106901.25
2026-08-21,JAYSREETEA,EQUITY,EQ,INE364A01020,101.9,108.0,101.01,101.81,100.81,572125.0,59655727.09
2026-08-20,JAYSREETEA,EQUITY,EQ,INE364A01020,94.53,102.4,94.0,100.81,93.88,419574.0,41565386.72
2026-08-19,JAYSREETEA,EQUITY,EQ,INE364A01020,88.9,97.8,88.9,93.88,87.85,462886.0,43736792.79
2026-08-18,JAYSREETEA,EQUITY,EQ,INE364A01020,88.33,89.7,87.1,87.85,88.32,43708.0,3889488.71
2026-08-17,JAYSREETEA,EQUITY,EQ,INE364A01020,92.01,92.04,87.2,88.32,92.04,129817.0,11480768.98
