trade_date,symbol,asset_type,series,isin,open,high,low,close,prev_close,volume,traded_value
2026-09-08,JENBURPH,EQUITY,EQ,INE354A01013,1052.0,1052.0,1025.1,1039.9,1043.0,276.0,284767.4
2026-09-07,JENBURPH,EQUITY,EQ,INE354A01013,1022.2,1057.0,1022.2,1043.0,1038.8,575.0,600162.7
2026-09-04,JENBURPH,EQUITY,EQ,INE354A01013,1036.2,1045.0,1030.0,1038.8,1031.5,422.0,436608.9
2026-09-03,JENBURPH,EQUITY,EQ,INE354A01013,1040.0,1049.7,1027.3,1031.5,1043.9,2668.0,2755190.1
2026-09-02,JENBURPH,EQUITY,EQ,INE354A01013,1056.5,1057.0,1032.1,1043.9,1048.0,574.0,600086.3
2026-09-01,JENBURPH,EQUITY,EQ,INE354A01013,1037.0,1051.0,1037.0,1048.0,1051.2,2402.0,2518043.8
2026-08-31,JENBURPH,EQUITY,EQ,INE354A01013,1053.2,1064.0,1026.1,1051.2,1048.0,676.0,709203.2
2026-08-28,JENBURPH,EQUITY,EQ,INE354A01013,1031.0,1055.0,1030.1,1048.0,1032.8,501.0,524437.7
2026-08-27,JENBURPH,EQUITY,EQ,INE354A01013,1056.0,1056.0,1026.6,1032.8,1050.1,665.0,694871.5
2026-08-26,JENBURPH,EQUITY,EQ,INE354A01013,1067.9,1067.9,1050.1,1050.1,1046.2,384.0,404175.1
2026-08-25,JENBURPH,EQUITY,EQ,INE354A01013,1069.9,1069.9,1037.8,1046.2,1043.8,2829.0,2968790.1
2026-08-24,JENBURPH,EQUITY,EQ,INE354A01013,1042.6,1049.0,1010.0,1043.8,1028.5,2162.0,2212836.9
2026-08-21,JENBURPH,EQUITY,EQ,INE354A01013,1042.7,1048.0,1027.0,1028.5,1045.5,1103.0,1142477.6
2026-08-20,JENBURPH,EQUITY,EQ,INE354A01013,1050.2,1059.9,1045.0,1045.5,1054.4,1147.0,1202221.2
2026-08-19,JENBURPH,EQUITY,EQ,INE354A01013,1064.0,1064.9,1045.0,1054.4,1047.3,450.0,473493.4
2026-08-18,JENBURPH,EQUITY,EQ,INE354A01013,1065.0,1073.9,1040.2,1047.3,1045.1,327.0,345360.9
2026-08-17,JENBURPH,EQUITY,EQ,INE354A01013,1042.6,1058.0,1042.6,1045.1,1061.8,391.0,408312.8
