trade_date,symbol,asset_type,series,isin,open,high,low,close,prev_close,volume,traded_value
2026-09-09,JINDRILL,EQUITY,EQ,INE742C01031,675.05,693.0,666.1,673.75,678.0,656825.0,446497470.5
2026-09-08,JINDRILL,EQUITY,EQ,INE742C01031,665.4,684.0,656.3,678.0,664.15,424593.0,285099749.55
2026-09-07,JINDRILL,EQUITY,EQ,INE742C01031,666.95,686.9,653.7,664.15,663.05,722088.0,487169829.85
2026-09-04,JINDRILL,EQUITY,EQ,INE742C01031,652.85,672.0,647.0,663.05,649.9,708720.0,469776826.25
2026-09-03,JINDRILL,EQUITY,EQ,INE742C01031,644.95,664.2,634.5,649.9,642.1,765112.0,500009631.25
2026-09-02,JINDRILL,EQUITY,EQ,INE742C01031,624.0,646.55,616.0,642.1,615.65,610029.0,386251968.5
2026-09-01,JINDRILL,EQUITY,EQ,INE742C01031,623.0,625.5,606.0,615.65,620.4,151856.0,93453837.5
2026-08-31,JINDRILL,EQUITY,EQ,INE742C01031,630.0,637.85,616.0,620.4,628.2,139375.0,87335325.15
2026-08-28,JINDRILL,EQUITY,EQ,INE742C01031,630.9,635.5,625.55,628.2,630.55,106924.0,67425315.45
2026-08-27,JINDRILL,EQUITY,EQ,INE742C01031,635.0,657.95,624.45,630.55,632.45,531304.0,340827932.35
2026-08-26,JINDRILL,EQUITY,EQ,INE742C01031,619.0,635.15,614.65,632.45,615.9,157638.0,98385654.35
2026-08-25,JINDRILL,EQUITY,EQ,INE742C01031,630.9,633.4,613.1,615.9,630.95,183424.0,113830872.85
2026-08-24,JINDRILL,EQUITY,EQ,INE742C01031,642.75,647.95,629.0,630.95,642.75,212357.0,135358555.5
2026-08-21,JINDRILL,EQUITY,EQ,INE742C01031,631.0,650.0,623.05,642.75,628.7,786084.0,503910245.95
2026-08-20,JINDRILL,EQUITY,EQ,INE742C01031,639.0,639.0,618.0,628.7,635.1,520104.0,327438752.85
2026-08-19,JINDRILL,EQUITY,EQ,INE742C01031,648.9,666.45,626.0,635.1,651.15,2919966.0,1884598825.5
2026-08-18,JINDRILL,EQUITY,EQ,INE742C01031,587.1,673.55,587.1,651.15,586.2,17885822.0,11722777138.35
2026-08-17,JINDRILL,EQUITY,EQ,INE742C01031,588.0,589.0,579.75,586.2,588.0,114041.0,66595995.55
2026-08-14,JINDRILL,EQUITY,EQ,INE742C01031,597.05,601.9,585.1,588.0,596.4,86607.0,51235932.55
2026-08-13,JINDRILL,EQUITY,EQ,INE742C01031,599.0,607.2,594.7,596.4,595.65,107286.0,64305001.25
2026-08-12,JINDRILL,EQUITY,EQ,INE742C01031,596.7,600.95,588.5,595.65,592.25,108377.0,64342780.65
2026-08-11,JINDRILL,EQUITY,EQ,INE742C01031,595.25,599.45,588.5,592.25,601.5,191506.0,113518345.9
2026-08-10,JINDRILL,EQUITY,EQ,INE742C01031,637.0,637.8,591.0,601.5,636.05,316814.0,194313579.7
2026-08-07,JINDRILL,EQUITY,EQ,INE742C01031,616.8,642.4,609.05,636.05,615.85,352870.0,221925065.5
2026-08-06,JINDRILL,EQUITY,EQ,INE742C01031,623.0,631.85,610.35,615.85,620.35,203271.0,126785004.85
2026-08-05,JINDRILL,EQUITY,EQ,INE742C01031,614.3,626.0,609.65,620.35,614.3,212867.0,131883225.85
2026-08-04,JINDRILL,EQUITY,EQ,INE742C01031,614.2,617.1,608.05,614.3,611.15,97057.0,59510005.55
2026-08-03,JINDRILL,EQUITY,EQ,INE742C01031,622.9,628.35,607.0,611.15,616.2,283953.0,174949577.7
2026-07-31,JINDRILL,EQUITY,EQ,INE742C01031,600.0,624.15,585.1,616.2,600.55,833907.0,510212482.85
2026-07-30,JINDRILL,EQUITY,EQ,INE742C01031,578.1,611.0,576.0,600.55,578.05,546487.0,327042712.85
2026-07-29,JINDRILL,EQUITY,EQ,INE742C01031,585.9,589.25,576.0,578.05,583.9,96028.0,55877774.55
2026-07-28,JINDRILL,EQUITY,EQ,INE742C01031,594.35,597.6,580.1,583.9,594.35,75406.0,44352755.95
2026-07-27,JINDRILL,EQUITY,EQ,INE742C01031,601.3,602.5,589.0,594.35,605.1,94034.0,55849832.4
2026-07-24,JINDRILL,EQUITY,EQ,INE742C01031,619.9,620.0,601.0,605.1,611.8,176640.0,107214504.2
2026-07-23,JINDRILL,EQUITY,EQ,INE742C01031,608.95,623.0,596.2,611.8,590.0,524018.0,319337821.8
2026-07-22,JINDRILL,EQUITY,EQ,INE742C01031,592.35,593.5,581.1,590.0,593.5,130649.0,76867786.7
2026-07-21,JINDRILL,EQUITY,EQ,INE742C01031,603.9,603.9,589.0,593.5,601.4,114118.0,67675443.7
2026-07-20,JINDRILL,EQUITY,EQ,INE742C01031,597.9,619.45,596.1,601.4,588.7,347148.0,209740379.8
2026-07-17,JINDRILL,EQUITY,EQ,INE742C01031,591.0,595.75,580.05,588.7,595.55,150345.0,88075346.15
2026-07-16,JINDRILL,EQUITY,EQ,INE742C01031,605.0,608.2,592.35,595.55,604.95,166488.0,99623956.95
2026-07-15,JINDRILL,EQUITY,EQ,INE742C01031,623.9,624.0,601.6,604.95,626.2,288218.0,175324880.5
2026-07-14,JINDRILL,EQUITY,EQ,INE742C01031,638.95,643.5,620.0,626.2,625.55,585468.0,367112960.3
2026-07-13,JINDRILL,EQUITY,EQ,INE742C01031,620.0,637.35,611.8,625.55,603.05,1676550.0,1046837463.65
2026-07-10,JINDRILL,EQUITY,EQ,INE742C01031,624.4,626.15,598.1,603.05,620.75,952506.0,579694128.65
2026-07-09,JINDRILL,EQUITY,EQ,INE742C01031,613.0,659.4,612.0,620.75,601.05,13720105.0,8819962880.0
2026-07-08,JINDRILL,EQUITY,EQ,INE742C01031,544.9,619.35,544.9,601.05,540.2,20334559.0,12333527407.0
2026-07-07,JINDRILL,EQUITY,EQ,INE742C01031,545.8,546.9,534.65,540.2,545.25,56466.0,30449629.85
2026-07-06,JINDRILL,EQUITY,EQ,INE742C01031,549.85,552.8,543.0,545.25,553.5,71476.0,39052163.55
