trade_date,symbol,asset_type,series,isin,open,high,low,close,prev_close,volume,traded_value
2026-09-11,JNKINDIA,EQUITY,EQ,INE0OAF01028,425.05,433.9,416.85,422.4,428.85,61081.0,25746529.6
2026-09-10,JNKINDIA,EQUITY,EQ,INE0OAF01028,433.05,438.2,420.2,428.85,430.85,92881.0,39825826.8
2026-09-09,JNKINDIA,EQUITY,EQ,INE0OAF01028,445.0,445.0,428.05,430.85,440.5,58816.0,25535176.1
2026-09-08,JNKINDIA,EQUITY,EQ,INE0OAF01028,432.5,450.0,432.5,440.5,435.35,71281.0,31539829.2
2026-09-07,JNKINDIA,EQUITY,EQ,INE0OAF01028,448.95,450.0,428.85,435.35,445.05,69670.0,30559137.85
2026-09-04,JNKINDIA,EQUITY,EQ,INE0OAF01028,431.5,450.4,431.5,445.05,431.45,128595.0,57227085.85
2026-09-03,JNKINDIA,EQUITY,EQ,INE0OAF01028,419.15,433.6,419.15,431.45,420.9,64722.0,27707074.3
2026-09-02,JNKINDIA,EQUITY,EQ,INE0OAF01028,430.75,430.75,415.6,420.9,430.75,59074.0,24940823.35
2026-09-01,JNKINDIA,EQUITY,EQ,INE0OAF01028,428.9,433.6,419.05,430.75,433.75,109104.0,46500073.85
2026-08-31,JNKINDIA,EQUITY,EQ,INE0OAF01028,443.1,450.0,426.0,433.75,447.65,85768.0,37566058.8
2026-08-28,JNKINDIA,EQUITY,EQ,INE0OAF01028,440.75,450.1,437.1,447.65,444.75,106881.0,47396260.15
2026-08-27,JNKINDIA,EQUITY,EQ,INE0OAF01028,454.0,457.9,442.05,444.75,453.25,98066.0,43853080.75
2026-08-26,JNKINDIA,EQUITY,EQ,INE0OAF01028,454.0,463.0,451.0,453.25,453.7,91546.0,41802652.0
2026-08-25,JNKINDIA,EQUITY,EQ,INE0OAF01028,453.5,461.95,447.0,453.7,450.0,116110.0,52774642.7
2026-08-24,JNKINDIA,EQUITY,EQ,INE0OAF01028,463.25,466.7,447.1,450.0,454.35,164637.0,74496633.85
2026-08-21,JNKINDIA,EQUITY,EQ,INE0OAF01028,450.35,459.45,446.2,454.35,450.35,125976.0,57053886.7
2026-08-20,JNKINDIA,EQUITY,EQ,INE0OAF01028,454.05,459.2,445.0,450.35,454.0,109022.0,49043993.45
2026-08-19,JNKINDIA,EQUITY,EQ,INE0OAF01028,463.5,469.25,447.3,454.0,463.95,150476.0,68362550.9
2026-08-18,JNKINDIA,EQUITY,EQ,INE0OAF01028,472.7,473.7,461.0,463.95,476.35,166370.0,77359050.5
2026-08-17,JNKINDIA,EQUITY,EQ,INE0OAF01028,460.0,478.25,456.25,476.35,456.25,488621.0,229112640.95
2026-08-14,JNKINDIA,EQUITY,EQ,INE0OAF01028,429.85,459.95,425.0,456.25,413.15,1481681.0,664430365.0
2026-08-13,JNKINDIA,EQUITY,EQ,INE0OAF01028,405.3,428.0,380.35,413.15,407.25,708628.0,281736748.2
2026-08-12,JNKINDIA,EQUITY,EQ,INE0OAF01028,425.0,439.0,405.05,407.25,418.8,601506.0,250582347.1
2026-08-11,JNKINDIA,EQUITY,EQ,INE0OAF01028,417.0,425.0,410.1,418.8,413.35,187085.0,78468548.2
