trade_date,symbol,asset_type,series,isin,open,high,low,close,prev_close,volume,traded_value
2026-09-09,JUBLPHARMA,EQUITY,EQ,INE700A01033,1000.0,1023.5,989.05,1019.0,997.75,452808.0,457743567.6
2026-09-08,JUBLPHARMA,EQUITY,EQ,INE700A01033,956.0,1021.55,953.3,997.75,950.3,1366696.0,1365757630.5
2026-09-07,JUBLPHARMA,EQUITY,EQ,INE700A01033,928.0,954.2,918.0,950.3,924.5,317471.0,298172751.9
2026-09-04,JUBLPHARMA,EQUITY,EQ,INE700A01033,919.0,930.0,901.2,924.5,907.9,498346.0,455574687.6
2026-09-03,JUBLPHARMA,EQUITY,EQ,INE700A01033,905.0,910.8,891.2,907.9,900.3,125766.0,113646952.5
2026-09-02,JUBLPHARMA,EQUITY,EQ,INE700A01033,907.6,911.7,893.6,900.3,907.6,63912.0,57580406.7
2026-09-01,JUBLPHARMA,EQUITY,EQ,INE700A01033,882.0,914.75,873.6,907.6,881.9,313570.0,280952771.85
2026-08-31,JUBLPHARMA,EQUITY,EQ,INE700A01033,882.65,891.9,864.7,881.9,882.65,231665.0,203363740.65
2026-08-28,JUBLPHARMA,EQUITY,EQ,INE700A01033,880.0,895.0,871.1,882.65,878.7,124044.0,109775464.95
2026-08-27,JUBLPHARMA,EQUITY,EQ,INE700A01033,887.4,894.75,875.0,878.7,887.4,86026.0,75829565.65
2026-08-26,JUBLPHARMA,EQUITY,EQ,INE700A01033,902.05,908.45,881.25,887.4,896.65,108892.0,97598521.5
2026-08-25,JUBLPHARMA,EQUITY,EQ,INE700A01033,905.3,921.7,892.7,896.65,902.7,191721.0,174053541.15
2026-08-24,JUBLPHARMA,EQUITY,EQ,INE700A01033,912.0,928.15,877.6,902.7,880.35,1931803.0,1736359309.15
2026-08-21,JUBLPHARMA,EQUITY,EQ,INE700A01033,868.0,891.0,867.2,880.35,871.05,229193.0,201958063.0
2026-08-20,JUBLPHARMA,EQUITY,EQ,INE700A01033,871.0,886.35,863.85,871.05,868.0,181295.0,159287115.65
2026-08-19,JUBLPHARMA,EQUITY,EQ,INE700A01033,866.0,876.75,853.35,868.0,866.0,944269.0,818320415.9
2026-08-18,JUBLPHARMA,EQUITY,EQ,INE700A01033,863.95,873.9,860.0,866.0,866.95,174172.0,151301953.25
2026-08-17,JUBLPHARMA,EQUITY,EQ,INE700A01033,865.8,878.0,847.85,866.95,865.8,309691.0,267427287.2
2026-08-14,JUBLPHARMA,EQUITY,EQ,INE700A01033,891.0,894.95,860.0,865.8,890.5,221700.0,194214615.1
2026-08-13,JUBLPHARMA,EQUITY,EQ,INE700A01033,888.0,906.2,873.2,890.5,890.6,207364.0,185152872.0
2026-08-12,JUBLPHARMA,EQUITY,EQ,INE700A01033,967.05,967.15,880.0,890.6,965.0,697403.0,632323377.2
2026-08-11,JUBLPHARMA,EQUITY,EQ,INE700A01033,929.7,995.0,908.2,965.0,962.7,886877.0,834947927.0
2026-08-10,JUBLPHARMA,EQUITY,EQ,INE700A01033,929.05,970.3,928.5,962.7,932.0,357574.0,342355692.8
2026-08-07,JUBLPHARMA,EQUITY,EQ,INE700A01033,926.0,945.0,914.4,932.0,926.25,168059.0,156415297.0
2026-08-06,JUBLPHARMA,EQUITY,EQ,INE700A01033,924.5,938.7,916.3,926.25,924.7,158398.0,147327003.15
