trade_date,symbol,asset_type,series,isin,open,high,low,close,prev_close,volume,traded_value
2026-09-08,KAMAHOLD,EQUITY,EQ,INE411F01010,2336.5,2336.5,2316.1,2318.7,2331.1,1318.0,3062175.0
2026-09-07,KAMAHOLD,EQUITY,EQ,INE411F01010,2368.0,2368.0,2321.0,2331.1,2348.2,3887.0,9072026.0
2026-09-04,KAMAHOLD,EQUITY,EQ,INE411F01010,2369.9,2369.9,2340.0,2348.2,2341.1,1979.0,4648905.3
2026-09-03,KAMAHOLD,EQUITY,EQ,INE411F01010,2349.3,2405.1,2327.2,2341.1,2344.9,10909.0,25855258.1
2026-09-02,KAMAHOLD,EQUITY,EQ,INE411F01010,2350.1,2359.8,2340.0,2344.9,2352.7,6405.0,15050713.7
2026-09-01,KAMAHOLD,EQUITY,EQ,INE411F01010,2365.1,2365.2,2350.0,2352.7,2363.2,4907.0,11566484.7
2026-08-31,KAMAHOLD,EQUITY,EQ,INE411F01010,2409.8,2409.8,2358.6,2363.2,2374.6,2399.0,5690214.0
2026-08-28,KAMAHOLD,EQUITY,EQ,INE411F01010,2398.4,2400.0,2370.0,2374.6,2389.4,4904.0,11666521.3
2026-08-27,KAMAHOLD,EQUITY,EQ,INE411F01010,2387.5,2403.6,2381.0,2389.4,2385.5,3320.0,7943482.9
2026-08-26,KAMAHOLD,EQUITY,EQ,INE411F01010,2420.9,2422.0,2375.0,2385.5,2394.4,4177.0,9988933.3
2026-08-25,KAMAHOLD,EQUITY,EQ,INE411F01010,2430.2,2443.9,2387.8,2394.4,2417.4,6974.0,16760421.9
2026-08-24,KAMAHOLD,EQUITY,EQ,INE411F01010,2423.0,2444.9,2415.0,2417.4,2421.1,2974.0,7204425.0
2026-08-21,KAMAHOLD,EQUITY,EQ,INE411F01010,2437.9,2450.0,2418.0,2421.1,2424.8,2874.0,6991988.2
2026-08-20,KAMAHOLD,EQUITY,EQ,INE411F01010,2454.9,2454.9,2419.0,2424.8,2442.7,3319.0,8054611.1
2026-08-19,KAMAHOLD,EQUITY,EQ,INE411F01010,2452.0,2455.0,2435.0,2442.7,2448.5,3395.0,8295869.6
2026-08-18,KAMAHOLD,EQUITY,EQ,INE411F01010,2462.6,2474.8,2440.0,2448.5,2456.4,5044.0,12366541.7
2026-08-17,KAMAHOLD,EQUITY,EQ,INE411F01010,2452.8,2547.0,2444.5,2456.4,2449.5,8208.0,20224147.3
2026-08-14,KAMAHOLD,EQUITY,EQ,INE411F01010,2475.0,2783.9,2435.4,2449.5,2474.2,58635.0,149139902.2
2026-08-13,KAMAHOLD,EQUITY,EQ,INE411F01010,2462.0,2500.0,2462.0,2474.2,2494.6,2563.0,6369827.9
2026-08-12,KAMAHOLD,EQUITY,EQ,INE411F01010,2471.0,2516.8,2465.0,2494.6,2478.9,2279.0,5662639.8
2026-08-11,KAMAHOLD,EQUITY,EQ,INE411F01010,2490.4,2516.9,2461.3,2478.9,2502.6,2923.0,7263361.7
2026-08-10,KAMAHOLD,EQUITY,EQ,INE411F01010,2519.8,2521.0,2486.2,2502.6,2506.7,1410.0,3531993.6
2026-08-07,KAMAHOLD,EQUITY,EQ,INE411F01010,2510.6,2525.0,2490.0,2506.7,2510.4,2062.0,5180891.0
2026-08-06,KAMAHOLD,EQUITY,EQ,INE411F01010,2514.2,2522.9,2487.1,2510.4,2509.2,731.0,1833374.3
2026-08-05,KAMAHOLD,EQUITY,EQ,INE411F01010,2529.1,2543.7,2502.5,2509.2,2522.6,819.0,2060172.1
2026-08-04,KAMAHOLD,EQUITY,EQ,INE411F01010,2532.9,2544.0,2500.0,2522.6,2516.4,2372.0,5980000.2
2026-08-03,KAMAHOLD,EQUITY,EQ,INE411F01010,2520.0,2545.0,2510.0,2516.4,2511.1,2500.0,6317954.6
2026-07-31,KAMAHOLD,EQUITY,EQ,INE411F01010,2522.7,2530.0,2482.5,2511.1,2507.6,1249.0,3133609.5
2026-07-30,KAMAHOLD,EQUITY,EQ,INE411F01010,2552.5,2552.5,2500.0,2507.6,2538.0,4273.0,10823723.4
2026-07-29,KAMAHOLD,EQUITY,EQ,INE411F01010,2525.2,2577.0,2525.2,2538.0,2521.2,1872.0,4755636.7
2026-07-28,KAMAHOLD,EQUITY,EQ,INE411F01010,2543.1,2563.8,2502.0,2521.2,2543.5,1033.0,2621055.2
2026-07-27,KAMAHOLD,EQUITY,EQ,INE411F01010,2565.8,2585.0,2530.2,2543.5,2527.9,1784.0,4563592.7
2026-07-24,KAMAHOLD,EQUITY,EQ,INE411F01010,2535.7,2555.0,2512.1,2527.9,2519.5,2037.0,5149993.8
2026-07-23,KAMAHOLD,EQUITY,EQ,INE411F01010,2669.0,2672.0,2511.1,2519.5,2640.4,6503.0,16743645.7
2026-07-22,KAMAHOLD,EQUITY,EQ,INE411F01010,2720.6,2722.0,2619.9,2640.4,2720.6,3789.0,10148977.3
2026-07-21,KAMAHOLD,EQUITY,EQ,INE411F01010,2627.1,2750.0,2610.2,2720.6,2620.4,14848.0,39893213.2
2026-07-20,KAMAHOLD,EQUITY,EQ,INE411F01010,2604.4,2640.0,2596.0,2620.4,2611.5,1846.0,4829160.4
2026-07-17,KAMAHOLD,EQUITY,EQ,INE411F01010,2613.7,2633.5,2601.7,2611.5,2615.8,589.0,1540692.3
2026-07-16,KAMAHOLD,EQUITY,EQ,INE411F01010,2584.9,2696.6,2584.9,2615.8,2551.6,16081.0,42132392.5
2026-07-15,KAMAHOLD,EQUITY,EQ,INE411F01010,2556.2,2597.4,2542.3,2551.6,2542.6,1291.0,3315696.5
2026-07-14,KAMAHOLD,EQUITY,EQ,INE411F01010,2563.1,2573.9,2525.0,2542.6,2554.6,1612.0,4117395.2
2026-07-13,KAMAHOLD,EQUITY,EQ,INE411F01010,2579.8,2579.8,2546.0,2554.6,2593.6,2145.0,5482755.3
2026-07-10,KAMAHOLD,EQUITY,EQ,INE411F01010,2571.7,2599.8,2556.1,2593.6,2553.4,848.0,2190186.3
2026-07-09,KAMAHOLD,EQUITY,EQ,INE411F01010,2587.3,2587.3,2533.6,2553.4,2539.2,3541.0,9036384.0
2026-07-08,KAMAHOLD,EQUITY,EQ,INE411F01010,2610.0,2610.0,2532.6,2539.2,2592.9,1556.0,3988201.4
2026-07-07,KAMAHOLD,EQUITY,EQ,INE411F01010,2622.0,2622.0,2580.0,2592.9,2613.6,2990.0,7756908.7
2026-07-06,KAMAHOLD,EQUITY,EQ,INE411F01010,2600.0,2640.0,2580.6,2613.6,2599.9,19432.0,50553481.9
2026-07-03,KAMAHOLD,EQUITY,EQ,INE411F01010,2598.5,2640.0,2570.0,2599.9,2590.2,2901.0,7526167.3
2026-07-02,KAMAHOLD,EQUITY,EQ,INE411F01010,2592.8,2639.9,2533.8,2590.2,2553.1,9850.0,25271556.8
2026-07-01,KAMAHOLD,EQUITY,EQ,INE411F01010,2598.9,2601.4,2541.3,2553.1,2580.2,12165.0,31069001.7
2026-06-30,KAMAHOLD,EQUITY,EQ,INE411F01010,2564.8,2625.0,2554.3,2580.2,2564.3,9196.0,23745724.8
2026-06-29,KAMAHOLD,EQUITY,EQ,INE411F01010,2607.2,2608.5,2555.1,2564.3,2607.2,1878.0,4823610.9
2026-06-25,KAMAHOLD,EQUITY,EQ,INE411F01010,2637.0,2639.9,2581.2,2607.2,2636.3,2644.0,6935716.3
2026-06-24,KAMAHOLD,EQUITY,EQ,INE411F01010,2656.2,2682.5,2620.1,2636.3,2657.4,5068.0,13377654.2
2026-06-23,KAMAHOLD,EQUITY,EQ,INE411F01010,2600.1,2687.8,2600.1,2657.4,2634.6,18021.0,47748867.8
2026-06-22,KAMAHOLD,EQUITY,EQ,INE411F01010,2672.5,2673.7,2588.1,2634.6,2632.3,1340.0,3534422.5
2026-06-19,KAMAHOLD,EQUITY,EQ,INE411F01010,2606.0,2665.7,2600.1,2632.3,2603.5,2716.0,7158622.5
2026-06-18,KAMAHOLD,EQUITY,EQ,INE411F01010,2612.5,2637.1,2585.0,2603.5,2612.5,1901.0,4953405.3
2026-06-17,KAMAHOLD,EQUITY,EQ,INE411F01010,2675.0,2699.9,2602.0,2612.5,2672.6,2820.0,7466804.7
2026-06-16,KAMAHOLD,EQUITY,EQ,INE411F01010,2622.4,2676.0,2620.1,2672.6,2621.8,1620.0,4300307.7
2026-06-15,KAMAHOLD,EQUITY,EQ,INE411F01010,2628.0,2653.4,2599.8,2621.8,2576.1,3048.0,7989519.1
2026-06-12,KAMAHOLD,EQUITY,EQ,INE411F01010,2585.3,2600.0,2562.2,2576.1,2553.0,754.0,1947952.2
2026-06-11,KAMAHOLD,EQUITY,EQ,INE411F01010,2599.9,2600.0,2541.1,2553.0,2592.8,904.0,2320695.5
2026-06-10,KAMAHOLD,EQUITY,EQ,INE411F01010,2596.0,2624.0,2556.2,2592.8,2555.4,3545.0,9178791.9
2026-06-09,KAMAHOLD,EQUITY,EQ,INE411F01010,2559.6,2600.0,2550.1,2555.4,2557.9,2110.0,5439261.8
2026-06-08,KAMAHOLD,EQUITY,EQ,INE411F01010,2560.0,2600.0,2527.0,2557.9,2560.5,1523.0,3895709.6
2026-06-05,KAMAHOLD,EQUITY,EQ,INE411F01010,2611.5,2639.8,2552.0,2560.5,2611.8,10907.0,28343924.9
2026-06-04,KAMAHOLD,EQUITY,EQ,INE411F01010,2661.1,2662.8,2600.0,2611.8,2647.2,3709.0,9699522.9
2026-06-03,KAMAHOLD,EQUITY,EQ,INE411F01010,2627.8,2705.0,2627.8,2647.2,2650.6,3386.0,9020161.3
2026-06-02,KAMAHOLD,EQUITY,EQ,INE411F01010,2632.4,2661.9,2575.1,2650.6,2606.9,2663.0,6976963.0
2026-06-01,KAMAHOLD,EQUITY,EQ,INE411F01010,2640.0,2650.0,2600.0,2606.9,2640.8,1194.0,3118409.5
2026-05-29,KAMAHOLD,EQUITY,EQ,INE411F01010,2660.0,2703.6,2626.0,2640.8,2689.0,2282.0,6034588.9
